code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source
BNR,2026-03-27,False,,True,,,,,,,,,,,,,,,16.36,,,2.873872053071463,25.3,2025-10-20,84.7,2,0,8.86,2024-04-22,-75.4,5,78,,,,4,10.0,-63.1,-60.8,False,False,,41.72,-60.78619367209972,Unknown,Unknown,
ISSC,2026-03-27,False,,False,,,,,,,,,,,,,,,21.5,,,1.847357783223252,10.8,2025-12-22,19.4,1,0,18.0,2025-08-04,-54.8,2,20,,,,3,2.0,-32.0,-29.8,False,False,,30.94,-30.510665804783457,Unknown,Unknown,
DOCN,2026-03-27,False,,False,,,,,,,,,,,,,,,81.42,,,1.832084392912954,53.0,2026-01-05,57.5,2,0,51.69,2023-07-17,-62.5,9,129,,,,3,2.0,-9.1,-5.9,False,False,,88.84,-8.35209365150833,Technology Services,Packaged Software,
ALM,2026-03-27,False,,False,,,,,,,,,,,,,,,14.91,,,1.6262284876968696,76.2,2025-12-15,92.6,2,0,7.74,2025-06-30,-59.2,2,24,,,,3,3.0,-36.4,-33.9,False,False,,22.55,-33.880266075388036,Non-Energy Minerals,Other Metals/Minerals,
PAHC,2026-03-27,False,,False,,,,,,,,,,,,,,,53.88,,,1.582785201838471,1.8,2026-02-02,16.6,0,0,46.19,2025-11-10,-21.9,1,12,,,,2,5.0,-19.0,-3.5,True,True,,57.62,-6.490801804928836,Unknown,Unknown,
BTU,2026-03-27,False,,,,,,,,,,,,,,,,,39.5,,,1.5367756654256644,14.0,2026-03-09,21.8,1,0,32.44,2025-09-29,-24.5,2,23,,,,0,,,,True,True,,41.14,-3.9863879436071943,Unknown,Unknown,
MU,2026-03-27,False,,False,,,,,,,,,,,,,,,357.22,,,1.520222922805691,127.4,2025-09-08,149.3,2,0,143.28,2024-06-10,-57.1,5,65,,,,5,6.0,-18.7,-17.0,False,False,,471.34,-24.211821614970074,Electronic Technology,Semiconductors,
SATS,2026-03-27,False,,False,,,,,,,,,,,,,,,115.21,,,1.485515478392154,40.5,2025-12-01,44.0,1,0,79.98,2025-09-29,-17.8,1,9,,,,2,10.0,-19.1,-10.5,True,True,,132.25,-12.88468809073724,Unknown,Unknown,
AXTI,2026-03-27,False,,False,,,,,,,,,,,,,,,60.63,,,1.460261228711805,466.6,2025-11-24,510.0,1,0,9.94,2022-08-08,-88.6,12,172,,,,3,3.0,-21.7,47.2,True,True,,70.88,-14.46106094808125,Electronic Technology,Electronic Production Equipment,
AAOI,2026-03-27,False,,False,,,,,,,,,,,,,,,98.21,,,1.4331051071600327,125.2,2026-01-26,128.1,1,0,43.05,2024-11-25,-77.4,3,61,,,,1,3.0,-34.4,-23.8,True,True,,128.96,-23.844602977667503,Electronic Technology,Semiconductors,
NATL,2026-03-27,False,,False,,,,,,,,,,,,,,,42.92,,,1.4049379622499958,1.6,2026-02-09,6.3,1,0,40.39,2025-09-01,-17.5,1,23,,,,2,4.0,-13.3,-11.5,False,False,,48.5,-11.505154639175252,Electronic Technology,Computer Processing Hardware,
SHEL,2026-03-27,False,,,,,,,,,,,,,,,,,92.17,,,1.400916391485441,18.1,2026-02-09,23.1,0,0,74.86,2025-03-24,-24.8,4,46,,,,0,,,,True,True,,92.95,-0.8391608391608352,Energy Minerals,Integrated Oil,
GOOG,2026-03-27,False,,False,,,,,,,,,,,,,,,273.76,,,1.3789741310704202,32.7,2025-08-18,32.8,1,0,206.13,2025-01-27,-31.0,1,29,,,,5,9.0,-20.0,-20.0,False,False,,349.9,-21.76050300085739,Technology Services,Internet Software/Services,
CF,2026-03-27,False,,False,,,,,,,,,,,,,,,136.45,,,1.372419672891139,17.9,2026-03-02,32.9,0,0,102.67,2025-06-16,-26.9,2,37,,,,1,3.0,-12.6,-0.7,True,True,,137.44,-0.7203143189755568,Process Industries,Chemicals: Agricultural,
PBF,2026-03-27,False,,,,,,,,,,,,,,,,,51.23,,,1.3615065728348366,18.5,2026-03-02,25.4,0,0,40.85,2025-11-10,-37.8,1,16,,,,0,,,,True,True,,51.8,-1.100386100386097,Energy Minerals,Oil Refining/Marketing,
C,2026-03-27,False,,False,,,,,,,,,,,,,,,107.38,,,1.352075090828954,29.5,2025-06-23,30.1,5,1,82.52,2025-02-10,-34.4,1,19,,,,7,8.0,-16.6,-12.2,False,False,,125.16,-14.205816554809848,Finance,Major Banks,
DG,2026-03-27,False,,False,,,,,,,,,,,,,,,117.16,,,1.2943887057983772,-11.1,2025-12-01,0.4,1,0,116.74,2025-08-04,-19.2,2,17,,,,4,5.0,-26.3,-26.0,False,False,,158.23,-25.95588699993679,Unknown,Unknown,
ROST,2026-03-27,False,,False,,,,,,,,,,,,,,,211.69,,,1.25960268440196,35.6,2025-10-20,35.8,2,0,155.9,2024-07-08,-22.5,4,67,,,,4,4.0,-5.8,-2.1,False,False,,217.51,-2.6757390464806186,Retail Trade,Apparel/Footwear Retail,
FN,2026-03-27,False,,False,,,,,,,,,,,,,,,551.97,,,1.252004790455766,86.7,2025-06-23,95.9,5,0,281.79,2024-08-19,-47.3,3,44,,,,11,6.0,-15.4,-1.0,True,False,,632.99,-12.799570293369555,Unknown,Unknown,
BTSG,2026-03-27,False,,False,,,,,,,,,,,,,,,42.33,,,1.2514212697894558,60.0,2025-09-08,70.5,3,0,24.82,2025-01-27,-37.6,2,32,,,,6,4.0,-12.7,-0.8,True,False,,45.59,-7.15069094099584,Health Services,Medical/Nursing Services,
APEI,2026-03-27,False,,False,,,,,,,,,,,,,,,57.24,,,1.239103487170385,42.0,2026-01-05,47.5,2,0,38.8,2025-09-22,-22.2,1,15,,,,5,3.0,-9.6,-2.5,True,False,,59.42,-3.6687983843823657,Unknown,Unknown,
GLW,2026-03-27,False,,False,,,,,,,,,,,,,,,136.81,,,1.2305013451510822,155.7,2025-07-14,156.2,3,1,53.41,2025-01-20,-31.2,1,25,,,,7,5.0,-25.8,-15.4,True,False,,161.8,-15.444993819530284,Electronic Technology,Electronic Components,
ENLT,2026-03-27,False,,False,,,,,,,,,,,,,,,65.99,,,1.2301442501877995,238.4,2025-05-26,261.0,1,0,18.28,2025-02-17,-23.4,1,14,,,,11,4.0,-17.6,-16.8,False,False,,81.28,-18.811515748031503,Utilities,Alternative Power Generation,
TSM,2026-03-27,False,,False,,,,,,,,,,,,,,,326.74,,,1.2230065451714618,44.2,2025-06-23,46.7,4,2,222.76,2025-01-20,-40.5,1,22,,,,7,5.0,-17.2,-16.0,False,False,,389.11,-16.028886433142297,Electronic Technology,Semiconductors,
MTZ,2026-03-27,False,,False,,,,,,,,,,,,,,,316.01,,,1.222899979718233,83.7,2025-06-23,89.3,6,2,166.95,2025-01-20,-40.3,1,22,,,,7,4.0,-8.1,5.3,True,False,,328.69,-3.8577382944415706,Unknown,Unknown,
VICR,2026-03-27,False,,False,,,,,,,,,,,,,,,153.02,,,1.206470318015506,46.6,2025-12-15,55.5,2,0,98.38,2023-07-24,-68.6,9,125,,,,2,5.0,-27.3,-25.7,False,False,,209.53,-26.969884980671026,Electronic Technology,Electronic Components,
ASML,2026-03-27,False,,False,,,,,,,,,,,,,,,1302.47,,,1.2047621289871138,12.1,2025-12-29,19.1,1,0,1093.57,2024-07-08,-47.6,3,77,,,,2,6.0,-14.2,-12.4,False,False,,1547.22,-15.81869417406704,Electronic Technology,Semiconductors,
SEDG,2026-03-27,False,,,,,,,,,,,,,,,,,51.76,,,1.2042244980950674,0.1,2026-03-16,24.4,0,0,41.6,2025-11-03,-32.2,1,19,,,,0,,,,True,False,,53.28,-2.8528528528528607,Unknown,Unknown,
MPC,2026-03-27,False,,,,,,,,,,,,,,,,,251.91,,,1.197924730440188,13.8,2026-03-02,18.8,0,0,211.96,2024-04-01,-46.8,8,100,,,,0,,,,True,False,,252.83,-0.363880868567823,Energy Minerals,Oil Refining/Marketing,
GH,2026-03-27,False,,True,,,,,,,,,,,,,,,84.61,,,1.1747031158931156,56.0,2025-08-04,71.0,5,1,49.48,2025-02-10,-29.5,3,25,,,,4,10.0,-31.9,-29.9,False,False,,120.74,-29.92380321351664,Health Technology,Medical Specialties,
AU,2026-03-27,False,,False,,,,,,,,,,,,,,,89.17,,,1.1736992150529049,202.6,2025-03-03,203.1,7,1,29.42,2024-08-12,-28.6,2,29,,,,11,5.0,-36.7,-29.5,True,False,,127.01,-29.79292969057554,Unknown,Unknown,
LITE,2026-03-27,False,,False,,,,,,,,,,,,,,,702.73,,,1.1733847343074837,572.3,2025-07-21,575.7,2,0,104.0,2025-01-20,-56.1,1,26,,,,7,2.0,-12.7,-10.8,False,False,,808.8,-13.114490603363006,Producer Manufacturing,Electrical Products,
CAH,2026-03-27,False,,False,,,,,,,,,,,,,,,206.58,,,1.1705221271369382,8.6,2025-10-27,23.9,3,0,166.7,2025-06-23,-17.8,1,18,,,,4,5.0,-11.4,-10.3,False,False,,233.6,-11.5667808219178,Distribution Services,Medical Distributors,
VTR,2026-03-27,False,,False,,,,,,,,,,,,,,,81.91,,,1.1587132494277412,-0.8,2026-02-02,1.8,1,0,80.5,2025-11-24,-8.3,1,10,,,,2,3.0,-7.0,-6.3,False,False,,88.37,-7.310173135679543,Finance,Real Estate Investment Trusts,
SNDK,2026-03-27,False,,False,,,,,,,,,,,,,,,615.83,,,1.0975055337274782,798.4,2025-09-01,1005.8,3,1,55.69,2025-03-24,-49.9,2,23,,,,5,2.0,-22.9,-20.8,False,False,,777.6,-20.80375514403292,Electronic Technology,Computer Peripherals,
