code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type
OUST,2026-07-02,True,pivot,False,pivot,47.32,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 47.32, ""resistance_date"": ""2026-06-29""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 47.32, ""resistance_date"": ""2026-06-29""}}",1.0,2026-06-29,47.32,47.32,2.142562983621007,0.1426458157227388,0.9619565217391304,0.6114130434782609,pivot,,49.84,5.33,EXTENDED,1.5937745003745871,34.6,2026-05-18,37.5,0,0,36.24,2025-08-11,-54.7,3,40,54.7,5.091666666666666,1.0,2,3.0,-19.4,3.0,True,True,33.3333333333,63.79,-21.86863144693525,Electronic Technology,Semiconductors,SEC,resolved,,LOSS_NARROWING
BLZE,2026-07-02,True,10_wk_ema_touch_confirm,,ma10_touch_confirm,14.65,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-06-29"", ""ma10_prior_week"": 7.755, ""pending_high"": 14.65, ""touch_date"": ""2026-06-22""}",1.0,2026-06-29,14.65,14.65,1.6230706828817276,0.0218430034129692,0.4687500000000006,0.25,ma10_touch_confirm,,15.62,6.62,EXTENDED,1.0157055138637603,7.3,2026-06-22,45.7,1,0,10.72,2025-10-20,-69.6,2,35,69.6,5.025,2.0,0,,,,True,False,41.1764705882,16.59,-5.84689572031345,Electronic Technology,Computer Peripherals,SEC,resolved,,LOSS_NARROWING
ACHC,2026-07-02,True,ceiling_breakout,,ceiling,27.5,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,31.91,16.04,UNCONFIRMED,1.1815741443745875,0.0,2026-06-29,16.0,0,0,27.5,2025-09-29,-58.4,2,39,58.4,4.979166666666666,3.0,0,,,,True,False,-44.4444444444,32.82,-2.772699573430837,Health Services,Medical/Nursing Services,SEC,resolved,,DECLINE
ANAB,2026-07-02,True,10_wk_ema_touch_confirm,True,ma10_touch_confirm,63.28,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-06-29"", ""ma10_prior_week"": 60.06, ""pending_high"": 63.28, ""touch_date"": ""2026-06-22""}",1.0,2026-07-02,65.06,63.28,2.1682314742246604,0.002212389380531,0.2507462686567168,0.0417910447761194,ma10_touch_confirm,,63.42,0.22,ACTIONABLE,1.601770681007387,128.4,2025-11-24,133.8,4,1,27.13,2024-09-09,-70.0,4,63,70.0,4.9125000000000005,4.0,4,9.0,-30.8,-12.4,False,False,-43.75,72.36,-12.354892205638468,Health Technology,Biotechnology,SEC,resolved,,LOSS_WIDENING
FROG,2026-07-02,True,pivot,True,pivot,89.16,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 89.16, ""resistance_date"": ""2026-06-29""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 89.16, ""resistance_date"": ""2026-06-29""}}",1.0,2026-06-29,89.16,89.16,1.6037061772731696,0.0104306864064602,0.9483870967741944,0.2000000000000018,pivot,,94.81,6.34,EXTENDED,1.0980111875089194,28.1,2026-05-18,34.6,0,0,70.43,2025-12-08,-51.7,1,23,51.7,4.858333333333333,5.0,1,4.0,-14.1,6.3,True,False,56.25,96.0,-1.2395833333333273,Technology Services,Packaged Software,SEC,resolved,,LOSS_NARROWING
GH,2026-07-02,True,ceiling_breakout,False,ceiling_pullback,151.85,ceiling_breakout,"{""abandon_line"": 118.3252, ""atr_zone_width"": 4.424079380063361, ""ceiling"": 120.74, ""confirm_close"": 167.98, ""confirm_date"": ""2026-06-29"", ""max_zone_width"": 6.037, ""pending_high"": 151.85, ""touch_atr14"": 14.746931266877871, ""touch_date"": ""2026-06-22"", ""touch_high"": 151.85, ""touch_low"": 125.12, ""zone_cap_applied"": false, ""zone_pct"": 3.664137303348817, ""zone_upper"": 125.16407938006336, ""zone_width"": 4.424079380063361}",1.0,2026-07-01,160.76,151.85,2.5436079023092,0.1245966414224564,0.8881458966565349,1.1501519756838905,ceiling_pullback,,167.98,10.62,EXTENDED,1.4482311977102276,29.5,2026-05-25,39.1,0,0,120.74,2026-01-19,-38.3,1,18,38.3,4.679166666666667,6.0,1,3.0,-6.8,25.4,True,True,-10.3896103896,172.61,-2.6823474885580345,Health Technology,Medical Specialties,SEC,resolved,,LOSS_WIDENING
ASX,2026-07-02,True,pivot,False,pivot,41.1,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 41.1, ""resistance_date"": ""2026-06-29""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 41.1, ""resistance_date"": ""2026-06-29""}}",1.0,2026-07-01,44.6,41.1,1.7186827394964843,0.0459854014598539,0.0702702702702715,1.0216216216216212,pivot,,41.87,1.87,ACTIONABLE,1.379896969221524,229.2,2025-10-13,237.4,4,2,12.41,2024-07-08,-46.0,4,66,46.0,4.641666666666667,7.0,7,3.0,-3.7,2.4,True,True,,45.52,-8.018453427065042,Electronic Technology,Semiconductors,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,
FCEL,2026-07-02,True,pivot,False,pivot,27.33,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 27.33, ""resistance_date"": ""2026-06-29""}, {""box_type"": ""S_BOX"", ""price"": 27.33, ""resistance_date"": ""2026-06-29""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 27.33, ""resistance_date"": ""2026-06-29""}}",1.0,2026-06-29,27.33,27.33,1.824394727406242,0.0903768752286864,0.8198198198198199,0.4450450450450454,pivot,,28.11,2.85,ACTIONABLE,1.4306804408477791,151.4,2026-04-20,163.7,3,1,10.66,2025-09-29,-46.4,3,29,46.4,4.6375,8.0,1,7.0,-44.9,2.9,True,True,18.9944134078,37.88,-25.79197465681099,Electronic Technology,Electronic Equipment/Instruments,SEC,resolved,,LOSS_NARROWING
CRWD,2026-07-02,True,pivot,False,pivot,182.87,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 182.87, ""resistance_date"": ""2026-06-29""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 182.87, ""resistance_date"": ""2026-06-29""}}",1.0,2026-06-29,182.87,182.87,1.522626717570899,0.015639525345874,0.7484567901234555,0.2206790123456777,pivot,,193.98,6.08,EXTENDED,1.0233412785634806,30.6,2026-05-11,40.1,0,0,138.41,2025-10-27,-38.1,2,28,38.1,4.502083333333333,9.0,1,6.0,-15.6,6.1,True,False,126.1904761905,199.53,-2.7815366110359396,Technology Services,Packaged Software,SEC,resolved,,TURNAROUND
SIF,2026-07-02,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,23.0,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-06-29"", ""ma10_prior_week"": 19.591, ""pending_high"": 23.0, ""touch_date"": ""2026-06-22""}",1.0,2026-06-30,23.0,23.0,1.986509436218815,0.0173913043478259,0.9528301886792446,0.1886792452830181,ma10_touch_confirm,,24.65,7.17,EXTENDED,2.2166585271451353,124.1,2026-02-09,228.7,5,0,7.5,2025-09-08,-34.9,3,22,34.9,4.370833333333333,10.0,5,3.0,-13.6,6.3,True,True,286.9565217391,26.45,-6.805293005671076,Electronic Technology,Aerospace & Defense,SEC,resolved,,TURNAROUND
