extension_bucket,rows,evaluable_1w,retest_to_buy_zone_1w_rate,median_snapshot_return_4w_pct,median_snapshot_mae_4w_pct,median_post_retest_return_4w_pct,median_post_retest_mae_4w_pct
+5_to_10,260,179,0.48044692737430167,0.9427568547955345,-6.607987597189624,2.898032239058801,-5.244570502166162
+10_to_15,103,64,0.25,-1.5351119052717466,-9.354776189182623,1.3888875091518038,-10.637265182832323
>+15,113,65,0.07692307692307693,0.9850142372804904,-11.12273431212699,7.712580770297727,-3.4000323313381378
