ibd_entry_status,rows,symbol_found_count,symbol_found_rate,complete_1w_count,complete_1w_rate,complete_2w_count,complete_2w_rate,complete_3w_count,complete_3w_rate,complete_4w_count,complete_4w_rate
ACTIONABLE,733,527,0.7189631650750341,526,0.7175989085948158,526,0.7175989085948158,493,0.6725784447476125,458,0.6248294679399727
EXTENDED,476,308,0.6470588235294118,308,0.6470588235294118,308,0.6470588235294118,277,0.5819327731092437,257,0.5399159663865546
UNCONFIRMED,1529,1111,0.7266187050359713,1110,0.7259646827992152,1110,0.7259646827992152,1018,0.6657946370176586,968,0.6330935251798561
