variant,weeks,picks,avg_watchlist_size,median_watchlist_size,p95_watchlist_size,evaluable_picks_1w,opportunities_available_1w,opportunities_captured_1w,selection_coverage_1w,opportunity_recall_1w,non_actionable_opportunity_recall_1w,opportunities_per_review,big_winner_recall_1w,big_loser_inclusion_1w,winner_capture_lift_1w,loser_capture_lift_1w,median_return_1w_pct,median_mfe_1w_pct,median_mae_1w_pct,tradable_selection_coverage_1w,tradable_big_winner_recall_1w,tradable_big_loser_inclusion_1w,tradable_winner_capture_lift_1w,tradable_loser_capture_lift_1w,opp_severe_loser_exposure_1w,median_opp_return_1w_pct,median_opp_mfe_1w_pct,median_opp_mae_1w_pct,selection_coverage_2w,big_winner_recall_2w,big_loser_inclusion_2w,winner_capture_lift_2w,loser_capture_lift_2w,median_return_2w_pct,median_mfe_2w_pct,median_mae_2w_pct,tradable_selection_coverage_2w,tradable_big_winner_recall_2w,tradable_big_loser_inclusion_2w,tradable_winner_capture_lift_2w,tradable_loser_capture_lift_2w,opp_severe_loser_exposure_2w,median_opp_return_2w_pct,median_opp_mfe_2w_pct,median_opp_mae_2w_pct,selection_coverage_3w,big_winner_recall_3w,big_loser_inclusion_3w,winner_capture_lift_3w,loser_capture_lift_3w,median_return_3w_pct,median_mfe_3w_pct,median_mae_3w_pct,tradable_selection_coverage_3w,tradable_big_winner_recall_3w,tradable_big_loser_inclusion_3w,tradable_winner_capture_lift_3w,tradable_loser_capture_lift_3w,opp_severe_loser_exposure_3w,median_opp_return_3w_pct,median_opp_mfe_3w_pct,median_opp_mae_3w_pct,selection_coverage_4w,big_winner_recall_4w,big_loser_inclusion_4w,winner_capture_lift_4w,loser_capture_lift_4w,median_return_4w_pct,median_mfe_4w_pct,median_mae_4w_pct,tradable_selection_coverage_4w,tradable_big_winner_recall_4w,tradable_big_loser_inclusion_4w,tradable_winner_capture_lift_4w,tradable_loser_capture_lift_4w,opp_severe_loser_exposure_4w,median_opp_return_4w_pct,median_opp_mfe_4w_pct,median_opp_mae_4w_pct,big_winner_recall_mean_2_4w,snapshot_winner_capture_lift_mean_2_4w,snapshot_loser_capture_lift_mean_2_4w,tradable_big_winner_recall_mean_2_4w,tradable_winner_capture_lift_mean_2_4w,tradable_loser_capture_lift_mean_2_4w,opp_severe_loser_exposure_mean_2_4w,opportunity_recall_1w_delta_vs_b0,non_actionable_opportunity_recall_1w_delta_vs_b0,selection_coverage_1w_delta_vs_b0,big_winner_recall_mean_2_4w_delta_vs_b0,snapshot_winner_capture_lift_mean_2_4w_delta_vs_b0,snapshot_loser_capture_lift_mean_2_4w_delta_vs_b0,tradable_big_winner_recall_mean_2_4w_delta_vs_b0,tradable_winner_capture_lift_mean_2_4w_delta_vs_b0,tradable_loser_capture_lift_mean_2_4w_delta_vs_b0,opp_severe_loser_exposure_mean_2_4w_delta_vs_b0,avg_watchlist_size_delta_vs_b0,big_winner_recall_1w_delta_vs_b0,winner_capture_lift_1w_delta_vs_b0,loser_capture_lift_1w_delta_vs_b0,tradable_big_winner_recall_1w_delta_vs_b0,tradable_winner_capture_lift_1w_delta_vs_b0,tradable_loser_capture_lift_1w_delta_vs_b0,opp_severe_loser_exposure_1w_delta_vs_b0,big_winner_recall_2w_delta_vs_b0,winner_capture_lift_2w_delta_vs_b0,loser_capture_lift_2w_delta_vs_b0,tradable_big_winner_recall_2w_delta_vs_b0,tradable_winner_capture_lift_2w_delta_vs_b0,tradable_loser_capture_lift_2w_delta_vs_b0,opp_severe_loser_exposure_2w_delta_vs_b0,big_winner_recall_3w_delta_vs_b0,winner_capture_lift_3w_delta_vs_b0,loser_capture_lift_3w_delta_vs_b0,tradable_big_winner_recall_3w_delta_vs_b0,tradable_winner_capture_lift_3w_delta_vs_b0,tradable_loser_capture_lift_3w_delta_vs_b0,opp_severe_loser_exposure_3w_delta_vs_b0,big_winner_recall_4w_delta_vs_b0,winner_capture_lift_4w_delta_vs_b0,loser_capture_lift_4w_delta_vs_b0,tradable_big_winner_recall_4w_delta_vs_b0,tradable_winner_capture_lift_4w_delta_vs_b0,tradable_loser_capture_lift_4w_delta_vs_b0,opp_severe_loser_exposure_4w_delta_vs_b0,added_evaluable_reviews_vs_b0,incremental_opportunities_vs_b0,incremental_opportunities_per_added_review,attention_multiplier_vs_b0,fold,evaluation_role,formal_oos,asof_cutoff,train_start,train_end,test_start,test_end,rule_complexity
R1_NEAR_BUY_POINT_PLUS_EVIDENCE,4,52,13.0,8.0,26.699999999999992,30,31,26,0.7894736842105263,0.8387096774193549,0.7619047619047619,0.8666666666666667,0.7647058823529411,0.8235294117647058,0.968627450980392,1.0431372549019606,2.666004441251213,5.829601416514352,-2.6132098838408444,0.8387096774193549,0.8461538461538461,0.8461538461538461,1.0088757396449703,1.0088757396449703,0.15384615384615385,2.04727875730496,4.865074632908362,-1.6299747861985625,0.7894736842105263,0.7058823529411765,0.7777777777777778,0.8941176470588236,0.9851851851851852,6.654872890615005,8.57693980798333,-3.118983434528472,0.8387096774193549,0.7857142857142857,0.9230769230769231,0.9368131868131867,1.1005917159763314,0.15384615384615385,5.6874132406508515,7.087638227304327,-1.6299747861985625,0.7894736842105263,0.7647058823529411,0.7222222222222222,0.968627450980392,0.9148148148148147,5.420687603637575,9.194743340439372,-3.1698471543695153,0.8387096774193549,0.7333333333333333,0.7692307692307693,0.8743589743589743,0.9171597633136095,0.15384615384615385,4.654726896362272,7.962245431425963,-1.9960096571061514,0.7894736842105263,0.8125,0.7368421052631579,1.0291666666666666,0.9333333333333332,6.474201210523745,11.358221793827727,-3.20068568688629,0.8387096774193549,0.7857142857142857,0.7857142857142857,0.9368131868131867,0.9368131868131867,0.19230769230769232,4.772806128391116,10.031581280665335,-2.4353107886419147,0.761029411764706,0.963970588235294,0.9444444444444443,0.7682539682539682,0.9159951159951158,0.9848548887010424,0.16666666666666666,0.5161290322580645,0.7619047619047619,0.5263157894736843,0.4607843137254903,-0.17696078431372553,-0.1629629629629631,0.41904761904761895,-0.16654456654456662,-0.33803888419273065,-0.03333333333333338,9.0,0.4705882352941176,-0.1490196078431374,-0.2980392156862748,0.3846153846153846,-0.42189349112426044,-0.42189349112426044,-0.046153846153846156,0.411764705882353,-0.22352941176470587,-0.28148148148148144,0.42857142857142855,-0.1703296703296705,-0.5686390532544379,-0.046153846153846156,0.4705882352941176,-0.1490196078431374,-0.14074074074074083,0.39999999999999997,-0.15897435897435896,-0.275147928994083,-0.046153846153846156,0.5,-0.15833333333333344,-0.06666666666666676,0.42857142857142855,-0.1703296703296705,-0.1703296703296705,-0.007692307692307693,20.0,16.0,0.8,3.25,1,PRIMARY_R1,True,2026-03-13,2025-10-10,2026-03-06,2026-03-13,2026-04-02,0
CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,4,21,5.25,5.0,8.549999999999999,14,31,13,0.3684210526315789,0.41935483870967744,0.14285714285714285,0.9285714285714286,0.4117647058823529,0.47058823529411764,1.1176470588235294,1.277310924369748,2.559595588489294,5.748607749901369,-3.118983434528472,0.41935483870967744,0.5384615384615384,0.5384615384615384,1.2840236686390532,1.2840236686390532,0.23076923076923078,0.8161932969303454,3.6597521531252175,-2.0415884785931593,0.3684210526315789,0.4117647058823529,0.4444444444444444,1.1176470588235294,1.2063492063492063,7.1713211911630825,9.194743340439372,-3.7559274646191634,0.41935483870967744,0.42857142857142855,0.6153846153846154,1.021978021978022,1.467455621301775,0.23076923076923078,6.515121391682843,8.752458066105607,-2.0415884785931593,0.3684210526315789,0.4117647058823529,0.3888888888888889,1.1176470588235294,1.0555555555555556,8.710842192712576,10.357269345360242,-3.7559274646191634,0.41935483870967744,0.4,0.5384615384615384,0.9538461538461539,1.2840236686390532,0.23076923076923078,6.1051286009457195,8.806298618044273,-3.0721684092098855,0.3684210526315789,0.4375,0.3684210526315789,1.1875,1.0,6.419673693837257,11.578200576318043,-3.7559274646191634,0.41935483870967744,0.42857142857142855,0.5,1.021978021978022,1.1923076923076923,0.23076923076923078,6.492754802611711,10.369752611303596,-3.0721684092098855,0.42034313725490197,1.1409313725490196,1.0873015873015872,0.41904761904761906,0.9992673992673993,1.314595660749507,0.23076923076923075,0.09677419354838712,0.14285714285714285,0.10526315789473684,0.12009803921568629,0.0,-0.020105820105820182,0.06984126984126982,-0.0832722832722832,-0.008298112144266012,0.030769230769230715,1.25,0.11764705882352938,0.0,-0.06386554621848739,0.07692307692307687,-0.14674556213017764,-0.14674556213017764,0.03076923076923077,0.11764705882352938,0.0,-0.060317460317460325,0.0714285714285714,-0.0851648351648353,-0.2017751479289942,0.03076923076923077,0.11764705882352938,0.0,0.0,0.06666666666666671,-0.07948717948717932,0.09171597633136064,0.03076923076923077,0.125,0.0,0.0,0.0714285714285714,-0.0851648351648353,0.08516483516483508,0.03076923076923077,4.0,3.0,0.75,1.3125,1,TRAIN_CHAMPION,True,2026-03-13,2025-10-10,2026-03-06,2026-03-13,2026-04-02,2
R1_NEAR_BUY_POINT_PLUS_EVIDENCE,4,226,56.5,58.0,73.95,147,165,140,0.6837209302325581,0.8484848484848485,0.7596153846153846,0.9523809523809523,0.391304347826087,0.6470588235294118,0.5723158828748891,0.9463785514205684,0.7048038507244447,2.9447441129731855,-2.7010467116562076,0.8484848484848485,0.7692307692307693,0.90625,0.9065934065934066,1.0680803571428572,0.15,0.40897041631871023,2.602901433903382,-2.8901402263326603,0.6837209302325581,0.5384615384615384,0.6666666666666666,0.7875457875457875,0.9750566893424036,0.06730739886944281,4.018814250601199,-3.949930443718086,0.8484848484848485,0.8214285714285714,0.8205128205128205,0.9681122448979591,0.9670329670329669,0.21428571428571427,0.6822752868391069,4.260868524479877,-3.6813836931606616,0.6837209302325581,0.4166666666666667,0.6037735849056604,0.6094104308390024,0.8830702092157618,0.8695644061371466,5.184191740330402,-4.30861361196575,0.8484848484848485,0.68,0.7727272727272727,0.8014285714285715,0.9107142857142857,0.22857142857142856,0.7537196640080901,5.124995414805467,-4.185401542081218,0.6837209302325581,0.34782608695652173,0.6285714285714286,0.5087252292221237,0.9193391642371235,1.108666933516056,6.052531880021306,-5.243766797925941,0.8484848484848485,0.72,0.8181818181818182,0.8485714285714285,0.9642857142857143,0.29285714285714287,1.1893873822708567,5.925871235587421,-5.136965800438858,0.4343180973615756,0.6352271492023046,0.925822020931763,0.7404761904761905,0.8727040816326529,0.9473443223443224,0.24523809523809526,0.4787878787878788,0.7596153846153846,0.39999999999999997,0.31178000743218137,0.20333060272984932,0.11692910610009155,0.46142857142857147,0.11790314486450293,0.20123251065874026,0.05398126463700237,34.75,0.26086956521739135,0.11258673105735523,0.013398802143808397,0.46153846153846156,0.07431093496667263,0.3073221604215457,0.01885245901639343,0.3846153846153846,0.2453011469404911,0.03516597895988993,0.46428571428571425,0.0020700903312143026,0.2041073680417942,0.03395784543325525,0.33333333333333337,0.31569458384446686,0.15155149594635253,0.44000000000000006,0.152248243559719,0.17300936768149888,0.04824355971896954,0.21739130434782608,0.04899607740458983,0.1640698433940322,0.48,0.19939110070257604,0.22658079625292749,0.07974238875878223,86.0,79.0,0.9186046511627907,2.5977011494252875,2,PRIMARY_R1,True,2026-04-10,2025-10-10,2026-04-02,2026-04-10,2026-05-01,0
CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,4,102,25.5,25.0,40.199999999999996,69,165,68,0.3209302325581395,0.4121212121212121,0.0673076923076923,0.9855072463768116,0.13043478260869565,0.3235294117647059,0.4064272211720227,1.0080988917306053,1.0225714076269155,3.0751342469073073,-2.8747860810879655,0.4121212121212121,0.38461538461538464,0.375,0.9332579185520363,0.9099264705882353,0.16176470588235295,1.0687699003441353,2.950346543693616,-2.6592941571513427,0.3209302325581395,0.19230769230769232,0.3333333333333333,0.5992196209587515,1.038647342995169,0.3639520166445198,4.227521336111684,-3.588656269807644,0.4121212121212121,0.39285714285714285,0.358974358974359,0.9532563025210085,0.8710407239819005,0.20588235294117646,0.4851840187674261,4.461939422274663,-3.305497612932129,0.3209302325581395,0.125,0.2641509433962264,0.3894927536231884,0.8230790265244736,0.4638218792627935,5.148780656109975,-3.8687104777908377,0.4121212121212121,0.28,0.3409090909090909,0.6794117647058824,0.8272058823529411,0.20588235294117646,0.5961977825612585,5.124995414805467,-3.7442894047558073,0.3209302325581395,0.17391304347826086,0.2857142857142857,0.5419029615626969,0.8902691511387164,0.7430205600753803,5.575133893039297,-5.12821004256705,0.4121212121212121,0.28,0.34545454545454546,0.6794117647058824,0.8382352941176471,0.25,0.6975815074847458,5.379174275170895,-5.0240217526093645,0.16374024526198439,0.5102051120482123,0.917331840219453,0.31761904761904763,0.7706932773109244,0.8454939668174962,0.22058823529411764,0.04242424242424242,0.0673076923076923,0.037209302325581395,0.041202155332590126,0.078308565575757,0.10843892538778155,0.03857142857142859,0.01589234054277444,0.09938215513191406,0.029331404693024754,3.75,0.0,-0.0533019306455112,0.07511914245384532,0.07692307692307693,0.10097544692530236,0.14916827386692377,0.030617164898746385,0.038461538461538464,0.05697498035345505,0.09875663261265533,0.0357142857142857,-0.012785852045736346,0.10811512499072773,0.02555448408871744,0.04166666666666667,0.0957769066286529,0.09156031325506431,0.040000000000000036,0.03023143683702989,0.08950096432015431,0.02555448408871744,0.043478260869565216,0.08217380974516303,0.13499983029562512,0.040000000000000036,0.03023143683702989,0.10053037608486026,0.03688524590163936,8.0,7.0,0.875,1.1724137931034482,2,TRAIN_CHAMPION,True,2026-04-10,2025-10-10,2026-04-02,2026-04-10,2026-05-01,2
R1_NEAR_BUY_POINT_PLUS_EVIDENCE,4,249,62.25,68.0,73.55,181,181,154,0.6961538461538461,0.850828729281768,0.7522935779816514,0.850828729281768,0.56,0.5609756097560976,0.8044198895027626,0.8058213178816872,-0.7057741619781455,2.5779866348411673,-2.7120316833136537,0.850828729281768,0.8571428571428571,0.84375,1.007421150278293,0.9916801948051948,0.14285714285714285,-0.34767018688277584,2.96924775519144,-3.0698359000946915,0.6961538461538461,0.46153846153846156,0.5441176470588235,0.6629834254143647,0.7816054598635034,1.7913285867087403,4.935932276177568,-3.9504229211992703,0.850828729281768,0.7692307692307693,0.8571428571428571,0.9040959040959041,1.007421150278293,0.22077922077922077,2.5224222952522024,5.0032818743483976,-3.9275151286613075,0.6961538461538461,0.4782608695652174,0.5316455696202531,0.6870045640163345,0.7636897685152807,3.8566870114504326,7.790707299239874,-4.220502852206176,0.850828729281768,0.6538461538461539,0.8333333333333334,0.7684815184815185,0.9794372294372294,0.22727272727272727,4.09130169472447,7.405511768963136,-4.084151889741549,0.6961538461538461,0.48,0.5476190476190477,0.6895027624309392,0.7866350960273614,5.596561601650585,9.484690952810437,-4.428335441518472,0.850828729281768,0.8,0.86,0.9402597402597402,1.0107792207792208,0.24675324675324675,5.964947938571719,9.520264019403658,-4.390930621866495,0.47326644370122634,0.6798302506205461,0.7773101081353818,0.7410256410256411,0.8709457209457209,0.9992125334982477,0.2316017316017316,0.45303867403314924,0.7522935779816514,0.4192307692307692,0.3111928651059086,0.09456455013745435,-0.03383373524350741,0.44700854700854703,0.13181941515274842,-0.09522695062873632,-0.009139009139009141,35.0,0.28,-0.20669122160834852,-0.07493748970638858,0.3571428571428571,-0.24952329416615138,0.04897186147186139,0.003968253968253954,0.2692307692307693,-0.031461019030079695,-0.014963167587476955,0.42307692307692313,0.033903596403596414,-0.06995980210265929,-0.0014430014430014404,0.30434782608695654,0.05898524034483699,-0.013384774382046993,0.38461538461538464,0.09166527916527911,-0.1203891594516594,-0.00883838383838384,0.36,0.2561694290976059,-0.07315326376099829,0.5333333333333334,0.26988936988936985,-0.09533189033189049,-0.017135642135642143,109.0,82.0,0.7522935779816514,2.2844036697247705,3,PRIMARY_R1,True,2026-05-08,2025-10-10,2026-05-01,2026-05-08,2026-05-29,0
CORE_NEAR5_UB_E2_GA_NO_EPS,4,133,33.25,33.5,43.25,90,181,87,0.34615384615384615,0.48066298342541436,0.13761467889908258,0.9666666666666667,0.28,0.2926829268292683,0.808888888888889,0.8455284552845528,-1.094249642914652,2.505441602128089,-3.1794740673156574,0.48066298342541436,0.5714285714285714,0.46875,1.1888341543513956,0.9752155172413793,0.13793103448275862,-0.9108064162671292,2.890044489615584,-3.3080153324433037,0.34615384615384615,0.19230769230769232,0.27941176470588236,0.5555555555555556,0.8071895424836601,1.0702000546832457,4.840882518031398,-4.636799300682432,0.48066298342541436,0.38461538461538464,0.5238095238095238,0.8001768346595933,1.0897646414887794,0.22988505747126436,1.3247923435969922,4.771083234304396,-4.547126256898748,0.34615384615384615,0.17391304347826086,0.27848101265822783,0.5024154589371981,0.8045007032348804,2.066227883591454,6.236816711780879,-4.832756785808995,0.48066298342541436,0.34615384615384615,0.5208333333333334,0.7201591511936339,1.083572796934866,0.2413793103448276,2.9498689855251614,6.83448670943736,-5.074093445673833,0.34615384615384615,0.12,0.2976190476190476,0.3466666666666667,0.8597883597883598,4.721849755455998,8.889866326346173,-4.885057261630066,0.48066298342541436,0.26666666666666666,0.52,0.5547892720306513,1.0818390804597702,0.26436781609195403,5.1897981513878255,9.25959836415795,-5.252966861175413,0.1620735785953177,0.46821256038647346,0.8238262018356334,0.33247863247863246,0.6917084192946262,1.0850588396278054,0.24521072796934865,0.08287292817679559,0.13761467889908258,0.0692307692307692,0.0,-0.11705314009661832,0.012682358456744147,0.038461538461538436,-0.04741788649834622,-0.009380644499178636,0.004469987228607919,6.0,0.0,-0.20222222222222208,-0.035230352303523005,0.0714285714285714,-0.06811029009304881,0.03250718390804597,-0.0009578544061302763,0.0,-0.13888888888888884,0.010620915032679812,0.03846153846153849,-0.07001547303271438,0.012383689107827056,0.007662835249042155,0.0,-0.1256038647342994,0.02742616033755274,0.07692307692307693,0.043342911877394585,-0.01625359195402276,0.005268199233716492,0.0,-0.08666666666666661,1.1102230246251565e-16,0.0,-0.11558109833971908,-0.024272030651341092,0.00047892720306513814,18.0,15.0,0.8333333333333334,1.2201834862385321,3,TRAIN_CHAMPION,True,2026-05-08,2025-10-10,2026-05-01,2026-05-08,2026-05-29,2
R1_NEAR_BUY_POINT_PLUS_EVIDENCE,4,526,131.5,125.5,181.2,436,472,404,0.7352445193929174,0.8559322033898306,0.7597173144876325,0.926605504587156,0.6296296296296297,0.5925925925925926,0.8563540604825008,0.8059802922188243,0.5086499956282409,3.2506027846462393,-2.782162515710712,0.8559322033898306,0.7083333333333334,0.7659574468085106,0.8275577557755776,0.8948809774594481,0.07673267326732673,1.1989396210488557,3.4566548484290083,-2.326586640786432,0.7352445193929174,0.5,0.5819672131147541,0.680045871559633,0.7915288013235073,1.7871088016468528,4.7541035482150935,-3.5800274541639032,0.8559322033898306,0.8076923076923077,0.7792207792207793,0.9436405178979436,0.9103767519609104,0.14603960396039603,1.9413456736568913,5.305010894064955,-3.027438295257434,0.7352445193929174,0.6071428571428571,0.5666666666666667,0.8257699868938401,0.7707186544342508,1.926830879941388,6.353169642503087,-3.7867811384588776,0.8559322033898306,0.76,0.75,0.8879207920792079,0.8762376237623762,0.1806930693069307,1.9508427520232408,6.979502464625453,-3.335620798296879,0.7364864864864865,0.5862068965517241,0.5808383233532934,0.7959506485289465,0.7886612096907103,2.3827085424365624,7.135080427512253,-4.096775321340179,0.8559322033898306,0.8076923076923077,0.7692307692307693,0.9436405178979436,0.8987052551408987,0.21534653465346534,2.7261542068532263,7.701717762811377,-3.698606598973242,0.5644499178981938,0.7672555023274731,0.7836362218161561,0.7917948717948718,0.925067275958365,0.8951065436213952,0.18069306930693066,0.45550847457627125,0.7597173144876325,0.4165261382799325,0.21466464569912846,-0.3296715777687368,0.05718176322531454,0.32461538461538464,-0.24164551742109508,0.022555257948416396,0.0025625578430858442,74.5,0.29629629629629634,-0.18950131870621156,0.03127260393088915,0.20833333333333337,-0.42111949290167106,0.15098814846023612,0.0026585991932526615,0.15384615384615385,-0.40603471452095297,0.07143165499685278,0.2692307692307693,-0.4010888268314011,0.034681019122320356,0.0031824611032531813,0.21428571428571425,-0.40684528143571386,0.08045410416970056,0.32,-0.210915186756771,0.052110639635392086,0.011380899994761384,0.2758620689655172,-0.17613473734954288,0.0196595305093904,0.38461538461538464,-0.1129325386751131,-0.019125884912463698,-0.006875687568756866,247.0,215.0,0.8704453441295547,2.307017543859649,4,PRIMARY_R1,True,2026-06-05,2025-10-10,2026-05-29,2026-06-05,2026-06-26,0
CORE_NEAR5_UB_E2_GA_NO_VOLUME,4,393,98.25,98.0,136.25,331,472,316,0.5581787521079258,0.6694915254237288,0.44876325088339225,0.9546827794561934,0.5185185185185185,0.4567901234567901,0.9289470739621797,0.8183581365857298,0.546872607665172,3.1429462397448926,-2.785598348238272,0.6694915254237288,0.6666666666666666,0.6382978723404256,0.9957805907172995,0.9534069485591167,0.07911392405063292,0.7031561429524436,3.3804985663450138,-2.496582543875286,0.5581787521079258,0.4230769230769231,0.47540983606557374,0.7579595630955148,0.8517161111386261,1.5490509570430744,4.563137542535811,-3.7518617080752326,0.6694915254237288,0.7307692307692307,0.6623376623376623,1.0915287244401168,0.9893144829853691,0.15822784810126583,1.5888229798836417,5.017265633108437,-3.451839101640025,0.5581787521079258,0.5,0.4533333333333333,0.8957703927492447,0.8121651560926485,1.8278900058475545,6.0132928799707,-4.017096364878736,0.6694915254237288,0.64,0.64,0.9559493670886077,0.9559493670886077,0.1962025316455696,1.5252847730679586,6.534424214968704,-3.76144039169799,0.5591216216216216,0.4482758620689655,0.47904191616766467,0.8017501823106574,0.8567758742334063,2.2403272670728835,6.938674676209233,-4.312012674258114,0.6694915254237288,0.6538461538461539,0.6666666666666666,0.9766309639727362,0.9957805907172995,0.24050632911392406,2.40195196460794,7.318344816780931,-4.062145624176655,0.45711759504862953,0.818493379385139,0.8402190471548936,0.6748717948717949,1.0080363518338202,0.9803481469304254,0.19831223628691985,0.2690677966101695,0.44876325088339225,0.23946037099494094,0.10733232284956423,-0.2784337007110709,0.11376458856405203,0.20769230769230773,-0.15867644154563987,0.10779686125744659,0.020181724823075037,41.25,0.18518518518518517,-0.11690830522653273,0.04365044829779463,0.16666666666666663,-0.2528966579599491,0.20951411955990473,0.005039849976558847,0.07692307692307693,-0.3281210229850712,0.13161896481197155,0.1923076923076923,-0.25320062028922785,0.11361875014677902,0.015370705244122984,0.10714285714285715,-0.3368448755803092,0.12190060582809825,0.2,-0.14288661174737127,0.13182238296162352,0.02689036233340031,0.13793103448275862,-0.17033520356783194,0.08777419505208639,0.23076923076923078,-0.07994209260032048,0.0779494506639371,0.018284106891701846,142.0,127.0,0.8943661971830986,1.7236842105263157,4,TRAIN_CHAMPION,True,2026-06-05,2025-10-10,2026-05-29,2026-06-05,2026-06-26,2
R1_NEAR_BUY_POINT_PLUS_EVIDENCE,4,390,97.5,93.0,136.79999999999998,328,344,306,0.8220551378446115,0.8895348837209303,0.848605577689243,0.9329268292682927,0.5714285714285714,0.6808510638297872,0.6951219512195121,0.8282304099636741,-0.08795854063917141,2.6234060135168713,-3.066360450572192,0.8895348837209303,0.7777777777777778,0.8333333333333334,0.8743645606390704,0.9368191721132898,0.0718954248366013,0.46939217774123465,2.977106958080322,-2.7574001390447798,0.8220551378446115,0.6,0.6883116883116883,0.7298780487804878,0.8373059866962307,0.45951759822052685,4.326354081869921,-3.843051069386072,0.8895348837209303,0.7407407407407407,0.8333333333333334,0.8327281529895908,0.9368191721132898,0.1437908496732026,0.8112693421811978,4.82039768620397,-3.4303793868599053,0.8220551378446115,0.6086956521739131,0.7128712871287128,0.740455991516437,0.867181840135233,1.1141198830919907,4.978401547589262,-4.512821428355091,0.8895348837209303,0.8076923076923077,0.8148148148148148,0.9079939668174962,0.9160009682885499,0.21241830065359477,1.337951198899845,5.598829875026468,-4.375791994350281,0.8220551378446115,0.64,0.746031746031746,0.7785365853658537,0.9075203252032521,1.1602080768546963,6.054847656275186,-4.954526996243979,0.892128279883382,0.72,0.8421052631578947,0.8070588235294117,0.9439284485724113,0.26143790849673204,1.0683812444894691,6.293369099909729,-4.670753927093934,0.6162318840579711,0.7496235418875928,0.8706693840115719,0.7561443494776828,0.8492603144454995,0.9322495296580837,0.2058823529411765,0.6191860465116279,0.848605577689243,0.5889724310776943,0.3971014492753624,-0.1905167105668253,0.03648596566973761,0.5261348528015195,-0.0008106553387320359,-0.06331944055717964,-0.012755639890364712,68.25,0.2857142857142857,-0.5306845003933911,-0.08460418166295602,0.5185185185185186,-0.08461592522313588,-0.2961557382809755,-0.024878768711785793,0.36,-0.299799370574351,0.0015288605965239066,0.48148148148148145,-0.1262523328726155,-0.15915852601494607,-0.028252161079485583,0.39130434782608703,-0.19222283036294585,0.01761301228470591,0.5769230769230769,0.05439595192915869,-0.04297951757365637,-0.013388150959308454,0.44,-0.07952793076317866,0.09031602412798323,0.52,0.06942441492726115,0.01217972191706318,0.00337339236769979,235.0,213.0,0.9063829787234042,3.3333333333333335,5,PRIMARY_R1,True,2026-07-02,2025-10-10,2026-06-26,2026-07-02,2026-07-24,0
CORE_NEAR5_UB_E2_GA_NO_EPS,4,178,44.5,39.0,78.74999999999999,148,344,144,0.37092731829573933,0.4186046511627907,0.20318725099601595,0.972972972972973,0.2857142857142857,0.2978723404255319,0.7702702702702703,0.8030477285796435,-0.2174986978949578,2.60810304269391,-3.2104410761345346,0.4186046511627907,0.3333333333333333,0.5,0.7962962962962962,1.1944444444444444,0.09722222222222222,-0.031411161360456186,2.800807710216613,-3.199483660565222,0.37092731829573933,0.24,0.3116883116883117,0.6470270270270271,0.8402948402948404,0.30775753443592624,4.019910974772289,-3.994313271741129,0.4186046511627907,0.2962962962962963,0.4444444444444444,0.7078189300411522,1.0617283950617282,0.16666666666666666,0.44209916457775833,3.9415923698927435,-4.239324092253716,0.37092731829573933,0.21739130434782608,0.33663366336633666,0.586075205640423,0.9075461600214076,0.9451307633474793,4.511206611095275,-4.593771464556562,0.4186046511627907,0.3076923076923077,0.4567901234567901,0.7350427350427351,1.0912208504801095,0.25,0.9689615612923919,4.874853544463353,-4.667032058095138,0.37092731829573933,0.24,0.35714285714285715,0.6470270270270271,0.9628378378378379,1.1037465611079766,4.861197547679408,-4.837295797603647,0.4198250728862974,0.24,0.45263157894736844,0.5716666666666667,1.0781432748538011,0.2986111111111111,1.1291615347570283,5.170564973194647,-4.9214857309572535,0.23246376811594202,0.6267097532314924,0.9035596127180288,0.281329534662868,0.6715094439168513,1.0770308401318796,0.2384259259259259,0.1482558139534884,0.20318725099601595,0.13784461152882205,0.013333333333333308,-0.31343049922292576,0.06937619437619447,0.05132003798670462,-0.17856152586738028,0.08146186991661619,0.019787933094384702,15.25,0.0,-0.45553618134263296,-0.1097868630469867,0.07407407407407407,-0.16268418956591013,-0.0385304659498209,0.0004480286738351297,0.0,-0.38265039232781173,0.004517714195133582,0.037037037037037035,-0.25116155582105415,-0.03424930306650764,-0.005376344086021528,0.0,-0.34660361623895986,0.057977332170880524,0.07692307692307693,-0.11855527984560243,0.13224036461790323,0.02419354838709678,0.03999999999999998,-0.21103748910200526,0.14563353676256907,0.03999999999999998,-0.16596774193548391,0.146394548198453,0.040546594982078854,55.0,51.0,0.9272727272727272,1.5213675213675213,5,TRAIN_CHAMPION,True,2026-07-02,2025-10-10,2026-06-26,2026-07-02,2026-07-24,2
