snapshot_date,rows,symbol_found_count,symbol_found_rate,complete_1w_count,complete_1w_rate,complete_2w_count,complete_2w_rate,complete_3w_count,complete_3w_rate,complete_4w_count,complete_4w_rate
2025-10-10,12,2,0.16666666666666666,2,0.16666666666666666,2,0.16666666666666666,2,0.16666666666666666,2,0.16666666666666666
2025-10-24,29,13,0.4482758620689655,13,0.4482758620689655,13,0.4482758620689655,13,0.4482758620689655,13,0.4482758620689655
2025-10-31,28,13,0.4642857142857143,13,0.4642857142857143,13,0.4642857142857143,13,0.4642857142857143,13,0.4642857142857143
2025-11-07,15,7,0.4666666666666667,7,0.4666666666666667,7,0.4666666666666667,7,0.4666666666666667,7,0.4666666666666667
2025-11-14,18,7,0.3888888888888889,7,0.3888888888888889,7,0.3888888888888889,7,0.3888888888888889,7,0.3888888888888889
2025-11-21,8,5,0.625,5,0.625,5,0.625,5,0.625,5,0.625
2025-11-28,36,11,0.3055555555555556,11,0.3055555555555556,11,0.3055555555555556,11,0.3055555555555556,11,0.3055555555555556
2025-12-05,30,12,0.4,12,0.4,12,0.4,12,0.4,12,0.4
2025-12-12,26,13,0.5,13,0.5,13,0.5,13,0.5,13,0.5
2025-12-19,19,7,0.3684210526315789,7,0.3684210526315789,7,0.3684210526315789,7,0.3684210526315789,7,0.3684210526315789
2025-12-26,17,9,0.5294117647058824,9,0.5294117647058824,9,0.5294117647058824,9,0.5294117647058824,9,0.5294117647058824
2026-01-02,15,7,0.4666666666666667,7,0.4666666666666667,7,0.4666666666666667,7,0.4666666666666667,7,0.4666666666666667
2026-01-09,40,22,0.55,22,0.55,22,0.55,22,0.55,22,0.55
2026-01-16,21,7,0.3333333333333333,7,0.3333333333333333,7,0.3333333333333333,7,0.3333333333333333,7,0.3333333333333333
2026-01-23,14,5,0.35714285714285715,5,0.35714285714285715,5,0.35714285714285715,5,0.35714285714285715,5,0.35714285714285715
2026-01-30,17,9,0.5294117647058824,9,0.5294117647058824,9,0.5294117647058824,9,0.5294117647058824,9,0.5294117647058824
2026-02-13,27,9,0.3333333333333333,9,0.3333333333333333,9,0.3333333333333333,9,0.3333333333333333,9,0.3333333333333333
2026-02-20,18,6,0.3333333333333333,6,0.3333333333333333,6,0.3333333333333333,6,0.3333333333333333,6,0.3333333333333333
2026-02-27,27,10,0.37037037037037035,10,0.37037037037037035,10,0.37037037037037035,10,0.37037037037037035,10,0.37037037037037035
2026-03-06,9,5,0.5555555555555556,5,0.5555555555555556,5,0.5555555555555556,5,0.5555555555555556,5,0.5555555555555556
2026-03-13,10,3,0.3,3,0.3,3,0.3,3,0.3,3,0.3
2026-03-20,8,4,0.5,4,0.5,4,0.5,4,0.5,4,0.5
2026-03-27,10,4,0.4,4,0.4,4,0.4,4,0.4,4,0.4
2026-04-02,45,27,0.6,27,0.6,27,0.6,27,0.6,27,0.6
2026-04-10,69,42,0.6086956521739131,42,0.6086956521739131,42,0.6086956521739131,42,0.6086956521739131,42,0.6086956521739131
2026-04-17,96,57,0.59375,57,0.59375,57,0.59375,57,0.59375,57,0.59375
2026-04-24,80,41,0.5125,41,0.5125,41,0.5125,41,0.5125,41,0.5125
2026-05-01,105,75,0.7142857142857143,75,0.7142857142857143,75,0.7142857142857143,75,0.7142857142857143,75,0.7142857142857143
2026-05-08,128,90,0.703125,90,0.703125,90,0.703125,90,0.703125,90,0.703125
2026-05-15,66,43,0.6515151515151515,43,0.6515151515151515,43,0.6515151515151515,43,0.6515151515151515,43,0.6515151515151515
2026-05-22,87,59,0.6781609195402298,59,0.6781609195402298,59,0.6781609195402298,59,0.6781609195402298,59,0.6781609195402298
2026-05-29,112,68,0.6071428571428571,68,0.6071428571428571,68,0.6071428571428571,68,0.6071428571428571,68,0.6071428571428571
2026-06-05,108,87,0.8055555555555556,87,0.8055555555555556,87,0.8055555555555556,87,0.8055555555555556,87,0.8055555555555556
2026-06-12,268,226,0.8432835820895522,226,0.8432835820895522,226,0.8432835820895522,226,0.8432835820895522,226,0.8432835820895522
2026-06-18,145,111,0.7655172413793103,111,0.7655172413793103,111,0.7655172413793103,111,0.7655172413793103,110,0.7586206896551724
2026-06-26,211,169,0.8009478672985783,169,0.8009478672985783,169,0.8009478672985783,169,0.8009478672985783,169,0.8009478672985783
2026-07-02,120,92,0.7666666666666667,92,0.7666666666666667,92,0.7666666666666667,92,0.7666666666666667,92,0.7666666666666667
2026-07-10,83,70,0.8433734939759037,70,0.8433734939759037,70,0.8433734939759037,70,0.8433734939759037,70,0.8433734939759037
2026-07-17,174,143,0.8218390804597702,142,0.8160919540229885,142,0.8160919540229885,142,0.8160919540229885,142,0.8160919540229885
2026-07-24,106,96,0.9056603773584906,95,0.8962264150943396,95,0.8962264150943396,95,0.8962264150943396,95,0.8962264150943396
2026-07-31,114,104,0.9122807017543859,104,0.9122807017543859,104,0.9122807017543859,104,0.9122807017543859,0,0.0
2026-08-07,167,156,0.9341317365269461,156,0.9341317365269461,156,0.9341317365269461,0,0.0,0,0.0
