fold,formal_oos,asof_cutoff,train_start,train_end,test_start,test_end,train_snapshot_weeks,resolved_1w_train_weeks,resolved_2w_train_weeks,resolved_3w_train_weeks,resolved_4w_train_weeks,champion_rule,champion_structure,champion_evidence_profile,champion_rule_json
1,True,2026-03-13,2025-10-10,2026-03-06,2026-03-13,2026-04-02,20,20,19,18,16,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,near=5|statuses=UNCONFIRMED+BELOW_TRIGGER|minE=2|geometry=allow,volume+eps+supply_contraction,"{'name': 'CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH', 'near_below_pct': 5.0, 'supplemental_statuses': ('UNCONFIRMED', 'BELOW_TRIGGER'), 'min_evidence_families': 2, 'exclude_clear_geometry_failure': False, 'enabled_evidence_families': ('volume', 'eps', 'supply_contraction')}"
2,True,2026-04-10,2025-10-10,2026-04-02,2026-04-10,2026-05-01,24,24,22,21,20,CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH,near=5|statuses=UNCONFIRMED+BELOW_TRIGGER|minE=2|geometry=allow,volume+eps+supply_contraction,"{'name': 'CORE_NEAR5_UB_E2_GA_NO_RS_NEAR_HIGH', 'near_below_pct': 5.0, 'supplemental_statuses': ('UNCONFIRMED', 'BELOW_TRIGGER'), 'min_evidence_families': 2, 'exclude_clear_geometry_failure': False, 'enabled_evidence_families': ('volume', 'eps', 'supply_contraction')}"
3,True,2026-05-08,2025-10-10,2026-05-01,2026-05-08,2026-05-29,28,28,27,26,25,CORE_NEAR5_UB_E2_GA_NO_EPS,near=5|statuses=UNCONFIRMED+BELOW_TRIGGER|minE=2|geometry=allow,volume+rs_near_high+supply_contraction,"{'name': 'CORE_NEAR5_UB_E2_GA_NO_EPS', 'near_below_pct': 5.0, 'supplemental_statuses': ('UNCONFIRMED', 'BELOW_TRIGGER'), 'min_evidence_families': 2, 'exclude_clear_geometry_failure': False, 'enabled_evidence_families': ('volume', 'rs_near_high', 'supply_contraction')}"
4,True,2026-06-05,2025-10-10,2026-05-29,2026-06-05,2026-06-26,32,32,30,29,28,CORE_NEAR5_UB_E2_GA_NO_VOLUME,near=5|statuses=UNCONFIRMED+BELOW_TRIGGER|minE=2|geometry=allow,eps+rs_near_high+supply_contraction,"{'name': 'CORE_NEAR5_UB_E2_GA_NO_VOLUME', 'near_below_pct': 5.0, 'supplemental_statuses': ('UNCONFIRMED', 'BELOW_TRIGGER'), 'min_evidence_families': 2, 'exclude_clear_geometry_failure': False, 'enabled_evidence_families': ('eps', 'rs_near_high', 'supply_contraction')}"
5,True,2026-07-02,2025-10-10,2026-06-26,2026-07-02,2026-07-24,36,35,34,33,32,CORE_NEAR5_UB_E2_GA_NO_EPS,near=5|statuses=UNCONFIRMED+BELOW_TRIGGER|minE=2|geometry=allow,volume+rs_near_high+supply_contraction,"{'name': 'CORE_NEAR5_UB_E2_GA_NO_EPS', 'near_below_pct': 5.0, 'supplemental_statuses': ('UNCONFIRMED', 'BELOW_TRIGGER'), 'min_evidence_families': 2, 'exclude_clear_geometry_failure': False, 'enabled_evidence_families': ('volume', 'rs_near_high', 'supply_contraction')}"
