snapshot_date,code,selection_source,ibd_entry_status,ibd_candidate_rule,ibd_candidate_price,current_vs_ibd_candidate_pct,_evidence_family_count,review_reason,pit_eps_yoy_growth,volume_ratio,dist_to_52w_high_pct,pullback_v_is_dry,sector,industry
2026-08-07,FLXS,SUPPLEMENTAL,UNCONFIRMED,pivot,74.9,1.72,2,unconfirmed_near_buy_point|eps|rs_near_high,260.5633802817,0.7814190025672101,-4.404015056461741,False,Consumer Durables,Home Furnishings
2026-08-07,FNLC,SUPPLEMENTAL,UNCONFIRMED,pivot,35.35,0.08,1,unconfirmed_near_buy_point|rs_near_high,18.0555555556,0.6283542999441845,-2.534435261707979,False,Finance,Major Banks
2026-08-07,FRST,SUPPLEMENTAL,UNCONFIRMED,ceiling_pullback,16.22,0.18,2,unconfirmed_near_buy_point|eps|rs_near_high,280.0,0.7675817280362202,-3.100775193798444,False,Finance,Regional Banks
2026-08-07,GD,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,388.12,1.01,1,unconfirmed_near_buy_point|rs_near_high,10.1754385965,0.8148471287787308,-1.9874999999999976,False,Electronic Technology,Aerospace & Defense
2026-08-07,GE,SUPPLEMENTAL,UNCONFIRMED,ceiling_pullback,366.77,0.9,2,unconfirmed_near_buy_point|rs_near_high|supply_contraction,19.5767195767,0.7894602659281345,-4.82460652196276,True,Electronic Technology,Aerospace & Defense
2026-08-07,GRMN,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,304.0,2.27,1,unconfirmed_near_buy_point|rs_near_high,21.511627907,1.0453647790682687,-0.5788295490885886,,Electronic Technology,Telecommunications Equipment
2026-08-07,HBB,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,30.34,3.56,2,weekend_actionable,654.5454545455,1.8329138323593703,-5.247285886610364,,Consumer Durables,Electronics/Appliances
2026-08-07,HBCP,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,71.37,0.71,1,unconfirmed_near_buy_point|rs_near_high,2.0689655172,1.0562047164869588,-1.520756267981915,False,Finance,Regional Banks
2026-08-07,HEI,SUPPLEMENTAL,UNCONFIRMED,ceiling,361.56,1.67,2,unconfirmed_near_buy_point|eps|rs_near_high,48.2142857143,0.8168541739791441,-2.4624529002812756,,Electronic Technology,Aerospace & Defense
2026-08-07,HNGE,SUPPLEMENTAL,UNCONFIRMED,ma10_touch_confirm,88.61,0.81,3,unconfirmed_near_buy_point|eps|rs_near_high|supply_contraction,103.9694656489,1.2311530908576125,-2.371584699453555,True,Technology Services,Packaged Software
2026-08-07,HNVR,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,26.2,2.86,3,weekend_actionable,66.6666666667,1.431103676296249,-2.0000000000000018,,Finance,Regional Banks
2026-08-07,HPE,SUPPLEMENTAL,UNCONFIRMED,pivot,51.08,4.19,2,unconfirmed_near_buy_point|eps|supply_contraction,153.6585365854,0.6941671937462397,-16.921635966281613,True,Electronic Technology,Computer Processing Hardware
2026-08-07,HWBK,SUPPLEMENTAL,UNCONFIRMED,ceiling_pullback,39.33,2.49,1,unconfirmed_near_buy_point|rs_near_high,20.4545454545,1.2276089673330557,-0.6653523903400571,False,Finance,Regional Banks
2026-08-07,INCY,SUPPLEMENTAL,UNCONFIRMED,ceiling_pullback,119.6,0.8,1,unconfirmed_near_buy_point|eps,83.75,0.9343563835543984,-9.079939668174951,False,Health Technology,Pharmaceuticals: Major
2026-08-07,IOSP,ACTIONABLE_BASELINE,ACTIONABLE,ceiling,89.08,3.77,3,weekend_actionable,32.9787234043,1.3073927388671351,-1.8371031113942893,,Process Industries,Chemicals: Major Diversified
