snapshot_date,code,ibd_entry_status,ibd_candidate_rule,ibd_candidate_price,current_vs_ibd_candidate_pct,review_opportunity_1w,opportunity_type_1w,opportunity_delay_sessions,opportunity_anchor_date,opportunity_anchor_price,forward_1w_return_pct,mfe_1w_pct,mae_1w_pct,big_winner_any_1w,big_loser_any_1w,opp_forward_1w_return_pct,opp_mfe_1w_pct,opp_mae_1w_pct,opp_big_winner_any_1w,opp_big_loser_any_1w,forward_2w_return_pct,mfe_2w_pct,mae_2w_pct,big_winner_any_2w,big_loser_any_2w,opp_forward_2w_return_pct,opp_mfe_2w_pct,opp_mae_2w_pct,opp_big_winner_any_2w,opp_big_loser_any_2w,forward_3w_return_pct,mfe_3w_pct,mae_3w_pct,big_winner_any_3w,big_loser_any_3w,opp_forward_3w_return_pct,opp_mfe_3w_pct,opp_mae_3w_pct,opp_big_winner_any_3w,opp_big_loser_any_3w,forward_4w_return_pct,mfe_4w_pct,mae_4w_pct,big_winner_any_4w,big_loser_any_4w,opp_forward_4w_return_pct,opp_mfe_4w_pct,opp_mae_4w_pct,opp_big_winner_any_4w,opp_big_loser_any_4w
2025-10-24,GH,UNCONFIRMED,pivot,67.51,6.87,True,UNCONFIRMED_TO_ZONE,1,2025-10-27,70.8499984741211,28.197353600998643,32.13892017566955,-6.256892321228646,True,False,39.618913619422536,40.05646505861067,-3.9943569400193946,True,False,33.296588306249134,38.12018273536093,-6.256892321228646,True,False,38.2074809849317,43.35921225449852,-3.9943569400193946,True,False,30.057891292480043,39.98070991224094,-6.256892321228646,True,False,36.17502531376087,43.35921225449852,-3.9943569400193946,True,False,45.28666168134365,51.598682057800026,-6.256892321228646,True,False,57.0218805871048,57.95343129468944,-3.9943569400193946,True,False
2025-10-24,GOOG,UNCONFIRMED,pivot,256.7,1.48,True,UNCONFIRMED_TO_ZONE,2,2025-10-28,268.42999267578125,6.202902804222421,10.012816095470246,-0.15826911868412896,True,False,3.5875293914879203,8.754610379319306,0.0,True,False,5.40398991825024,10.012816095470246,-0.15826911868412896,True,False,8.68382751354777,8.907351754462356,0.0,True,False,4.3789667908561425,10.174857359985534,-0.15826911868412896,True,False,6.158029739717774,9.71947883983404,0.0,True,False,12.922072067306111,15.650449046360126,-0.15826911868412896,True,False,20.567754527840986,22.441613230870615,0.0,True,False
2025-10-24,HWM,UNCONFIRMED,pivot,191.48,3.67,True,UNCONFIRMED_TO_ZONE,2,2025-10-28,201.0399932861328,2.376099230901496,5.358651328437003,-0.7506062139384317,True,False,1.9797110620987324,5.426782742964753,-0.6864254228557187,False,True,2.7290378998529707,5.358651328437003,-0.7506062139384317,True,False,3.9096701516323273,5.426782742964753,-0.6864254228557187,False,True,1.053832647255426,5.358651328437003,-2.072872797584502,False,False,0.08953837076293159,5.426782742964753,-2.188616217382189,False,True,-1.9336876398346248,5.358651328437003,-4.180545677117586,False,False,1.3131712484147462,5.426782742964753,-4.118582896842948,False,True
2025-10-24,IBM,ACTIONABLE,ceiling,293.13,4.89,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-24,KLAC,UNCONFIRMED,ma10_touch_confirm,1152.12,2.66,False,,,,,0.7283337910970022,7.039171854654946,-2.2658348083496094,True,True,,,,False,False,-0.5525016784667991,7.039171854654946,-3.323332468668616,True,True,,,,False,False,-5.473333994547525,7.039171854654946,-6.077499389648433,False,True,,,,False,False,-8.573335011800133,7.039171854654946,-10.67000071207682,False,True,,,,False,False
2025-10-24,MMM,EXTENDED,ceiling,154.03,9.39,False,,,,,-2.0472972202665196,0.3824033248684966,-3.7474969274607806,False,True,,,,False,False,-3.023884879893357,0.3824033248684966,-6.25367095611783,False,True,,,,False,False,-1.4119272601532007,1.51782674191272,-6.25367095611783,False,True,,,,False,False,-1.1118951859946602,1.51782674191272,-6.25367095611783,False,False,,,,False,False
2025-10-24,NRG,UNCONFIRMED,pivot,168.79,0.93,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-24,NTRA,UNCONFIRMED,ceiling,182.12,5.71,True,UNCONFIRMED_TO_ZONE,2,2025-10-28,189.57000732421875,2.1620744806314818,2.305877909313958,-3.4202976686307007,True,False,3.629260620461272,7.203143035144244,-0.796544657532483,True,False,2.4907590761662046,4.36781266921451,-6.42974742911504,True,False,9.046786534724882,11.251772827009109,-3.887751274584139,True,False,4.9096125198551555,8.982130948807976,-6.42974742911504,True,False,12.702424245351217,13.841846927555967,-3.887751274584139,True,False,18.441867007492263,21.143178877798817,-6.42974742911504,True,False,24.750749779050608,26.813306223769807,-3.887751274584139,True,False
2025-10-24,NU,UNCONFIRMED,ceiling,15.44,2.59,False,,,,,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False,,,,False,False
2025-10-24,NVDA,UNCONFIRMED,pivot,183.87,1.3,True,UNCONFIRMED_TO_ZONE,1,2025-10-27,191.49000549316406,6.579293456807522,11.684823573017344,-0.8211025697554053,True,False,8.036972660799169,10.809962062997137,0.2193316397185674,True,False,-0.9684781006787713,11.684823573017344,-5.831886683877885,True,True,3.947985451837921,10.809962062997137,-6.569534424867818,True,False,0.09473797072325763,11.684823573017344,-5.831886683877885,True,True,-2.553657762479411,10.809962062997137,-6.569534424867818,True,True,-5.8476763456650875,11.684823573017344,-8.979426456196737,True,True,-4.668652245521709,10.809962062997137,-9.692418551862946,True,True
