code,rows,symbol_found_count,symbol_found_rate,complete_1w_count,complete_1w_rate,complete_2w_count,complete_2w_rate,complete_3w_count,complete_3w_rate,complete_4w_count,complete_4w_rate
COAG,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
COCO,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
COE,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
COF,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
COHR,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
COHU,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
COLL,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CON,4,4,1.0,4,1.0,4,1.0,3,0.75,3,0.75
CORZ,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
COSO,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
CPAY,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
CPBI,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
CPF,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
CPNG,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CR,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
CRDO,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
CRL,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
CRNX,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
CRS,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
CRUS,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CRWD,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
CSTM,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
CSV,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CSWC,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
CSX,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
CTBI,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
CTO,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
CTRE,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CTRI,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CTRN,4,4,1.0,4,1.0,4,1.0,4,1.0,3,0.75
CTS,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CUBE,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CUBI,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CURB,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
CVEO,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
CVGW,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CVLG,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
CVNA,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CVS,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
CW,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
CWBC,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CXW,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
CYD,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CYTK,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
CZFS,4,4,1.0,4,1.0,4,1.0,4,1.0,3,0.75
CZNC,2,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5
CZWI,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
D,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
DAC,2,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5
DAL,4,4,1.0,4,1.0,4,1.0,3,0.75,3,0.75
DAN,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DASH,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DAVE,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
DBD,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DBX,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
DCO,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
DCOM,5,5,1.0,5,1.0,5,1.0,5,1.0,4,0.8
DDOG,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
DELL,4,4,1.0,4,1.0,4,1.0,3,0.75,3,0.75
DFTX,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
DG,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DGII,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
DGX,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
DHIL,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DINO,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
DIOD,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
DK,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
DKL,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
DLX,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DNLI,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
DNTH,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
DOC,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
DOCN,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
DTM,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
DVA,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
DXPE,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
DY,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
EA,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
EAT,1,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0
EBAY,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
EBMT,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ECBK,2,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5
ECG,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ECO,6,6,1.0,6,1.0,6,1.0,6,1.0,6,1.0
ECPG,2,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5
EDRY,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
EFSC,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
EFSI,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
EG,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
EGBN,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
EGP,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
EIG,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
EIX,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ELA,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ELMD,4,4,1.0,4,1.0,4,1.0,3,0.75,3,0.75
ELVN,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
ENLT,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ENPH,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ENTG,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ENVA,2,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5
EPR,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
EQBK,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
EQIX,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ERAS,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ESCA,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
ESE,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
ESEA,5,5,1.0,5,1.0,5,1.0,5,1.0,4,0.8
ESI,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
ESNT,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
ESOA,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ESP,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ESQ,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ESTA,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ET,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
ETN,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ETON,5,5,1.0,5,1.0,5,1.0,5,1.0,4,0.8
ETR,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
EVRG,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
EWBC,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
EWTX,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
EXEL,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
EXPD,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
EXPE,7,7,1.0,7,1.0,7,1.0,6,0.8571428571428571,6,0.8571428571428571
EZPW,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
FA,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
FAC,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FAF,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
FANG,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
FAST,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
FBIZ,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
FBLA,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
FBNC,4,4,1.0,4,1.0,4,1.0,3,0.75,3,0.75
FBP,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
FBRX,1,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0
FCBC,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
FCCO,4,4,1.0,4,1.0,4,1.0,4,1.0,3,0.75
FCEL,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
FCF,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
FCFS,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FCX,6,6,1.0,6,1.0,6,1.0,6,1.0,6,1.0
FDSB,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
FDX,4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FE,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FEIM,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FET,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
FFBC,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
FFIV,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
FHI,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
FIGS,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
FISI,5,5,1.0,5,1.0,5,1.0,5,1.0,4,0.8
FLEX,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FLXS,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
FLYW,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
FMBH,3,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0
FN,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FNLC,3,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,2,0.6666666666666666
FNRN,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
FORM,2,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0
FPS,1,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
FR,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FRAF,4,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0
FRBA,1,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0
FRD,1,1,1.0,1,1.0,1,1.0,0,0.0,0,0.0
FRME,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
FRO,6,6,1.0,6,1.0,6,1.0,6,1.0,6,1.0
FROG,2,2,1.0,2,1.0,2,1.0,1,0.5,1,0.5
