ibd_candidate_rule,rows,symbol_found_count,symbol_found_rate,complete_1w_count,complete_1w_rate,complete_2w_count,complete_2w_rate,complete_3w_count,complete_3w_rate,complete_4w_count,complete_4w_rate
ceiling,781,468,0.5992317541613317,468,0.5992317541613317,468,0.5992317541613317,435,0.5569782330345711,415,0.5313700384122919
ceiling_pullback,163,122,0.7484662576687117,122,0.7484662576687117,122,0.7484662576687117,99,0.6073619631901841,94,0.5766871165644172
ma10_touch_confirm,661,477,0.7216338880484114,476,0.7201210287443268,476,0.7201210287443268,445,0.6732223903177005,410,0.6202723146747352
pivot,1042,802,0.7696737044145874,801,0.7687140115163148,801,0.7687140115163148,737,0.7072936660268714,695,0.6669865642994242
three_weeks_tight,91,77,0.8461538461538461,77,0.8461538461538461,77,0.8461538461538461,72,0.7912087912087912,69,0.7582417582417582
