snapshot_date,code,ibd_entry_status,ibd_candidate_rule,signal_source,price_cache_symbol_found,price_path_state,price_path_available_sessions,price_cache_first_date,price_cache_last_date,price_path_first_forward_date,price_path_last_forward_date
2025-10-10,ALM,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2025-10-10,ASTS,EXTENDED,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2025-10-10,CORZ,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2025-10-10,GSK,UNCONFIRMED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2025-10-10,MP,ACTIONABLE,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2025-10-10,OKLO,EXTENDED,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2025-10-10,RIOT,UNCONFIRMED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2025-10-10,SANM,ACTIONABLE,pivot,pivot,False,MISSING_SYMBOL,0,,,,
2025-10-10,TEM,UNCONFIRMED,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2025-10-10,VRT,ACTIONABLE,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2025-10-24,AVGO,UNCONFIRMED,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2025-10-24,BKR,ACTIONABLE,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2025-10-24,CDNS,UNCONFIRMED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
2025-10-24,COF,ACTIONABLE,ma10_touch_confirm,10_wk_ema_touch_confirm,False,MISSING_SYMBOL,0,,,,
2025-10-24,FTAI,UNCONFIRMED,ceiling,ceiling_breakout,False,MISSING_SYMBOL,0,,,,
