variant,weeks,picks,avg_watchlist_size,median_watchlist_size,p95_watchlist_size,evaluable_picks_1w,opportunities_available_1w,opportunities_captured_1w,selection_coverage_1w,opportunity_recall_1w,non_actionable_opportunity_recall_1w,opportunities_per_review,big_winner_recall_1w,big_loser_inclusion_1w,winner_capture_lift_1w,loser_capture_lift_1w,median_return_1w_pct,median_mfe_1w_pct,median_mae_1w_pct,tradable_selection_coverage_1w,tradable_big_winner_recall_1w,tradable_big_loser_inclusion_1w,tradable_winner_capture_lift_1w,tradable_loser_capture_lift_1w,opp_severe_loser_exposure_1w,median_opp_return_1w_pct,median_opp_mfe_1w_pct,median_opp_mae_1w_pct,selection_coverage_2w,big_winner_recall_2w,big_loser_inclusion_2w,winner_capture_lift_2w,loser_capture_lift_2w,median_return_2w_pct,median_mfe_2w_pct,median_mae_2w_pct,tradable_selection_coverage_2w,tradable_big_winner_recall_2w,tradable_big_loser_inclusion_2w,tradable_winner_capture_lift_2w,tradable_loser_capture_lift_2w,opp_severe_loser_exposure_2w,median_opp_return_2w_pct,median_opp_mfe_2w_pct,median_opp_mae_2w_pct,selection_coverage_3w,big_winner_recall_3w,big_loser_inclusion_3w,winner_capture_lift_3w,loser_capture_lift_3w,median_return_3w_pct,median_mfe_3w_pct,median_mae_3w_pct,tradable_selection_coverage_3w,tradable_big_winner_recall_3w,tradable_big_loser_inclusion_3w,tradable_winner_capture_lift_3w,tradable_loser_capture_lift_3w,opp_severe_loser_exposure_3w,median_opp_return_3w_pct,median_opp_mfe_3w_pct,median_opp_mae_3w_pct,selection_coverage_4w,big_winner_recall_4w,big_loser_inclusion_4w,winner_capture_lift_4w,loser_capture_lift_4w,median_return_4w_pct,median_mfe_4w_pct,median_mae_4w_pct,tradable_selection_coverage_4w,tradable_big_winner_recall_4w,tradable_big_loser_inclusion_4w,tradable_winner_capture_lift_4w,tradable_loser_capture_lift_4w,opp_severe_loser_exposure_4w,median_opp_return_4w_pct,median_opp_mfe_4w_pct,median_opp_mae_4w_pct,big_winner_recall_mean_2_4w,snapshot_winner_capture_lift_mean_2_4w,snapshot_loser_capture_lift_mean_2_4w,tradable_big_winner_recall_mean_2_4w,tradable_winner_capture_lift_mean_2_4w,tradable_loser_capture_lift_mean_2_4w,opp_severe_loser_exposure_mean_2_4w,opportunity_recall_1w_delta_vs_b0,non_actionable_opportunity_recall_1w_delta_vs_b0,selection_coverage_1w_delta_vs_b0,big_winner_recall_mean_2_4w_delta_vs_b0,snapshot_winner_capture_lift_mean_2_4w_delta_vs_b0,snapshot_loser_capture_lift_mean_2_4w_delta_vs_b0,tradable_big_winner_recall_mean_2_4w_delta_vs_b0,tradable_winner_capture_lift_mean_2_4w_delta_vs_b0,tradable_loser_capture_lift_mean_2_4w_delta_vs_b0,opp_severe_loser_exposure_mean_2_4w_delta_vs_b0,avg_watchlist_size_delta_vs_b0,added_evaluable_reviews_vs_b0,incremental_opportunities_vs_b0,incremental_opportunities_per_added_review,attention_multiplier_vs_b0,rule_complexity,stability_blocks,opportunity_positive_rate,tradable_winner_lift_nonnegative_rate,tradable_loser_lift_nonworse_rate,incremental_efficiency_positive_rate,stability_floor,pareto
CORE_NEAR5_UB_E1_GA,19,1472,77.47368421052632,71.0,157.19999999999993,1141,1212,1048,0.7462393721386528,0.8646864686468647,0.7918781725888325,0.9184925503943909,0.5416666666666666,0.6380090497737556,0.7258618171194857,0.8549656766906856,0.21540611838832824,2.8994444097115046,-2.831083673984147,0.8646864686468647,0.7868852459016393,0.8397435897435898,0.9100237767488424,0.9711538461538461,0.09351145038167939,0.6195156937114032,3.1350296463342864,-2.648665837245967,0.7462393721386528,0.5206611570247934,0.6253776435045317,0.6977133296151701,0.8380389280617256,1.271257159721384,4.55384474534255,-3.6983866159327916,0.8646864686468647,0.782258064516129,0.8281938325991189,0.9046724944594927,0.9577966842653932,0.16316793893129772,1.455016558638389,4.903902674937733,-3.3598570831461783,0.7462393721386528,0.5304347826086957,0.6129032258064516,0.7108105018481119,0.8213225523734132,1.8216943299783628,5.936756768953999,-4.095801204615479,0.8646864686468647,0.7272727272727273,0.7916666666666666,0.8410825815405968,0.9155534351145037,0.19942748091603055,1.9924047842499126,6.197808074796496,-3.8663317811045594,0.7467277486910995,0.5423728813559322,0.6375266524520256,0.726332833226875,0.8537604951329492,2.2403272670728835,7.022906335396928,-4.553941203486311,0.8654004954582989,0.7661290322580645,0.8173652694610778,0.8852884141836986,0.9444936462951958,0.2433206106870229,2.1879215039007693,7.265602497641477,-4.306211642806263,0.5311562736631404,0.7116188882300524,0.8377073251893626,0.7585532746823068,0.8770144967279294,0.939281255225031,0.20197201017811706,0.5148514851485149,0.7918781725888325,0.4689339437540877,0.3278188192638518,-0.021496255363949945,0.061220887826030745,0.4633431085043987,0.033368242647256685,0.02833082142939114,0.004644966152959812,48.315789473684205,717.0,624.0,0.8702928870292888,2.6570397111913358,0,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,True
CORE_NEAR3_UB_E1_GA,19,1472,77.47368421052632,71.0,157.19999999999993,1141,1212,1048,0.7462393721386528,0.8646864686468647,0.7918781725888325,0.9184925503943909,0.5416666666666666,0.6380090497737556,0.7258618171194857,0.8549656766906856,0.21540611838832824,2.8994444097115046,-2.831083673984147,0.8646864686468647,0.7868852459016393,0.8397435897435898,0.9100237767488424,0.9711538461538461,0.09351145038167939,0.6195156937114032,3.1350296463342864,-2.648665837245967,0.7462393721386528,0.5206611570247934,0.6253776435045317,0.6977133296151701,0.8380389280617256,1.271257159721384,4.55384474534255,-3.6983866159327916,0.8646864686468647,0.782258064516129,0.8281938325991189,0.9046724944594927,0.9577966842653932,0.16316793893129772,1.455016558638389,4.903902674937733,-3.3598570831461783,0.7462393721386528,0.5304347826086957,0.6129032258064516,0.7108105018481119,0.8213225523734132,1.8216943299783628,5.936756768953999,-4.095801204615479,0.8646864686468647,0.7272727272727273,0.7916666666666666,0.8410825815405968,0.9155534351145037,0.19942748091603055,1.9924047842499126,6.197808074796496,-3.8663317811045594,0.7467277486910995,0.5423728813559322,0.6375266524520256,0.726332833226875,0.8537604951329492,2.2403272670728835,7.022906335396928,-4.553941203486311,0.8654004954582989,0.7661290322580645,0.8173652694610778,0.8852884141836986,0.9444936462951958,0.2433206106870229,2.1879215039007693,7.265602497641477,-4.306211642806263,0.5311562736631404,0.7116188882300524,0.8377073251893626,0.7585532746823068,0.8770144967279294,0.939281255225031,0.20197201017811706,0.5148514851485149,0.7918781725888325,0.4689339437540877,0.3278188192638518,-0.021496255363949945,0.061220887826030745,0.4633431085043987,0.033368242647256685,0.02833082142939114,0.004644966152959812,48.315789473684205,717.0,624.0,0.8702928870292888,2.6570397111913358,1,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,True
CORE_NEAR5_UB_E1_GX,19,1472,77.47368421052632,71.0,157.19999999999993,1141,1212,1048,0.7462393721386528,0.8646864686468647,0.7918781725888325,0.9184925503943909,0.5416666666666666,0.6380090497737556,0.7258618171194857,0.8549656766906856,0.21540611838832824,2.8994444097115046,-2.831083673984147,0.8646864686468647,0.7868852459016393,0.8397435897435898,0.9100237767488424,0.9711538461538461,0.09351145038167939,0.6195156937114032,3.1350296463342864,-2.648665837245967,0.7462393721386528,0.5206611570247934,0.6253776435045317,0.6977133296151701,0.8380389280617256,1.271257159721384,4.55384474534255,-3.6983866159327916,0.8646864686468647,0.782258064516129,0.8281938325991189,0.9046724944594927,0.9577966842653932,0.16316793893129772,1.455016558638389,4.903902674937733,-3.3598570831461783,0.7462393721386528,0.5304347826086957,0.6129032258064516,0.7108105018481119,0.8213225523734132,1.8216943299783628,5.936756768953999,-4.095801204615479,0.8646864686468647,0.7272727272727273,0.7916666666666666,0.8410825815405968,0.9155534351145037,0.19942748091603055,1.9924047842499126,6.197808074796496,-3.8663317811045594,0.7467277486910995,0.5423728813559322,0.6375266524520256,0.726332833226875,0.8537604951329492,2.2403272670728835,7.022906335396928,-4.553941203486311,0.8654004954582989,0.7661290322580645,0.8173652694610778,0.8852884141836986,0.9444936462951958,0.2433206106870229,2.1879215039007693,7.265602497641477,-4.306211642806263,0.5311562736631404,0.7116188882300524,0.8377073251893626,0.7585532746823068,0.8770144967279294,0.939281255225031,0.20197201017811706,0.5148514851485149,0.7918781725888325,0.4689339437540877,0.3278188192638518,-0.021496255363949945,0.061220887826030745,0.4633431085043987,0.033368242647256685,0.02833082142939114,0.004644966152959812,48.315789473684205,717.0,624.0,0.8702928870292888,2.6570397111913358,1,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,True
CORE_NEAR5_UB_E2_GA,19,1078,56.73684210526316,51.0,135.29999999999998,839,1212,794,0.5487246566383257,0.6551155115511551,0.46954314720812185,0.9463647199046484,0.4,0.4660633484162896,0.7289630512514899,0.8493574013450618,0.2127708359077385,2.7505833641147115,-2.8677411998124014,0.6551155115511551,0.6147540983606558,0.6602564102564102,0.9383903869182806,1.0078473164115482,0.09697732997481108,0.4324259869074809,3.045546955940537,-2.7564390601177324,0.5487246566383257,0.38016528925619836,0.48036253776435045,0.692816123090259,0.8754163530890249,1.0784847205411952,4.400788002638567,-3.7676365140152934,0.6551155115511551,0.5967741935483871,0.6651982378854625,0.9109449906557244,1.0153907611047615,0.172544080604534,1.196171440038607,4.786951185786958,-3.6048240985659064,0.5487246566383257,0.3826086956521739,0.4665012406947891,0.6972690055449033,0.8501554195736979,1.6270820994350066,5.679967097316929,-4.218708046798703,0.6551155115511551,0.5619834710743802,0.6388888888888888,0.8578387492974167,0.9752308984047019,0.2128463476070529,1.5828997205190598,5.95163479977463,-4.012276233004879,0.5490837696335078,0.4152542372881356,0.4925373134328358,0.7562675501505021,0.8970167043210646,2.020193123857106,6.710710326203695,-4.624744045802986,0.6556564822460776,0.5645161290322581,0.655688622754491,0.8609937433980662,1.0000490203472148,0.2594458438287154,1.954107964137597,7.098151974366851,-4.419756581528267,0.39267607406550264,0.7154508929285548,0.8741961589945957,0.5744245978850085,0.8765924944504024,0.9968902266188927,0.21494542401343408,0.30528052805280526,0.46954314720812185,0.27141922825376064,0.189338619666214,-0.017664250665447523,0.09770972163126379,0.2792144317071004,0.03294624036972971,0.08593979282325281,0.01761837998827684,27.57894736842105,415.0,370.0,0.891566265060241,1.9458483754512634,1,3,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,True
CORE_NEAR5_U_E1_GA,19,1472,77.47368421052632,71.0,157.19999999999993,1141,1212,1048,0.7462393721386528,0.8646864686468647,0.7918781725888325,0.9184925503943909,0.5416666666666666,0.6380090497737556,0.7258618171194857,0.8549656766906856,0.21540611838832824,2.8994444097115046,-2.831083673984147,0.8646864686468647,0.7868852459016393,0.8397435897435898,0.9100237767488424,0.9711538461538461,0.09351145038167939,0.6195156937114032,3.1350296463342864,-2.648665837245967,0.7462393721386528,0.5206611570247934,0.6253776435045317,0.6977133296151701,0.8380389280617256,1.271257159721384,4.55384474534255,-3.6983866159327916,0.8646864686468647,0.782258064516129,0.8281938325991189,0.9046724944594927,0.9577966842653932,0.16316793893129772,1.455016558638389,4.903902674937733,-3.3598570831461783,0.7462393721386528,0.5304347826086957,0.6129032258064516,0.7108105018481119,0.8213225523734132,1.8216943299783628,5.936756768953999,-4.095801204615479,0.8646864686468647,0.7272727272727273,0.7916666666666666,0.8410825815405968,0.9155534351145037,0.19942748091603055,1.9924047842499126,6.197808074796496,-3.8663317811045594,0.7467277486910995,0.5423728813559322,0.6375266524520256,0.726332833226875,0.8537604951329492,2.2403272670728835,7.022906335396928,-4.553941203486311,0.8654004954582989,0.7661290322580645,0.8173652694610778,0.8852884141836986,0.9444936462951958,0.2433206106870229,2.1879215039007693,7.265602497641477,-4.306211642806263,0.5311562736631404,0.7116188882300524,0.8377073251893626,0.7585532746823068,0.8770144967279294,0.939281255225031,0.20197201017811706,0.5148514851485149,0.7918781725888325,0.4689339437540877,0.3278188192638518,-0.021496255363949945,0.061220887826030745,0.4633431085043987,0.033368242647256685,0.02833082142939114,0.004644966152959812,48.315789473684205,717.0,624.0,0.8702928870292888,2.6570397111913358,1,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,True
CORE_NEAR7_UB_E1_GA,19,1472,77.47368421052632,71.0,157.19999999999993,1141,1212,1048,0.7462393721386528,0.8646864686468647,0.7918781725888325,0.9184925503943909,0.5416666666666666,0.6380090497737556,0.7258618171194857,0.8549656766906856,0.21540611838832824,2.8994444097115046,-2.831083673984147,0.8646864686468647,0.7868852459016393,0.8397435897435898,0.9100237767488424,0.9711538461538461,0.09351145038167939,0.6195156937114032,3.1350296463342864,-2.648665837245967,0.7462393721386528,0.5206611570247934,0.6253776435045317,0.6977133296151701,0.8380389280617256,1.271257159721384,4.55384474534255,-3.6983866159327916,0.8646864686468647,0.782258064516129,0.8281938325991189,0.9046724944594927,0.9577966842653932,0.16316793893129772,1.455016558638389,4.903902674937733,-3.3598570831461783,0.7462393721386528,0.5304347826086957,0.6129032258064516,0.7108105018481119,0.8213225523734132,1.8216943299783628,5.936756768953999,-4.095801204615479,0.8646864686468647,0.7272727272727273,0.7916666666666666,0.8410825815405968,0.9155534351145037,0.19942748091603055,1.9924047842499126,6.197808074796496,-3.8663317811045594,0.7467277486910995,0.5423728813559322,0.6375266524520256,0.726332833226875,0.8537604951329492,2.2403272670728835,7.022906335396928,-4.553941203486311,0.8654004954582989,0.7661290322580645,0.8173652694610778,0.8852884141836986,0.9444936462951958,0.2433206106870229,2.1879215039007693,7.265602497641477,-4.306211642806263,0.5311562736631404,0.7116188882300524,0.8377073251893626,0.7585532746823068,0.8770144967279294,0.939281255225031,0.20197201017811706,0.5148514851485149,0.7918781725888325,0.4689339437540877,0.3278188192638518,-0.021496255363949945,0.061220887826030745,0.4633431085043987,0.033368242647256685,0.02833082142939114,0.004644966152959812,48.315789473684205,717.0,624.0,0.8702928870292888,2.6570397111913358,1,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,True
CORE_NEAR3_UB_E1_GX,19,1472,77.47368421052632,71.0,157.19999999999993,1141,1212,1048,0.7462393721386528,0.8646864686468647,0.7918781725888325,0.9184925503943909,0.5416666666666666,0.6380090497737556,0.7258618171194857,0.8549656766906856,0.21540611838832824,2.8994444097115046,-2.831083673984147,0.8646864686468647,0.7868852459016393,0.8397435897435898,0.9100237767488424,0.9711538461538461,0.09351145038167939,0.6195156937114032,3.1350296463342864,-2.648665837245967,0.7462393721386528,0.5206611570247934,0.6253776435045317,0.6977133296151701,0.8380389280617256,1.271257159721384,4.55384474534255,-3.6983866159327916,0.8646864686468647,0.782258064516129,0.8281938325991189,0.9046724944594927,0.9577966842653932,0.16316793893129772,1.455016558638389,4.903902674937733,-3.3598570831461783,0.7462393721386528,0.5304347826086957,0.6129032258064516,0.7108105018481119,0.8213225523734132,1.8216943299783628,5.936756768953999,-4.095801204615479,0.8646864686468647,0.7272727272727273,0.7916666666666666,0.8410825815405968,0.9155534351145037,0.19942748091603055,1.9924047842499126,6.197808074796496,-3.8663317811045594,0.7467277486910995,0.5423728813559322,0.6375266524520256,0.726332833226875,0.8537604951329492,2.2403272670728835,7.022906335396928,-4.553941203486311,0.8654004954582989,0.7661290322580645,0.8173652694610778,0.8852884141836986,0.9444936462951958,0.2433206106870229,2.1879215039007693,7.265602497641477,-4.306211642806263,0.5311562736631404,0.7116188882300524,0.8377073251893626,0.7585532746823068,0.8770144967279294,0.939281255225031,0.20197201017811706,0.5148514851485149,0.7918781725888325,0.4689339437540877,0.3278188192638518,-0.021496255363949945,0.061220887826030745,0.4633431085043987,0.033368242647256685,0.02833082142939114,0.004644966152959812,48.315789473684205,717.0,624.0,0.8702928870292888,2.6570397111913358,2,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,True
CORE_NEAR3_UB_E2_GA,19,1078,56.73684210526316,51.0,135.29999999999998,839,1212,794,0.5487246566383257,0.6551155115511551,0.46954314720812185,0.9463647199046484,0.4,0.4660633484162896,0.7289630512514899,0.8493574013450618,0.2127708359077385,2.7505833641147115,-2.8677411998124014,0.6551155115511551,0.6147540983606558,0.6602564102564102,0.9383903869182806,1.0078473164115482,0.09697732997481108,0.4324259869074809,3.045546955940537,-2.7564390601177324,0.5487246566383257,0.38016528925619836,0.48036253776435045,0.692816123090259,0.8754163530890249,1.0784847205411952,4.400788002638567,-3.7676365140152934,0.6551155115511551,0.5967741935483871,0.6651982378854625,0.9109449906557244,1.0153907611047615,0.172544080604534,1.196171440038607,4.786951185786958,-3.6048240985659064,0.5487246566383257,0.3826086956521739,0.4665012406947891,0.6972690055449033,0.8501554195736979,1.6270820994350066,5.679967097316929,-4.218708046798703,0.6551155115511551,0.5619834710743802,0.6388888888888888,0.8578387492974167,0.9752308984047019,0.2128463476070529,1.5828997205190598,5.95163479977463,-4.012276233004879,0.5490837696335078,0.4152542372881356,0.4925373134328358,0.7562675501505021,0.8970167043210646,2.020193123857106,6.710710326203695,-4.624744045802986,0.6556564822460776,0.5645161290322581,0.655688622754491,0.8609937433980662,1.0000490203472148,0.2594458438287154,1.954107964137597,7.098151974366851,-4.419756581528267,0.39267607406550264,0.7154508929285548,0.8741961589945957,0.5744245978850085,0.8765924944504024,0.9968902266188927,0.21494542401343408,0.30528052805280526,0.46954314720812185,0.27141922825376064,0.189338619666214,-0.017664250665447523,0.09770972163126379,0.2792144317071004,0.03294624036972971,0.08593979282325281,0.01761837998827684,27.57894736842105,415.0,370.0,0.891566265060241,1.9458483754512634,2,3,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,True
CORE_NEAR3_U_E1_GA,19,1472,77.47368421052632,71.0,157.19999999999993,1141,1212,1048,0.7462393721386528,0.8646864686468647,0.7918781725888325,0.9184925503943909,0.5416666666666666,0.6380090497737556,0.7258618171194857,0.8549656766906856,0.21540611838832824,2.8994444097115046,-2.831083673984147,0.8646864686468647,0.7868852459016393,0.8397435897435898,0.9100237767488424,0.9711538461538461,0.09351145038167939,0.6195156937114032,3.1350296463342864,-2.648665837245967,0.7462393721386528,0.5206611570247934,0.6253776435045317,0.6977133296151701,0.8380389280617256,1.271257159721384,4.55384474534255,-3.6983866159327916,0.8646864686468647,0.782258064516129,0.8281938325991189,0.9046724944594927,0.9577966842653932,0.16316793893129772,1.455016558638389,4.903902674937733,-3.3598570831461783,0.7462393721386528,0.5304347826086957,0.6129032258064516,0.7108105018481119,0.8213225523734132,1.8216943299783628,5.936756768953999,-4.095801204615479,0.8646864686468647,0.7272727272727273,0.7916666666666666,0.8410825815405968,0.9155534351145037,0.19942748091603055,1.9924047842499126,6.197808074796496,-3.8663317811045594,0.7467277486910995,0.5423728813559322,0.6375266524520256,0.726332833226875,0.8537604951329492,2.2403272670728835,7.022906335396928,-4.553941203486311,0.8654004954582989,0.7661290322580645,0.8173652694610778,0.8852884141836986,0.9444936462951958,0.2433206106870229,2.1879215039007693,7.265602497641477,-4.306211642806263,0.5311562736631404,0.7116188882300524,0.8377073251893626,0.7585532746823068,0.8770144967279294,0.939281255225031,0.20197201017811706,0.5148514851485149,0.7918781725888325,0.4689339437540877,0.3278188192638518,-0.021496255363949945,0.061220887826030745,0.4633431085043987,0.033368242647256685,0.02833082142939114,0.004644966152959812,48.315789473684205,717.0,624.0,0.8702928870292888,2.6570397111913358,2,3,1.0,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,True
CORE_NEAR5_UB_E2_GX,19,1078,56.73684210526316,51.0,135.29999999999998,839,1212,794,0.5487246566383257,0.6551155115511551,0.46954314720812185,0.9463647199046484,0.4,0.4660633484162896,0.7289630512514899,0.8493574013450618,0.2127708359077385,2.7505833641147115,-2.8677411998124014,0.6551155115511551,0.6147540983606558,0.6602564102564102,0.9383903869182806,1.0078473164115482,0.09697732997481108,0.4324259869074809,3.045546955940537,-2.7564390601177324,0.5487246566383257,0.38016528925619836,0.48036253776435045,0.692816123090259,0.8754163530890249,1.0784847205411952,4.400788002638567,-3.7676365140152934,0.6551155115511551,0.5967741935483871,0.6651982378854625,0.9109449906557244,1.0153907611047615,0.172544080604534,1.196171440038607,4.786951185786958,-3.6048240985659064,0.5487246566383257,0.3826086956521739,0.4665012406947891,0.6972690055449033,0.8501554195736979,1.6270820994350066,5.679967097316929,-4.218708046798703,0.6551155115511551,0.5619834710743802,0.6388888888888888,0.8578387492974167,0.9752308984047019,0.2128463476070529,1.5828997205190598,5.95163479977463,-4.012276233004879,0.5490837696335078,0.4152542372881356,0.4925373134328358,0.7562675501505021,0.8970167043210646,2.020193123857106,6.710710326203695,-4.624744045802986,0.6556564822460776,0.5645161290322581,0.655688622754491,0.8609937433980662,1.0000490203472148,0.2594458438287154,1.954107964137597,7.098151974366851,-4.419756581528267,0.39267607406550264,0.7154508929285548,0.8741961589945957,0.5744245978850085,0.8765924944504024,0.9968902266188927,0.21494542401343408,0.30528052805280526,0.46954314720812185,0.27141922825376064,0.189338619666214,-0.017664250665447523,0.09770972163126379,0.2792144317071004,0.03294624036972971,0.08593979282325281,0.01761837998827684,27.57894736842105,415.0,370.0,0.891566265060241,1.9458483754512634,2,3,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,True
