audit_rule,clock,horizon,snapshot_date,code,ibd_entry_status,ibd_candidate_rule,current_vs_ibd_candidate_pct,review_opportunity_1w,opportunity_type_1w,opportunity_delay_sessions,forward_1w_return_pct,forward_2w_return_pct,forward_3w_return_pct,forward_4w_return_pct,opp_forward_1w_return_pct,opp_forward_2w_return_pct,opp_forward_3w_return_pct,opp_forward_4w_return_pct,opp_mfe_4w_pct,opp_mae_4w_pct
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,1w,2026-03-13,MU,UNCONFIRMED,ma10_touch_confirm,2.04,True,UNCONFIRMED_TO_ZONE,5,-5.21337851324758,-19.934553010440446,-15.330821529283867,-4.393044186533423,-15.530856851196384,-10.673914585562406,0.8654537041694166,6.034528233522907,11.366755265545159,-26.344290676291628
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,1w,2026-03-13,SNDK,UNCONFIRMED,pivot,1.74,False,,,3.2275427349061525,-10.427333081920198,5.397658874990152,38.54142031375507,,,,,,
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,1w,2026-03-20,DOCN,EXTENDED,pivot,17.35,False,,,-2.630954921520434,4.125803438081332,-4.48457292134361,7.115518718977065,,,,,,
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,1w,2026-03-27,FCX,UNCONFIRMED,ceiling,5.95,True,UNCONFIRMED_TO_ZONE,1,6.026393358213444,18.14865685295304,21.882594778462682,5.192771394037932,11.180231701843546,24.92222275737339,23.64135006076293,6.514176503559566,29.862761645296686,2.9460141824367625
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,1w,2026-03-27,TIGO,UNCONFIRMED,pivot,2.43,True,UNCONFIRMED_TO_ZONE,2,6.858851240653863,10.152424084740574,10.576545632477341,9.781318994452848,7.392581712095536,3.883101064735217,10.955429432887808,9.714436271854844,13.490793009055913,-0.2935698072269677
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,1w,2026-04-02,AROW,UNCONFIRMED,ma10_touch_confirm,1.49,True,UNCONFIRMED_TO_ZONE,1,6.707677083971175,9.4610415933859,5.623907492584013,8.78734637854044,5.111176445770771,7.334672314430635,5.630957848092222,4.678021605307836,9.99133403913859,-0.9240533784414251
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,1w,2026-04-02,FCX,UNCONFIRMED,ma10_touch_confirm,5.55,True,UNCONFIRMED_TO_ZONE,1,10.965637880456747,14.90998500468066,-0.08183181392668049,-7.446807447937498,11.433250826314678,14.954956891420967,-0.786240046248754,-8.976248338607151,16.2489797012489,-9.107285222075056
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,1w,2026-04-02,NVT,UNCONFIRMED,ceiling,0.56,True,UNCONFIRMED_TO_ZONE,1,10.410145926929172,13.902750478990477,20.22832826126453,34.393233123843814,13.414529860101565,15.663060059662758,20.69670581195964,38.5657076628724,42.55173315457552,-1.9504308356191435
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,1w,2026-04-02,SSRM,EXTENDED,ma10_touch_confirm,16.88,False,,,5.241428049149488,0.8576888871977717,-2.9542576832887524,-7.274456929728501,,,,,,
ADAPTIVE_POLICY_FORMAL_OOS,snapshot,1w,2026-04-02,STX,UNCONFIRMED,ma10_touch_confirm,0.9,False,,,11.588449129293332,21.484650920008043,30.023508173171543,61.22471274030359,,,,,,
