code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type
PENG,2026-07-10,True,pivot,False,pivot,68.33,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 68.33, ""resistance_date"": ""2026-07-06""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 68.33, ""resistance_date"": ""2026-07-06""}}",1.0,2026-07-08,68.33,68.33,3.990578147062584,0.1483974828040393,0.9057881773399016,0.624384236453202,pivot,,78.35,14.66,EXTENDED,2.1077563850260965,155.3,2026-04-20,161.3,0,0,29.99,2023-06-26,-57.8,9,147,57.8,5.024096385542169,1.0,1,4.0,-14.2,14.7,True,True,6900.0,89.86,-12.808813710215894,Electronic Technology,Semiconductors,SEC,resolved,,TURNAROUND
TRAX,2026-07-10,True,ceiling_breakout,,ceiling,25.0,ceiling_breakout,,1.0,2026-07-09,25.0,25.0,7.989193361636434,0.296,0.8981989036805008,0.5794831636648392,ceiling,,36.24,44.96,EXTENDED,2.5433171859252592,0.0,2026-07-06,45.0,0,0,25.0,2026-04-06,-41.1,1,13,41.1,4.807228915662651,2.0,0,,,,True,True,,38.49,-5.845674201091189,Unknown,Unknown,,expected_unavailable,NO_VERIFIED_YAHOO_RELEASE_DATE,
DELL,2026-07-10,True,pivot,False,pivot,429.15,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 429.15, ""resistance_date"": ""2026-07-06""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,434.97,1.36,UNCONFIRMED,0.8199134715595282,154.0,2026-03-23,160.9,0,1,166.69,2024-05-20,-61.1,5,96,61.1,4.734939759036144,3.0,3,7.0,-16.8,1.4,True,False,282.4817518248,469.47,-7.348712377787714,Electronic Technology,Computer Processing Hardware,SEC,resolved,,GROWTH
BAND,2026-07-10,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,65.43,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-07-06"", ""ma10_prior_week"": 58.251, ""pending_high"": 65.43, ""touch_date"": ""2026-06-15""}",1.0,2026-07-08,66.32,65.43,1.569110052421798,0.0773345560140605,0.876957494407158,0.5659955257270677,ma10_touch_confirm,,75.48,15.36,EXTENDED,1.1384041429521337,68.3,2026-04-27,159.6,1,0,29.07,2023-01-30,-67.9,11,169,67.9,4.614457831325302,4.0,1,6.0,-36.2,-0.0,True,False,38.4615384615,79.08,-4.552352048558417,Technology Services,Packaged Software,SEC,resolved,,LOSS_NARROWING
LASR,2026-07-10,True,pivot,False,pivot,72.0,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 72.0, ""resistance_date"": ""2026-07-06""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 72.0, ""resistance_date"": ""2026-07-06""}}",1.0,2026-07-09,72.0,72.0,3.1728644618793647,0.0376388888888887,0.8945432250153272,0.1661557326793373,pivot,,72.05,0.07,ACTIONABLE,1.2882451979705123,309.4,2025-06-02,357.8,7,0,15.74,2023-06-26,-60.6,7,101,60.6,4.590361445783133,5.0,12,8.0,-28.5,-9.3,True,False,106.25,86.95,-17.13628522139161,Unknown,Unknown,SEC,resolved,,TURNAROUND
SYRE,2026-07-10,True,pivot,False,pivot,90.99,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 90.99, ""resistance_date"": ""2026-07-06""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,97.74,7.42,UNCONFIRMED,0.918857795107574,90.6,2026-04-06,105.3,1,0,47.61,2024-03-11,-77.1,7,108,77.1,4.55421686746988,6.0,3,4.0,-10.3,7.4,True,False,,102.06,-4.232804232804243,Health Technology,Pharmaceuticals: Major,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,
ICHR,2026-07-10,True,pivot,False,pivot,99.6,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 99.6, ""resistance_date"": ""2026-07-06""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,100.3,0.7,UNCONFIRMED,0.959052972375875,108.4,2026-03-30,116.0,2,0,46.43,2024-02-12,-71.7,9,111,71.7,4.554216867469879,7.0,3,4.0,-13.1,0.7,False,False,46.1538461538,113.58,-11.692199330868114,Producer Manufacturing,Industrial Machinery,SEC,resolved,,LOSS_NARROWING
WYFI,2026-07-10,True,ceiling_breakout,,ceiling,35.15,ceiling_breakout,,1.0,2026-07-08,35.15,35.15,1.738793469836746,0.0452347083926032,0.831372549019608,0.3117647058823535,ceiling,,38.5,9.53,EXTENDED,1.3979310686437014,0.0,2026-07-06,9.5,0,0,35.15,2025-10-20,-70.1,2,37,70.1,4.548192771084337,8.0,0,,,,True,True,-720.0,46.87,-17.85790484318327,Technology Services,Data Processing Services,SEC,resolved,,PROFIT_TO_LOSS
FTH,2026-07-10,True,ceiling_breakout,,ceiling,34.0,ceiling_breakout,,1.0,2026-07-10,34.0,34.0,3.3508626035970006,0.0635294117647058,0.894049346879535,0.3134978229317847,ceiling,,36.16,6.35,EXTENDED,2.042802815559519,0.0,2026-07-06,6.4,0,0,34.0,2026-02-16,-74.1,2,20,74.1,4.530120481927711,9.0,0,,,,True,True,-2311.9266055046,36.89,-1.9788560585524697,Health Technology,Biotechnology,SEC,resolved,,LOSS_WIDENING
DNTH,2026-07-10,True,pivot,False,pivot,96.5,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 96.5, ""resistance_date"": ""2026-07-06""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 96.5, ""resistance_date"": ""2026-07-06""}}",1.0,2026-07-09,98.78,96.5,2.4467717851138717,0.0365803108808291,0.4292803970223334,0.8759305210918115,pivot,,97.6,1.14,ACTIONABLE,1.1415003315089454,179.0,2025-10-27,189.0,5,2,33.77,2024-03-18,-60.4,7,84,60.4,4.481927710843374,10.0,5,3.0,-9.7,0.8,True,False,-3.6585365854,102.33,-4.622300400664525,Health Technology,Biotechnology,SEC,resolved,,LOSS_WIDENING
CLMT,2026-07-10,True,pivot,False,pivot,36.94,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 36.94, ""resistance_date"": ""2026-07-06""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,39.47,6.85,UNCONFIRMED,0.9130678181464036,56.7,2026-02-02,66.4,2,1,23.72,2024-12-30,-67.6,4,57,67.6,4.289156626506024,11.0,4,6.0,-11.7,10.1,True,False,-94.6524064171,39.73,-0.654417316889,Energy Minerals,Oil Refining/Marketing,SEC,resolved,,LOSS_WIDENING
INSW,2026-07-10,True,pivot,False,pivot,87.55,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 84.58, ""resistance_date"": ""2026-07-06""}, {""box_type"": ""M_BOX"", ""price"": 87.55, ""resistance_date"": ""2026-07-06""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,88.48,1.06,UNCONFIRMED,0.8476921977688052,71.3,2026-01-12,74.4,2,1,50.74,2024-05-20,-53.2,4,86,53.2,3.927710843373494,12.0,3,10.0,-19.0,1.1,True,False,475.0,90.75,-2.5013774104683195,Transportation,Marine Shipping,SEC,resolved,,GROWTH
ONTO,2026-07-10,True,pivot,False,pivot,316.0,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 316.0, ""resistance_date"": ""2026-07-06""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,321.44,1.72,UNCONFIRMED,0.9855175236350668,25.0,2026-04-06,34.7,2,1,238.55,2024-05-20,-64.0,8,98,64.0,3.909638554216868,13.0,2,4.0,-23.0,-7.8,True,False,-48.4615384615,386.46,-16.824509651710397,Electronic Technology,Electronic Equipment/Instruments,SEC,resolved,,DECLINE
