snapshot_date,pick_count,eligible_count,eligible_mature_count,eligible_entry_coverage,primary_valid,b0_return,random_mean,random_median,random_p25,random_p75,b0_percentile,oracle,edge_vs_random_mean,oracle_capture_ratio,oracle_codes,distribution_method,distribution_theoretical_combinations_before_constraints,distribution_evaluated_portfolios,distribution_mc_percentile_se_max_pp,unconstrained_random_mean,unconstrained_random_median,unconstrained_random_p25,unconstrained_random_p75,unconstrained_b0_percentile,unconstrained_oracle,unconstrained_edge_vs_random_mean,unconstrained_oracle_capture_ratio,unconstrained_oracle_codes,unconstrained_distribution_method,unconstrained_distribution_theoretical_combinations_before_constraints,unconstrained_distribution_evaluated_portfolios,unconstrained_distribution_mc_percentile_se_max_pp
2026-02-27,3,6,6,1.0,True,-0.8960333333333329,-1.829597,-2.119633,-3.124375,-0.003258,70.0,1.825233,0.933563,0.255433,"[""EXPE"", ""EQIX"", ""JNJ""]",exact,20.0,10.0,0.0,-4.26615,-4.26615,-6.381867,-2.150433,85.0,1.825233,3.370117,0.55326,"[""EXPE"", ""EQIX"", ""JNJ""]",exact,20.0,20.0,0.0
2026-03-06,2,2,2,1.0,True,-5.046666666666667,-5.046667,-5.046667,-5.046667,-5.046667,100.0,-5.046667,0.0,,"[""RTX"", ""FIGS""]",exact,1.0,1.0,0.0,-5.046667,-5.046667,-5.046667,-5.046667,100.0,-5.046667,0.0,,"[""RTX"", ""FIGS""]",exact,1.0,1.0,0.0
2026-03-13,1,1,1,1.0,True,2.9940333333333338,2.994033,2.994033,2.994033,2.994033,100.0,2.994033,0.0,,"[""DOCN""]",exact,1.0,1.0,0.0,2.994033,2.994033,2.994033,2.994033,100.0,2.994033,0.0,,"[""DOCN""]",exact,1.0,1.0,0.0
2026-03-20,1,1,1,1.0,True,3.6145666666666667,3.614567,3.614567,3.614567,3.614567,100.0,3.614567,0.0,,"[""LMND""]",exact,1.0,1.0,0.0,3.614567,3.614567,3.614567,3.614567,100.0,3.614567,0.0,,"[""LMND""]",exact,1.0,1.0,0.0
2026-03-27,2,2,2,1.0,True,12.5466,12.5466,12.5466,12.5466,12.5466,100.0,12.5466,0.0,,"[""DELL"", ""CASY""]",exact,1.0,1.0,0.0,12.5466,12.5466,12.5466,12.5466,100.0,12.5466,0.0,,"[""DELL"", ""CASY""]",exact,1.0,1.0,0.0
2026-04-02,3,3,3,1.0,True,18.650966666666665,18.650967,18.650967,18.650967,18.650967,100.0,18.650967,0.0,,"[""MRVL"", ""PFIS"", ""INVA""]",exact,1.0,1.0,0.0,18.650967,18.650967,18.650967,18.650967,100.0,18.650967,0.0,,"[""MRVL"", ""PFIS"", ""INVA""]",exact,1.0,1.0,0.0
2026-04-10,3,6,6,1.0,True,-5.476666666666667,-0.862938,-0.898417,-3.234958,1.532608,12.5,4.953967,-4.613729,-0.793159,"[""NHC"", ""FRAF"", ""BVFL""]",exact,20.0,16.0,0.0,-2.094067,-2.094067,-4.709917,0.521783,25.0,4.953967,-3.3826,-0.479935,"[""NHC"", ""FRAF"", ""BVFL""]",exact,20.0,20.0,0.0
2026-04-17,3,5,5,1.0,True,-7.594066666666666,-4.87832,-5.205867,-9.018917,-1.003175,40.0,3.4833,-2.715747,-0.324787,"[""CVEO"", ""GHM"", ""CASS""]",exact,10.0,10.0,0.0,-4.87832,-5.205867,-9.018917,-1.003175,40.0,3.4833,-2.715747,-0.324787,"[""CVEO"", ""GHM"", ""CASS""]",exact,10.0,10.0,0.0
2026-04-24,3,12,12,1.0,True,32.01253333333333,1.815469,-1.534433,-4.97645,6.884525,99.4048,32.099167,30.197064,0.997139,"[""NVTS"", ""SANM"", ""OBK""]",exact,220.0,168.0,0.0,1.730442,-1.415183,-6.124592,8.3455,99.5455,32.099167,30.282092,0.997147,"[""NVTS"", ""SANM"", ""OBK""]",exact,220.0,220.0,0.0
2026-05-01,3,23,23,1.0,True,1.3355333333333332,-1.863177,-1.635267,-4.738333,1.197333,75.8794,9.184367,3.19871,0.28954,"[""NVEC"", ""LAMR"", ""ALRS""]",exact,1771.0,1393.0,0.0,-1.483852,-1.050767,-4.385067,1.700983,72.3885,9.184367,2.819386,0.264279,"[""NVEC"", ""LAMR"", ""ALRS""]",exact,1771.0,1771.0,0.0
