original_code,resolved_code,resolution_reason,status,bars,first_date,last_date
OSBC,OSBC,exact_match,OK,1253,2021-09-03,2026-09-02
PFGC,PFGC,exact_match,OK,1253,2021-09-03,2026-09-02
PKOH,PKOH,exact_match,OK,1253,2021-09-03,2026-09-02
PLSE,PLSE,exact_match,OK,1253,2021-09-03,2026-09-02
PRA,PRA,exact_match,NO_PROVIDER_DATA,0,,
PRK,PRK,exact_match,OK,1253,2021-09-03,2026-09-02
PROV,PROV,exact_match,OK,1253,2021-09-03,2026-09-02
PSMT,PSMT,exact_match,OK,1253,2021-09-03,2026-09-02
QCRH,QCRH,exact_match,OK,1253,2021-09-03,2026-09-02
QQQ,QQQ,exact_match,OK,1254,2021-09-03,2026-09-02
RACC,RACC,exact_match,OK,72,2026-05-20,2026-09-02
RAPP,RAPP,exact_match,OK,560,2024-06-07,2026-09-02
RCKY,RCKY,exact_match,OK,1253,2021-09-03,2026-09-02
RDVT,RDVT,exact_match,OK,1253,2021-09-03,2026-09-02
RNG,RNG,exact_match,OK,1253,2021-09-03,2026-09-02
ROST,ROST,exact_match,OK,1253,2021-09-03,2026-09-02
SAIH,SAIH,exact_match,OK,1253,2021-09-03,2026-09-02
SATS,SATS,exact_match,NO_PROVIDER_DATA,0,,
SBLK,SBLK,exact_match,OK,1253,2021-09-03,2026-09-02
SHBI,SHBI,exact_match,OK,1253,2021-09-03,2026-09-02
SHIP,SHIP,exact_match,OK,1253,2021-09-03,2026-09-02
SHOO,SHOO,exact_match,OK,1253,2021-09-03,2026-09-02
SILA,SILA,exact_match,NO_PROVIDER_DATA,0,,
SION,SION,exact_match,OK,393,2025-02-07,2026-09-02
SKYT,SKYT,exact_match,OK,6,2026-07-17,2026-08-07
SNOW,SNOW,exact_match,OK,1253,2021-09-03,2026-09-02
SNX,SNX,exact_match,OK,1253,2021-09-03,2026-09-02
SPY,SPY,exact_match,OK,1254,2021-09-03,2026-09-02
STEL,STEL,exact_match,NO_PROVIDER_DATA,0,,
SYBT,SYBT,exact_match,OK,1253,2021-09-03,2026-09-02
THFF,THFF,exact_match,OK,1253,2021-09-03,2026-09-02
THG,THG,exact_match,OK,1253,2021-09-03,2026-09-02
THR,THR,exact_match,NO_PROVIDER_DATA,0,,
TOWN,TOWN,exact_match,OK,1253,2021-09-03,2026-09-02
TRAX,TRAX,exact_match,OK,104,2026-04-06,2026-09-02
TRMK,TRMK,exact_match,OK,1253,2021-09-03,2026-09-02
TXRH,TXRH,exact_match,OK,1253,2021-09-03,2026-09-02
USCB,USCB,exact_match,OK,1253,2021-09-03,2026-09-02
UVE,UVE,exact_match,OK,1253,2021-09-03,2026-09-02
VSXY,VSXY,exact_match,OK,1253,2021-09-03,2026-09-02
VTRS,VTRS,exact_match,OK,1253,2021-09-03,2026-09-02
WCC,WCC,exact_match,OK,1253,2021-09-03,2026-09-02
WLAC,WLAC,exact_match,NO_PROVIDER_DATA,0,,
WSR,WSR,exact_match,OK,1,2026-07-13,2026-07-13
WTBA,WTBA,exact_match,OK,1253,2021-09-03,2026-09-02
XOMA,XOMA,exact_match,OK,6,2026-07-14,2026-07-21
