snapshot_date,code,reasons,reason_count,exclusive_reason,next_open_w4_return_pct,next_open_w4_stop8,is_top20_winner,is_big_winner
2025-10-10,GH,non_actionable,1,non_actionable,51.672862,False,True,True
2025-10-10,SANM,clear_geometry_failure,1,clear_geometry_failure,38.315756,False,True,True
2025-10-10,GSK,non_actionable|eps_unknown,2,,9.530651,False,True,False
2025-10-10,VRT,clear_geometry_failure,1,clear_geometry_failure,7.33116,False,False,False
2025-10-10,CORZ,clear_geometry_failure,1,clear_geometry_failure,1.526316,True,False,False
2025-10-10,ALM,clear_geometry_failure|eps_unknown,2,,-12.804878,True,False,False
2025-10-10,ANET,non_actionable,1,non_actionable,-14.618064,True,False,False
2025-10-10,RIOT,non_actionable,1,non_actionable,-19.479312,True,False,False
2025-10-10,ASTS,non_actionable,1,non_actionable,-20.715522,True,False,False
2025-10-10,TEM,non_actionable,1,non_actionable,-23.114824,True,False,False
2025-10-10,MP,clear_geometry_failure,1,clear_geometry_failure,-26.059908,True,False,False
2025-10-10,OKLO,non_actionable|clear_geometry_failure,2,,-29.417722,True,False,False
2025-10-24,GH,non_actionable,1,non_actionable,53.321389,False,True,True
2025-10-24,NTRA,non_actionable,1,non_actionable,22.524651,False,True,True
2025-10-24,GOOG,non_actionable,1,non_actionable,20.015859,False,True,True
2025-10-24,WELL,non_actionable,1,non_actionable,13.884147,False,True,False
2025-10-24,ROST,non_actionable,1,non_actionable,9.194749,False,True,False
2025-10-24,AVGO,non_actionable,1,non_actionable,4.53926,True,True,False
2025-10-24,BKR,clear_geometry_failure,1,clear_geometry_failure,3.805272,False,False,False
2025-10-24,MMM,non_actionable,1,non_actionable,0.178966,False,False,False
2025-10-24,HWM,non_actionable,1,non_actionable,-0.463263,False,False,False
2025-10-24,NU,non_actionable|eps_unknown,2,,-1.910043,False,False,False
2025-10-24,WFC,non_actionable,1,non_actionable,-2.069371,False,False,False
2025-10-24,SHEL,non_actionable|eps_unknown,2,,-2.382909,False,False,False
2025-10-24,NRG,non_actionable,1,non_actionable,-2.902809,True,False,False
2025-10-24,RTX,non_actionable|clear_geometry_failure,2,,-3.088061,False,False,False
2025-10-24,NVDA,non_actionable,1,non_actionable,-3.915679,True,False,False
2025-10-24,CRWD,non_actionable,1,non_actionable,-4.822354,True,False,False
2025-10-24,KLAC,non_actionable,1,non_actionable,-5.118968,True,False,False
2025-10-24,OPEN,non_actionable,1,non_actionable,-5.644172,True,False,False
2025-10-24,COF,clear_geometry_failure,1,clear_geometry_failure,-7.819059,True,False,False
2025-10-24,SHOP,non_actionable,1,non_actionable,-11.139719,True,False,False
2025-10-24,FTAI,non_actionable,1,non_actionable,-11.939159,True,False,False
2025-10-24,ZS,non_actionable,1,non_actionable,-13.950276,True,False,False
2025-10-24,CDNS,non_actionable,1,non_actionable,-14.840713,True,False,False
2025-10-24,SEDG,non_actionable,1,non_actionable,-15.252153,True,False,False
2025-10-24,PANW,non_actionable,1,non_actionable,-16.333773,True,False,False
2025-10-24,VEEV,non_actionable,1,non_actionable,-20.104386,True,False,False
2025-10-24,RIOT,non_actionable,1,non_actionable,-37.561853,True,False,False
2025-11-07,FIGS,non_actionable|clear_geometry_failure,2,,31.228473,False,True,True
2025-11-07,VTR,non_actionable,1,non_actionable,6.837722,False,True,False
2025-11-07,GH,non_actionable,1,non_actionable,6.295918,False,False,False
2025-11-07,CASY,non_actionable,1,non_actionable,6.139082,False,False,False
2025-11-07,ARGX,non_actionable|eps_unknown,2,,5.674633,False,False,False
2025-11-07,EXPE,non_actionable,1,non_actionable,0.97415,True,False,False
2025-11-07,LYFT,non_actionable|clear_geometry_failure,2,,0.356983,True,False,False
2025-11-07,JPM,non_actionable,1,non_actionable,0.067613,False,False,False
2025-11-07,STX,non_actionable,1,non_actionable,-1.825474,True,False,False
2025-11-07,NRG,non_actionable,1,non_actionable,-6.570854,True,False,False
2025-11-07,SANM,non_actionable,1,non_actionable,-7.403785,True,False,False
2025-11-07,XYL,non_actionable,1,non_actionable,-8.423369,True,False,False
2025-11-07,VEEV,non_actionable,1,non_actionable,-18.139169,True,False,False
2025-11-21,BTSG,non_actionable,1,non_actionable,8.509423,False,True,False
2025-11-21,ROST,non_actionable,1,non_actionable,4.452313,False,False,False
2025-11-21,GOOG,clear_geometry_failure,1,clear_geometry_failure,0.167526,False,False,False
2025-11-21,ABBV,non_actionable,1,non_actionable,-3.426589,False,False,False
2025-11-21,MDT,clear_geometry_failure,1,clear_geometry_failure,-3.764635,False,False,False
2025-11-21,FE,non_actionable,1,non_actionable,-5.230769,False,False,False
2025-11-21,MNPR,non_actionable,1,non_actionable,-23.692705,True,False,False
2025-12-12,FEIM,non_actionable,1,non_actionable,32.271621,True,True,True
2025-12-12,ASTS,non_actionable,1,non_actionable,27.382185,True,True,True
2025-12-12,HWM,non_actionable,1,non_actionable,11.076301,False,True,False
2025-12-12,UBS,non_actionable|eps_unknown,2,,10.957927,False,True,False
2025-12-12,STX,non_actionable,1,non_actionable,10.426638,False,True,False
2025-12-12,RTX,non_actionable,1,non_actionable,7.851077,False,True,False
2025-12-12,TPR,non_actionable,1,non_actionable,7.817061,False,False,False
2025-12-12,CIEN,non_actionable,1,non_actionable,6.076798,True,False,False
2025-12-12,HLT,non_actionable,1,non_actionable,5.541287,False,False,False
2025-12-12,EXPE,non_actionable,1,non_actionable,5.238734,False,False,False
2025-12-12,ROST,non_actionable,1,non_actionable,4.972315,False,False,False
2025-12-12,PAC,non_actionable|eps_unknown,2,,4.069723,False,False,False
2025-12-12,ROKU,clear_geometry_failure,1,clear_geometry_failure,3.052867,False,False,False
2025-12-12,AEO,non_actionable,1,non_actionable,2.204409,False,False,False
2025-12-12,JPM,non_actionable,1,non_actionable,1.989718,False,False,False
2025-12-12,IBM,non_actionable,1,non_actionable,1.033617,False,False,False
2025-12-12,ZION,non_actionable,1,non_actionable,-0.171821,False,False,False
2025-12-12,BLK,non_actionable,1,non_actionable,-0.563115,False,False,False
2025-12-12,PFG,non_actionable,1,non_actionable,-0.605178,False,False,False
2025-12-12,NUTX,non_actionable,1,non_actionable,-1.402226,True,False,False
2025-12-12,COF,non_actionable,1,non_actionable,-2.582308,False,False,False
2025-12-12,ZM,non_actionable,1,non_actionable,-2.855543,True,False,False
2025-12-12,TKO,non_actionable,1,non_actionable,-3.559397,False,False,False
2025-12-12,TSLA,non_actionable,1,non_actionable,-4.362645,True,False,False
2025-12-12,LH,non_actionable,1,non_actionable,-6.216349,True,False,False
2025-12-12,URBN,non_actionable,1,non_actionable,-12.918544,True,False,False
2025-12-19,RKLB,non_actionable,1,non_actionable,32.026323,True,True,True
2025-12-19,MNST,clear_geometry_failure,1,clear_geometry_failure,2.50459,False,False,False
2025-12-19,ALM,non_actionable|eps_unknown,2,,0.580046,False,False,False
2025-12-19,PAC,eps_unknown,1,eps_unknown,-0.45595,False,False,False
2025-12-19,UAL,non_actionable,1,non_actionable,-0.708661,False,False,False
2025-12-19,EXPE,non_actionable,1,non_actionable,-2.218166,False,False,False
2025-12-19,TTWO,clear_geometry_failure,1,clear_geometry_failure,-2.934519,False,False,False
2025-12-19,TKO,clear_geometry_failure,1,clear_geometry_failure,-5.047319,False,False,False
2025-12-19,SHOP,clear_geometry_failure,1,clear_geometry_failure,-9.785189,True,False,False
2025-12-19,TSLA,non_actionable,1,non_actionable,-10.692414,True,False,False
2025-12-19,CEG,clear_geometry_failure,1,clear_geometry_failure,-15.295712,True,False,False
2025-12-26,SNDK,non_actionable,1,non_actionable,94.907887,False,True,True
2025-12-26,ALM,non_actionable|eps_unknown,2,,25.732899,True,True,True
2025-12-26,AU,non_actionable|eps_unknown,2,,25.324207,False,True,True
2025-12-26,IBKR,non_actionable,1,non_actionable,14.688835,False,False,False
2025-12-26,TSM,non_actionable|eps_unknown,2,,10.248809,False,False,False
2025-12-26,NU,non_actionable|eps_unknown,2,,9.058188,False,False,False
2025-12-26,CASY,non_actionable,1,non_actionable,8.802686,False,False,False
2025-12-26,SMTC,non_actionable,1,non_actionable,8.472538,False,False,False
2025-12-26,HWM,non_actionable,1,non_actionable,2.321709,False,False,False
2025-12-26,CAH,non_actionable,1,non_actionable,1.646011,False,False,False
2025-12-26,SCHW,non_actionable,1,non_actionable,1.211399,False,False,False
2025-12-26,NVDA,non_actionable,1,non_actionable,-0.661404,False,False,False
2025-12-26,CIEN,non_actionable,1,non_actionable,-2.120037,True,False,False
2025-12-26,FEIM,non_actionable,1,non_actionable,-6.480648,True,False,False
2025-12-26,JPM,non_actionable,1,non_actionable,-7.524347,True,False,False
2026-01-02,ASML,eps_unknown,1,eps_unknown,19.003177,False,True,False
2026-01-02,BKR,non_actionable,1,non_actionable,14.168882,False,True,False
2026-01-02,GEV,non_actionable,1,non_actionable,9.317968,True,False,False
2026-01-02,NYAX,non_actionable|eps_unknown,2,,6.749285,False,False,False
2026-01-02,BTSG,non_actionable,1,non_actionable,5.141522,False,False,False
2026-01-02,LSCC,non_actionable,1,non_actionable,3.366164,False,False,False
2026-01-02,TSM,eps_unknown,1,eps_unknown,3.319136,False,False,False
2026-01-02,ZION,non_actionable,1,non_actionable,3.197926,False,False,False
2026-01-02,BIDU,eps_unknown,1,eps_unknown,2.69579,False,False,False
2026-01-02,WES,non_actionable|eps_unknown,2,,2.530634,False,False,False
2026-01-02,SHEL,non_actionable|eps_unknown,2,,0.779327,True,False,False
2026-01-02,HEI,non_actionable,1,non_actionable,0.144727,False,False,False
2026-01-02,RKLB,non_actionable,1,non_actionable,-0.629858,False,False,False
2026-01-02,HWM,non_actionable,1,non_actionable,-2.308891,False,False,False
2026-01-09,SNDK,non_actionable,1,non_actionable,56.001818,False,True,True
2026-01-09,WDC,non_actionable,1,non_actionable,47.796856,False,True,True
2026-01-09,STX,non_actionable,1,non_actionable,41.992096,False,True,True
2026-01-09,CAT,non_actionable,1,non_actionable,21.020756,False,True,True
2026-01-09,VALE,eps_unknown,1,eps_unknown,19.648094,False,True,False
2026-01-09,CHRW,non_actionable,1,non_actionable,18.38034,False,True,False
2026-01-09,SMTC,non_actionable,1,non_actionable,16.714887,False,True,False
2026-01-09,GSK,non_actionable|eps_unknown,2,,16.164882,False,True,False
2026-01-09,FTAI,non_actionable,1,non_actionable,13.98127,False,False,False
2026-01-09,ASML,non_actionable|clear_geometry_failure|eps_unknown,3,,13.808248,False,False,False
2026-01-09,AU,non_actionable|eps_unknown,2,,11.542192,False,False,False
2026-01-09,BTU,non_actionable,1,non_actionable,11.437908,False,False,False
2026-01-09,CASY,non_actionable,1,non_actionable,11.21985,False,False,False
2026-01-09,FCX,non_actionable,1,non_actionable,10.42902,False,False,False
2026-01-09,AMAT,non_actionable,1,non_actionable,9.562614,False,False,False
2026-01-09,HLT,non_actionable,1,non_actionable,5.348204,False,False,False
2026-01-09,LSCC,non_actionable,1,non_actionable,4.500418,False,False,False
2026-01-09,HWM,non_actionable,1,non_actionable,3.264013,False,False,False
2026-01-09,WES,non_actionable|eps_unknown,2,,2.483187,False,False,False
2026-01-09,ROST,non_actionable,1,non_actionable,1.834718,False,False,False
2026-01-09,NU,eps_unknown,1,eps_unknown,1.152738,False,False,False
2026-01-09,UAL,non_actionable,1,non_actionable,0.606061,True,False,False
2026-01-09,GOOG,non_actionable,1,non_actionable,-0.640967,False,False,False
2026-01-09,AZN,non_actionable|eps_unknown,2,,-1.194775,False,False,False
2026-01-09,IBM,non_actionable,1,non_actionable,-2.077011,False,False,False
2026-01-09,LDOS,non_actionable,1,non_actionable,-2.120338,False,False,False
2026-01-09,HUT,non_actionable,1,non_actionable,-3.510855,True,False,False
2026-01-09,URBN,non_actionable,1,non_actionable,-4.788657,True,False,False
2026-01-09,GMED,clear_geometry_failure,1,clear_geometry_failure,-6.70998,True,False,False
2026-01-09,HEI,non_actionable,1,non_actionable,-9.124993,True,False,False
2026-01-09,SOLV,non_actionable,1,non_actionable,-9.22093,True,False,False
2026-01-09,CVNA,non_actionable,1,non_actionable,-10.022953,True,False,False
2026-01-09,LGND,non_actionable,1,non_actionable,-10.051968,True,False,False
2026-01-09,NTRA,non_actionable,1,non_actionable,-10.771186,True,False,False
2026-01-09,TROW,clear_geometry_failure,1,clear_geometry_failure,-11.263318,True,False,False
2026-01-09,AMZN,non_actionable,1,non_actionable,-15.405504,True,False,False
2026-01-09,W,non_actionable,1,non_actionable,-19.193591,True,False,False
2026-01-09,EXPE,non_actionable,1,non_actionable,-19.378146,True,False,False
2026-01-09,NUTX,non_actionable,1,non_actionable,-43.437838,True,False,False
2026-01-16,STX,non_actionable,1,non_actionable,28.777157,False,True,True
2026-01-16,WULF,non_actionable,1,non_actionable,22.76176,True,True,True
2026-01-16,WELL,non_actionable,1,non_actionable,12.757855,False,True,False
2026-01-16,JNJ,non_actionable,1,non_actionable,12.08607,False,True,False
2026-01-16,CAH,non_actionable,1,non_actionable,7.178655,False,False,False
2026-01-16,MRNA,non_actionable,1,non_actionable,6.833658,True,False,False
2026-01-16,WMT,clear_geometry_failure,1,clear_geometry_failure,6.576209,False,False,False
2026-01-16,SHEL,eps_unknown,1,eps_unknown,5.920134,False,False,False
2026-01-16,MNST,non_actionable,1,non_actionable,5.753285,False,False,False
2026-01-16,SN,non_actionable|eps_unknown,2,,5.101143,True,False,False
2026-01-16,FN,non_actionable,1,non_actionable,3.944092,True,False,False
2026-01-16,TKO,non_actionable,1,non_actionable,3.126237,False,False,False
2026-01-16,IBKR,clear_geometry_failure,1,clear_geometry_failure,1.795407,False,False,False
2026-01-16,RTX,non_actionable,1,non_actionable,1.420655,False,False,False
2026-01-16,SCHW,non_actionable,1,non_actionable,-8.715823,True,False,False
2026-01-16,BIDU,clear_geometry_failure|eps_unknown,2,,-9.004771,True,False,False
2026-01-16,SANM,non_actionable,1,non_actionable,-14.838036,True,False,False
