snapshot_date,code,current_b0_raw_rank,current_b0_lane,current_b0_eligible,current_b0_reject_reasons,current_b0_selected,current_b0_pick_order,w4_return_pct,w4_stop8,snapshot_w4_return_pct,snapshot_w4_stop8,snapshot_price_valid
2025-10-31,PLTR,17,incomplete_evidence,False,non_actionable,False,,-17.8453,True,-15.972465,True,True
2025-10-31,ROKU,22,tail_risk,False,clear_geometry_failure,False,,-11.575,True,-8.800528,True,True
2025-10-31,SOFI,2,constructive_pullback,True,,True,2.0,0.2023,True,0.134771,True,True
2025-10-31,STX,15,incomplete_evidence,False,non_actionable,False,,6.9337,True,8.134967,True,True
2025-10-31,TSLA,16,incomplete_evidence,False,non_actionable,False,,-5.6624,True,-5.780182,True,True
2025-10-31,VTR,1,constructive_pullback,True,,True,1.0,10.3583,False,9.26156,False,True
2025-10-31,W,11,incomplete_evidence,False,non_actionable,False,,7.0428,True,7.042798,True,True
2025-10-31,WDC,12,incomplete_evidence,False,non_actionable,False,,7.4025,True,8.734498,True,True
2025-10-31,WFC,5,constructive_pullback,False,non_actionable,False,,-0.9615,False,-0.763718,False,True
2025-10-31,WULF,28,tail_risk,False,non_actionable|clear_geometry_failure,False,,-4.2001,True,0.064516,True,True
2025-11-07,ARGX,7,constructive_pullback,False,non_actionable|eps_unknown,False,,5.7227,False,5.443164,False,True
2025-11-07,CASY,12,incomplete_evidence,False,non_actionable,False,,6.233,False,6.2709,False,True
2025-11-07,COLL,1,fresh_demand_alpha,True,,True,1.0,13.102,False,13.262411,False,True
2025-11-07,EXPE,10,incomplete_evidence,False,non_actionable,False,,0.5983,True,2.173574,True,True
2025-11-07,FIGS,14,tail_risk,False,non_actionable|clear_geometry_failure,False,,31.2285,False,33.684211,False,True
2025-11-07,GH,3,constructive_pullback,False,non_actionable,False,,4.102,False,5.479735,False,True
2025-11-07,JPM,8,constructive_pullback,False,non_actionable,False,,0.0129,False,0.264678,False,True
2025-11-07,LYFT,15,tail_risk,False,non_actionable|clear_geometry_failure,False,,2.4989,True,4.219601,True,True
2025-11-07,NRG,4,constructive_pullback,False,non_actionable,False,,-7.2032,True,-5.5084,True,True
2025-11-07,SANM,9,incomplete_evidence,False,non_actionable,False,,-9.0548,True,-7.175151,True,True
2025-11-07,SEDG,2,constructive_pullback,True,,False,,-28.9873,True,-26.2,True,True
2025-11-07,STX,11,incomplete_evidence,False,non_actionable,False,,-4.1004,True,-0.201482,True,True
2025-11-07,VEEV,13,incomplete_evidence,False,non_actionable,False,,-17.129,True,-17.927152,True,True
2025-11-07,VTR,6,constructive_pullback,False,non_actionable,False,,6.3272,False,5.971348,False,True
2025-11-07,XYL,5,constructive_pullback,False,non_actionable,False,,-7.9632,True,-7.871019,True,True
2025-11-14,ABBV,16,incomplete_evidence,False,non_actionable,False,,-4.2612,False,-3.890039,False,True
