baseline,support_weeks,mean_return,median_return,mean_spread_vs_b0,median_spread_vs_b0,beat_b0_rate,spread_ci_low,spread_ci_high,worst_return,p10_return
closest_to_trigger,22,-0.05802019696969678,-1.1741548333333334,-1.7486821363636365,-2.254687666666667,0.45454545454545453,-4.37394,0.968651,-8.0,-7.773159166666667
entry_volume,19,4.28751601754386,2.109809,3.104832824561403,-2.3919003333333335,0.42105263157894735,-2.459781,7.085528,-8.0,-8.0
eps,22,0.417865515151515,-1.2336420000000001,-1.2727964242424248,-2.1031423333333326,0.4090909090909091,-2.942097,1.597131,-8.0,-7.849717366666667
momentum_20,22,3.7881520757575755,-0.33132583333333354,2.097490136363636,-2.666666666666667,0.3181818181818182,-2.075568,7.042412,-8.0,-8.0
