snapshot_date,baseline,feature,target_pick_count,pick_count,codes,raw_week_primary_valid,full_feature_capacity,mature,primary_valid,return,stop8_pct,one_pick_ruined
2025-12-05,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""SHOP"", ""JPM"", ""WWD""]",False,True,True,False,4.921591666666667,0.0,False
2025-12-05,entry_volume,ibd_entry_volume_ratio,3,3,"[""PATH"", ""DASH"", ""LSCC""]",False,True,True,False,-4.328876,66.66666666666666,True
2025-12-05,eps,eps_yoy_growth,3,3,"[""LYFT"", ""WDC"", ""VRT""]",False,True,True,False,-4.426356333333334,66.66666666666666,True
2025-12-05,momentum_20,mom_20,3,3,"[""CVNA"", ""LSCC"", ""WWD""]",False,True,True,False,2.372149333333333,66.66666666666666,True
2025-12-05,rel_spy_20,rel_spy_20,3,3,"[""CVNA"", ""LSCC"", ""WWD""]",False,True,True,False,2.372149333333333,66.66666666666666,True
2025-12-12,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""TSLA"", ""ZION"", ""BLK""]",True,True,True,True,-1.6991936666666667,33.33333333333333,True
2025-12-12,entry_volume,ibd_entry_volume_ratio,3,2,"[""FEIM"", ""ROKU""]",True,False,True,False,11.774829333333335,33.33333333333333,True
2025-12-12,eps,eps_yoy_growth,3,3,"[""IBM"", ""NUTX"", ""ROKU""]",True,True,True,True,0.8947526666666666,33.33333333333333,True
2025-12-12,momentum_20,mom_20,3,3,"[""NUTX"", ""FEIM"", ""AEO""]",True,True,True,True,11.024601333333335,66.66666666666666,True
2025-12-12,rel_spy_20,rel_spy_20,3,3,"[""NUTX"", ""FEIM"", ""AEO""]",True,True,True,True,11.024601333333335,66.66666666666666,True
2025-12-19,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""SHOP"", ""HWM"", ""TTWO""]",True,True,True,True,-1.0057436666666668,33.33333333333333,True
2025-12-19,entry_volume,ibd_entry_volume_ratio,3,3,"[""PAC"", ""MNST"", ""SCHW""]",True,True,True,True,2.109809,0.0,False
2025-12-19,eps,eps_yoy_growth,3,3,"[""LLY"", ""PLTR"", ""MU""]",True,True,True,True,5.0109916666666665,33.33333333333333,True
2025-12-19,momentum_20,mom_20,3,3,"[""RKLB"", ""ALM"", ""MU""]",True,True,True,True,21.181319666666667,33.33333333333333,True
2025-12-19,rel_spy_20,rel_spy_20,3,3,"[""RKLB"", ""ALM"", ""MU""]",True,True,True,True,21.181319666666667,33.33333333333333,True
2025-12-26,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""CASY"", ""HWM"", ""SMTC""]",True,True,True,True,6.532311,0.0,False
2025-12-26,entry_volume,ibd_entry_volume_ratio,3,3,"[""FEIM"", ""HEI"", ""HUT""]",True,True,True,True,3.278238,33.33333333333333,True
2025-12-26,eps,eps_yoy_growth,3,3,"[""HUT"", ""SCHW"", ""SMTC""]",True,True,True,True,8.459821333333332,0.0,False
2025-12-26,momentum_20,mom_20,3,3,"[""FEIM"", ""ALM"", ""HUT""]",True,True,True,True,11.649259333333333,66.66666666666666,True
2025-12-26,rel_spy_20,rel_spy_20,3,3,"[""FEIM"", ""ALM"", ""HUT""]",True,True,True,True,11.649259333333333,66.66666666666666,True
2026-01-02,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""SHEL"", ""GEV"", ""HEI""]",True,True,True,True,3.4140073333333336,66.66666666666666,True
2026-01-02,entry_volume,ibd_entry_volume_ratio,3,2,"[""BIDU"", ""ASML""]",True,False,True,False,7.232989,0.0,False
2026-01-02,eps,eps_yoy_growth,3,3,"[""BTSG"", ""GEV"", ""RKLB""]",True,True,True,True,4.609877333333333,33.33333333333333,True
2026-01-02,momentum_20,mom_20,3,3,"[""RKLB"", ""BIDU"", ""GEV""]",True,True,True,True,3.7946333333333335,33.33333333333333,True
2026-01-02,rel_spy_20,rel_spy_20,3,3,"[""RKLB"", ""BIDU"", ""GEV""]",True,True,True,True,3.7946333333333335,33.33333333333333,True
2026-01-09,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""SOLV"", ""NTRA"", ""AZN""]",True,True,True,True,-7.062297,66.66666666666666,True
2026-01-09,entry_volume,ibd_entry_volume_ratio,3,3,"[""FTAI"", ""ASML"", ""SNDK""]",True,True,True,True,27.930445333333335,0.0,False
2026-01-09,eps,eps_yoy_growth,3,3,"[""HUT"", ""LGND"", ""SOLV""]",True,True,True,True,-7.594584333333333,100.0,True
2026-01-09,momentum_20,mom_20,3,3,"[""SNDK"", ""FTAI"", ""HUT""]",True,True,True,True,22.157410999999996,33.33333333333333,True
2026-01-09,rel_spy_20,rel_spy_20,3,3,"[""SNDK"", ""FTAI"", ""HUT""]",True,True,True,True,22.157410999999996,33.33333333333333,True
2026-01-16,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""IBKR"", ""SANM"", ""TKO""]",True,True,True,True,-3.3054640000000006,33.33333333333333,True
2026-01-16,entry_volume,ibd_entry_volume_ratio,3,3,"[""ASTS"", ""MRNA"", ""IBKR""]",True,True,True,True,-5.986008666666667,66.66666666666666,True
2026-01-16,eps,eps_yoy_growth,3,3,"[""JNJ"", ""SCHW"", ""STX""]",True,True,True,True,10.715801333333332,33.33333333333333,True
2026-01-16,momentum_20,mom_20,3,3,"[""ASTS"", ""MRNA"", ""SANM""]",True,True,True,True,-11.530489666666668,100.0,True
2026-01-16,rel_spy_20,rel_spy_20,3,3,"[""ASTS"", ""MRNA"", ""SANM""]",True,True,True,True,-11.530489666666668,100.0,True
2026-01-23,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""MTB"", ""COHR"", ""PAC""]",True,True,True,True,10.278991,33.33333333333333,True
2026-01-23,entry_volume,ibd_entry_volume_ratio,3,3,"[""ALM"", ""LMND"", ""BKR""]",True,True,True,True,0.004382333333332156,66.66666666666666,True
2026-01-23,eps,eps_yoy_growth,3,3,"[""COHR"", ""ROKU"", ""CVNA""]",True,True,True,True,-8.411689666666666,100.0,True
2026-01-23,momentum_20,mom_20,3,3,"[""BILI"", ""ALM"", ""BKR""]",True,True,True,True,12.136117333333331,66.66666666666666,True
2026-01-23,rel_spy_20,rel_spy_20,3,3,"[""BILI"", ""ALM"", ""BKR""]",True,True,True,True,12.136117333333331,66.66666666666666,True
2026-01-30,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""AAPL"", ""CAH"", ""GSK""]",True,True,True,True,7.011123333333333,0.0,False
2026-01-30,entry_volume,ibd_entry_volume_ratio,3,3,"[""ALM"", ""ZM"", ""IBM""]",True,True,True,True,12.957962999999998,66.66666666666666,True
2026-01-30,eps,eps_yoy_growth,3,3,"[""IBM"", ""ZM"", ""PFG""]",True,True,True,True,-13.693576,66.66666666666666,True
2026-01-30,momentum_20,mom_20,3,3,"[""LMT"", ""ALM"", ""AAOI""]",True,True,True,True,78.336981,33.33333333333333,True
2026-01-30,rel_spy_20,rel_spy_20,3,3,"[""LMT"", ""ALM"", ""AAOI""]",True,True,True,True,78.336981,33.33333333333333,True
2026-02-13,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""PFIS"", ""NYAX"", ""MAS""]",True,True,True,True,-5.913140666666667,100.0,True
2026-02-13,entry_volume,ibd_entry_volume_ratio,3,3,"[""AZN"", ""GNRC"", ""SN""]",True,True,True,True,-11.999712,100.0,True
2026-02-13,eps,eps_yoy_growth,3,3,"[""PFIS"", ""VRT"", ""NEM""]",True,True,True,True,-0.6920630000000001,66.66666666666666,True
2026-02-13,momentum_20,mom_20,3,3,"[""GNRC"", ""VRT"", ""WULF""]",True,True,True,True,2.458936,66.66666666666666,True
2026-02-13,rel_spy_20,rel_spy_20,3,3,"[""GNRC"", ""VRT"", ""WULF""]",True,True,True,True,2.458936,66.66666666666666,True
2026-02-20,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""UBS"", ""HWM"", ""AS""]",True,True,True,True,-13.655067333333335,100.0,True
2026-02-20,entry_volume,ibd_entry_volume_ratio,3,3,"[""AXTI"", ""PAC"", ""RTX""]",True,True,True,True,31.106756000000004,66.66666666666666,True
2026-02-20,eps,eps_yoy_growth,3,3,"[""TTMI"", ""CDE"", ""COHR""]",True,True,True,True,-9.902662999999999,66.66666666666666,True
2026-02-20,momentum_20,mom_20,3,3,"[""AXTI"", ""XPO"", ""AAOI""]",True,True,True,True,64.45093466666667,66.66666666666666,True
2026-02-20,rel_spy_20,rel_spy_20,3,3,"[""AXTI"", ""XPO"", ""AAOI""]",True,True,True,True,64.45093466666667,66.66666666666666,True
2026-02-27,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""BTSG"", ""APEI"", ""BMY""]",True,True,True,True,6.4915069999999995,66.66666666666666,True
2026-02-27,entry_volume,ibd_entry_volume_ratio,3,3,"[""NATL"", ""CASY"", ""FIGS""]",True,True,True,True,-2.0745746666666665,33.33333333333333,True
2026-02-27,eps,eps_yoy_growth,3,3,"[""EQIX"", ""BMY"", ""FIGS""]",True,True,True,True,-3.8991396666666667,66.66666666666666,True
2026-02-27,momentum_20,mom_20,3,3,"[""FIGS"", ""NATL"", ""EQIX""]",True,True,True,True,-3.0441160000000003,33.33333333333333,True
2026-02-27,rel_spy_20,rel_spy_20,3,3,"[""FIGS"", ""NATL"", ""EQIX""]",True,True,True,True,-3.0441160000000003,33.33333333333333,True
2026-03-06,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""LMT"", ""VVX"", ""FIGS""]",True,True,True,True,-8.063467666666666,100.0,True
2026-03-06,entry_volume,ibd_entry_volume_ratio,3,3,"[""EXPE"", ""FIGS"", ""CF""]",True,True,True,True,-3.123498,100.0,True
2026-03-06,eps,eps_yoy_growth,3,3,"[""FIGS"", ""MPC"", ""LMT""]",True,True,True,True,-4.439510333333334,66.66666666666666,True
2026-03-06,momentum_20,mom_20,3,3,"[""FIGS"", ""CF"", ""PBF""]",True,True,True,True,0.7667053333333333,100.0,True
2026-03-06,rel_spy_20,rel_spy_20,3,3,"[""FIGS"", ""CF"", ""PBF""]",True,True,True,True,0.7667053333333333,100.0,True
2026-03-13,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""KR"", ""EQIX"", ""SNDK""]",True,True,True,True,12.370113333333334,66.66666666666666,True
2026-03-13,entry_volume,ibd_entry_volume_ratio,3,2,"[""APEI"", ""DOCN""]",True,False,True,False,4.779422666666666,33.33333333333333,True
2026-03-13,eps,eps_yoy_growth,3,3,"[""EQIX"", ""SNDK"", ""NFG""]",True,True,True,True,13.917118,33.33333333333333,True
2026-03-13,momentum_20,mom_20,3,3,"[""APEI"", ""DOCN"", ""SNDK""]",True,True,True,True,17.626564,66.66666666666666,True
2026-03-13,rel_spy_20,rel_spy_20,3,3,"[""APEI"", ""DOCN"", ""SNDK""]",True,True,True,True,17.626564,66.66666666666666,True
2026-03-20,closest_to_trigger,current_vs_ibd_candidate_pct,3,3,"[""MTZ"", ""STX"", ""CIEN""]",True,True,True,True,25.085573666666665,66.66666666666666,True
2026-03-20,entry_volume,ibd_entry_volume_ratio,3,3,"[""BTU"", ""STX"", ""DOCN""]",True,True,True,True,2.624317,100.0,True
2026-03-20,eps,eps_yoy_growth,3,3,"[""CIEN"", ""WDC"", ""MTZ""]",True,True,True,True,23.934490333333333,66.66666666666666,True
2026-03-20,momentum_20,mom_20,3,3,"[""SEDG"", ""DOCN"", ""CIEN""]",True,True,True,True,3.872007,100.0,True
