reason,rejected_candidate_rows,weeks,mean_snapshot_w4,median_snapshot_w4,top20_winner_rows,top20_winner_rate,big_winner_rows,big_winner_rate
non_actionable,386,21,2.172914950777202,0.276687,76,0.19689119170984457,37,0.09585492227979274
clear_geometry_failure,71,18,1.8796760985915495,0.7409,17,0.23943661971830985,6,0.08450704225352113
eps_unknown,73,19,3.5504630410958904,2.097235,18,0.2465753424657534,6,0.0821917808219178
