exclusive_reason,candidate_events,weeks,mean_w4,median_w4,positive_rate,stop8_rate,top20_winner_rate,big_winner_rate
non_actionable,376,22,2.453292760638298,-0.6774425,0.4654255319148936,0.3882978723404255,0.2047872340425532,0.11702127659574468
clear_geometry_failure,67,18,-0.7143923582089553,-0.728058,0.43283582089552236,0.373134328358209,0.14925373134328357,0.04477611940298507
eps_unknown,11,8,11.317198,2.69579,0.6363636363636364,0.2727272727272727,0.2727272727272727,0.09090909090909091
