code,eligible_rank,rank_bucket,w4_return_pct,w4_stop8,selected,snapshot_date
AAON,5,rank_4_6,-4.9728,True,False,2026-05-08
ORN,6,rank_4_6,-8.5235,True,False,2026-05-08
WLFC,7,rank_7_10,-17.4738,True,False,2026-05-08
EGP,8,rank_7_10,-3.5637,False,False,2026-05-08
HWBK,9,rank_7_10,-0.7129,False,False,2026-05-08
CORZ,10,rank_7_10,15.4018,False,False,2026-05-08
CECO,11,rank_11_plus,-4.8537,True,False,2026-05-08
HFBL,12,rank_11_plus,-3.9187,False,False,2026-05-08
LINC,13,rank_11_plus,7.3602,False,False,2026-05-08
HR,14,rank_11_plus,-1.9202,False,False,2026-05-08
NVEC,15,rank_11_plus,3.2748,True,False,2026-05-08
PCB,16,rank_11_plus,1.916,False,False,2026-05-08
TSN,17,rank_11_plus,-13.7465,True,False,2026-05-08
DCOM,18,rank_11_plus,0.9952,False,False,2026-05-08
MATX,19,rank_11_plus,2.3036,False,False,2026-05-08
PEBK,20,rank_11_plus,4.8175,False,False,2026-05-08
HLIO,1,rank_1_3,9.1932,False,True,2026-05-15
CVS,2,rank_1_3,6.5398,False,True,2026-05-15
AIZ,3,rank_1_3,2.8735,False,True,2026-05-15
VAL,4,rank_4_6,-14.366,True,False,2026-05-15
DVA,5,rank_4_6,4.6439,False,False,2026-05-15
NGS,6,rank_4_6,0.0474,True,False,2026-05-15
JBHT,7,rank_7_10,10.9204,False,False,2026-05-15
POET,8,rank_7_10,-26.3807,True,False,2026-05-15
DCO,9,rank_7_10,13.1481,False,False,2026-05-15
TRT,10,rank_7_10,-47.7143,True,False,2026-05-15
PRM,11,rank_11_plus,6.4526,True,False,2026-05-15
HG,12,rank_11_plus,-0.0627,True,False,2026-05-15
LITE,13,rank_11_plus,-3.3285,True,False,2026-05-15
ALKS,14,rank_11_plus,16.465,False,False,2026-05-15
CMPR,1,rank_1_3,-17.0739,True,True,2026-05-22
PDLB,2,rank_1_3,2.766,False,True,2026-05-22
CLBK,3,rank_1_3,-1.9481,False,True,2026-05-22
ROIV,4,rank_4_6,4.8366,False,False,2026-05-22
ELMD,5,rank_4_6,3.8111,False,False,2026-05-22
ALRS,6,rank_4_6,4.652,False,False,2026-05-22
RXO,7,rank_7_10,1.9679,False,False,2026-05-22
ROST,8,rank_7_10,-1.2848,False,False,2026-05-22
GS,9,rank_7_10,9.4251,False,False,2026-05-22
PFIS,10,rank_7_10,6.1573,False,False,2026-05-22
BWA,1,rank_1_3,-3.7314,False,True,2026-05-29
NBIX,2,rank_1_3,5.748,False,True,2026-05-29
