rank_bucket,candidate_rows,weeks,mean_w4,median_w4,positive_rate,stop8_rate
rank_1_3,93,38,4.182703225806452,2.6557,0.6236559139784946,0.2903225806451613
rank_4_6,54,19,0.5442074074074073,1.1989,0.5370370370370371,0.35185185185185186
rank_7_10,54,14,-3.2915018518518515,-0.68355,0.46296296296296297,0.3148148148148148
rank_11_plus,171,12,2.0377461988304093,1.471,0.6023391812865497,0.2631578947368421
