baseline,support_weeks,mean_return,median_return,mean_spread_vs_b0,median_spread_vs_b0,beat_b0_rate,spread_ci_low,spread_ci_high,mean_without_best1,mean_without_best2,positive_edge_concentration,mean_stop8_pct,b0_mean_stop8_pct,stop8_exposure_delta_pp,any_stop_or_le8_week_rate,b0_any_stop_or_le8_week_rate,any_stop_or_le8_week_delta_pp
closest_to_trigger,22,2.489568833333333,1.3394408333333336,-1.5754534393939394,0.1864263333333338,0.5,-6.617493,4.014613,-2.7292027460317465,-3.35358655,0.33973861553490936,42.42424242424242,21.212121212121207,21.21212121212121,0.7272727272727273,0.5,22.727272727272727
entry_volume,19,6.4197365263157895,2.624317,2.487794,-0.18301000000000003,0.47368421052631576,-4.97179,8.382952,0.4163095925925917,-1.3350858627450986,0.3007989873448253,47.36842105263158,24.561403508771924,22.80701754385965,0.7368421052631579,0.5789473684210527,15.789473684210526
eps,22,1.7288810151515153,2.752315,-2.336141257575758,-1.1557641666666658,0.45454545454545453,-9.563796,4.747249,-3.4713003015873016,-4.631934333333334,0.2977266363308554,51.51515151515151,21.212121212121207,30.303030303030308,0.9090909090909091,0.5,40.909090909090914
momentum_20,22,11.702516303030306,4.1492415,7.637494030303031,4.0602615,0.6363636363636364,2.1937,17.264539,4.5193417460317455,3.0535102333333337,0.30958420098188755,59.09090909090909,21.212121212121207,37.87878787878788,1.0,0.5,50.0
rel_spy_20,22,11.702516303030306,4.1492415,7.637494030303031,4.0602615,0.6363636363636364,2.1937,17.264539,4.5193417460317455,3.0535102333333337,0.30958420098188755,59.09090909090909,21.212121212121207,37.87878787878788,1.0,0.5,50.0
