cohort,picks,mean_w4,median_w4,p10_w4,cvar10_w4,positive_rate,stop8_rate,terminal_le_minus8_rate,share_of_momentum_picks,selected_by_b0_rate
all,66,11.702516303030304,3.5740515000000004,-15.739739,-23.614100428571426,0.6060606060606061,0.5909090909090909,0.21212121212121213,1.0,0.16666666666666666
eligible,11,20.70829836363636,13.101983,-15.72327,-15.739739,0.8181818181818182,0.45454545454545453,0.18181818181818182,0.16666666666666666,1.0
gate_outside,55,9.901359890909088,2.204409,-17.6228016,-24.923749166666667,0.5636363636363636,0.6181818181818182,0.21818181818181817,0.8333333333333334,0.0
