code,snapshot_date,signal,signal_source,bf_watch_active,bf_watch_s_resistance,bf_watch_s_distance_pct,bf_watch_s_side,bf_watch_m_resistance,bf_watch_m_distance_pct,bf_watch_m_side,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type
DGX,2026-09-14,True,10_wk_ema_touch_confirm,,,,,,,,True,ma10_touch_confirm,237.56,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-09-14"", ""ma10_prior_week"": 231.105, ""pending_high"": 237.56, ""touch_date"": ""2026-09-07""}",0.0,,,,,,,,,daily_volume_not_confirmed,237.88999938964844,0.14,UNCONFIRMED,0.2210695347265378,4.4,2026-07-20,11.4,2,0,213.5,2026-02-23,-12.8,1,21,12.8,2,5.0,-7.0,-3.2,True,False,14.537338641573166,247.19000244140625,-3.7622893158724247,Health Services,Services to the Health Industry,TV_DIRECT,resolved,,
DJCO,2026-09-14,True,ceiling_breakout,,,,,,,,,ceiling,674.75,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,677.0499877929688,0.34,UNCONFIRMED,0.2890303257207038,0.0,2026-09-14,0.3,0,0,674.75,2026-01-19,-33.7,2,34,33.7,0,,,,True,False,-175.49166626868524,680.4600219726562,-0.5011365943001,Consumer Services,Publishing: Newspapers,TV_DIRECT,resolved,,
EXPD,2026-09-14,True,10_wk_ema_touch_confirm,,,,,,,,False,ma10_touch_confirm,193.15,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-09-14"", ""ma10_prior_week"": 182.302, ""pending_high"": 193.15, ""touch_date"": ""2026-09-07""}",0.0,,,,,,,,,daily_volume_not_confirmed,193.61000061035156,0.24,UNCONFIRMED,0.2056948021022552,15.5,2026-06-29,15.8,3,0,167.19000244140625,2026-02-02,-22.5,1,21,22.5,2,3.0,-4.2,0.7,True,False,50.82613873176541,193.82000732421875,-0.1083514115835737,Transportation,Air Freight/Couriers,TV_DIRECT,resolved,,
HNGE,2026-09-14,True,pivot,,,,,,,,False,pivot,90.4,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 90.4, ""resistance_date"": ""2026-09-14""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,94.79000091552734,4.86,UNCONFIRMED,0.3028645082425775,49.0,2026-06-01,56.7,3,0,60.5,2025-08-11,-50.3,3,42,50.3,3,3.0,-7.5,1.6,True,False,103.9694656489,95.56999969482422,-0.8161544227137996,Technology Services,Packaged Software,YahooLiveObserved,resolved,,TURNAROUND
HNVR,2026-09-14,True,ceiling_breakout,,,,,,,,,ceiling,27.0,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,27.40999984741211,1.52,UNCONFIRMED,0.1780979317659536,0.0,2026-09-14,1.5,0,0,27.0,2025-01-27,-32.2,7,85,32.2,0,,,,True,False,68.66952789699572,27.940000534057617,-1.896924396975086,Finance,Regional Banks,TV_DIRECT,resolved,,
KO,2026-09-14,True,10_wk_ema_touch_confirm,,,,,,,,True,ma10_touch_confirm,88.96,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-09-14"", ""ma10_prior_week"": 86.677, ""pending_high"": 88.96, ""touch_date"": ""2026-09-07""}",0.0,,,,,,,,,daily_volume_not_confirmed,89.3499984741211,0.44,UNCONFIRMED,0.1991604059581188,8.6,2026-07-20,9.0,2,0,82.0,2026-02-23,-9.7,1,21,9.7,2,5.0,-4.9,-2.7,False,False,16.194790486976217,92.48999786376952,-3.3949610359742977,Consumer Non-Durables,Beverages: Non-Alcoholic,TV_DIRECT,resolved,,
MATX,2026-09-14,True,pivot,,,,,,,,False,pivot,230.74,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 230.74, ""resistance_date"": ""2026-09-14""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,236.6199951171875,2.55,UNCONFIRMED,0.293884789562023,38.2,2026-04-06,40.9,4,0,167.94000244140625,2024-11-04,-48.2,5,74,48.2,4,6.0,-16.1,2.5,True,False,46.09278773778567,237.4199981689453,-0.3369568940812417,Transportation,Marine Shipping,TV_DIRECT,resolved,,
NET,2026-09-14,True,10_wk_ema_touch_confirm,,,,,,,,True,ma10_touch_confirm,319.43,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-09-14"", ""ma10_prior_week"": 288.167, ""pending_high"": 319.43, ""touch_date"": ""2026-08-17""}",0.0,,,,,,,,,daily_volume_not_confirmed,330.3599853515625,3.42,UNCONFIRMED,0.2803969844061855,23.1,2026-07-06,29.9,2,0,254.3000030517578,2025-10-27,-37.5,2,36,37.5,2,6.0,-18.9,-0.6,True,False,-230.3719008264463,334.6000061035156,-1.267190877050184,Technology Services,Information Technology Services,TV_DIRECT,resolved,,
NTRA,2026-09-14,True,pivot,,,,,,,,True,pivot,333.56,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 333.56, ""resistance_date"": ""2026-09-14""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,341.7900085449219,2.47,UNCONFIRMED,0.1930917264388842,30.5,2026-06-22,36.7,2,0,250.0,2025-12-01,-27.6,3,29,27.6,3,5.0,-5.3,2.5,True,False,36.846372111876775,343.17999267578125,-0.4050306429642436,Health Technology,Biotechnology,TV_DIRECT,resolved,,
NUTX,2026-09-14,True,pivot,,,,,,,,,pivot,201.49,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 201.49, ""resistance_date"": ""2026-09-14""}, {""box_type"": ""S_BOX"", ""price"": 201.49, ""resistance_date"": ""2026-09-14""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 201.49, ""resistance_date"": ""2026-09-14""}}",1.0,2026-09-14,201.49,201.49,1.6537768687949506,0.0770758066031114,0.9044403662698302,0.7495175365599677,pivot,,217.02000427246097,7.71,EXTENDED,0.3635605710967857,12.3,2026-08-31,13.0,0,0,192.0,2026-01-05,-56.3,3,34,56.3,0,,,,True,False,417.9661016949,219.0,-0.9041076381456904,Health Services,Medical/Nursing Services,YahooLiveObserved,resolved,,TURNAROUND
OSCR,2026-09-14,True,pivot,,,,,,,,True,pivot,33.1,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 33.1, ""resistance_date"": ""2026-09-14""}, {""box_type"": ""S_BOX"", ""price"": 33.27, ""resistance_date"": ""2026-09-14""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,33.810001373291016,2.15,UNCONFIRMED,0.2233511890871751,37.9,2026-06-01,42.1,0,1,23.790000915527344,2024-05-13,-55.1,7,107,55.1,2,5.0,-12.6,1.6,True,False,223.595505618,34.47999954223633,-1.9431501677504293,Health Services,Managed Health Care,YahooLiveObserved,resolved,,TURNAROUND
PARK,2026-09-14,True,ceiling_breakout,,,,,,,,,ceiling,20.95,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,21.209999084472656,1.24,UNCONFIRMED,0.2361238883777982,0.0,2026-09-14,1.2,0,0,20.950000762939453,2026-03-02,-25.7,2,28,25.7,0,,,,True,False,-64.23731614609154,26.790000915527344,-20.82867353625415,Health Services,Medical/Nursing Services,TV_DIRECT,resolved,,
PBHC,2026-09-14,True,pivot,,,,,,,,,pivot,17.22,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 17.22, ""resistance_date"": ""2026-09-14""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,17.520000457763672,1.74,UNCONFIRMED,0.0343445907269605,1.8,2026-09-07,3.8,0,0,16.8799991607666,2026-06-15,-11.4,1,12,11.4,0,,,,False,False,-102.68924302788844,18.299999237060547,-4.262288589156049,Finance,Regional Banks,TV_DIRECT,resolved,,
PBT,2026-09-14,True,pivot,,,,,,,,True,pivot,35.5,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 35.5, ""resistance_date"": ""2026-09-14""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,35.58000183105469,0.23,UNCONFIRMED,0.1130823276421407,8.8,2026-08-10,10.3,0,0,32.25,2026-05-18,-25.4,1,12,25.4,1,4.0,-7.7,0.2,False,False,61.478599221789885,35.79999923706055,-0.6145179069672047,Miscellaneous,Investment Trusts/Mutual Funds,TV_DIRECT,resolved,,
PFBC,2026-09-14,True,ceiling_breakout,,,,,,,,,ceiling,103.05,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,105.12000274658205,2.01,UNCONFIRMED,0.3346832908627594,0.0,2026-09-14,2.0,0,0,103.0500030517578,2025-12-15,-20.9,4,39,20.9,0,,,,True,False,8.256523937307975,112.26000213623048,-6.360234503633677,Finance,Regional Banks,TV_DIRECT,resolved,,
PFG,2026-09-14,True,10_wk_ema_touch_confirm,,,,,,,,False,ma10_touch_confirm,116.57,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-09-14"", ""ma10_prior_week"": 113.167, ""pending_high"": 116.57, ""touch_date"": ""2026-09-07""}",0.0,,,,,,,,,daily_volume_not_confirmed,116.9000015258789,0.28,UNCONFIRMED,0.149396295205007,17.7,2026-04-20,19.4,3,0,97.87999725341795,2026-02-02,-13.2,1,11,13.2,6,3.0,-6.6,-3.5,True,False,2.849336455893829,121.18000030517578,-3.531934946788462,Finance,Investment Managers,TV_DIRECT,resolved,,
PHVS,2026-09-14,True,10_wk_ema_touch_confirm,,,,,,,,False,ma10_touch_confirm,38.13,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-09-14"", ""ma10_prior_week"": 35.171, ""pending_high"": 38.13, ""touch_date"": ""2026-07-20""}",0.0,,,,,,,,,daily_volume_not_confirmed,38.86000061035156,1.91,UNCONFIRMED,0.3187170830951232,36.0,2026-04-13,36.4,2,0,28.479999542236328,2025-11-24,-18.7,1,20,18.7,5,4.0,-8.5,5.2,True,False,13.303628262253335,43.25,-10.150287606123554,Health Technology,Biotechnology,TV_DIRECT,resolved,,
PNTG,2026-09-14,True,ceiling_breakout,,,,,,,,True,ceiling_pullback,39.595,ceiling_breakout,"{""abandon_line"": 35.603401794433594, ""atr_zone_width"": 0.9298636661240046, ""ceiling"": 36.33000183105469, ""confirm_close"": 40.11000061035156, ""confirm_date"": ""2026-09-14"", ""max_zone_width"": 1.8165000915527345, ""pending_high"": 39.595001220703125, ""touch_atr14"": 3.0995455537466823, ""touch_date"": ""2026-08-24"", ""touch_high"": 39.595001220703125, ""touch_low"": 37.029998779296875, ""zone_cap_applied"": false, ""zone_pct"": 2.559492483507563, ""zone_upper"": 37.259865497178694, ""zone_width"": 0.9298636661240046}",0.0,,,,,,,,,daily_volume_not_confirmed,40.11000061035156,1.3,UNCONFIRMED,0.2743554692601719,4.1,2026-06-29,10.4,1,0,36.33000183105469,2024-09-16,-41.7,9,93,41.7,1,10.0,-14.1,-5.6,True,False,26.110833749375928,42.689998626708984,-6.043565470492307,Health Services,Medical/Nursing Services,TV_DIRECT,resolved,,
RNR,2026-09-14,True,ceiling_breakout,,,,,,,,True,ceiling_pullback,330.12,ceiling_breakout,"{""abandon_line"": 311.64, ""atr_zone_width"": 4.3817844203134735, ""ceiling"": 318.0, ""confirm_close"": 330.6199951171875, ""confirm_date"": ""2026-09-14"", ""max_zone_width"": 15.9, ""pending_high"": 330.1199951171875, ""touch_atr14"": 14.605948067711578, ""touch_date"": ""2026-09-07"", ""touch_high"": 330.1199951171875, ""touch_low"": 319.1600036621094, ""zone_cap_applied"": false, ""zone_pct"": 1.3779196290293942, ""zone_upper"": 322.38178442031347, ""zone_width"": 4.3817844203134735}",1.0,2026-09-14,330.12,330.12,1.7914651071914625,0.001514585960219,0.8136082921015566,0.1479273357651039,ceiling_pullback,,330.6199951171875,0.15,ACTIONABLE,0.408407762665786,2.3,2026-07-13,4.0,1,0,318.0,2026-02-23,-13.3,2,20,13.3,2,4.0,-4.8,-1.4,True,False,-9.975169654643048,340.239990234375,-2.827414587732835,Finance,Property/Casualty Insurance,TV_DIRECT,resolved,,
ROKU,2026-09-14,True,10_wk_ema_touch_confirm,,,,,,,,True,ma10_touch_confirm,155.5,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-09-14"", ""ma10_prior_week"": 150.8575, ""pending_high"": 155.5, ""touch_date"": ""2026-09-07""}",0.0,,,,,,,,,daily_volume_not_confirmed,157.4499969482422,1.25,UNCONFIRMED,0.1488017341014467,27.4,2026-04-27,35.0,2,0,116.66000366210938,2025-10-27,-32.7,2,26,32.7,5,6.0,-3.7,-0.3,True,False,1440.02849002849,159.88999938964844,-1.5260506915507732,Technology Services,Packaged Software,TV_DIRECT,resolved,,
