code,signal,signal_source,pullback_v_is_dry,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,is_bullish,is_priority
GRMN,False,,,0.835918227270662,1.0,2026-04-06,1.2,1,0,256.42,False,False
FRO,False,,False,0.8314963664302181,28.5,2026-01-26,39.4,2,0,25.53,False,False
LITE,False,,True,0.8304400064636792,743.5,2025-07-21,747.7,3,0,104.0,False,False
DELL,False,,,0.8298082028533981,26.2,2026-03-23,29.6,0,0,166.69,True,False
SPHR,False,,False,0.8297920717487144,125.2,2025-09-08,158.9,2,0,50.74,False,False
COHR,False,,False,0.8290320016772766,188.9,2025-10-13,195.9,3,1,113.6,False,False
NTB,False,,False,0.8248256080773927,22.0,2025-11-17,22.8,3,2,45.51,False,False
MTZ,False,,False,0.8238188841143683,118.7,2025-06-23,125.3,6,2,166.95,True,False
DLX,False,,True,0.822833287068392,50.9,2025-11-24,56.4,3,1,19.39,False,False
SNDK,False,,True,0.8197411699883257,1344.1,2025-09-01,1677.5,4,1,55.69,True,False
BTSG,False,,False,0.8167102411687408,82.1,2025-09-08,94.0,4,0,24.82,True,False
DG,False,,,0.8134775294483884,-4.7,2026-04-13,3.9,0,0,116.19,False,False
ENLT,False,,False,0.8106814841579469,349.1,2025-05-26,379.0,2,1,18.28,True,False
CIEN,False,,False,0.8102508761541779,346.3,2025-09-01,413.4,6,0,101.44,True,False
FDX,False,,False,0.8070819462180656,24.7,2026-01-05,28.3,1,0,302.37,False,False
PAHC,False,,False,0.8062348734742198,4.2,2026-02-02,19.4,1,0,46.19,False,False
AU,False,,False,0.8025290957707041,237.0,2025-03-03,237.5,8,1,29.42,False,False
ALNT,False,,False,0.7998310084873212,62.8,2025-10-06,68.4,4,2,44.34,True,False
INVA,False,,,0.7987117619128308,2.5,2026-03-30,3.6,1,0,22.76,False,False
PSX,False,,False,0.7972676048728808,16.0,2026-01-19,16.3,1,0,140.0,True,False
GLW,False,,False,0.7937571480511266,228.7,2025-07-14,229.3,4,2,53.41,True,False
EE,False,,False,0.7931287810486168,1.8,2026-01-12,5.3,0,0,32.06,False,False
PHIN,False,,False,0.7927347460074017,22.3,2025-12-15,25.5,0,0,58.72,True,False
DBD,False,,False,0.788611543322092,32.7,2025-11-24,35.5,2,1,63.21,False,False
GNRC,False,,,0.7883967042212939,6.7,2026-04-06,8.7,1,0,203.25,True,False
LGND,False,,,0.7863900642703258,-0.2,2026-04-13,10.6,0,0,209.1,False,False
VAL,False,,False,0.7849560590078795,-5.0,2026-02-09,11.2,0,0,81.97,True,False
ODC,False,,,0.7834262892354357,10.1,2026-03-30,11.8,1,0,66.5,True,False
CVEO,False,,,0.7831137362442495,10.8,2026-04-06,10.9,1,0,28.36,True,False
UCTT,False,,,0.7813279441763581,43.9,2026-03-16,48.2,1,0,56.03,True,False
MPC,False,,True,0.780726103291682,1.3,2026-03-02,5.7,0,0,211.96,True,False
ESEA,False,,,0.7776424834175248,1.1,2026-03-30,7.4,1,0,63.32,False,False
SHEL,False,,False,0.7600554684562623,14.2,2026-02-09,19.1,0,0,74.86,True,False
DAN,False,,True,0.759152327798005,112.0,2025-08-11,118.7,3,2,17.8,True,False
AA,False,,False,0.7581476461088923,-7.7,2026-03-30,1.7,1,0,64.9,False,False
ROST,False,,False,0.7553619411416711,45.1,2025-10-20,45.2,3,0,155.9,False,False
FCF,False,,,0.7521032785105454,-0.6,2026-04-06,3.5,0,0,17.99,False,False
MRNA,False,,True,0.7512867281720492,21.3,2026-01-12,42.5,1,0,35.59,False,False
DE,False,,True,0.7460601274739125,-3.2,2026-02-02,6.8,0,0,526.87,False,False
C,False,,False,0.7386590809196639,54.4,2025-06-23,55.1,6,2,82.52,False,False
VLO,False,,True,0.7335575556093219,64.3,2025-08-18,72.9,4,2,136.43,True,False
SNEX,False,,,0.733159939155082,35.5,2026-03-23,48.8,1,0,71.32,False,False
PAAS,False,,True,0.7278357088718467,96.0,2025-06-02,118.4,3,1,25.64,False,False
XPO,False,,True,0.7257403930137084,9.9,2026-02-02,40.3,3,1,159.43,False,False
OVBC,False,,False,0.7175501154384292,17.4,2025-11-17,20.5,4,2,37.83,False,False
AGX,False,,False,0.7115191038239064,59.4,2026-02-09,65.0,2,0,395.72,True,False
CF,False,,False,0.7104607365445597,4.4,2026-03-02,17.8,0,0,102.67,True,False
CTRI,False,,False,0.7070183078408131,35.8,2025-12-01,41.2,2,1,24.6,True,False
KEYS,False,,False,0.7067651749874038,75.3,2025-11-24,83.3,3,2,189.32,True,False
BURL,False,,,0.7062780149895141,6.9,2026-03-16,9.7,1,0,302.42,False,False
FSLY,False,,False,0.6878207917835734,30.1,2026-02-09,91.3,1,0,12.42,False,False
BVFL,False,,True,0.6823330689295068,10.6,2025-11-24,13.0,2,2,17.95,True,False
BOTJ,False,,False,0.6722179038045851,38.1,2025-10-27,41.1,5,0,16.51,False,False
CPF,False,,,0.6652972943625788,7.8,2026-03-23,8.5,1,0,31.34,False,False
LINC,False,,False,0.6624478433668969,50.0,2026-01-12,56.5,1,0,24.99,False,False
NTR,False,,False,0.6619238677820436,8.6,2026-01-12,15.7,1,0,61.88,True,False
CASY,False,,False,0.6551923891879153,50.0,2025-11-03,51.0,4,1,529.58,True,False
ACLX,False,,True,0.6510497449523663,1.1,2026-02-23,8.3,0,0,106.24,False,False
APGE,False,,,0.6500193765072491,-0.8,2026-04-06,1.2,0,0,84.56,False,False
ELVN,False,,,0.6297342164165012,14.0,2026-03-23,47.4,1,0,30.03,False,False
TEN,False,,True,0.6154472041814529,38.7,2026-02-09,38.9,0,0,28.28,True,False
IGIC,False,,,0.6085402402538348,4.2,2026-03-30,8.3,1,0,24.29,False,False
SSRM,False,,True,0.5991092789596278,15.5,2026-03-23,26.1,1,0,24.23,False,False
OPLN,False,,,0.5607881979613468,0.7,2026-04-13,2.5,0,0,31.07,True,False
JHG,False,,False,0.48566987014541596,12.0,2025-12-15,12.6,0,0,45.8,False,False
CLST,False,,False,0.4841021826884436,24.6,2025-08-25,25.8,3,0,12.71,True,False
CZWI,False,,True,0.32565993153366024,20.2,2025-11-24,23.8,2,1,16.66,False,False
