ticker,code,vol_ratio_1w,eps_growth,close,open|1W,high|1W,low|1W,volume|1W,market_cap_basic,change|1W,sector
NASDAQ:FELE,FELE,1.3543459843591605,20.833333333333336,101.94,101.1,102.26,98.16,2277240,4502204022.0,0.2557041699449163,Producer Manufacturing
NASDAQ:MCHP,MCHP,1.3522556546042241,,89.44,79.0,92.24,78.42,56565776,48399154807.0,13.560182833925841,Electronic Technology
NASDAQ:ITIC,ITIC,1.3515750947671126,-10.056005260413128,245.4,240.82,247.29,235.52,108570,463314197.00000006,1.7117751896215838,Finance
NYSE:RS,RS,1.351286050201571,36.37092892668057,351.68,324.43,365.0,323.78,2333851,17973971565.0,8.029735209190877,Non-Energy Minerals
NYSE:BA,BA,1.346941341219862,30.06736068585426,232.44,222.23,236.45,218.9,42180382,183232990194.00003,4.055868922911632,Electronic Technology
NASDAQ:LWAY,LWAY,1.3466435645585875,,27.66,25.66,27.78,25.345,382544,419037934.0,7.79423226812159,Consumer Non-Durables
NASDAQ:LMB,LMB,1.3455315898410376,24.865129965669443,96.19,92.3,102.34,91.02,1210122,1123440640.0,2.811030354852496,Miscellaneous
NASDAQ:BAND,BAND,1.3449240755638159,-54.358161648177486,24.12,22.66,25.69,22.21,3030198,772194156.0,4.823989569752278,Technology Services
NASDAQ:WDFC,WDFC,1.3431866856423527,-31.603666043500063,224.96,213.11,228.12,212.075,1116415,3026927408.0,5.426937857343712,Process Industries
NYSE:RJF,RJF,1.338847052029533,15.381352337320777,153.42,151.27,157.37,151.27,9407568,30237706066.0,1.1004942339373889,Finance
NASDAQ:EEFT,EEFT,1.3385990953398923,10.318432333129207,74.23,74.12,80.07,73.21,4545223,2818224207.0000005,-0.22849462365591625,Commercial Services
NASDAQ:EWBC,EWBC,1.3356659067537695,23.326455204184462,122.67,117.84,124.84,117.6,6968874,16803180466.000004,3.94001016776818,Finance
NASDAQ:GSAT,GSAT,1.3356056484307113,73.1980906921241,81.81,79.9,82.1,79.62,8025101,10520039661.999998,2.2369407648088058,Communications
NASDAQ:JOUT,JOUT,1.3355053197140343,76.0525094477226,51.6,51.12,53.31,50.275,471406,533719257.99999994,0.3891050583657643,Consumer Durables
NYSE:AESI,AESI,1.3292815774966584,-238.63987635239567,16.31,13.33,16.5,13.16,26505346,2036583264.0,22.723852520692247,Industrial Services
NYSE:CHE,CHE,1.328772513537966,-0.417669691171322,421.11,383.59,453.61,371.0,1652995,5648734218.0,9.490132861860067,Health Services
NASDAQ:GAIN,GAIN,1.3256045386004658,58.473282442748086,16.28,15.74,16.535,15.74,2068277,648301667.9999999,2.132998745294866,Miscellaneous
NYSE:LNN,LNN,1.3255818906949952,-52.84869879320252,108.89,106.94,111.025,106.2,927290,1131982935.0,0.5540677809585319,Producer Manufacturing
NASDAQ:ENTG,ENTG,1.3212824160705232,-51.87936413608676,155.98,145.67,159.15,144.44,15680137,23747782985.0,6.791729426263171,Producer Manufacturing
NASDAQ:CPRX,CPRX,1.320846554094462,-6.63656884875846,27.37,26.2,28.1,25.55,8023531,3342530865.0,4.226961157654224,Health Technology
NYSE:MTH,MTH,1.3198424781281404,-51.745149077141505,69.07,67.43,71.74,66.465,5957855,4607136870.0,1.4690759512266787,Finance
NASDAQ:AVT,AVT,1.3186408523026616,-24.509009921036647,78.65,73.985,79.17,73.93,6057789,6438522592.999999,6.499661475964809,Distribution Services
NASDAQ:SLM,SLM,1.3179290972866267,10.020025747389493,23.83,22.62,24.625,22.26,26963329,4493927971.0,5.256183745583029,Finance
NASDAQ:CSX,CSX,1.3039934103202804,26.947861745752792,45.41,43.29,46.55,42.88,79577780,84378087893.0,4.824561403508763,Transportation
NASDAQ:DIOD,DIOD,1.3013798592025334,24.2117117117117,104.4,94.99,108.0,94.97,3334051,4803085068.0,10.080134964150151,Electronic Technology
NYSE:LEU,LEU,1.3002164240819134,-75.3108792101481,205.63,198.33,230.49,189.11,5539363,4045068501.0,0.9821735500662967,Non-Energy Minerals
