code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type
ALM,2025-12-19,True,ceiling_breakout,,ceiling,7.74,ceiling_breakout,,1.0,2025-12-16,7.74,7.74,1.5210214393525456,0.0310077519379845,0.9729729729729736,0.3243243243243245,ceiling,,8.46,9.3,EXTENDED,1.6955117883794495,0.0,2025-12-15,9.3,0,0,7.74,2025-06-30,-59.2,2,24,59.2,4.7368421052631575,1.0,0,,,,True,True,,10.68,-20.78651685393258,Non-Energy Minerals,Other Metals/Minerals,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,
MU,2025-12-19,True,pivot,True,pivot,257.07,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 257.07, ""resistance_date"": ""2025-12-15""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 257.07, ""resistance_date"": ""2025-12-15""}}",1.0,2025-12-19,257.07,257.07,2.454530422232894,0.0344264208192321,0.8520745640408911,0.5321707757065559,pivot,,265.92,3.44,ACTIONABLE,2.0820798811261754,69.2,2025-09-08,85.5,1,0,143.33,2024-06-10,-57.1,5,65,57.1,4.605263157894737,2.0,3,6.0,-25.1,3.4,True,True,175.4491017964,268.38,-0.9166107757657028,Electronic Technology,Semiconductors,SEC,resolved,,GROWTH
RKLB,2025-12-19,True,10_wk_ema_touch_confirm,True,ma10_touch_confirm,65.18,10_wk_ema_touch_confirm,"{""confirm_date"": ""2025-12-15"", ""ma10_prior_week"": 54.824, ""pending_high"": 65.18, ""touch_date"": ""2025-12-08""}",1.0,2025-12-19,65.18,65.18,2.5204211715975067,0.081926971463639,0.9959225280326192,0.5443425076452587,ma10_touch_confirm,,70.52,8.19,EXTENDED,1.9632729229648036,99.3,2025-06-23,111.5,4,1,33.34,2025-01-20,-55.9,1,22,55.9,4.552631578947368,3.0,3,10.0,-49.2,-4.7,True,True,70.0,73.97,-4.664052994457213,Electronic Technology,Aerospace & Defense,SEC,resolved,,LOSS_NARROWING
TSLA,2025-12-19,True,pivot,,pivot,467.0,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 467.0, ""resistance_date"": ""2025-12-15""}, {""box_type"": ""S_BOX"", ""price"": 467.0, ""resistance_date"": ""2025-12-15""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,481.2,3.04,UNCONFIRMED,1.475404076769291,5.8,2025-12-01,10.3,1,0,436.3,2021-11-01,-76.7,14,213,76.7,4.315789473684211,4.0,0,,,,True,True,-37.0967741935,495.28,-2.842836375383617,Unknown,Unknown,SEC,resolved,,DECLINE
UAL,2025-12-19,True,ceiling_breakout,,ceiling,110.25,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,113.99,3.39,UNCONFIRMED,1.0198298329143394,0.0,2025-12-15,3.4,0,0,110.25,2025-02-03,-52.8,2,45,52.8,3.5,5.0,0,,,,True,False,0.0,116.0,-1.732758620689656,Transportation,Airlines,SEC,resolved,,FLAT
EXPE,2025-12-19,True,pivot,False,pivot,279.14,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 279.14, ""resistance_date"": ""2025-12-15""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,289.25,3.62,UNCONFIRMED,1.2921385852642908,39.9,2025-08-11,40.4,2,1,206.07,2025-02-10,-37.3,1,26,37.3,3.3421052631578947,6.0,3,5.0,-16.2,3.6,True,False,45.4365079365,292.42,-1.0840571780316055,Consumer Services,Other Consumer Services,SEC,resolved,,GROWTH
LLY,2025-12-19,True,ceiling_breakout,False,ceiling_pullback,1031.56,ceiling_breakout,"{""abandon_line"": 944.4064, ""atr_zone_width"": 20.10763878168864, ""ceiling"": 963.68, ""confirm_close"": 1071.44, ""confirm_date"": ""2025-12-15"", ""max_zone_width"": 48.184, ""pending_high"": 1031.56, ""touch_atr14"": 67.0254626056288, ""touch_date"": ""2025-12-08"", ""touch_high"": 1031.56, ""touch_low"": 977.12, ""zone_cap_applied"": false, ""zone_pct"": 2.0865472752042837, ""zone_upper"": 983.7876387816885, ""zone_width"": 20.10763878168864}",1.0,2025-12-19,1059.01,1031.56,1.5624824065907257,0.0386598937531506,0.7593158216249221,2.436163714111168,ceiling_pullback,,1071.44,3.87,ACTIONABLE,1.4531688652934291,4.7,2025-11-10,11.2,0,0,963.68,2024-08-26,-35.5,6,63,35.5,3.3421052631578947,7.0,1,4.0,-12.1,-3.6,True,True,480.3738317757,1111.99,-3.6466155271180463,Health Technology,Pharmaceuticals: Major,SEC,resolved,,GROWTH
CEG,2025-12-19,True,ceiling_breakout,,ceiling,353.18,ceiling_breakout,,1.0,2025-12-19,361.2,353.18,1.9679222540632368,0.0062857466447703,0.0837370242214519,0.1536332179930776,ceiling,,355.4,0.63,ACTIONABLE,1.6486093036888398,0.0,2025-12-15,0.6,0,0,353.18,2025-01-20,-54.5,3,47,54.5,3.3157894736842106,8.0,0,,,,False,False,-22.2513089005,412.23,-13.785993256191942,Unknown,Unknown,SEC,resolved,,DECLINE
SHOP,2025-12-19,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,168.93,10_wk_ema_touch_confirm,"{""confirm_date"": ""2025-12-15"", ""ma10_prior_week"": 158.575, ""pending_high"": 168.93, ""touch_date"": ""2025-12-08""}",1.0,2025-12-19,168.93,168.93,1.6285818532374383,0.0037885514710234,0.5378151260504185,0.1344537815126016,ma10_touch_confirm,,169.57,0.38,ACTIONABLE,1.3229311813041191,13.3,2025-08-04,31.9,4,1,128.57,2025-02-10,-45.7,1,25,45.7,3.289473684210526,9.0,4,8.0,-25.3,-6.9,True,True,-68.75,182.19,-6.926834623195566,Unknown,Unknown,SEC,resolved,,DECLINE
CHRW,2025-12-19,True,pivot,False,pivot,159.66,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 159.66, ""resistance_date"": ""2025-12-15""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 159.66, ""resistance_date"": ""2025-12-15""}}",1.0,2025-12-18,160.19,159.66,1.5281725001821795,0.0336339721909058,0.8548123980424165,0.8760195758564451,pivot,,166.46,4.26,ACTIONABLE,1.8939554459680557,47.5,2025-07-28,48.2,2,1,112.35,2024-12-09,-25.8,4,33,25.8,3.263157894736842,10.0,4,4.0,-5.0,4.3,True,True,67.5,167.1,-0.3830041891083047,Unknown,Unknown,SEC,resolved,,GROWTH
