snapshot_date,pool_path,signal_rows,filled_rows,unresolved_rows,status
2025-10-10,backtest/ibd_skill_replay_pools/2025-10-10/breakout_follow_pool.csv,12,8,4,rebuilt
2025-10-24,backtest/ibd_skill_replay_pools/2025-10-24/breakout_follow_pool.csv,29,26,3,rebuilt
2025-10-31,backtest/ibd_skill_replay_pools/2025-10-31/breakout_follow_pool.csv,28,22,6,rebuilt
2025-11-07,backtest/ibd_skill_replay_pools/2025-11-07/breakout_follow_pool.csv,15,14,1,rebuilt
2025-11-14,backtest/ibd_skill_replay_pools/2025-11-14/breakout_follow_pool.csv,18,13,5,rebuilt
2025-11-21,backtest/ibd_skill_replay_pools/2025-11-21/breakout_follow_pool.csv,8,8,0,rebuilt
2025-11-28,backtest/ibd_skill_replay_pools/2025-11-28/breakout_follow_pool.csv,36,30,6,rebuilt
2025-12-05,backtest/ibd_skill_replay_pools/2025-12-05/breakout_follow_pool.csv,30,24,6,rebuilt
2025-12-12,backtest/ibd_skill_replay_pools/2025-12-12/breakout_follow_pool.csv,26,24,2,rebuilt
2025-12-19,backtest/ibd_skill_replay_pools/2025-12-19/breakout_follow_pool.csv,19,16,3,rebuilt
2025-12-26,backtest/ibd_skill_replay_pools/2025-12-26/breakout_follow_pool.csv,17,12,5,rebuilt
2026-01-02,backtest/ibd_skill_replay_pools/2026-01-02/breakout_follow_pool.csv,15,9,6,rebuilt
2026-01-09,backtest/ibd_skill_replay_pools/2026-01-09/breakout_follow_pool.csv,40,32,8,rebuilt
2026-01-16,backtest/ibd_skill_replay_pools/2026-01-16/breakout_follow_pool.csv,21,18,3,rebuilt
2026-01-23,backtest/ibd_skill_replay_pools/2026-01-23/breakout_follow_pool.csv,14,9,5,rebuilt
2026-01-30,backtest/ibd_skill_replay_pools/2026-01-30/breakout_follow_pool.csv,17,14,3,rebuilt
2026-02-06,backtest/ibd_skill_replay_pools/2026-02-06/breakout_follow_pool.csv,0,0,0,rebuilt
2026-02-13,backtest/ibd_skill_replay_pools/2026-02-13/breakout_follow_pool.csv,27,19,8,rebuilt
2026-02-20,backtest/ibd_skill_replay_pools/2026-02-20/breakout_follow_pool.csv,18,14,4,rebuilt
2026-02-27,backtest/ibd_skill_replay_pools/2026-02-27/breakout_follow_pool.csv,27,21,6,rebuilt
2026-03-06,backtest/ibd_skill_replay_pools/2026-03-06/breakout_follow_pool.csv,9,8,1,rebuilt
2026-03-13,backtest/ibd_skill_replay_pools/2026-03-13/breakout_follow_pool.csv,10,9,1,rebuilt
2026-03-20,backtest/ibd_skill_replay_pools/2026-03-20/breakout_follow_pool.csv,8,8,0,rebuilt
2026-03-27,backtest/ibd_skill_replay_pools/2026-03-27/breakout_follow_pool.csv,10,9,1,rebuilt
2026-04-02,backtest/ibd_skill_replay_pools/2026-04-02/breakout_follow_pool.csv,45,41,4,rebuilt
2026-04-10,backtest/ibd_skill_replay_pools/2026-04-10/breakout_follow_pool.csv,69,63,6,rebuilt
2026-04-17,backtest/ibd_skill_replay_pools/2026-04-17/breakout_follow_pool.csv,96,84,12,rebuilt
2026-04-24,backtest/ibd_skill_replay_pools/2026-04-24/breakout_follow_pool.csv,80,65,15,rebuilt
2026-05-01,backtest/ibd_skill_replay_pools/2026-05-01/breakout_follow_pool.csv,105,88,17,rebuilt
2026-05-08,backtest/ibd_skill_replay_pools/2026-05-08/breakout_follow_pool.csv,128,110,18,rebuilt
2026-05-15,backtest/ibd_skill_replay_pools/2026-05-15/breakout_follow_pool.csv,66,54,12,rebuilt
2026-05-22,backtest/ibd_skill_replay_pools/2026-05-22/breakout_follow_pool.csv,87,76,11,rebuilt
2026-05-29,backtest/ibd_skill_replay_pools/2026-05-29/breakout_follow_pool.csv,112,98,14,rebuilt
2026-06-05,backtest/ibd_skill_replay_pools/2026-06-05/breakout_follow_pool.csv,108,93,15,rebuilt
2026-06-12,backtest/ibd_skill_replay_pools/2026-06-12/breakout_follow_pool.csv,268,240,28,rebuilt
2026-06-18,backtest/ibd_skill_replay_pools/2026-06-18/breakout_follow_pool.csv,145,126,19,rebuilt
2026-06-26,backtest/ibd_skill_replay_pools/2026-06-26/breakout_follow_pool.csv,211,191,20,rebuilt
2026-07-02,backtest/ibd_skill_replay_pools/2026-07-02/breakout_follow_pool.csv,120,106,14,rebuilt
2026-07-10,backtest/ibd_skill_replay_pools/2026-07-10/breakout_follow_pool.csv,83,64,19,rebuilt
2026-07-17,backtest/ibd_skill_replay_pools/2026-07-17/breakout_follow_pool.csv,174,161,13,rebuilt
2026-07-24,backtest/ibd_skill_replay_pools/2026-07-24/breakout_follow_pool.csv,106,89,17,rebuilt
2026-07-31,backtest/ibd_skill_replay_pools/2026-07-31/breakout_follow_pool.csv,114,103,11,rebuilt
2026-08-07,backtest/ibd_skill_replay_pools/2026-08-07/breakout_follow_pool.csv,167,161,6,rebuilt
