code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry
DELL,2026-07-24,True,pivot,False,pivot,428.44,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 428.44, ""resistance_date"": ""2026-07-20""}, {""box_type"": ""S_BOX"", ""price"": 435.28, ""resistance_date"": ""2026-07-20""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,437.5,2.11,UNCONFIRMED,0.6008652323742414,155.8,2026-03-23,162.9,0,1,166.42,2024-05-20,-61.1,5,96,61.1,5.140350877192982,1.0,4,3.0,-20.1,-4.8,True,False,281.26000290993744,514.0,-14.883268482490276,Electronic Technology,Computer Processing Hardware
ACU,2026-07-24,True,ceiling_breakout,,ceiling,48.14,ceiling_breakout,,1.0,2026-07-23,48.14,48.14,1.796602787456446,0.089530535936851,0.923236514522822,0.894190871369295,ceiling,,53.94,12.05,EXTENDED,1.318745611982214,0.0,2026-07-20,12.0,0,0,48.14,2024-02-05,-33.8,10,128,33.8,4.473684210526316,2.0,0,,,,True,True,5.337248467052429,61.26,-11.94906953966699,Distribution Services,Wholesale Distributors
INSW,2026-07-24,True,pivot,False,pivot,87.55,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 87.55, ""resistance_date"": ""2026-07-20""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,92.28,5.4,UNCONFIRMED,0.5822141645528253,78.6,2026-01-12,81.9,3,1,50.74,2024-05-20,-53.2,4,86,53.2,4.469298245614035,3.0,4,3.0,-4.4,4.2,True,False,374.7512038523274,98.2327,-6.059794752663816,Transportation,Marine Shipping
NVEC,2026-07-24,True,ceiling_breakout,False,ceiling_pullback,104.47,ceiling_breakout,"{""abandon_line"": 83.398, ""atr_zone_width"": 4.7673766312691335, ""ceiling"": 85.1, ""confirm_close"": 117.55, ""confirm_date"": ""2026-07-20"", ""max_zone_width"": 4.255, ""pending_high"": 104.47, ""touch_atr14"": 15.89125543756378, ""touch_date"": ""2026-07-06"", ""touch_high"": 104.47, ""touch_low"": 88.5, ""zone_cap_applied"": true, ""zone_pct"": 5.0, ""zone_upper"": 89.35499999999999, ""zone_width"": 4.255}",1.0,2026-07-23,106.44,104.47,3.4426409485525116,0.273667081458792,0.9749116607773848,1.010247349823321,ceiling_pullback,,117.55,12.52,EXTENDED,1.484996652740939,36.3,2026-04-27,38.1,2,0,85.1,2023-06-26,-43.6,12,148,43.6,4.458333333333333,4.0,2,7.0,-30.4,-1.5,True,True,78.56562922868743,135.0,-12.92592592592593,Electronic Technology,Semiconductors
LQDA,2026-07-24,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,80.42,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-07-20"", ""ma10_prior_week"": 69.889, ""pending_high"": 80.42, ""touch_date"": ""2026-07-13""}",1.0,2026-07-22,80.42,80.42,1.5963098487019178,0.0823178313852275,0.7894288150042628,0.5643648763853369,ma10_touch_confirm,,86.22,7.21,EXTENDED,0.8114739638739061,51.4,2026-05-11,84.7,2,0,46.67,2026-02-02,-37.6,1,14,37.6,4.412280701754386,5.0,3,3.0,-5.6,6.9,True,False,,93.61,-7.894455720542681,Health Technology,Pharmaceuticals: Major
ALOT,2026-07-24,True,pivot,False,pivot,28.68,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 28.68, ""resistance_date"": ""2026-07-20""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,28.71,0.1,UNCONFIRMED,0.4422792495913231,0.5,2026-06-15,58.9,1,0,18.07,2023-05-29,-61.5,9,159,61.5,4.368421052631579,6.0,1,5.0,-1.1,0.1,True,False,,28.99,-0.96585029320454,Electronic Technology,Computer Peripherals
LPG,2026-07-24,True,ceiling_breakout,,ceiling,41.22,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,44.32,7.52,UNCONFIRMED,0.5781313890472652,0.0,2026-07-20,7.5,0,0,41.22,2024-05-27,-64.7,8,112,64.7,4.350877192982456,7.0,0,,,,True,False,1263.716814159292,48.12,-7.896924355777212,Transportation,Marine Shipping
FLXS,2026-07-24,True,pivot,True,pivot,74.9,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 74.9, ""resistance_date"": ""2026-07-20""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,75.2,0.4,UNCONFIRMED,0.4933916960605159,16.4,2026-06-15,18.4,0,0,63.51,2024-12-09,-54.8,6,79,54.8,4.302631578947368,8.0,1,4.0,-9.3,0.4,True,False,,79.6983,-5.644160540438126,Consumer Durables,Home Furnishings
LBRX,2026-07-24,True,pivot,True,pivot,33.43,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 33.43, ""resistance_date"": ""2026-07-20""}, {""box_type"": ""S_BOX"", ""price"": 34.0, ""resistance_date"": ""2026-07-20""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 33.43, ""resistance_date"": ""2026-07-20""}}",1.0,2026-07-23,35.85,33.43,2.4300303344971095,0.0355967693688303,0.3280000000000001,0.4759999999999991,pivot,,35.01,4.73,ACTIONABLE,0.9075859382607848,46.4,2026-01-19,72.9,4,1,20.25,2025-09-08,-34.0,1,19,34.0,4.2938596491228065,9.0,6,4.0,-13.6,3.0,True,False,-689.0322580645161,49.14,-28.754578754578763,Health Technology,Pharmaceuticals: Major
NMM,2026-07-24,True,pivot,False,pivot,72.66,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 72.66, ""resistance_date"": ""2026-07-20""}, {""box_type"": ""S_BOX"", ""price"": 75.43, ""resistance_date"": ""2026-07-20""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 72.66, ""resistance_date"": ""2026-07-20""}}",1.0,2026-07-23,73.61,72.66,1.6640476387395584,0.056427195155519,0.9308510638297894,1.0904255319148983,pivot,,79.04,8.78,EXTENDED,0.9541735150133432,14.0,2026-03-30,20.7,3,0,65.48,2024-09-23,-56.8,5,79,56.8,4.2631578947368425,10.0,4,3.0,-7.4,3.2,True,False,163.78711078928313,82.84,-4.587155963302747,Transportation,Marine Shipping
