snapshot_date,status,row_count,column_count,signal_rows,valid_ibd_entry_rows,invalid_ibd_entry_rows,missing_field_count,abnormal_empty_total,non_eps_abnormal_empty_total,signal_eps_missing,signal_eps_supplement_available,signal_eps_unresolved,normal_empty_total,repairable_fallback_total,optional_gap_total,missing_fields,abnormal_empty_fields,non_eps_abnormal_empty_fields,normal_empty_fields,repairable_fallback_fields,optional_gap_fields,signal_eps_missing_codes,output_pool_path
2026-06-05,passed_except_eps,594,47,108,38,70,0,108,0,108,92,16,10318,158,895,,eps_yoy_growth_signal=108,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=556; ibd_entry_close_position_invalid_or_non_signal=556; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=556; ibd_entry_date_invalid_or_non_signal=556; ibd_entry_price_invalid_or_non_signal=556; ibd_entry_rule_invalid_or_non_signal=556; ibd_entry_volume_ratio_invalid_or_non_signal=556; ibd_trigger_price_invalid_or_non_signal=556; ...+12,industry=79; sector=79,ibd_candidate_extra=515; pullback_v_is_dry=125; pullback_duration_weeks=85; pullback_pct=85; pullback_pct_off_peak=85,AFL;AIT;AKR;ALL;ALNT;AMG;AMN;APLE;AROW;ATLO;AVA;AVNS;AXGN;BFH;BHB;BNL;BPOP;BSRR;BWFG;C;CATY;CBK;CDP;CNC;CNOB;CPF;CSX;DINO;DOC;DOCN;DTM;EFSI;FBP;FCCO;FCF;FMBH;FRST;FSBC;FSEA;FTK;FVR;FXNC;GABC;GL;GRDN;GSBC;GWW;HNGE;IESC;IGIC;IVT;JLHL;KRP;LGND;LIN;MAC;MAR;MCBS;MCRI;MEC;MPC;MRX;MSBI;MYE;NBIX;NTB;NTRS;OBK;ODC;ODFL;OSBC;OVLY;PBFS;PCB;PEBK;PFIS;PGC;PLBC;PRA;PTRN;R;RBC;SMBC;SPG;SPHR;SRCE;STBA;STT;SXI;TBBB;TBN;TMP;TNK;TNL;TWIN;TWLO;UNFI;UNP;UTI;VLO;VMI;VOYA;VSXY;WABC;WLKP;WSBF;XOMA;XPO,backtest/ibd_skill_replay_pools/2026-06-05/breakout_follow_pool.csv
2026-06-12,passed_except_eps,674,47,268,104,164,0,268,0,268,240,28,9536,158,1138,,eps_yoy_growth_signal=268,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=570; ibd_entry_close_position_invalid_or_non_signal=570; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=570; ibd_entry_date_invalid_or_non_signal=570; ibd_entry_price_invalid_or_non_signal=570; ibd_entry_rule_invalid_or_non_signal=570; ibd_entry_volume_ratio_invalid_or_non_signal=570; ibd_trigger_price_invalid_or_non_signal=570; ...+12,industry=79; sector=79,ibd_candidate_extra=478; pullback_v_is_dry=171; pullback_duration_weeks=163; pullback_pct=163; pullback_pct_off_peak=163,ABCB;ACLS;ACNB;AD;AEIS;AIP;AIR;AIT;AIZ;ALGM;ALL;AMAL;AMBQ;AMG;AMKR;AMRX;ARMK;AROW;ASB;ASH;ASML;ASRT;ASYS;ATLC;AVBH;AXSM;AZZ;BAP;BBT;BCML;BDL;BHB;BHE;BJRI;BLX;BNL;BOTJ;BPOP;BPRN;BRX;BSRR;BURL;BUSE;BY;C;CAC;CAKE;CALY;CASY;CBAN;CBFV;CCNE;CDP;CECO;CHEF;CLBK;CNOB;COCO;COHU;CON;COSO;CPF;CRDO;CSTM;CSX;CTBI;CTO;CTRN;CVS;CW;CWBC;CXW;CZWI;DAVE;DBD;DCO;DCOM;DOC;DVA;DXPE;EFSC;EGP;ELA;ELVN;ENVA;ESE;ESI;ETON;EWBC;EXEL;EXPD;FAC;FBIZ;FBP;FCBC;FCCO;FCF;FDSB;FFBC;FFIV;FMBH;FNLC;FNRN;FORM;FR;FRAF;FRST;FULT;FUNC;FVCB;FVR;FXNC;GABC;GRC;GRDN;HBCP;HBNC;HBT;HFWA;HLT;HMN;HR;HWBK;IBKR;IBOC;ICHR;IDA;IFS;INCY;IVT;JBL;KALU;KIM;KLAC;KLIC;KO;KRG;KRYS;LARK;LAUR;LIN;LIND;LIVN;LPG;LQDA;LYTS;M;MAC;MATX;MCS;MET;MITK;MOV;MRX;MTX;MUSA;MYE;MYFW;NEE;NHC;NMM;NNN;NPO;NSA;NTB;NTST;NUVL;NVMI;NWFL;OBK;OCC;OFG;OII;ONTO;OSBC;OSW;OVBC;OVLY;PCB;PDFS;PEB;PEBK;PEBO;PECO;PHIN;PKBK;PKE;PKOH;PLBC;PLGO;PLOW;PLPC;PLXS;PRM;PRSU;PSMT;PSTL;PTGX;QCRH;RBB;RBC;RBKB;RFIL;RL;RNST;ROIV;ROK;ROKU;ROST;RSI;SCHL;SENEA;SEPN;SFNC;SHBI;SI;SIF;SILC;SITM;SKT;SLAB;SMBC;SMBK;SMTC;SN;SNDK;SNEX;SPHR;SRBK;SRCE;STBA;STNG;SYRE;TBBB;TCBK;TGTX;THFF;TIGO;TJX;TMP;TNGX;TNK;TNL;TRMK;TRNO;TSM;TTMI;TVTX;UCTT;UFCS;UMBF;UVE;UVSP;VECO;VELO;VIRT;WBI;WBS;WEYS;WKC;WPC;WSBF;WSFS;WSM;WTS;WULF;WWD;ZION,backtest/ibd_skill_replay_pools/2026-06-12/breakout_follow_pool.csv
2026-06-18,passed_except_eps,670,47,145,52,93,0,145,0,145,116,29,11296,150,985,,eps_yoy_growth_signal=145,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=618; ibd_entry_close_position_invalid_or_non_signal=618; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=618; ibd_entry_date_invalid_or_non_signal=618; ibd_entry_price_invalid_or_non_signal=618; ibd_entry_rule_invalid_or_non_signal=618; ibd_entry_volume_ratio_invalid_or_non_signal=618; ibd_trigger_price_invalid_or_non_signal=618; ...+12,industry=75; sector=75,ibd_candidate_extra=546; pullback_v_is_dry=166; pullback_duration_weeks=91; pullback_pct=91; pullback_pct_off_peak=91,ACA;ACLS;ADI;AEHR;AEIS;AFBI;AIP;AIR;ALGM;ALOT;AMD;AMKR;AOSL;ARWR;ASH;ASX;AVT;AXGN;AZZ;BAP;BCAX;BE;BEN;BHE;BJRI;BLBD;BPRN;BVFL;CALY;CAT;CBNA;CCBG;CHRN;CIFR;CLDX;CMI;CR;CTRN;CW;D;DAL;DAVE;DIOD;DNLI;DXPE;ECBK;EIG;ENTG;ESE;ESI;ESTA;FCEL;FDSB;FLXS;FORM;FRO;FSTR;FTDR;FUSB;GE;GEV;GFS;GHM;GL;GLW;GNRC;GOLF;GTX;GVA;HFBL;HQ;HTB;ICHR;IFS;IMAX;INSW;INTC;IRM;ITT;KEYS;KLIC;KNSA;LION;LOCO;LSCC;LTH;LYTS;MCHP;MCY;MKSI;MOD;MOV;MRNA;MRX;MTSI;MYRG;NBIS;NPKI;NVRI;NVT;NXPI;ONTO;OPY;ORKA;ORN;OSS;OUST;PANW;PBFS;PTGX;QCOM;RBC;RGCO;RLAY;RMIX;ROIV;ROK;RVMD;SEI;SHAZ;SLAB;SN;SPHR;SSRM;STNG;SWBI;TER;TGTX;TH;TRS;TRV;TRVI;TSEM;TSM;TTMI;TXN;URGN;VCYT;VIK;VSXY;WAB;WSR;WULF;WWD;WYFI,backtest/ibd_skill_replay_pools/2026-06-18/breakout_follow_pool.csv
2026-06-26,passed_except_eps,731,47,211,166,45,0,211,0,211,178,33,10926,146,1162,,eps_yoy_growth_signal=211,-,ibd_entry_reject_reason_valid_or_non_signal=686; ibd_entry_breakout_range_ratio_invalid_or_non_signal=565; ibd_entry_close_position_invalid_or_non_signal=565; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=565; ibd_entry_date_invalid_or_non_signal=565; ibd_entry_price_invalid_or_non_signal=565; ibd_entry_rule_invalid_or_non_signal=565; ibd_entry_volume_ratio_invalid_or_non_signal=565; ...+12,industry=73; sector=73,ibd_candidate_extra=591; pullback_v_is_dry=160; pullback_duration_weeks=137; pullback_pct=137; pullback_pct_off_peak=137,AAL;ABCB;ACA;ACU;ADPT;AEE;AEP;AFL;AGX;AKTS;ALL;AMAL;AMN;AMTB;APGE;AROC;AROW;ASB;ASND;ATLO;AUPH;AVBP;BATRA;BCAL;BCAX;BCML;BFS;BFST;BIOA;BNL;BRX;BSVN;BUUU;BVFL;BWB;BWFG;CAC;CAH;CBFV;CBK;CBL;CBU;CCBG;CFR;CGEM;CHCO;CHMG;CINF;CLBK;CNP;CPBI;CPF;CSX;CTBI;CUBI;CVS;CWBC;CYTK;CZFS;CZWI;DFTX;DGII;DNTH;DOC;DTM;EA;EBMT;EFSC;EG;EGBN;EGP;EIG;ELMD;ELVN;EQBK;ERAS;ETON;EVRG;FBIZ;FBNC;FCBC;FCCO;FNLC;FRAF;FRME;FTNT;FULT;FXNC;GLW;HAFC;HBCP;HBNC;HCSG;HFWA;HG;HGV;HWBK;HZO;IBOC;IDA;ILMN;INTG;IRM;JMSB;KGS;KNSA;KRT;KYMR;LAMR;LBRX;LCNB;LINC;LLY;LNT;LQDT;MAC;MAMA;MANE;MBWM;MBX;MCB;MCBS;MCY;MIRM;MITK;MNSB;MO;MPC;MPLT;MSGE;MSGS;MYFW;NESR;NGS;NGVT;NHC;NIC;NJR;NTCT;NTRA;NTST;NVCT;NWFL;OII;OPLN;ORRF;OSBC;OUT;PECO;PFBC;PGC;PHVS;PINE;PKBK;PLGO;PLOW;PLPC;PLSE;PNW;PSTL;PTRN;QCRH;RBB;RCUS;RFIL;RIOT;RMBI;RPRX;SBFG;SBSI;SENEA;SFNC;SI;SMBK;SNDA;SPG;SRBK;SRRK;STEL;SWX;TCBK;THG;TMP;TRMK;TRV;TSBK;UAL;UBSI;UDR;UE;UFCS;UMBF;UNP;UNTY;USCB;UTMD;UVE;VABK;VLO;VTR;WELL;WHG;WMB;WSBC;WSBF;WSFS;WSR;WTBA;WTTR;XENE;ZION,backtest/ibd_skill_replay_pools/2026-06-26/breakout_follow_pool.csv
2026-07-02,passed_except_eps,760,47,120,37,83,0,120,0,120,100,20,13501,144,1197,,eps_yoy_growth_signal=120,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=723; ibd_entry_close_position_invalid_or_non_signal=723; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=723; ibd_entry_date_invalid_or_non_signal=723; ibd_entry_price_invalid_or_non_signal=723; ibd_entry_rule_invalid_or_non_signal=723; ibd_entry_volume_ratio_invalid_or_non_signal=723; ibd_trigger_price_invalid_or_non_signal=723; ...+12,industry=72; sector=72,ibd_candidate_extra=668; pullback_v_is_dry=178; pullback_duration_weeks=117; pullback_pct=117; pullback_pct_off_peak=117,AAPL;ABBV;ACHC;AFL;AHR;ANAB;ARWR;ASIC;ASX;AWR;AXGN;AXS;BFC;BLZE;BMRC;BNY;BSET;CB;CBNA;CCXI;CDP;CLDX;CNS;CRL;CRWD;CSX;CW;DDOG;DGX;DINO;DK;EBAY;ECO;EG;EXEL;EZPW;FCEL;FFIV;FLYW;FROG;GAIN;GH;HCSG;HFWA;IDA;IGIC;INCY;JAZZ;JMSB;JNJ;KFRC;KO;KYIV;LAMR;LGND;LIN;LLYVA;LYV;MANU;MATX;MBWM;MD;MIRM;MPB;MPC;MPLT;MRCY;MUSA;MVBF;NBIX;NBTB;NIC;NREF;NTRA;NTRS;NTST;NUTX;NUVL;NVRI;NYAX;OFG;OOMA;OUST;PACS;PKE;PNTG;PRI;SBFG;SENEA;SIF;SIRI;SLDE;SNDA;SPNT;SRBK;SUN;SUNC;TCBK;TRIN;TROW;UDR;UHT;UNP;USFD;UTI;UVE;VLO;VOYA;VRTX;VSEC;VTR;WELL;WERN;WEYS;WFCF;WILC;WLY;XENE;XOMA;XZO,backtest/ibd_skill_replay_pools/2026-07-02/breakout_follow_pool.csv
2026-07-10,passed_except_eps,716,47,83,21,62,0,83,0,83,66,17,13177,122,960,,eps_yoy_growth_signal=83,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=695; ibd_entry_close_position_invalid_or_non_signal=695; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=695; ibd_entry_date_invalid_or_non_signal=695; ibd_entry_price_invalid_or_non_signal=695; ibd_entry_rule_invalid_or_non_signal=695; ibd_entry_volume_ratio_invalid_or_non_signal=695; ibd_trigger_price_invalid_or_non_signal=695; ...+12,industry=61; sector=61,ibd_candidate_extra=654; pullback_v_is_dry=120; pullback_duration_weeks=62; pullback_pct=62; pullback_pct_off_peak=62,AAMI;AAPL;ADM;AFBI;AMG;ANDG;ANET;BAND;BBIO;BSVN;BZH;CLMT;CNXN;DELL;DINO;DNTH;EA;EBAY;ECO;ECPG;EWTX;EXPD;FHI;FR;FTH;FTK;GPRE;GWW;HPE;ICHR;IGIC;INSW;LASR;LINC;LOB;MET;MNPR;MOD;MPC;MRX;MS;MUSA;NESR;NET;NJR;NMM;NREF;NSC;NTCT;OII;ONTO;PAA;PAG;PAGP;PBF;PBI;PENG;PFG;PHVS;PNTG;PSX;RAPP;RDWR;RGA;SAH;SBLK;SGHC;SION;SLAB;SRRK;STNG;SYRE;TEN;TIGO;TRAX;TRNO;TWLO;VCTR;VIRT;WBI;WCC;WT;WYFI,backtest/ibd_skill_replay_pools/2026-07-10/breakout_follow_pool.csv
2026-07-17,passed_except_eps,754,47,174,71,103,0,174,0,174,155,19,12495,112,990,,eps_yoy_growth_signal=174,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=683; ibd_entry_close_position_invalid_or_non_signal=683; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=683; ibd_entry_date_invalid_or_non_signal=683; ibd_entry_price_invalid_or_non_signal=683; ibd_entry_rule_invalid_or_non_signal=683; ibd_entry_volume_ratio_invalid_or_non_signal=683; ibd_trigger_price_invalid_or_non_signal=683; ...+12,industry=56; sector=56,ibd_candidate_extra=619; pullback_v_is_dry=107; pullback_duration_weeks=88; pullback_pct=88; pullback_pct_off_peak=88,ABCB;ACHC;ACT;ADM;AFL;AHR;AIT;AKR;ALRS;ALX;AMAL;ARCB;ASB;ASH;ATLO;BATRA;BIIB;BOH;BOTJ;BRX;BSRR;BUSE;BWFG;BY;CALY;CBL;CCK;CDNA;CFR;CHCO;CHMG;CHRN;CHRW;CLBK;CNO;CNS;CNXN;COAG;CRNX;CTBI;CTO;CTRE;CTRN;CUBE;CURB;CVEO;CVLG;CVS;CZFS;DINO;DKL;DNTH;EGP;EIX;EPR;EQBK;ESQ;EWBC;FA;FAF;FBIZ;FBP;FBRX;FCF;FEIM;FLYW;FMBH;FR;FRME;FRT;FULT;FVCB;GABC;GEF;GHRS;GL;GPRE;GTY;HBNC;HFWA;HIW;HR;HST;HTO;HXL;IOR;IRM;ITIC;IVT;JMSB;JXN;KARO;KELYA;KFY;KIM;KRG;LAMR;LCNB;LOB;LQDT;LTC;MATX;MDV;MO;MPC;MSBI;MSGS;MTB;NBTB;NET;NHC;NTB;NWBI;OBK;OHI;ONB;ORKA;OSBC;OZK;PAG;PARR;PEBO;PECO;PFG;PFIS;PINE;PKOH;PLBC;PLD;PLSE;PM;PSX;QCRH;RDN;REG;RGCO;RHI;RLYB;RNR;RUSHA;RXO;SAH;SEIC;SION;SKT;SMBC;SMBK;SNDR;SNEX;SPFI;SPG;SRBK;STAG;SUN;SUNC;TCBK;TRGP;TRMK;TRVI;UBSI;UE;UMBF;UNF;UNTY;VLGEA;VTRS;WABC;WERN;WSFS;WT;WTFC;WTTR;XHR;XMTR,backtest/ibd_skill_replay_pools/2026-07-17/breakout_follow_pool.csv
2026-07-24,passed_except_eps,745,47,106,42,64,0,106,0,106,94,12,13334,86,977,,eps_yoy_growth_signal=106,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=703; ibd_entry_close_position_invalid_or_non_signal=703; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=703; ibd_entry_date_invalid_or_non_signal=703; ibd_entry_price_invalid_or_non_signal=703; ibd_entry_rule_invalid_or_non_signal=703; ibd_entry_volume_ratio_invalid_or_non_signal=703; ibd_trigger_price_invalid_or_non_signal=703; ...+12,industry=43; sector=43,ibd_candidate_extra=665; pullback_v_is_dry=111; pullback_duration_weeks=67; pullback_pct=67; pullback_pct_off_peak=67,ACNB;ACU;AIT;ALL;ALOT;AMRX;ARWR;ATI;AVBC;AVT;BHB;BIP;BLFS;BPRN;CARE;CB;CBAN;CCBG;CCNE;CDP;CHMG;CR;CRS;CTRE;CZFS;CZNC;DAC;DBD;DELL;DGX;ECO;EDRY;EPR;ESEA;FBLA;FCBC;FEIM;FISI;FLXS;FXNC;GEF;GSL;HALO;HBCP;HG;HST;HWM;IBCP;IMAX;INSW;IOR;IRM;JAZZ;JNJ;JPM;LARK;LBRX;LH;LPG;LQDA;MMM;MOG-A;MRK;MSBI;NMM;NVEC;NWFL;OFG;OGE;OHI;ORRF;OVV;PAA;PAGP;PBFS;PBT;PCAR;PKG;PLSE;QCRH;RBCAA;RHP;RNR;ROST;RS;SAFT;SBLK;SBRA;SFNC;SHBI;SMBK;SON;SPG;STBA;SXT;THG;THRM;TMP;TRST;URI;USCB;VIK;VVX;WAB;WES;WRLD,backtest/ibd_skill_replay_pools/2026-07-24/breakout_follow_pool.csv
2026-07-31,passed_except_eps,742,47,114,60,54,0,114,0,114,102,12,13052,56,928,,eps_yoy_growth_signal=114,-,ibd_entry_reject_reason_valid_or_non_signal=688; ibd_entry_breakout_range_ratio_invalid_or_non_signal=682; ibd_entry_close_position_invalid_or_non_signal=682; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=682; ibd_entry_date_invalid_or_non_signal=682; ibd_entry_price_invalid_or_non_signal=682; ibd_entry_rule_invalid_or_non_signal=682; ibd_entry_volume_ratio_invalid_or_non_signal=682; ...+12,industry=28; sector=28,ibd_candidate_extra=650; pullback_v_is_dry=89; pullback_duration_weeks=63; pullback_pct=63; pullback_pct_off_peak=63,AAMI;ACT;ACU;AMLX;AMTB;ANDG;ARXS;ASH;ATLC;AVBC;BFC;BFH;BHB;BIP;BPOP;BPRN;BWFG;CAC;CASY;CBNA;CBNK;CCNE;CHEF;CIVB;CLDX;CNK;CTRN;CZFS;CZNC;DAC;DCOM;EAT;ECBK;ECPG;ENVA;ESEA;ESQ;ETON;FCCO;FISI;FRBA;FSEA;FXNC;GABC;GH;GIII;GKOS;GRMN;GSAT;HBNC;HCSG;HTB;IBCP;IMAX;KNSA;KO;LH;LPG;LTH;MANU;MBIN;MBWM;MCHB;MCS;MMM;MPB;MSBI;MTX;MVBF;MYE;NBBK;NET;NEU;NMIH;NTAP;NUE;NWFL;OBK;ODC;OSBC;PFGC;PKOH;PLSE;PRK;PROV;PSMT;QCRH;RACC;RAPP;RCKY;RDVT;RNG;ROST;SAIH;SBLK;SHBI;SHIP;SHOO;SION;SNOW;SNX;SYBT;THFF;THG;TOWN;TRAX;TRMK;TXRH;USCB;UVE;VSXY;VTRS;WCC;WTBA,backtest/ibd_skill_replay_pools/2026-07-31/breakout_follow_pool.csv
2026-08-07,passed_except_eps,776,47,167,69,98,0,167,0,167,149,18,13033,52,1030,,eps_yoy_growth_signal=167,-,ibd_entry_breakout_range_ratio_invalid_or_non_signal=707; ibd_entry_close_position_invalid_or_non_signal=707; ibd_entry_close_vs_trigger_pct_invalid_or_non_signal=707; ibd_entry_date_invalid_or_non_signal=707; ibd_entry_price_invalid_or_non_signal=707; ibd_entry_rule_invalid_or_non_signal=707; ibd_entry_volume_ratio_invalid_or_non_signal=707; ibd_trigger_price_invalid_or_non_signal=707; ...+12,industry=26; sector=26,ibd_candidate_extra=649; pullback_v_is_dry=111; pullback_duration_weeks=90; pullback_pct=90; pullback_pct_off_peak=90,ABNB;ACT;ADPT;AIR;AIRT;AIT;AIZ;ALH;ALNT;ALX;AME;AMGN;AMKR;AMN;ANET;ASH;ATEX;ATI;ATLO;ATRO;AVT;AXGN;BAC;BDL;BLZE;BOKF;BSET;BUUU;BVS;CATY;CBAN;CCXI;CFFI;CFG;CGEM;CIX;CLDX;CON;COSO;CPAY;CPBI;CRL;CRNX;CSWC;CUBI;DAL;DBX;DCO;DELL;DGII;DGX;DIOD;DXPE;EDRY;ELMD;ESCA;ESNT;ETN;EXPD;EXPE;FA;FAST;FBLA;FBNC;FET;FHI;FLXS;FNLC;FRD;FROG;FRST;FTDR;FTK;GD;GE;GFF;GRMN;HBB;HBCP;HEI;HNGE;HNVR;HPE;HVT;HWBK;IBTA;INCY;IOSP;IVZ;JCI;JHX;JXN;KALU;KEYS;LIN;LIND;LQDT;LYV;MBWM;MD;MET;MNPR;MPTI;MTRN;MTUS;NAVN;NDSN;NEO;NET;NEU;NKSH;NLY;NREF;NTB;NTRA;NUE;NVEC;NVT;PANW;PH;PKG;PLPC;PRAX;PRLB;PTGX;RAPP;RGA;RHI;ROIV;ROKU;RS;RVMD;SAFT;SENEA;SEPN;SHOO;SIF;SION;SNA;SNOW;SWK;SXI;SXT;TILE;TPC;TRIN;TSAT;TVTX;TWIN;TWLO;TWST;UFCS;UNM;URI;UVE;VABK;VAC;VIK;WBS;WCC;WEYS;WRLD;WSBF;WSM;WT;WTS;WTTR,backtest/ibd_skill_replay_pools/2026-08-07/breakout_follow_pool.csv
