snapshot_date,code,old_eps,new_eps,old_source,new_source,new_status,new_missing_reason,new_effective_date,old_known,new_known,old_eps25,new_eps25,old_e0_eligible,new_e0_eligible,old_b0_selected,new_b0_selected,old_pick_order,new_pick_order
2025-10-31,WULF,62.5,-66.6666666667,SEC,SEC,resolved,,2025-08-08,True,True,True,False,False,False,False,False,,
2025-10-31,NBIS,,,,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,False,False,False,False,False,False,False,False,,
2025-10-31,MTSR,,,,,expected_unavailable,NO_QUARTERLY_EPS,,False,False,False,False,False,False,False,False,,
2025-10-31,CRDO,666.6666666667,666.6666666667,SEC,SEC,resolved,,2025-09-04,True,True,True,True,False,False,False,False,,
2025-10-31,TSLA,-37.0967741935,-37.0967741935,SEC,SEC,resolved,,2025-10-23,True,True,False,False,False,False,False,False,,
2025-10-31,CORZ,91.0569105691,60.6837606838,SEC,SEC,resolved,,2025-10-24,True,True,True,True,False,False,False,False,,
2025-10-31,HOOD,600.0,100.0,SEC,SEC,resolved,,2025-07-31,True,True,True,True,False,False,False,False,,
2025-10-31,SOFI,116.6666666667,700.0,SEC,SEC,resolved,,2025-08-07,True,True,True,True,True,True,True,True,2.0,2.0
2025-10-31,STX,72.3404255319,72.3404255319,SEC,SEC,resolved,,2025-10-31,True,True,True,True,False,False,False,False,,
2025-10-31,NET,100.0,100.0,SEC,SEC,resolved,,2025-10-30,True,True,True,True,False,False,False,False,,
2025-10-31,ROKU,366.6666666667,366.6666666667,SEC,SEC,resolved,,2025-10-31,True,True,True,True,False,False,False,False,,
2025-10-31,LSCC,-55.5555555556,-87.5,SEC,SEC,resolved,,2025-08-04,True,True,False,False,False,False,False,False,,
2025-10-31,FUTU,,,,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,False,False,False,False,False,False,False,False,,
2025-10-31,COE,,,,,expected_unavailable,NO_VERIFIED_YAHOO_RELEASE_DATE,,False,False,False,False,False,False,False,False,,
2025-10-31,LKNCY,,,,,expected_unavailable,NO_VERIFIED_YAHOO_RELEASE_DATE,,False,False,False,False,False,False,False,False,,
2025-10-31,CAH,10.5882352941,10.5882352941,SEC,SEC,resolved,,2025-10-30,True,True,False,False,False,False,False,False,,
2025-10-31,GSK,,,,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,False,False,False,False,False,False,False,False,,
2025-10-31,NVDA,61.1940298507,61.1940298507,SEC,SEC,resolved,,2025-08-27,True,True,True,True,False,False,False,False,,
2025-10-31,WFC,16.9014084507,16.9014084507,SEC,SEC,resolved,,2025-10-31,True,True,False,False,False,False,False,False,,
2025-10-31,AMZN,36.3636363636,36.3636363636,SEC,SEC,resolved,,2025-10-31,True,True,True,True,False,False,False,False,,
2025-10-31,CHRW,67.5,67.5,SEC,SEC,resolved,,2025-10-31,True,True,True,True,False,False,False,False,,
2025-10-31,C,28.9473684211,28.9473684211,SEC,SEC,resolved,,2025-08-06,True,True,True,True,False,False,False,False,,
2025-10-31,PLTR,500.0,116.6666666667,SEC,SEC,resolved,,2025-08-05,True,True,True,True,False,False,False,False,,
2025-10-31,MS,46.7741935484,17.032967033,SEC,SEC,resolved,,2025-08-04,True,True,True,False,False,False,False,False,,
2025-10-31,CPNG,-150.0,150.0,SEC,SEC,resolved,,2025-08-05,True,True,False,True,False,False,False,False,,
2025-10-31,VTR,180.0,180.0,SEC,SEC,resolved,,2025-10-30,True,True,True,True,True,True,True,True,1.0,1.0
2025-11-07,LYFT,466.6666666667,466.6666666667,SEC,SEC,resolved,,2025-11-05,True,True,True,True,False,False,False,False,,
2025-11-07,SEDG,96.1075069509,96.1075069509,SEC,SEC,resolved,,2025-11-06,True,True,True,True,True,True,False,False,,
2025-11-07,STX,72.3404255319,72.3404255319,SEC,SEC,resolved,,2025-10-31,True,True,True,True,False,False,False,False,,
2025-11-07,FIGS,600.0,600.0,SEC,SEC,resolved,,2025-11-06,True,True,True,True,False,False,False,False,,
2025-11-07,COLL,211.1111111111,211.1111111111,SEC,SEC,resolved,,2025-11-06,True,True,True,True,True,True,True,True,1.0,1.0
2025-11-07,GH,15.9090909091,15.9090909091,SEC,SEC,resolved,,2025-10-29,True,True,False,False,False,False,False,False,,
2025-11-07,EXPE,45.4365079365,45.4365079365,SEC,SEC,resolved,,2025-11-07,True,True,True,True,False,False,False,False,,
2025-11-07,SANM,-28.90625,38.4615384615,SEC,SEC,resolved,,2025-07-28,True,True,False,True,False,False,False,False,,
2025-11-07,XYL,4.4943820225,4.4943820225,SEC,SEC,resolved,,2025-10-28,True,True,False,False,False,False,False,False,,
2025-11-07,NRG,118.2058047493,118.2058047493,SEC,SEC,resolved,,2025-11-06,True,True,True,True,False,False,False,False,,
2025-11-07,ARGX,,,,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,,False,False,False,False,False,False,False,False,,
2025-11-07,JPM,16.0183066362,16.0183066362,SEC,SEC,resolved,,2025-11-04,True,True,False,False,False,False,False,False,,
2025-11-07,VEEV,14.4230769231,14.4230769231,SEC,SEC,resolved,,2025-08-29,True,True,False,False,False,False,False,False,,
2025-11-07,VTR,180.0,180.0,SEC,SEC,resolved,,2025-10-30,True,True,True,True,False,False,False,False,,
2025-11-07,CASY,19.4616977226,19.4616977226,SEC,SEC,resolved,,2025-09-08,True,True,False,False,False,False,False,False,,
2025-11-14,LYFT,466.6666666667,466.6666666667,SEC,SEC,resolved,,2025-11-05,True,True,True,True,True,True,True,True,3.0,3.0
