rule_family,field,value,events,complete_8w,weeks,mean_8w_return_pct,median_relative_8w_return_pct,mature_weeks,stop_8_40d_rate,profit_24_40d_rate,pattern_power_rate,bootstrap_ci_low,bootstrap_ci_high
Status,ibd_entry_status,ACTIONABLE,733,270,42,7.154940133333337,0.0,32,0.3111111111111111,0.14444444444444443,0.07037037037037037,1.8899814832950366,10.813490264874995
Status,ibd_entry_status,EXTENDED,476,176,40,10.283772181818177,0.0,28,0.5284090909090909,0.3693181818181818,0.4431818181818182,5.836363809004389,21.041022596137754
Status,ibd_entry_status,UNCONFIRMED,1529,665,42,7.812815684210528,0.0,34,0.3774436090225564,0.20902255639097744,,4.711401786518698,13.888704342667776
Close > Trigger,close_trigger_bin,0-1%,1209,446,42,8.389636188340809,0.0,35,0.3968609865470852,0.23318385650224216,0.21748878923766815,4.683959461100905,14.11067995710476
Close > Trigger,close_trigger_bin,UNKNOWN,1529,665,42,7.812815684210528,0.0,34,0.3774436090225564,0.20902255639097744,,4.711401786518698,13.888704342667776
Fresh Zone,fresh_bin,0-2%,1176,496,42,7.562727316532258,0.0,35,0.32056451612903225,0.16129032258064516,0.04477611940298507,5.520617800038772,9.889221487972002
Fresh Zone,fresh_bin,2-5%,865,338,41,7.4785568994082885,0.0,34,0.3668639053254438,0.16568047337278108,0.09558823529411764,3.7681284574810716,15.234551827060924
Fresh Zone,fresh_bin,5-10%,442,183,40,9.451657322404365,0.0,29,0.4644808743169399,0.32786885245901637,0.22,4.856783095596721,21.165770185652168
Fresh Zone,fresh_bin,>10%,255,94,35,9.8806585,1.1204544999999997,20,0.6382978723404256,0.5,0.7368421052631579,0.49141888019911517,25.550147096228372
Entry Volume,entry_volume_bin,1.5-2.0,580,228,41,8.769175609649121,0.0,33,0.37280701754385964,0.20614035087719298,0.18421052631578946,3.64660820345918,15.168388136926449
Entry Volume,entry_volume_bin,2.0-3.0,368,151,39,7.876725841059605,0.0,25,0.39072847682119205,0.271523178807947,0.23178807947019867,5.211082505175706,14.710196078011752
Entry Volume,entry_volume_bin,>3.0,261,67,35,8.25403132835821,0.03405799999999992,19,0.4925373134328358,0.23880597014925373,0.29850746268656714,4.060600975598255,12.333840423684212
Entry Volume,entry_volume_bin,UNKNOWN,1529,665,42,7.812815684210528,0.0,34,0.3774436090225564,0.20902255639097744,,4.711401786518698,13.888704342667776
Geometry,geometry,Constructive Breakout,366,132,38,10.84577633333333,0.0,20,0.3787878787878788,0.25757575757575757,0.21212121212121213,7.305739207876274,19.088399985143067
Geometry,geometry,Full-range Breakout,138,58,29,9.03345236206896,0.4086647499999998,15,0.43103448275862066,0.2413793103448276,0.3448275862068966,6.9068670975,11.141519436363636
Geometry,geometry,Marginal Breakout,96,37,26,6.644289783783785,0.0,15,0.32432432432432434,0.21621621621621623,0.10810810810810811,3.9658488846153848,8.260090316216214
Geometry,geometry,Squat / Upper Shadow,425,154,38,5.5293605714285725,0.0,27,0.38961038961038963,0.14285714285714285,0.12987012987012986,1.074990465544828,10.14740615846491
Geometry,geometry,Strong Finish,183,65,36,10.597458107692306,-0.03398099999999893,22,0.46153846153846156,0.4,0.38461538461538464,4.170721991298506,20.334864292678564
Geometry,geometry,UNKNOWN,1530,665,42,7.812815684210528,0.0,34,0.3774436090225564,0.20902255639097744,,4.711401786518698,13.888704342667776
Pullback,pullback_v_is_dry,FAIL,1152,456,42,6.007263480263162,0.0,35,0.47368421052631576,0.2236842105263158,0.20238095238095238,0.7333626914582427,15.601262413455009
Pullback,pullback_v_is_dry,NOT_APPLICABLE,781,290,42,11.032928203448277,0.0,31,0.2689655172413793,0.23793103448275862,0.25316455696202533,4.850608413510406,13.762174909393137
Pullback,pullback_v_is_dry,PASS,429,190,39,7.662464900000001,0.0,30,0.43157894736842106,0.20526315789473684,0.20408163265306123,4.918763341552794,17.04455542519663
Pullback,pullback_v_is_dry,UNKNOWN,376,175,41,8.81468864571428,0.32021100000000047,22,0.29714285714285715,0.18857142857142858,0.18309859154929578,8.087025108502402,10.644870921646337
EPS,pit_eps_bin,UNKNOWN,358,131,40,8.276241900763356,0.0,27,0.5267175572519084,0.26717557251908397,0.2711864406779661,4.36628401875,21.421010055585235
EPS,pit_eps_bin,UNVERIFIED_AVAILABILITY,12,3,10,18.64741866666667,-4.4277685,3,0.6666666666666666,0.3333333333333333,,,
EPS,pit_eps_bin,VERIFIED_<25,1095,413,42,7.0558187409201025,0.0,32,0.31234866828087166,0.17675544794188863,0.19727891156462585,4.560563455845136,8.725634812936052
EPS,pit_eps_bin,VERIFIED_>=25,1273,564,42,8.658009015957441,0.0,34,0.40425531914893614,0.2375886524822695,0.21666666666666667,3.831791540556932,17.09132343223584
Industry,industry_present,KNOWN,2738,1111,42,8.044374590459048,0.0,35,0.3852385238523852,0.21872187218721872,0.21748878923766815,4.72667223528048,13.761190543893258
