variant,snapshot_date,code,pick_order,entry_date,entry_fill_price,shares,position_cost,stop_price,profit_target,power_trigger_date,minimum_hold_until,exit_date,exit_fill_price,exit_reason,censored,mtm_price,return_pct,holding_days,high_water_pct,entry_fee,exit_fee,net_pnl,capacity,cost_bps_per_side
R1_ATOMIC_IMPROVEMENTS,2025-10-31,VTR,2,2025-11-03,71.73,139.4116827,10000.0,65.9916,88.9452,,,2026-05-13,88.9452,profit_target,False,88.9452,24.0,191,25.372926,0.0,0.0,2400.0,10,0
R1_ATOMIC_IMPROVEMENTS,2025-11-14,ALL,1,2025-11-17,211.99,47.17203642,10000.0,195.0308,262.8676,,,2026-01-13,195.0308,stop_loss,False,195.0308,-8.0,57,0.382093,0.0,0.0,-800.0,10,0
R1_ATOMIC_IMPROVEMENTS,2025-11-14,LH,3,2025-11-17,263.62,37.93338897,10000.0,242.5304,326.8888,,,2026-08-17,326.8888,profit_target,False,326.8888,24.0,273,24.004249,0.0,0.0,2400.0,10,0
R1_ATOMIC_IMPROVEMENTS,2025-11-28,ROST,2,2025-12-01,174.38,57.34602592,10000.0,160.4296,216.2312,,,2026-03-26,216.2312,profit_target,False,216.2312,24.0,115,24.486753,0.0,0.0,2400.0,10,0
R1_ATOMIC_IMPROVEMENTS,2025-12-19,HLT,1,2025-12-22,292.26,34.21610894,10000.0,268.8792,362.4024,,,,,censored_mtm,True,326.63,11.760077,242,22.438924,0.0,0.0,,10,0
R1_ATOMIC_IMPROVEMENTS,2025-12-19,MU,2,2025-12-22,276.88,36.11672927,10000.0,254.7296,343.3312,2026-01-02,2026-02-06,2026-02-09,380.47,profit_target_post_lock_gap,False,380.47,37.41332,49,64.417798,0.0,0.0,3741.331985,10,0
R1_ATOMIC_IMPROVEMENTS,2025-12-19,SCHW,3,2025-12-22,98.58,101.44045445,10000.0,90.6936,122.2392,,,2026-02-23,90.6936,stop_loss,False,90.6936,-8.0,63,7.97322,0.0,0.0,-800.0,10,0
R1_ATOMIC_IMPROVEMENTS,2025-12-26,HEI,1,2025-12-29,333.96,29.94370583,10000.0,307.2432,414.1104,,,2026-02-26,307.2432,stop_loss,False,307.2432,-8.0,59,8.264463,0.0,0.0,-800.0,10,0
R1_ATOMIC_IMPROVEMENTS,2026-01-02,TSM,2,2026-01-05,328.7,30.422878,10000.0,302.404,407.588,,,2026-04-24,407.588,profit_target,False,407.588,24.0,109,24.286584,0.0,0.0,2400.0,10,0
R1_ATOMIC_IMPROVEMENTS,2025-10-24,AAPL,2,2025-10-27,263.91,37.85385165,9990.00999,242.7972,327.2484,,,2026-01-20,242.7972,stop_loss,False,242.7972,-8.0,85,9.067485,9.99001,9.190809,-818.381618,10,10
R1_ATOMIC_IMPROVEMENTS,2025-10-31,VTR,2,2025-11-03,71.73,139.27241029,9990.00999,65.9916,88.9452,,,2026-05-13,88.9452,profit_target,False,88.9452,24.0,191,25.372926,9.99001,12.387612,2375.224775,10,10
R1_ATOMIC_IMPROVEMENTS,2025-11-14,ALL,1,2025-11-17,211.99,47.12491151,9990.00999,195.0308,262.8676,,,2026-01-13,195.0308,stop_loss,False,195.0308,-8.0,57,0.382093,9.99001,9.190809,-818.381618,10,10
R1_ATOMIC_IMPROVEMENTS,2025-11-14,LH,3,2025-11-17,263.62,37.89549348,9990.00999,242.5304,326.8888,,,2026-08-17,326.8888,profit_target,False,326.8888,24.0,273,24.004249,9.99001,12.387612,2375.224775,10,10
