model,segment,snapshot_date,horizon,return_pct,stop_rate
f1_elastic_w1,contaminated_validation,2026-05-29,W1,-0.15996666666666667,0.0
f1_elastic_w1,contaminated_validation,2026-06-05,W1,3.9909,0.0
f1_elastic_w1,contaminated_validation,2026-06-12,W1,-1.1757666666666666,0.3333333333333333
f1_elastic_w1,contaminated_validation,2026-06-18,W1,-0.49226666666666635,0.6666666666666666
f1_elastic_w1,contaminated_validation,2026-06-26,W1,1.4147999999999998,0.0
f1_elastic_w1,contaminated_validation,2026-07-02,W1,-5.016033333333334,0.3333333333333333
f1_elastic_w1,contaminated_validation,2026-07-10,W1,0.023366666666666685,0.3333333333333333
f1_elastic_w1,contaminated_validation,2026-07-17,W1,-3.2316,0.3333333333333333
f1_elastic_w1,contaminated_validation,2026-07-24,W1,1.2763333333333333,0.0
f1_elastic_w1,contaminated_validation,2026-07-31,W1,0.47479999999999994,0.0
f1_elastic_w1,contaminated_validation,2026-08-07,W1,1.4085,0.0
f1_elastic_w1,contaminated_validation,2026-05-29,W2,4.098766666666667,0.0
f1_elastic_w1,contaminated_validation,2026-06-05,W2,6.872133333333333,0.0
f1_elastic_w1,contaminated_validation,2026-06-12,W2,-1.5446666666666669,0.3333333333333333
f1_elastic_w1,contaminated_validation,2026-06-18,W2,-7.4742999999999995,0.6666666666666666
f1_elastic_w1,contaminated_validation,2026-06-26,W2,3.0111333333333334,0.0
f1_elastic_w1,contaminated_validation,2026-07-02,W2,-2.2698666666666667,0.3333333333333333
f1_elastic_w1,contaminated_validation,2026-07-10,W2,-1.2455999999999998,0.3333333333333333
f1_elastic_w1,contaminated_validation,2026-07-17,W2,-2.4702333333333333,0.6666666666666666
f1_elastic_w1,contaminated_validation,2026-07-24,W2,2.6199333333333334,0.0
f1_elastic_w1,contaminated_validation,2026-07-31,W2,-0.6310333333333333,0.0
f1_elastic_w1,contaminated_validation,2026-08-07,W2,-5.458866666666666,0.3333333333333333
f1_elastic_w1,contaminated_validation,2026-05-29,W4,11.2286,0.0
f1_elastic_w1,contaminated_validation,2026-06-05,W4,7.6768333333333345,0.0
f1_elastic_w1,contaminated_validation,2026-06-12,W4,-0.003866666666666537,0.6666666666666666
f1_elastic_w1,contaminated_validation,2026-06-18,W4,-19.532666666666668,1.0
f1_elastic_w1,contaminated_validation,2026-06-26,W4,9.228499999999999,0.0
f1_elastic_w1,contaminated_validation,2026-07-02,W4,-4.0745,0.6666666666666666
f1_elastic_w1,contaminated_validation,2026-07-10,W4,-8.8213,0.6666666666666666
f1_elastic_w1,contaminated_validation,2026-07-17,W4,0.07739999999999918,0.6666666666666666
f1_elastic_w1,contaminated_validation,2026-07-24,W4,5.220066666666667,0.0
f1_elastic_w1,contaminated_validation,2026-05-29,W3,6.072633333333333,0.0
f1_elastic_w1,contaminated_validation,2026-06-05,W3,9.567866666666667,0.0
f1_elastic_w1,contaminated_validation,2026-06-12,W3,1.1129666666666667,0.6666666666666666
f1_elastic_w1,contaminated_validation,2026-06-18,W3,-9.784133333333333,1.0
f1_elastic_w1,contaminated_validation,2026-06-26,W3,9.950933333333333,0.0
f1_elastic_w1,contaminated_validation,2026-07-02,W3,-2.1965333333333334,0.3333333333333333
f1_elastic_w1,contaminated_validation,2026-07-10,W3,-1.9652999999999998,0.3333333333333333
f1_elastic_w1,contaminated_validation,2026-07-17,W3,-5.4312666666666685,0.6666666666666666
f1_elastic_w1,contaminated_validation,2026-07-24,W3,3.4016666666666673,0.0
