segment,factor,horizon,weeks_ic,mean_ic,median_ic,ic_positive_pct,weeks_quintile,mean_q5_minus_q1_pct,median_q5_minus_q1_pct
train,current_vs_ibd_candidate_pct,W1,10,-0.22210866101958587,-0.25068371368528336,30.0,5,-4.182108666666667,-1.34036
train,ibd_entry_volume_ratio,W1,10,0.07067868820729237,0.058993637941006365,60.0,5,-0.9186183333333331,2.1003666666666665
train,volume_ratio,W1,10,0.07783091050825605,0.14457281848586195,80.0,5,-2.2840906666666667,-1.8394999999999997
train,ibd_entry_close_position,W1,10,-0.0695201251837407,0.016756070016939583,60.0,5,-0.10951599999999954,-2.17435
train,ibd_entry_breakout_range_ratio,W1,10,-0.19856400274020414,-0.12142857142857144,40.0,5,-0.013818000000000507,3.3892499999999997
train,ibd_entry_close_vs_trigger_pct,W1,10,-0.29377971761266963,-0.35624375624375626,20.0,5,-3.237728666666667,1.1213
train,dist_to_52w_high_pct,W1,10,-0.005104704601272108,-0.004385964912280706,50.0,5,3.958634666666667,3.44505
train,eps_yoy_growth,W1,10,0.08731879485884064,0.21888111888111889,70.0,5,-0.13374433333333363,-1.0989749999999998
train,base_depth_pct,W1,10,0.027493887335924477,0.11138762375570418,50.0,5,3.883916,2.8072999999999997
train,base_duration_weeks,W1,10,-0.05613421105342222,-0.026798093645423602,50.0,5,-3.096458666666667,-4.1036
train,base_mbox_count,W1,10,-0.07411129473353255,-0.11039099155730797,40.0,5,-2.4650469999999998,-3.6534666666666666
train,pullback_pct,W1,4,-0.0027930402930403005,0.05989010989010989,50.0,1,8.224566666666668,8.224566666666668
train,pullback_duration_weeks,W1,4,-0.3520641386438719,-0.4763170310925054,25.0,1,-6.150066666666667,-6.150066666666667
train,C_continuous,W1,10,-0.08809640830036139,-0.15767630538797586,40.0,5,-6.7601119999999995,-4.08446
train,pullback_v_is_dry,W1,4,0.029662793149047073,-0.19691042029748837,25.0,0,,
train,trigger_pos,W1,10,0.18811299684297395,0.17142857142857143,60.0,5,1.735548666666667,-1.57375
train,eps_known,W1,0,,,,0,,
train,rule_ceiling,W1,10,-0.06760608322059447,-0.018591154029835688,50.0,0,,
train,rule_pivot,W1,9,0.07116117909967179,-0.03784378163042982,33.33333333333333,0,,
train,rule_ma10_touch_confirm,W1,7,-0.015789342401811356,-0.04367131467411468,14.285714285714285,0,,
train,rule_ceiling_pullback,W1,2,0.1373985691071984,0.1373985691071984,50.0,0,,
train,rule_three_weeks_tight,W1,3,0.011467015269229693,0.03440104580768908,66.66666666666666,0,,
train,px_vs_ma10,W1,10,-0.1387700933696357,-0.07941840767927726,40.0,5,-2.0622969999999996,0.7966399999999996
train,px_vs_ma20,W1,10,-0.12393762606577255,-0.09285714285714286,40.0,5,-0.920585666666667,1.30085
train,px_vs_ma50,W1,10,-0.1488809817185103,-0.09743083003952568,40.0,5,-2.9821133333333334,0.9255000000000001
train,ma10_slope_5,W1,10,-0.03604488189156381,-0.07032967032967033,40.0,5,-1.5793223333333333,0.6174799999999999
train,ma20_slope_5,W1,10,-0.1829637448745,-0.17142857142857146,40.0,5,-0.07419600000000018,5.162319999999999
train,ma50_slope_10,W1,10,-0.08450561261774077,-0.09999999999999999,30.0,5,-4.858174666666667,-5.87924
train,mom_5,W1,10,-0.1261088720585288,-0.0873235460191982,40.0,5,-2.386996,-0.07410000000000005
train,mom_10,W1,10,-0.08478075319036417,-0.1559147374364766,40.0,5,-3.9145990000000004,-3.3703200000000004
train,mom_20,W1,10,-0.08389752886320392,-0.014285714285714287,40.0,5,0.30678533333333285,3.00126
train,mom_60,W1,10,-0.0632231231773566,-0.060606060606060615,30.0,5,-5.694684333333333,-5.21318
train,rv_20,W1,10,-0.170555782889879,-0.07857142857142858,30.0,5,-6.306544,-4.98302
train,atr_14_pct,W1,10,-0.17406554543854316,-0.06620553359683795,40.0,5,-4.887355666666667,-4.70732
train,vol_ratio_5_20,W1,10,0.056347698830536364,-0.042857142857142864,40.0,5,1.6574639999999998,-0.5065799999999998
train,up_day_ratio_20,W1,10,0.11729014888259451,0.1244808144528308,60.0,5,3.1012489999999993,4.105133333333333
train,drawdown_20,W1,10,0.03866578207631215,0.05378820177876136,60.0,5,1.4565613333333338,-0.23324999999999996
train,rel_spy_20,W1,0,,,,0,,
train,rel_spy_60,W1,0,,,,0,,
train,current_vs_ibd_candidate_pct,W2,10,-0.10212254072691243,-0.09328142305841405,30.0,5,-5.561539333333333,-5.6177
train,ibd_entry_volume_ratio,W2,10,0.04565669265898099,-0.03956043956043956,40.0,5,-0.4352286666666667,-0.7746000000000008
train,volume_ratio,W2,10,0.0167190475428462,-0.03285135916714864,40.0,5,-3.852697333333333,-4.153666666666667
train,ibd_entry_close_position,W2,10,0.008104786136822755,0.03378505552418597,50.0,5,0.8869606666666663,-3.2911000000000006
train,ibd_entry_breakout_range_ratio,W2,10,0.035727342832605966,0.12954545454545455,60.0,5,-0.5885153333333342,4.12514
train,ibd_entry_close_vs_trigger_pct,W2,10,-0.07001365148962405,-0.006593406593406594,50.0,5,-2.7747700000000006,0.16924999999999968
train,dist_to_52w_high_pct,W2,10,0.05681176946623171,0.006993006993006993,50.0,5,6.227462,2.703900000000001
train,eps_yoy_growth,W2,10,-0.07793997383242236,-0.10709290709290711,40.0,5,-3.8480506666666665,-4.296049999999999
train,base_depth_pct,W2,10,0.11033887076891999,0.07888383103407723,70.0,5,3.9083953333333334,2.0247333333333324
train,base_duration_weeks,W2,10,0.006269153168505593,0.08033733483742463,50.0,5,-4.822833666666667,-6.5774
train,base_mbox_count,W2,10,-0.04688014342984129,-0.024246432248443597,40.0,5,-3.233927333333334,-5.1154
train,pullback_pct,W2,4,0.3138736263736264,0.21703296703296704,50.0,1,4.792366666666666,4.792366666666666
train,pullback_duration_weeks,W2,4,-0.628230808513359,-0.6696733094063441,0.0,1,-1.2722666666666667,-1.2722666666666667
train,C_continuous,W2,10,-0.14885714606590666,-0.06428571428571428,50.0,5,-8.617852666666668,-2.8049800000000005
train,pullback_v_is_dry,W2,4,-0.37797682585799885,-0.47456904477142725,25.0,0,,
train,trigger_pos,W2,10,-0.05377934422556846,-0.19140316205533597,40.0,5,3.5252920000000003,-0.9080499999999996
train,eps_known,W2,0,,,,0,,
train,rule_ceiling,W2,10,-0.05363899192662221,-0.006881023532039754,40.0,0,,
train,rule_pivot,W2,9,-0.017228611732134025,0.06560798513518476,55.55555555555556,0,,
train,rule_ma10_touch_confirm,W2,7,0.010510175050088761,-0.021591675854376526,28.57142857142857,0,,
train,rule_ceiling_pullback,W2,2,0.2198771789914306,0.2198771789914306,50.0,0,,
train,rule_three_weeks_tight,W2,3,0.1904902935174642,0.13093073414159545,100.0,0,,
train,px_vs_ma10,W2,10,-0.110333221317203,-0.1482456140350877,30.0,5,-3.9908153333333325,-2.0309600000000003
train,px_vs_ma20,W2,10,-0.052059957586273374,-0.06954887218045114,40.0,5,0.7698666666666674,2.5653
