segment,factor,horizon,weeks_ic,mean_ic,median_ic,ic_positive_pct,weeks_quintile,mean_q5_minus_q1_pct,median_q5_minus_q1_pct
train,current_vs_ibd_candidate_pct,W1,10,-0.22210866101958587,-0.25068371368528336,30.0,5,-4.182108666666667,-1.34036
train,ibd_entry_volume_ratio,W1,10,0.07067868820729237,0.058993637941006365,60.0,5,-0.9186183333333331,2.1003666666666665
train,volume_ratio,W1,10,0.07783091050825605,0.14457281848586195,80.0,5,-2.2840906666666667,-1.8394999999999997
train,ibd_entry_close_position,W1,10,-0.0695201251837407,0.016756070016939583,60.0,5,-0.10951599999999954,-2.17435
train,ibd_entry_breakout_range_ratio,W1,10,-0.19856400274020414,-0.12142857142857144,40.0,5,-0.013818000000000507,3.3892499999999997
train,ibd_entry_close_vs_trigger_pct,W1,10,-0.29377971761266963,-0.35624375624375626,20.0,5,-3.237728666666667,1.1213
train,dist_to_52w_high_pct,W1,10,-0.005104704601272108,-0.004385964912280706,50.0,5,3.958634666666667,3.44505
train,eps_yoy_growth,W1,10,0.08731879485884064,0.21888111888111889,70.0,5,-0.13374433333333363,-1.0989749999999998
train,base_depth_pct,W1,10,0.027493887335924477,0.11138762375570418,50.0,5,3.883916,2.8072999999999997
train,base_duration_weeks,W1,10,-0.05613421105342222,-0.026798093645423602,50.0,5,-3.096458666666667,-4.1036
train,base_mbox_count,W1,10,-0.07411129473353255,-0.11039099155730797,40.0,5,-2.4650469999999998,-3.6534666666666666
train,pullback_pct,W1,4,-0.0027930402930403005,0.05989010989010989,50.0,1,8.224566666666668,8.224566666666668
train,pullback_duration_weeks,W1,4,-0.3520641386438719,-0.4763170310925054,25.0,1,-6.150066666666667,-6.150066666666667
train,C_continuous,W1,10,-0.08809640830036139,-0.15767630538797586,40.0,5,-6.7601119999999995,-4.08446
train,pullback_v_is_dry,W1,4,0.029662793149047073,-0.19691042029748837,25.0,0,,
train,trigger_pos,W1,10,0.18811299684297395,0.17142857142857143,60.0,5,1.735548666666667,-1.57375
train,eps_known,W1,0,,,,0,,
train,rule_ceiling,W1,10,-0.06760608322059447,-0.018591154029835688,50.0,0,,
train,rule_pivot,W1,9,0.07116117909967179,-0.03784378163042982,33.33333333333333,0,,
train,rule_ma10_touch_confirm,W1,7,-0.015789342401811356,-0.04367131467411468,14.285714285714285,0,,
train,rule_ceiling_pullback,W1,2,0.1373985691071984,0.1373985691071984,50.0,0,,
train,rule_three_weeks_tight,W1,3,0.011467015269229693,0.03440104580768908,66.66666666666666,0,,
train,current_vs_ibd_candidate_pct,W2,10,-0.10212254072691243,-0.09328142305841405,30.0,5,-5.561539333333333,-5.6177
train,ibd_entry_volume_ratio,W2,10,0.04565669265898099,-0.03956043956043956,40.0,5,-0.4352286666666667,-0.7746000000000008
train,volume_ratio,W2,10,0.0167190475428462,-0.03285135916714864,40.0,5,-3.852697333333333,-4.153666666666667
train,ibd_entry_close_position,W2,10,0.008104786136822755,0.03378505552418597,50.0,5,0.8869606666666663,-3.2911000000000006
train,ibd_entry_breakout_range_ratio,W2,10,0.035727342832605966,0.12954545454545455,60.0,5,-0.5885153333333342,4.12514
train,ibd_entry_close_vs_trigger_pct,W2,10,-0.07001365148962405,-0.006593406593406594,50.0,5,-2.7747700000000006,0.16924999999999968
train,dist_to_52w_high_pct,W2,10,0.05681176946623171,0.006993006993006993,50.0,5,6.227462,2.703900000000001
train,eps_yoy_growth,W2,10,-0.07793997383242236,-0.10709290709290711,40.0,5,-3.8480506666666665,-4.296049999999999
train,base_depth_pct,W2,10,0.11033887076891999,0.07888383103407723,70.0,5,3.9083953333333334,2.0247333333333324
train,base_duration_weeks,W2,10,0.006269153168505593,0.08033733483742463,50.0,5,-4.822833666666667,-6.5774
train,base_mbox_count,W2,10,-0.04688014342984129,-0.024246432248443597,40.0,5,-3.233927333333334,-5.1154
train,pullback_pct,W2,4,0.3138736263736264,0.21703296703296704,50.0,1,4.792366666666666,4.792366666666666
train,pullback_duration_weeks,W2,4,-0.628230808513359,-0.6696733094063441,0.0,1,-1.2722666666666667,-1.2722666666666667
train,C_continuous,W2,10,-0.14885714606590666,-0.06428571428571428,50.0,5,-8.617852666666668,-2.8049800000000005
train,pullback_v_is_dry,W2,4,-0.37797682585799885,-0.47456904477142725,25.0,0,,
train,trigger_pos,W2,10,-0.05377934422556846,-0.19140316205533597,40.0,5,3.5252920000000003,-0.9080499999999996
train,eps_known,W2,0,,,,0,,
train,rule_ceiling,W2,10,-0.05363899192662221,-0.006881023532039754,40.0,0,,
train,rule_pivot,W2,9,-0.017228611732134025,0.06560798513518476,55.55555555555556,0,,
train,rule_ma10_touch_confirm,W2,7,0.010510175050088761,-0.021591675854376526,28.57142857142857,0,,
train,rule_ceiling_pullback,W2,2,0.2198771789914306,0.2198771789914306,50.0,0,,
train,rule_three_weeks_tight,W2,3,0.1904902935174642,0.13093073414159545,100.0,0,,
train,current_vs_ibd_candidate_pct,W4,10,-0.08985894980230782,-0.13741258741258744,40.0,5,-8.197642333333333,-14.897975
train,ibd_entry_volume_ratio,W4,10,-0.09350693547489886,-0.06813186813186814,40.0,5,3.5170236666666654,-0.26885000000000003
train,volume_ratio,W4,10,-0.025035879452355393,0.0032967032967032967,50.0,5,1.5557736666666657,4.044675
train,ibd_entry_close_position,W4,10,0.014107555297486663,-0.07575757575757575,40.0,5,-0.5075809999999994,-2.2273666666666667
train,ibd_entry_breakout_range_ratio,W4,10,0.08831345237523727,0.058714969241285025,60.0,5,1.5937666666666663,5.268649999999999
train,ibd_entry_close_vs_trigger_pct,W4,10,-0.039434223290058544,-0.06223250433776749,20.0,5,3.399794333333334,5.24838
train,dist_to_52w_high_pct,W4,10,0.05218804460223225,0.13705533596837943,60.0,5,0.9856300000000005,1.6677333333333326
train,eps_yoy_growth,W4,10,0.008462163313421912,-0.03601398601398601,50.0,5,-2.3137713333333325,-5.1248
train,base_depth_pct,W4,10,-0.00655752465790761,-0.07396837236502393,30.0,5,0.6514593333333337,1.2903800000000007
train,base_duration_weeks,W4,10,0.12671902590868575,0.05479945769200245,70.0,5,-4.5322906666666665,-6.135433333333333
train,base_mbox_count,W4,10,0.09321059491880035,0.14694482502731437,60.0,5,-0.42094433333333325,-5.17385
train,pullback_pct,W4,4,0.4576465201465202,0.5879120879120879,75.0,1,17.474166666666665,17.474166666666665
train,pullback_duration_weeks,W4,4,-0.49615610374581703,-0.6016793666682051,0.0,1,-10.136666666666667,-10.136666666666667
train,C_continuous,W4,10,-0.0035185419483064807,0.13345864661654136,60.0,5,-5.254401333333332,-3.5699399999999994
train,pullback_v_is_dry,W4,4,-0.08892614200054863,-0.061858957413174154,50.0,0,,
train,trigger_pos,W4,10,-0.09320801242998038,-0.034933487565066514,30.0,5,0.4695966666666667,-4.346699999999999
train,eps_known,W4,0,,,,0,,
train,rule_ceiling,W4,10,-0.1140117938611035,-0.2162094671993406,30.0,0,,
