code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type
VICR,2026-02-27,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,173.57,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-02-23"", ""ma10_prior_week"": 142.127, ""pending_high"": 173.57, ""touch_date"": ""2026-02-16""}",1.0,2026-02-24,173.57,173.57,1.9478149953811308,0.096387624589503,0.9812164579606446,0.7482110912343484,ma10_touch_confirm,,201.4,16.03,EXTENDED,1.8264510240979408,92.9,2025-12-15,104.7,2,0,98.38,2023-07-24,-68.6,9,125,68.6,4.574074074074074,1.0,1,3.0,-17.1,13.8,True,True,142.3076923077,205.92,-2.195027195027188,Electronic Technology,Electronic Components,SEC,resolved,,GROWTH
FIGS,2026-02-27,True,pivot,True,pivot,12.2,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 12.2, ""resistance_date"": ""2026-02-23""}, {""box_type"": ""S_BOX"", ""price"": 12.48, ""resistance_date"": ""2026-02-23""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 12.2, ""resistance_date"": ""2026-02-23""}}",1.0,2026-02-26,12.2,12.2,4.008055735208639,0.0221311475409837,0.884146341463415,0.1646341463414641,pivot,,15.45,26.64,EXTENDED,4.215235514687608,96.6,2025-10-13,123.9,2,1,6.9,2024-09-23,-48.3,2,55,48.3,4.481481481481482,2.0,2,11.0,-18.7,26.6,True,True,900.0,15.9,-2.8301886792452935,Unknown,Unknown,SEC,resolved,,GROWTH
NEM,2026-02-27,True,pivot,False,pivot,124.64,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 124.64, ""resistance_date"": ""2026-02-23""}], ""selected_pivot"": {""box_type"": ""S_BOX"", ""price"": 124.64, ""resistance_date"": ""2026-02-23""}}",1.0,2026-02-27,129.07,124.64,1.5690088583448745,0.0430038510911425,0.4761904761904733,2.3203463203463177,pivot,,130.0,4.3,ACTIONABLE,1.2863073870739452,64.5,2025-09-08,70.9,2,1,76.08,2022-04-11,-62.9,10,178,62.9,4.2592592592592595,3.0,5,3.0,-6.6,2.9,True,False,-3.2520325203,134.88,-3.618030842230125,Unknown,Unknown,SEC,resolved,,DECLINE
GMED,2026-02-27,True,ceiling_breakout,,ceiling,93.67,ceiling_breakout,,1.0,2026-02-25,93.67,93.67,1.5007093681613497,0.0272232304900181,0.97985347985348,0.467032967032967,ceiling,,95.46,1.91,ACTIONABLE,1.4753693588470889,0.0,2026-02-23,1.9,0,0,93.67,2025-01-20,-44.7,4,57,44.7,3.8703703703703702,4.0,0,,,,True,True,431.5789473684,101.4,-5.857988165680483,Unknown,Unknown,SEC,resolved,,GROWTH
BTSG,2026-02-27,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,41.4,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-02-23"", ""ma10_prior_week"": 38.888, ""pending_high"": 41.4, ""touch_date"": ""2026-01-12""}",1.0,2026-02-27,41.4,41.4,3.744181633361012,0.0007246376811593,0.219954648526077,0.0068027210884356,ma10_touch_confirm,,41.43,0.07,ACTIONABLE,2.304490121030922,56.6,2025-09-08,66.9,3,0,24.82,2025-01-27,-37.6,2,32,37.6,3.851851851851852,5.0,5,3.0,-9.2,0.4,True,True,209.0909090909,44.87,-7.66659237798083,Health Services,Medical/Nursing Services,SEC,resolved,,GROWTH
EXPE,2026-02-27,True,ceiling_breakout,,ceiling,206.07,ceiling_breakout,,1.0,2026-02-26,206.07,206.07,1.6360471378951136,0.0575532586014462,0.968053491827637,0.881129271916791,ceiling,,215.69,4.67,ACTIONABLE,1.8567199042784743,0.0,2026-02-23,4.7,0,0,206.07,2025-02-10,-37.3,3,54,37.3,3.740740740740741,6.0,0,,,,True,True,-25.7142857143,303.8,-29.00263331138907,Consumer Services,Other Consumer Services,SEC,resolved,,DECLINE
FCX,2026-02-27,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,64.39,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-02-23"", ""ma10_prior_week"": 57.718, ""pending_high"": 64.39, ""touch_date"": ""2026-02-16""}",0.0,,,,,,,,,daily_volume_not_confirmed,68.08,5.73,UNCONFIRMED,1.0753741713229918,20.7,2026-01-05,28.3,1,0,53.08,2024-05-13,-48.6,7,86,48.6,3.6851851851851856,7.0,1,3.0,-5.6,9.6,True,False,27.7777777778,69.75,-2.394265232974913,Non-Energy Minerals,Other Metals/Minerals,SEC,resolved,,GROWTH
VVX,2026-02-27,True,ceiling_breakout,,ceiling,69.27,ceiling_breakout,,1.0,2026-02-24,71.13,69.27,3.0463058283180233,0.01053847264328,0.4643423137876395,0.1156893819334395,ceiling,,69.75,0.69,ACTIONABLE,2.2937384686863527,0.0,2026-02-23,0.7,0,0,69.27,2024-11-04,-40.7,6,68,40.7,3.5185185185185186,8.0,0,,,,True,True,-6.4102564103,73.38,-4.9468520032706405,Commercial Services,Miscellaneous Commercial Services,SEC,resolved,,DECLINE
CDE,2026-02-27,True,pivot,,pivot,26.5,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 26.5, ""resistance_date"": ""2026-02-23""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,27.15,2.45,UNCONFIRMED,0.976580593832826,10.2,2026-02-16,14.9,1,0,23.62,2025-10-13,-42.6,1,18,42.6,3.4999999999999996,9.0,0,,,,True,False,236.3636363636,27.77,-2.2326251350378135,Unknown,Unknown,SEC,resolved,,GROWTH
AU,2026-02-27,True,10_wk_ema_touch_confirm,False,ma10_touch_confirm,115.81,10_wk_ema_touch_confirm,"{""confirm_date"": ""2026-02-23"", ""ma10_prior_week"": 98.148, ""pending_high"": 115.81, ""touch_date"": ""2026-01-26""}",0.0,,,,,,,,,daily_volume_not_confirmed,127.77,10.33,UNCONFIRMED,1.2578753029715686,326.3,2025-03-03,327.2,7,1,29.91,2024-08-12,-28.6,2,29,28.6,3.4814814814814814,10.0,10,4.0,-15.1,18.7,True,False,,128.54,-0.5990353197448228,Unknown,Unknown,,expected_unavailable,NO_PRIOR_YEAR_QUARTER,
