policy,panel,quarter,horizon,role,snapshot_date,rule_available,n,flagged_n,retained_n,known_n,unknown_n,coverage,known_coverage,baseline_gross,baseline_net,veto_cash_net,random_cash_net,cash_delta,cash_delta_gross,incremental_vs_random,avoided_gross_loss,foregone_gross_gain,saved_cost,flagged_mean,retained_mean,known_retained_mean,known_matched_return_spread,stop_lift,matched,stop_capture,winner_loss,break_even_cost_bps
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-05,True,37,4,33,18,19,0.10810810810810811,0.4864864864864865,-0.03074315511236197,-0.03274315511236196,-0.027211801296026468,-0.029203354559674183,0.005531353816335495,0.005315137600119292,0.001991553263647715,0.005315137600119292,0.0,0.00021621621621621624,-0.04916502280110345,-0.028510201453120585,-0.03550309128667601,0.01366193151442744,-0.0357142857142857,1,0.16666666666666666,,-491.6502280110345
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-12,True,5,0,5,1,4,0.0,0.2,-0.03763157522405071,-0.03963157522405071,-0.03963157522405071,-0.03963157522405071,0.0,-0.0,0.0,-0.0,0.0,0.0,,-0.03763157522405071,-0.0446650086879808,,,0,0.0,,
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-19,True,9,1,8,3,6,0.1111111111111111,0.3333333333333333,0.02241434937897199,0.02041434937897199,0.000771917156047789,0.01814608833686399,-0.0196424322229242,-0.019864654445146422,-0.0173741711808162,-0.0,0.019864654445146422,0.0002222222222222222,0.1787818900063178,0.0028684068005537626,0.0214515549878465,-0.1573303350184713,0.0,1,0.0,1.0,1787.818900063178
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-04-26,True,72,12,60,42,30,0.16666666666666666,0.5833333333333334,0.017581976624548315,0.015581976624548311,0.005908110297414383,0.012984980520456926,-0.009673866327133927,-0.010007199660467262,-0.007076870223042543,0.0012954609253978762,0.011302660585865138,0.0003333333333333333,0.06004319796280357,0.00908973235689726,0.005712131583861287,-0.054331066378942285,-0.016666666666666677,1,0.1,0.6666666666666666,600.4319796280357
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-05-03,True,62,12,50,35,27,0.1935483870967742,0.5645161290322581,0.026442430494113597,0.024442430494113595,0.01683621354764624,0.0197116374952529,-0.007606216946467355,-0.007993313720660897,-0.0028754239476066583,0.0004840433828801032,0.008477357103541002,0.0003870967741935484,0.04129878755674797,0.022876904799081343,0.02697587771220475,-0.014322909844543222,-0.09057971014492754,1,0.08333333333333333,0.6666666666666666,412.9878755674797
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-05-10,True,102,17,85,54,48,0.16666666666666666,0.5294117647058824,0.007400576990389203,0.005400576990389202,0.001652534335895044,0.004500480825324335,-0.0037480426544941577,-0.004081375987827492,-0.002847946489429291,0.0021338662395820815,0.006215242227409572,0.0003333333333333333,0.02448825592696495,0.003983041203074053,0.00735197662976729,-0.01713627929719766,0.18124006359300476,1,0.23529411764705882,0.6666666666666666,244.8825592696495
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-05-17,True,73,12,61,37,36,0.1643835616438356,0.5068493150684932,0.0036552826066036503,0.0016552826066036485,0.000132926579481995,0.0013831813562030489,-0.0015223560271216535,-0.0018511231504093264,-0.001250254776721054,0.004656818023037397,0.006507941173446722,0.00032876712328767124,0.01126099916499007,0.0021590760705276334,-0.014581936747650508,-0.02584293591264058,0.2566666666666667,1,0.2631578947368421,1.0,112.60999164990069
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-05-24,True,46,12,34,24,22,0.2608695652173913,0.5217391304347826,-0.020295718842004363,-0.022295718842004365,-0.01563685733184921,-0.016479444361481486,0.006658861510155156,0.006137122379720378,0.0008425870296322781,0.007814594108766046,0.0016774717290456672,0.0005217391304347826,-0.023525635788928117,-0.019155748154854806,-0.004588116023754158,0.01893751976517396,0.08333333333333337,1,0.3333333333333333,0.0,-235.25635788928116
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-05-31,True,39,4,35,22,17,0.10256410256410256,0.5641025641025641,-0.030474931403292337,-0.032474931403292336,-0.0308550492949116,-0.029144169208082868,0.0016198821083807345,0.0014147539032525276,-0.0017108800868287331,0.004841425813076861,0.0034266719098243336,0.00020512820512820512,-0.013793850556712145,-0.0323813406429015,-0.022725759247806798,-0.008931908691094653,0.16666666666666669,1,0.11764705882352941,,-137.93850556712144
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-07,True,21,1,20,13,8,0.047619047619047616,0.6190476190476191,-0.016861469652346663,-0.018861469652346665,-0.018076097824989767,-0.01796330443080635,0.0007853718273568983,0.0006901337321187999,-0.00011279339418341847,0.0006901337321187999,0.0,9.523809523809524e-05,-0.0144928083744948,-0.01697990271623926,0.011830385475861134,0.026323193850355933,0.9166666666666666,1,0.16666666666666666,0.0,-144.928083744948
