policy,panel,quarter,horizon,role,group,n,unique_tickers,mean,median,p10,p90,positive_return_rate,ambiguous_3w_n,stop_first_3w_n,fast_winner_3w_n,unresolved_3w_n,mae_3w_median,mfe_3w_median,mae_4w_median,mfe_4w_median
deep_pullback,nonoverlap_w4,2024Q2,w2,PRIMARY,unknown_feature,200,175,0.012057226519096832,0.0096057423472861,-0.0737272744056351,0.09870461342774398,0.55,1,46,10,143,-0.04202084974385015,0.05019875239855215,-0.04915641486391945,0.056548263519178
deep_pullback,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,baseline,406,313,0.02055593581884904,0.014606327197415898,-0.084716987899603,0.1281808413650326,0.6059113300492611,1,98,23,284,-0.041782051305209705,0.05170436424356445,-0.048351477139454146,0.06248042952071105
deep_pullback,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,flagged,67,61,0.022508279405508282,0.0261335304217631,-0.13317551834669913,0.2013086238115918,0.5970149253731343,0,24,12,31,-0.0579506897468072,0.0767793694934029,-0.066797670411665,0.0803377968296439
deep_pullback,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,retained,339,267,0.020170074402016683,0.0135087799607662,-0.07440489625296368,0.11999431282621092,0.6076696165191741,1,74,11,253,-0.0393734238836701,0.0489259467259188,-0.0464698995224652,0.0569726573347801
deep_pullback,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,unknown_feature,200,175,0.02905524712019102,0.0133672907450945,-0.07423948516351883,0.13081301683741284,0.61,1,46,10,143,-0.04202084974385015,0.05019875239855215,-0.04915641486391945,0.056548263519178
deep_pullback,nonoverlap_w4,2024Q2,w4,PRIMARY,baseline,406,313,0.020632804422782848,0.01159502440923125,-0.10619948754373959,0.14693515563128315,0.5566502463054187,1,98,23,284,-0.041782051305209705,0.05170436424356445,-0.048351477139454146,0.06248042952071105
deep_pullback,nonoverlap_w4,2024Q2,w4,PRIMARY,flagged,67,61,0.027732645627405624,0.0316170181678838,-0.15642826463248372,0.21527374839626842,0.5373134328358209,0,24,12,31,-0.0579506897468072,0.0767793694934029,-0.066797670411665,0.0803377968296439
deep_pullback,nonoverlap_w4,2024Q2,w4,PRIMARY,retained,339,267,0.019229590969361828,0.0111502813898316,-0.0915734611892111,0.13406277075043377,0.56047197640118,1,74,11,253,-0.0393734238836701,0.0489259467259188,-0.0464698995224652,0.0569726573347801
deep_pullback,nonoverlap_w4,2024Q2,w4,PRIMARY,unknown_feature,200,175,0.02566788132237893,0.0068223082658973,-0.09240105789026655,0.14482688654937353,0.55,1,46,10,143,-0.04202084974385015,0.05019875239855215,-0.04915641486391945,0.056548263519178
extended_vs_candidate,all_entries,2024Q2,w1,PRIMARY,baseline,579,313,0.0021048133400925176,0.0022378134560752,-0.04576565842329378,0.05689525401444568,0.5284974093264249,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
extended_vs_candidate,all_entries,2024Q2,w1,PRIMARY,flagged,102,91,0.006371353892305377,0.00695874129273805,-0.04534755554840614,0.07909656031690812,0.5490196078431373,1,24,9,68,-0.042039011194397055,0.0593065092337432,-0.05850404673261895,0.07629549901613215
extended_vs_candidate,all_entries,2024Q2,w1,PRIMARY,retained,477,277,0.001192471335216811,0.0016265824587338,-0.0454114402419538,0.05375214508240091,0.5241090146750524,0,108,22,347,-0.0392156862745097,0.0485276826008884,-0.0463749195746101,0.0559328176167708
extended_vs_candidate,all_entries,2024Q2,w1,PRIMARY,unknown_feature,0,0,,,,,,0,0,0,0,,,,
extended_vs_candidate,all_entries,2024Q2,w2,PRIMARY,baseline,579,313,0.01064691560697814,0.0096967914864209,-0.07650654250314182,0.09357174947555226,0.5647668393782384,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
extended_vs_candidate,all_entries,2024Q2,w2,PRIMARY,flagged,102,91,0.02337771514277232,0.02384979603568795,-0.06839802842020752,0.1277058638427709,0.6470588235294118,1,24,9,68,-0.042039011194397055,0.0593065092337432,-0.05850404673261895,0.07629549901613215
extended_vs_candidate,all_entries,2024Q2,w2,PRIMARY,retained,477,277,0.007924606272280017,0.0079217493932362,-0.07657480422912441,0.08953349176689786,0.5471698113207547,0,108,22,347,-0.0392156862745097,0.0485276826008884,-0.0463749195746101,0.0559328176167708
extended_vs_candidate,all_entries,2024Q2,w2,PRIMARY,unknown_feature,0,0,,,,,,0,0,0,0,,,,
extended_vs_candidate,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,baseline,579,313,0.02078236594939896,0.0142499106377971,-0.07927693339854065,0.12728633920174395,0.5924006908462867,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
extended_vs_candidate,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,flagged,102,91,0.020956177326171783,0.01615096690594715,-0.08385465556829831,0.13076861748177324,0.5882352941176471,1,24,9,68,-0.042039011194397055,0.0593065092337432,-0.05850404673261895,0.07629549901613215
extended_vs_candidate,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,retained,477,277,0.020745198736755715,0.0135087799607662,-0.07829183127359948,0.12469602799892537,0.5932914046121593,0,108,22,347,-0.0392156862745097,0.0485276826008884,-0.0463749195746101,0.0559328176167708
extended_vs_candidate,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,unknown_feature,0,0,,,,,,0,0,0,0,,,,
extended_vs_candidate,all_entries,2024Q2,w4,PRIMARY,baseline,579,313,0.018790335637321125,0.0112582829138576,-0.10093892010794756,0.1448976684681162,0.5544041450777202,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
extended_vs_candidate,all_entries,2024Q2,w4,PRIMARY,flagged,102,91,0.004091915946915363,0.0018138613874058998,-0.12557941557269825,0.16295402826239838,0.5196078431372549,1,24,9,68,-0.042039011194397055,0.0593065092337432,-0.05850404673261895,0.07629549901613215
extended_vs_candidate,all_entries,2024Q2,w4,PRIMARY,retained,477,277,0.021933393935898455,0.0132720891708359,-0.09666982035596232,0.1432927644202459,0.5618448637316562,0,108,22,347,-0.0392156862745097,0.0485276826008884,-0.0463749195746101,0.0559328176167708
extended_vs_candidate,all_entries,2024Q2,w4,PRIMARY,unknown_feature,0,0,,,,,,0,0,0,0,,,,
extended_vs_candidate,nonoverlap_w4,2024Q2,w1,PRIMARY,baseline,406,313,0.0013078306355922718,0.0021303971690057,-0.04904005140227555,0.0587729789818819,0.5221674876847291,1,98,23,284,-0.041782051305209705,0.05170436424356445,-0.048351477139454146,0.06248042952071105
extended_vs_candidate,nonoverlap_w4,2024Q2,w1,PRIMARY,flagged,71,70,0.005990094714189411,0.0038849445431354,-0.0457407633463541,0.0797683645644902,0.5352112676056338,1,16,6,48,-0.0467206156708824,0.0596527775522055,-0.0590574037184307,0.0755008112844508
extended_vs_candidate,nonoverlap_w4,2024Q2,w1,PRIMARY,retained,335,269,0.000315470189083625,0.0016903962448988,-0.04909921727695704,0.05550262618827226,0.5194029850746269,0,82,17,236,-0.0413983269551793,0.0487150906184532,-0.0479208226965556,0.0603240684226706
extended_vs_candidate,nonoverlap_w4,2024Q2,w1,PRIMARY,unknown_feature,0,0,,,,,,0,0,0,0,,,,
extended_vs_candidate,nonoverlap_w4,2024Q2,w2,PRIMARY,baseline,406,313,0.009210819579028135,0.008068982951232099,-0.07974517725840065,0.09763844424866325,0.541871921182266,1,98,23,284,-0.041782051305209705,0.05170436424356445,-0.048351477139454146,0.06248042952071105
extended_vs_candidate,nonoverlap_w4,2024Q2,w2,PRIMARY,flagged,71,70,0.019040687174644366,0.0260108547696082,-0.0784131048243123,0.128735597106232,0.647887323943662,1,16,6,48,-0.0467206156708824,0.0596527775522055,-0.0590574037184307,0.0755008112844508
extended_vs_candidate,nonoverlap_w4,2024Q2,w2,PRIMARY,retained,335,269,0.007127474506524395,0.0026126688933185,-0.08116554726578545,0.0931498209311585,0.5194029850746269,0,82,17,236,-0.0413983269551793,0.0487150906184532,-0.0479208226965556,0.0603240684226706
extended_vs_candidate,nonoverlap_w4,2024Q2,w2,PRIMARY,unknown_feature,0,0,,,,,,0,0,0,0,,,,
extended_vs_candidate,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,baseline,406,313,0.02055593581884904,0.014606327197415898,-0.084716987899603,0.1281808413650326,0.6059113300492611,1,98,23,284,-0.041782051305209705,0.05170436424356445,-0.048351477139454146,0.06248042952071105
extended_vs_candidate,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,flagged,71,70,0.00996795868332484,0.0148243279502795,-0.0847575967460512,0.1284420976265721,0.5915492957746479,1,16,6,48,-0.0467206156708824,0.0596527775522055,-0.0590574037184307,0.0755008112844508
extended_vs_candidate,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,retained,335,269,0.02279995485354223,0.0143883264445523,-0.08407528030429848,0.12767451227057336,0.608955223880597,0,82,17,236,-0.0413983269551793,0.0487150906184532,-0.0479208226965556,0.0603240684226706
extended_vs_candidate,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,unknown_feature,0,0,,,,,,0,0,0,0,,,,
extended_vs_candidate,nonoverlap_w4,2024Q2,w4,PRIMARY,baseline,406,313,0.020632804422782848,0.01159502440923125,-0.10619948754373959,0.14693515563128315,0.5566502463054187,1,98,23,284,-0.041782051305209705,0.05170436424356445,-0.048351477139454146,0.06248042952071105
extended_vs_candidate,nonoverlap_w4,2024Q2,w4,PRIMARY,flagged,71,70,0.0012022832445438185,0.0005466550591977,-0.1474601504306349,0.1229816930460101,0.5211267605633803,1,16,6,48,-0.0467206156708824,0.0596527775522055,-0.0590574037184307,0.0755008112844508
extended_vs_candidate,nonoverlap_w4,2024Q2,w4,PRIMARY,retained,335,269,0.02475091488145441,0.0136231703814253,-0.10179173218809975,0.14845404806138923,0.564179104477612,0,82,17,236,-0.0413983269551793,0.0487150906184532,-0.0479208226965556,0.0603240684226706
extended_vs_candidate,nonoverlap_w4,2024Q2,w4,PRIMARY,unknown_feature,0,0,,,,,,0,0,0,0,,,,
deep_pullback_and_extended,all_entries,2024Q2,w1,PRIMARY,baseline,579,313,0.0021048133400925176,0.0022378134560752,-0.04576565842329378,0.05689525401444568,0.5284974093264249,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
deep_pullback_and_extended,all_entries,2024Q2,w1,PRIMARY,flagged,19,17,0.03501910716247516,0.0219435407187618,-0.05878572004891678,0.13780410778865382,0.7368421052631579,0,5,4,10,-0.049741656404332,0.0783088417296096,-0.0687356707693516,0.1004411011211605
deep_pullback_and_extended,all_entries,2024Q2,w1,PRIMARY,retained,560,305,0.0009880783711188196,0.0016584893518163,-0.04517209345893461,0.05497669195658109,0.5214285714285715,1,127,27,405,-0.0399391156730871,0.05023941414703355,-0.04642240954853765,0.0567176486142888
deep_pullback_and_extended,all_entries,2024Q2,w1,PRIMARY,unknown_feature,279,178,-0.0007333013724155838,0.0010026967436165,-0.04911453514570722,0.05351070194354135,0.5161290322580645,1,66,11,201,-0.0427499215939252,0.0489259467259188,-0.0500000033580082,0.0528681892082405
deep_pullback_and_extended,all_entries,2024Q2,w2,PRIMARY,baseline,579,313,0.01064691560697814,0.0096967914864209,-0.07650654250314182,0.09357174947555226,0.5647668393782384,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
deep_pullback_and_extended,all_entries,2024Q2,w2,PRIMARY,flagged,19,17,0.0487214651369493,0.039559263653949,-0.08040258094997692,0.17326495008021758,0.7368421052631579,0,5,4,10,-0.049741656404332,0.0783088417296096,-0.0687356707693516,0.1004411011211605
deep_pullback_and_extended,all_entries,2024Q2,w2,PRIMARY,retained,560,305,0.009355100533639837,0.00951658709915755,-0.07649954781603456,0.09022908191462717,0.5589285714285714,1,127,27,405,-0.0399391156730871,0.05023941414703355,-0.04642240954853765,0.0567176486142888
deep_pullback_and_extended,all_entries,2024Q2,w2,PRIMARY,unknown_feature,279,178,0.009247108199398264,0.0085387134278742,-0.07433262950982207,0.0968660922951341,0.5483870967741935,1,66,11,201,-0.0427499215939252,0.0489259467259188,-0.0500000033580082,0.0528681892082405
deep_pullback_and_extended,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,baseline,579,313,0.02078236594939896,0.0142499106377971,-0.07927693339854065,0.12728633920174395,0.5924006908462867,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
deep_pullback_and_extended,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,flagged,19,17,0.030427241475390273,0.0393103237809806,-0.046102275392449654,0.12570599570793176,0.6842105263157895,0,5,4,10,-0.049741656404332,0.0783088417296096,-0.0687356707693516,0.1004411011211605
deep_pullback_and_extended,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,retained,560,305,0.020455129101195683,0.01385778197168125,-0.07911170476130143,0.1272837687243127,0.5892857142857143,1,127,27,405,-0.0399391156730871,0.05023941414703355,-0.04642240954853765,0.0567176486142888
deep_pullback_and_extended,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,unknown_feature,279,178,0.022271842570626747,0.0122106514646274,-0.07615362824947612,0.12870104812849867,0.5770609318996416,1,66,11,201,-0.0427499215939252,0.0489259467259188,-0.0500000033580082,0.0528681892082405
deep_pullback_and_extended,all_entries,2024Q2,w4,PRIMARY,baseline,579,313,0.018790335637321125,0.0112582829138576,-0.10093892010794756,0.1448976684681162,0.5544041450777202,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
deep_pullback_and_extended,all_entries,2024Q2,w4,PRIMARY,flagged,19,17,0.026093909776407815,0.0239080670236171,-0.10559332955546792,0.17677765539441517,0.5263157894736842,0,5,4,10,-0.049741656404332,0.0783088417296096,-0.0687356707693516,0.1004411011211605
deep_pullback_and_extended,all_entries,2024Q2,w4,PRIMARY,retained,560,305,0.018542535800459257,0.0112042821518446,-0.10090097965727818,0.14392977320539044,0.5553571428571429,1,127,27,405,-0.0399391156730871,0.05023941414703355,-0.04642240954853765,0.0567176486142888
deep_pullback_and_extended,all_entries,2024Q2,w4,PRIMARY,unknown_feature,279,178,0.015117214065471982,0.0037233954032622,-0.09781448900430019,0.14204189176594992,0.5268817204301075,1,66,11,201,-0.0427499215939252,0.0489259467259188,-0.0500000033580082,0.0528681892082405
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w1,PRIMARY,baseline,406,313,0.0013078306355922718,0.0021303971690057,-0.04904005140227555,0.0587729789818819,0.5221674876847291,1,98,23,284,-0.041782051305209705,0.05170436424356445,-0.048351477139454146,0.06248042952071105
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w1,PRIMARY,flagged,15,14,0.038394375266355814,0.0251220199253576,-0.06721986575527673,0.1700514704122642,0.6666666666666666,0,4,4,7,-0.0514904887568083,0.0783088417296096,-0.0687356707693516,0.0949738051808029
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w1,PRIMARY,retained,391,303,-0.0001149268310610631,0.0016903962448988,-0.0487395214433429,0.0566127534981526,0.5166240409207161,1,94,19,277,-0.0415800671365556,0.0500373457143379,-0.0481394281964931,0.058061073025301
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w1,PRIMARY,unknown_feature,200,175,0.00012102757594129848,0.00162025509984585,-0.0460411092146055,0.05876492435256784,0.52,1,46,10,143,-0.04202084974385015,0.05019875239855215,-0.04915641486391945,0.056548263519178
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w2,PRIMARY,baseline,406,313,0.009210819579028135,0.008068982951232099,-0.07974517725840065,0.09763844424866325,0.541871921182266,1,98,23,284,-0.041782051305209705,0.05170436424356445,-0.048351477139454146,0.06248042952071105
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w2,PRIMARY,flagged,15,14,0.051342531239888516,0.039559263653949,-0.09194266073132075,0.18745764011376026,0.6666666666666666,0,4,4,7,-0.0514904887568083,0.0783088417296096,-0.0687356707693516,0.0949738051808029
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w2,PRIMARY,retained,391,303,0.007594513505082085,0.0065127008475318,-0.0787735451412879,0.09643328963271,0.5370843989769821,1,94,19,277,-0.0415800671365556,0.0500373457143379,-0.0481394281964931,0.058061073025301
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w2,PRIMARY,unknown_feature,200,175,0.012057226519096832,0.0096057423472861,-0.0737272744056351,0.09870461342774398,0.55,1,46,10,143,-0.04202084974385015,0.05019875239855215,-0.04915641486391945,0.056548263519178
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,baseline,406,313,0.02055593581884904,0.014606327197415898,-0.084716987899603,0.1281808413650326,0.6059113300492611,1,98,23,284,-0.041782051305209705,0.05170436424356445,-0.048351477139454146,0.06248042952071105
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,flagged,15,14,0.025666818781150347,0.0148243279502795,-0.06566811599400277,0.1574372792006236,0.6666666666666666,0,4,4,7,-0.0514904887568083,0.0783088417296096,-0.0687356707693516,0.0949738051808029
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,retained,391,303,0.020359866139988376,0.0143883264445523,-0.0846763790531548,0.1279195851034931,0.6035805626598465,1,94,19,277,-0.0415800671365556,0.0500373457143379,-0.0481394281964931,0.058061073025301
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,unknown_feature,200,175,0.02905524712019102,0.0133672907450945,-0.07423948516351883,0.13081301683741284,0.61,1,46,10,143,-0.04202084974385015,0.05019875239855215,-0.04915641486391945,0.056548263519178
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w4,PRIMARY,baseline,406,313,0.020632804422782848,0.01159502440923125,-0.10619948754373959,0.14693515563128315,0.5566502463054187,1,98,23,284,-0.041782051305209705,0.05170436424356445,-0.048351477139454146,0.06248042952071105
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w4,PRIMARY,flagged,15,14,0.029152847768676587,0.0239080670236171,-0.09434539950272836,0.17765140119202782,0.5333333333333333,0,4,4,7,-0.0514904887568083,0.0783088417296096,-0.0687356707693516,0.0949738051808029
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w4,PRIMARY,retained,391,303,0.020305948539948052,0.0112582829138576,-0.1069988999022911,0.1454639238180572,0.5575447570332481,1,94,19,277,-0.0415800671365556,0.0500373457143379,-0.0481394281964931,0.058061073025301
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w4,PRIMARY,unknown_feature,200,175,0.02566788132237893,0.0068223082658973,-0.09240105789026655,0.14482688654937353,0.55,1,46,10,143,-0.04202084974385015,0.05019875239855215,-0.04915641486391945,0.056548263519178
high_pct_above_ceiling,all_entries,2024Q2,w1,PRIMARY,baseline,579,313,0.0021048133400925176,0.0022378134560752,-0.04576565842329378,0.05689525401444568,0.5284974093264249,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
high_pct_above_ceiling,all_entries,2024Q2,w1,PRIMARY,flagged,211,130,0.0009783310607651486,0.0008633673897222,-0.0577167173385716,0.075607626804967,0.5118483412322274,0,54,18,139,-0.0443270100574823,0.0559328176167708,-0.0495205121844599,0.0699999809265137
high_pct_above_ceiling,all_entries,2024Q2,w1,PRIMARY,retained,368,211,0.002750703994815547,0.00290735805463165,-0.04181534618212417,0.05227051932025173,0.5380434782608695,1,78,13,276,-0.03827206725934395,0.04690288738763265,-0.044816809793495,0.0530422760148613
high_pct_above_ceiling,all_entries,2024Q2,w1,PRIMARY,unknown_feature,0,0,,,,,,0,0,0,0,,,,
high_pct_above_ceiling,all_entries,2024Q2,w2,PRIMARY,baseline,579,313,0.01064691560697814,0.0096967914864209,-0.07650654250314182,0.09357174947555226,0.5647668393782384,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
high_pct_above_ceiling,all_entries,2024Q2,w2,PRIMARY,flagged,211,130,0.010368947953723453,0.0112791725848409,-0.1031366194257085,0.1041399171116519,0.5781990521327014,0,54,18,139,-0.0443270100574823,0.0559328176167708,-0.0495205121844599,0.0699999809265137
high_pct_above_ceiling,all_entries,2024Q2,w2,PRIMARY,retained,368,211,0.010806293799469286,0.00863998608456645,-0.06883735298962833,0.08777588064678206,0.5570652173913043,1,78,13,276,-0.03827206725934395,0.04690288738763265,-0.044816809793495,0.0530422760148613
high_pct_above_ceiling,all_entries,2024Q2,w2,PRIMARY,unknown_feature,0,0,,,,,,0,0,0,0,,,,
high_pct_above_ceiling,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,baseline,579,313,0.02078236594939896,0.0142499106377971,-0.07927693339854065,0.12728633920174395,0.5924006908462867,1,132,31,415,-0.0400111316635625,0.051556991774383,-0.047002880373409,0.0589602409152809
high_pct_above_ceiling,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,flagged,211,130,0.020711666965867067,0.014170970408142,-0.1181036604525606,0.1338546402046461,0.5592417061611374,0,54,18,139,-0.0443270100574823,0.0559328176167708,-0.0495205121844599,0.0699999809265137
