policy,panel,horizon,role,total_quarters,supported_quarters,empty_quarters,no_flag_quarters,available_weeks,observed_weeks,rule_available_weeks,wholly_unknown_weeks,positive_supported_quarters,stop_positive_supported_quarters,incremental_mean,incremental_median,positive_week_fraction,block_ci_low,block_ci_high,leave_one_quarter_out_min,leave_one_quarter_out_max,without_best_week,without_worst_week,calendar_quarters_observed,independent_confirmation,baseline_net,veto_cash_net,random_cash_net,cash_delta,cash_delta_gross,avoided_gross_loss,foregone_gross_gain,saved_cost,coverage,known_coverage,known_matched_return_spread,stop_lift,break_even_cost_bps,leave_one_ticker_out_min,leave_one_ticker_out_max
deep_pullback,all_entries,w1,PRIMARY,9,8,1,0,104,104,104,0,6,8,0.0007375829381513108,0.0001380042526590024,0.5096153846153846,-0.0004682019382874787,0.0022757577070934443,0.0002798677133925822,0.0011259718610201932,0.0004037103258234265,0.0009134252111509954,8,False,0.0020478789013322197,0.0024064539002045565,0.0016688709620532455,0.00035857499887233615,0.00013124624960883966,0.0037722619399764576,0.0036410156903676173,0.00022732874926349636,0.11366437463174818,0.4539295027000411,0.003966856672282832,0.22122191373772795,-11.546823710951962,0.0005435431664930258,0.0009193968922160377
deep_pullback,all_entries,w2,PRIMARY,9,8,1,0,104,104,104,0,6,8,0.001302424363217961,0.00124317990221651,0.5769230769230769,9.078597108271292e-05,0.0031195405688492334,0.0006814221704579891,0.0017465590256789795,0.0010076877566022981,0.0016137102046802022,8,False,0.008433800023805725,0.008969856683364684,0.007667432320146723,0.0005360566595589595,0.00030872791029546315,0.005539532900489432,0.005230804990193969,0.00022732874926349636,0.11366437463174818,0.4539295027000411,0.010813167865823167,0.22122191373772795,-27.161360918553875,0.0011367028874272533,0.0016149158383342934
deep_pullback,all_entries,w3,DIAGNOSTIC_ONLY,9,8,1,0,104,104,104,0,5,8,0.0005666888018974056,0.00010596640702374271,0.5096153846153846,-0.0007941235660035203,0.002479474848423123,0.00023509110072995453,0.0010050393116122955,0.0002788967099040784,0.0008850852278686198,8,False,0.012965969592123705,0.01213843959199765,0.011571750790100244,-0.0008275300001260526,-0.001054858749389549,0.006116075589414376,0.007170934338803925,0.00022732874926349636,0.11366437463174818,0.4539295027000411,0.0011744878999715939,0.22122191373772795,92.80469388998081,0.0003409574650746734,0.0010302865495288686
deep_pullback,all_entries,w4,PRIMARY,9,8,1,0,104,104,104,0,6,8,-0.000702863936014709,0.0,0.49038461538461536,-0.0036432282180312745,0.002058392811006967,-0.001060413592793923,0.00027253890741835775,-0.0010086195257645596,8.498001298737812e-05,8,False,0.019221135617188315,0.016165711933981745,0.016868575869996454,-0.0030554236832065675,-0.003282752432470065,0.0062943617463853945,0.00957711417885546,0.00022732874926349636,0.11366437463174818,0.4539295027000411,-0.005578904744771202,0.22122191373772795,288.8110230761031,-0.0010456881758791454,0.0010229785886047176
deep_pullback,nonoverlap_w4,w1,PRIMARY,9,8,1,0,104,104,104,0,4,8,0.0005980447080805181,0.00027714231870147273,0.5192307692307693,-0.0007576077056219926,0.002261701145309512,0.0002631692305239903,0.0008592653135112592,0.00011947602165526616,0.000772532240982428,8,False,0.001848784871818955,0.002194749032245274,0.001596704324164756,0.00034596416042631886,8.704829367103776e-05,0.004426216835544518,0.00433916854187348,0.00025891586675528156,0.12945793337764078,0.4344232067713486,0.0015353088514682988,0.2031024074731987,-6.724060194681915,0.00041609047897201237,0.0007851010016631355
deep_pullback,nonoverlap_w4,w2,PRIMARY,9,8,1,0,104,104,104,0,6,8,0.0010188501721132425,0.0008937767123419829,0.5288461538461539,-0.0004983677758887515,0.003048910311353338,0.0004100531068478097,0.0012697418158166365,0.0006931109721842253,0.0013273828660890306,8,False,0.011036934503257458,0.01119777326020513,0.010178923088091886,0.0001608387569476731,-9.80771098076077e-05,0.0061454245128035705,0.006243501622611179,0.00025891586675528156,0.12945793337764078,0.4344232067713486,0.006765115912181958,0.2031024074731987,7.57598296594985,0.000904874799368177,0.0013421487708370377
deep_pullback,nonoverlap_w4,w3,DIAGNOSTIC_ONLY,9,8,1,0,104,104,104,0,7,8,0.0006757239513883952,0.0,0.49038461538461536,-0.0007385535578067365,0.002841084488675288,0.0003280433330406668,0.0009550456636083417,0.00035378136151426856,0.001150650624712645,8,False,0.01589776795778853,0.014888725573308325,0.014213001621919932,-0.0010090423844802032,-0.0012679582512354856,0.006733954242279362,0.008001912493514847,0.00025891586675528156,0.12945793337764078,0.4344232067713486,0.003102689415157488,0.2031024074731987,97.94364996826684,0.00047613443851339467,0.0011924590832427526
deep_pullback,nonoverlap_w4,w4,PRIMARY,9,8,1,0,104,104,104,0,5,8,-0.00020515845731028796,0.0,0.4807692307692308,-0.002301936686045166,0.0023931180628295368,-0.00042144203416613336,0.00012742616552435644,-0.0005173049548357989,0.0006554404224488652,8,False,0.02161272658811269,0.018801787112401682,0.01900694556971197,-0.0028109394757110068,-0.0030698553424662895,0.007074556048024679,0.010144411390490967,0.00025891586675528156,0.12945793337764078,0.4344232067713486,0.004528061773667266,0.2031024074731987,237.13149610624768,-0.00042996627622432986,0.0007391395018879788
deep_pullback_and_extended,all_entries,w1,PRIMARY,9,8,1,0,104,104,104,0,4,8,0.00059936579754881,0.0,0.33653846153846156,-0.00011506211946386547,0.0015068653896754011,0.0003432210654619195,0.0007419364966836833,0.0003462277773118647,0.0006745026406523515,8,False,0.0020478789013322197,0.002619311840472702,0.0020199460429238918,0.0005714329391404815,0.0005135104875173893,0.0015015402003807018,0.0009880297128633125,5.792245162309244e-05,0.028961225811546212,0.4539295027000411,-0.0007290081687076622,0.2489972923171533,-177.30965217386063,0.0004136514017335212,0.0006657120468921568
deep_pullback_and_extended,all_entries,w2,PRIMARY,9,8,1,0,104,104,104,0,5,8,0.0006360197080556732,0.0,0.4230769230769231,-7.930226767922815e-06,0.0013353259234752202,0.00047641046940749625,0.000754255299992433,0.00045696351991197866,0.0008157021037976086,8,False,0.008433800023805725,0.00903667599934865,0.008400656291292975,0.0006028759755429245,0.0005449535239198321,0.001771568031822424,0.001226614507902592,5.792245162309244e-05,0.028961225811546212,0.4539295027000411,0.0030668647870650176,0.2489972923171533,-188.16659469661366,0.0004990475595857194,0.0007684793657999953
