policy,panel,horizon,code,affected_weeks,incremental_without_ticker
deep_pullback,all_entries,w1,BAC,8,0.000737559341761672
deep_pullback,all_entries,w1,BAM,9,0.0007370652206650367
deep_pullback,all_entries,w1,BANC,3,0.0007371749774537765
deep_pullback,all_entries,w1,BAP,13,0.0007425145966589887
deep_pullback,all_entries,w1,BATRA,1,0.0007423127775938508
deep_pullback,all_entries,w1,BBAI,2,0.0007162239198010075
deep_pullback,all_entries,w1,BBIO,4,0.0007419910543913299
deep_pullback,all_entries,w1,BBT,1,0.0007391456828502142
deep_pullback,all_entries,w1,BCAL,4,0.0007378913492581067
deep_pullback,all_entries,w1,BCML,6,0.000737126499056419
deep_pullback,all_entries,w1,BE,6,0.0007179800966871992
deep_pullback,all_entries,w1,BELFA,8,0.0007547647798248242
deep_pullback,all_entries,w1,BFC,12,0.0007383462030226465
deep_pullback,all_entries,w1,BFH,5,0.0007356579842083099
deep_pullback,all_entries,w1,BFST,1,0.0007376191134226077
deep_pullback,all_entries,w1,BHE,3,0.0007359641910598975
deep_pullback,all_entries,w1,BHF,2,0.0007396502037899292
deep_pullback,all_entries,w1,BJ,10,0.0007425221186058815
deep_pullback,all_entries,w1,BKR,7,0.0007279128369409534
deep_pullback,all_entries,w1,BKTI,12,0.0007197130481717732
deep_pullback,all_entries,w1,BLBD,3,0.0007393454124420943
deep_pullback,all_entries,w1,BLK,11,0.0007429490942458736
deep_pullback,all_entries,w1,BLX,17,0.0007433206328370171
deep_pullback,all_entries,w1,BLZE,1,0.0007376657430577239
deep_pullback,all_entries,w1,BMNR,2,0.0007318624638616463
deep_pullback,all_entries,w1,BMY,5,0.0007427528422696142
deep_pullback,all_entries,w1,BNL,3,0.000737681031294086
deep_pullback,all_entries,w1,BNR,4,0.0007648024778375959
deep_pullback,all_entries,w1,BNY,20,0.0007445766171494147
deep_pullback,all_entries,w1,BOKF,4,0.0007366225753843256
deep_pullback,all_entries,w1,BOTJ,5,0.0007385062670560825
deep_pullback,all_entries,w1,BOW,5,0.0007324461058948307
deep_pullback,all_entries,w1,BOX,1,0.0007378960594724415
deep_pullback,all_entries,w1,BPOP,8,0.0007374552183701734
deep_pullback,all_entries,w1,BPRN,3,0.000738968284101636
deep_pullback,all_entries,w1,BRK-B,6,0.000737257329366538
deep_pullback,all_entries,w1,BRUN,4,0.0007394677323226087
deep_pullback,all_entries,w1,BRX,4,0.0007374184164128905
deep_pullback,all_entries,w1,BSRR,11,0.0007391825139534316
deep_pullback,all_entries,w1,BSVN,6,0.0007381446635374808
deep_pullback,all_entries,w1,BSX,8,0.0007391332231215848
deep_pullback,all_entries,w1,BSY,2,0.0007372002259041727
deep_pullback,all_entries,w1,BTDR,1,0.0007378411971114974
deep_pullback,all_entries,w1,BTSG,10,0.0007410105746072224
deep_pullback,all_entries,w1,BTU,3,0.0007374957404826367
deep_pullback,all_entries,w1,BULL,5,0.0007380748937281668
deep_pullback,all_entries,w1,BUUU,2,0.0007383222975598134
deep_pullback,all_entries,w1,BVFL,3,0.0007376175339380703
deep_pullback,all_entries,w1,BVS,3,0.0007430703653872235
deep_pullback,all_entries,w1,BW,1,0.0007380225360106371
deep_pullback,all_entries,w1,BWA,1,0.000730465513903745
deep_pullback,all_entries,w1,BWFG,6,0.0007374858230555568
deep_pullback,all_entries,w1,BX,4,0.0007371695761986004
deep_pullback,all_entries,w1,BY,2,0.0007378751846599571
