policy,panel,quarter,horizon,role,snapshot_date,path_label,baseline_n,flagged_n,avoided_gross_loss,foregone_gross_gain,saved_cost,cash_delta_contribution
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-07,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-07,stop_first_3w,6,1,0.0006901337321187999,0.0,9.523809523809524e-05,0.0007853718273568953
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-07,fast_winner_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-07,unresolved_3w,14,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-14,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-14,stop_first_3w,6,2,0.003409288267123431,0.0012815545554793863,0.00013793103448275863,0.0022656647461268037
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-14,fast_winner_3w,2,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-14,unresolved_3w,21,1,-0.0,0.00010196565758487241,6.896551724137931e-05,-3.3000140343493096e-05
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-21,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-21,stop_first_3w,6,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-21,fast_winner_3w,2,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-21,unresolved_3w,32,4,0.000256867924820895,0.003104560188129798,0.0002,-0.0026476922633089026
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-28,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-28,stop_first_3w,4,2,0.0021841806218441343,0.0004987168345173136,9.090909090909092e-05,0.0017763728782359115
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-28,fast_winner_3w,4,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w1,PRIMARY,2024-06-28,unresolved_3w,36,4,0.001781527898783432,0.0006540216010659182,0.00018181818181818183,0.0013093244795356956
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-05,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-05,stop_first_3w,18,3,0.008533374757360886,0.0,0.00016216216216216218,0.008695536919523048
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-05,fast_winner_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-05,unresolved_3w,19,1,0.0006459815852402513,0.0,5.405405405405406e-05,0.0007000356392943055
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-12,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-12,stop_first_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-12,fast_winner_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-12,unresolved_3w,4,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-19,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-19,stop_first_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-19,fast_winner_3w,1,1,-0.0,0.03405369779554471,0.0002222222222222222,-0.033831475573322486
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-19,unresolved_3w,7,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-26,ambiguous_3w,1,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-26,stop_first_3w,10,1,0.0036577758300708543,0.0,2.7777777777777776e-05,0.003685553607848632
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-26,fast_winner_3w,9,6,-0.0,0.015780394533499522,0.00016666666666666666,-0.015613727866832856
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-04-26,unresolved_3w,52,5,0.0007086167662537264,0.0037043849937171336,0.0001388888888888889,-0.002856879338574518
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-03,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-03,stop_first_3w,12,1,-0.0,0.00018874776534079195,3.2258064516129034e-05,-0.00015648970082466292
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-03,fast_winner_3w,3,2,0.00031405859635164193,0.0015673603786653162,6.451612903225807e-05,-0.0011887856532814159
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-03,unresolved_3w,47,9,-0.0,0.007895359653209448,0.0002903225806451613,-0.007605037072564287
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-10,ambiguous_3w,0,0,-0.0,0.0,0.0,-0.0
deep_pullback,all_entries,2024Q2,w2,PRIMARY,2024-05-10,stop_first_3w,17,4,0.0022655656417191893,0.0,7.843137254901961e-05,0.0023439970142682086
