policy,panel,quarter,horizon,role,status,n,flagged_n,unknown_n,snapshot_weeks,matched_weeks,evidence_weeks,operational_cash_delta,cash_delta,cash_delta_gross,incremental_vs_random,stop_lift,avoided_gross_loss,foregone_gross_gain,saved_cost,coverage
extended_vs_candidate,nonoverlap_w4,2024Q2,w1,PRIMARY,SUPPORTED,406,71,0,13,11,13,0.004536557556871054,0.004536557556871054,0.0042173276745636834,0.0037343490091341952,0.023251462963405776,0.007610756087324204,0.003393428412760521,0.00031922988230737227,0.15961494115368613
extended_vs_candidate,nonoverlap_w4,2024Q2,w2,PRIMARY,SUPPORTED,406,71,0,13,11,13,0.0034515327586629205,0.0034515327586629205,0.003132302876355551,0.0036902413270955324,0.023251462963405776,0.00944539087724654,0.0063130880008909936,0.00031922988230737227,0.15961494115368613
extended_vs_candidate,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,SUPPORTED,406,71,0,13,11,13,0.003764924255268361,0.003764924255268361,0.003445694372960987,0.006755049954843447,0.023251462963405776,0.010245915754228304,0.006800221381267318,0.00031922988230737227,0.15961494115368613
extended_vs_candidate,nonoverlap_w4,2024Q2,w4,PRIMARY,SUPPORTED,406,71,0,13,11,13,0.006739069354950482,0.006739069354950482,0.006419839472643111,0.010503984516936378,0.023251462963405776,0.013141049440854745,0.006721209968211636,0.00031922988230737227,0.15961494115368613
deep_pullback_and_extended,all_entries,2024Q2,w1,PRIMARY,SUPPORTED,579,19,279,13,9,13,-0.0003816358106278221,-0.0003816358106278221,-0.0004306606101726996,-0.0003944930592610121,0.06893356757907841,0.0005377358229059269,0.0009683964330786266,4.9024799544878205e-05,0.0245123997724391
deep_pullback_and_extended,all_entries,2024Q2,w2,PRIMARY,SUPPORTED,579,19,279,13,9,13,-0.0004875915893675503,-0.0004875915893675503,-0.0005366163889124278,-0.00019162943550164548,0.06893356757907841,0.0008059880988288038,0.0013426044877412316,4.9024799544878205e-05,0.0245123997724391
deep_pullback_and_extended,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,SUPPORTED,579,19,279,13,9,13,-0.00019149017063611271,-0.00019149017063611271,-0.0002405149701809926,0.0003600108921977849,0.06893356757907841,0.000766195578518736,0.0010067105486997287,4.9024799544878205e-05,0.0245123997724391
deep_pullback_and_extended,all_entries,2024Q2,w4,PRIMARY,SUPPORTED,579,19,279,13,9,13,2.162940192519976e-05,2.162940192519976e-05,-2.739539761967844e-05,0.0005961539105147473,0.06893356757907841,0.0013581168463733,0.0013855122439929782,4.9024799544878205e-05,0.0245123997724391
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w1,PRIMARY,SUPPORTED,406,15,200,13,7,13,-0.00015410379224975354,-0.00015410379224975354,-0.00021201022724365545,-0.00023990656511874647,-0.026758428764392432,0.0008922380585462835,0.0011042482857899392,5.790643499390169e-05,0.02895321749695084
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w2,PRIMARY,SUPPORTED,406,15,200,13,7,13,-0.00020350175174266798,-0.00020350175174266798,-0.0002614081867365707,1.7661783251920166e-05,-0.026758428764392432,0.0013132765063501527,0.0015746846930867235,5.790643499390169e-05,0.02895321749695084
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w3,DIAGNOSTIC_ONLY,SUPPORTED,406,15,200,13,7,13,0.0001217090120115539,0.0001217090120115539,6.380257701765218e-05,0.0007950478974450175,-0.026758428764392432,0.001149228373114768,0.0010854257960971159,5.790643499390169e-05,0.02895321749695084
deep_pullback_and_extended,nonoverlap_w4,2024Q2,w4,PRIMARY,SUPPORTED,406,15,200,13,7,13,0.00011001435596793104,0.00011001435596793104,5.210792097403027e-05,0.0008492901220490382,-0.026758428764392432,0.0015604518397479906,0.00150834391877396,5.790643499390169e-05,0.02895321749695084
high_pct_above_ceiling,all_entries,2024Q2,w1,PRIMARY,SUPPORTED,579,211,0,13,12,13,0.0027205406362037494,0.0027205406362037494,0.002078234677998921,0.0018132233872129799,0.057164235662620966,0.008422499842728153,0.006344265164729232,0.0006423059582048305,0.32115297910241514
high_pct_above_ceiling,all_entries,2024Q2,w2,PRIMARY,SUPPORTED,579,211,0,13,12,13,0.0016459045775445253,0.0016459045775445253,0.0010035986193396955,0.0031591738453542223,0.057164235662620966,0.011996926061787254,0.010993327442447555,0.0006423059582048305,0.32115297910241514
high_pct_above_ceiling,all_entries,2024Q2,w3,DIAGNOSTIC_ONLY,SUPPORTED,579,211,0,13,12,13,-0.0026528086488489767,-0.0026528086488489767,-0.003295114607053809,0.0031741815949509677,0.057164235662620966,0.012652174785039863,0.015947289392093673,0.0006423059582048305,0.32115297910241514
high_pct_above_ceiling,all_entries,2024Q2,w4,PRIMARY,SUPPORTED,579,211,0,13,12,13,0.00031466865835845997,0.00031466865835845997,-0.00032763729984636956,0.005581999696553206,0.057164235662620966,0.0158233992206197,0.016151036520466074,0.0006423059582048305,0.32115297910241514
high_pct_above_ceiling,nonoverlap_w4,2024Q2,w1,PRIMARY,SUPPORTED,406,149,0,13,12,13,0.006749982368691141,0.006749982368691141,0.006095631348598385,0.004559220749572018,0.09010656930683812,0.011951598301395224,0.0058559669527968395,0.0006543510200927581,0.327175510046379
high_pct_above_ceiling,nonoverlap_w4,2024Q2,w2,PRIMARY,SUPPORTED,406,149,0,13,12,13,0.008082984702425812,0.008082984702425812,0.007428633682333054,0.008114306813660387,0.09010656930683812,0.01751467100411415,0.010086037321781092,0.0006543510200927581,0.327175510046379
