selector_id,segment,snapshot_date,horizon,picks_count,return_pct,stop_rate,worst_pick_ret,best_pick_ret,one_pick_ruined,worst_loss_conc,best_gain_conc
actionable_agent_elastic_w1_pure_rank,train_oof,2026-02-13,W1,3,-0.7628333333333334,0.0,-1.0102,-0.4251,False,0.4414245138737164,
actionable_agent_elastic_w1_pure_rank,train_oof,2026-02-20,W1,3,-5.290166666666667,0.6666666666666666,-8.4671,-0.6619,False,0.5335118616300684,
actionable_agent_elastic_w1_pure_rank,train_oof,2026-02-27,W1,3,-6.154699999999999,0.6666666666666666,-9.4805,-0.8128,False,0.513455841335348,
actionable_agent_elastic_w1_pure_rank,train_oof,2026-03-06,W1,3,-2.2081,0.0,-4.3788,1.1706,False,0.5617519147134665,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-03-20,W1,3,-1.3036,0.3333333333333333,-9.3491,10.5945,False,0.6445299304392188,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-03-27,W1,3,3.971133333333333,0.3333333333333333,0.9305,8.8283,False,,0.7410395017375393
actionable_agent_elastic_w1_pure_rank,train_oof,2026-04-02,W1,3,0.5523999999999999,0.0,-6.2229,5.3191,False,1.0,0.6750041243131433
actionable_agent_elastic_w1_pure_rank,train_oof,2026-04-10,W1,3,-1.1371333333333336,0.3333333333333333,-11.7833,5.415,True,1.0,0.646806579151686
actionable_agent_elastic_w1_pure_rank,train_oof,2026-04-17,W1,3,-1.6533,0.0,-4.5429,1.7582,False,0.6762179782974354,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-05-01,W1,3,5.8325,0.0,1.36,13.188,False,,0.7537076725246464
actionable_agent_elastic_w1_pure_rank,train_oof,2026-02-13,W2,3,-3.3878,0.3333333333333333,-9.0828,4.582,False,0.6159751515726939,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-02-20,W2,3,-8.415533333333334,0.6666666666666666,-15.1139,2.8402,False,0.5381139894897248,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-02-27,W2,3,-10.714033333333333,1.0,-13.0998,-8.415,False,0.40755893361043616,
actionable_agent_elastic_w1_pure_rank,train_oof,2026-03-06,W2,3,-3.1796666666666664,0.0,-7.1276,4.0117,False,0.5259949670496727,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-03-20,W2,3,-2.5257,1.0,-6.0299,2.4059,False,0.6040168286086346,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-03-27,W2,3,8.765933333333335,0.3333333333333333,2.9136,15.3706,False,,0.58448235213592
actionable_agent_elastic_w1_pure_rank,train_oof,2026-04-02,W2,3,2.3916999999999997,0.0,-1.2793,6.9059,False,1.0,0.8168409348978047
actionable_agent_elastic_w1_pure_rank,train_oof,2026-04-10,W2,3,-8.366866666666667,0.3333333333333333,-25.4628,1.6981,False,0.950150567005116,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-04-17,W2,3,-2.1814,0.0,-5.2857,1.8157,False,0.6322683285685236,1.0
actionable_agent_elastic_w1_pure_rank,train_oof,2026-05-01,W2,3,1.3705666666666667,0.0,-5.671,5.4736,False,1.0,0.559518333384444
actionable_agent_elastic_w1_pure_rank,train_oof,2026-02-13,W4,3,-2.9285999999999994,0.6666666666666666,-18.9685,6.0967,True,1.0,0.5987311813173324
actionable_agent_elastic_w1_pure_rank,train_oof,2026-02-20,W4,3,-13.527433333333335,0.6666666666666666,-21.1591,-2.8501,False,0.5213874028825374,
actionable_agent_elastic_w1_pure_rank,train_oof,2026-02-27,W4,3,-8.5443,1.0,-15.1571,1.1953,False,0.5649689505818505,1.0
