snapshot_date,code,industry,current_vs_ibd_candidate_pct,rv_20,w1_return_pct,w2_return_pct,w4_return_pct,w3_return_pct,w1_stop8,w2_stop8,w4_stop8,w3_stop8,score,universe,feature_mode,model_type,target_horizon,model_id,segment,fold,model_pick_order,selector_id,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,eps_yoy_growth_source,eps_yoy_growth_status,eps_yoy_growth_missing_reason,eps_growth_type,b0_eligible,is_valid_entry,entry_status,entry_date,entry_open,stop_8_hit_ever,gap_stop,profit20_hit,max_drawdown_to_asof_pct,px_vs_ma10,px_vs_ma20,px_vs_ma50,ma10_slope_5,ma20_slope_5,ma50_slope_10,mom_5,mom_10,mom_20,mom_60,atr_14_pct,vol_ratio_5_20,up_day_ratio_20,drawdown_20,rel_spy_20,rel_spy_60,trigger_pos,eps_known,is_actionable,rule_ceiling,rule_pivot,rule_ma10_touch_confirm,rule_ceiling_pullback,rule_three_weeks_tight,pick_order,is_b0,period,agent_factor_vol_confirmed_mom_20,agent_factor_prox_52w_high,agent_factor_risk_adj_mom_10,agent_factor_risk_adj_mom_20,agent_factor_risk_adj_mom_60,agent_factor_factor_198f5d40,agent_factor_factor_2aca99fe,agent_factor_factor_a0e8acc1
2026-02-13,MAS,Building Products,0.38,0.027962259651261978,-1.0102,-5.6626,-18.9685,-16.1505,False,False,True,True,0.31606539220755847,actionable,agent,elastic,W1,actionable_agent_elastic_w1,train_oof,0.0,1.0,actionable_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13,NYAX,Unknown,0.16,0.02371890194914259,-0.8532,-9.0828,6.0967,-0.0178,False,True,True,True,-1.315268190010748,actionable,agent,elastic,W1,actionable_agent_elastic_w1,train_oof,0.0,2.0,actionable_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13,NATL,Computer Processing Hardware,4.58,0.02762675626911787,-0.4251,4.582,4.086,7.3689,False,False,False,False,-5.123528171892217,actionable,agent,elastic,W1,actionable_agent_elastic_w1,train_oof,0.0,3.0,actionable_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-20,HEI,Aerospace & Defense,2.76,0.013332666288676237,-8.4671,-12.9729,-21.1591,-17.3527,True,True,True,True,3.2544782022653873,actionable,agent,elastic,W1,actionable_agent_elastic_w1,train_oof,0.0,1.0,actionable_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-20,RTX,Aerospace & Defense,1.7,0.014602967052305297,-0.6619,2.8402,-2.8501,0.2717,False,False,False,False,-0.2319585645378752,actionable,agent,elastic,W1,actionable_agent_elastic_w1,train_oof,0.0,2.0,actionable_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-20,PAC,Unknown,4.49,0.021645204435592962,-6.7415,-15.1139,-16.5731,-19.7561,True,True,True,True,-2.8890689501554507,actionable,agent,elastic,W1,actionable_agent_elastic_w1,train_oof,0.0,3.0,actionable_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-27,TKO,Unknown,2.64,0.02653011713776861,-9.4805,-13.0998,-15.1571,-15.5262,True,True,True,True,3.3703231366995334,actionable,agent,elastic,W1,actionable_agent_elastic_w1,train_oof,0.0,1.0,actionable_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-27,GMED,Unknown,1.91,0.01639082263753789,-8.1708,-10.6273,-11.6711,-9.0564,True,True,True,True,1.8833766564103755,actionable,agent,elastic,W1,actionable_agent_elastic_w1,train_oof,0.0,2.0,actionable_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-27,BTSG,Medical/Nursing Services,0.07,0.030917184229918078,-0.8128,-8.415,1.1953,-1.4822,False,True,True,True,0.8280818392683482,actionable,agent,elastic,W1,actionable_agent_elastic_w1,train_oof,0.0,3.0,actionable_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,LMT,Aerospace & Defense,0.83,0.017708442699541034,-4.3788,-7.1276,-7.8145,-8.844,False,False,True,True,0.809333023797278,actionable,agent,elastic,W1,actionable_agent_elastic_w1,train_oof,0.0,1.0,actionable_agent_elastic_w1_pure_rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
