code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry
JCI,2026-03-13,False,,False,,,,,,,,,,,,,,,129.4,,,0.7882819976790101,13.6,2026-01-12,16.2,1,0,111.35,2025-07-21,-8.8,2,25,,,,2,3.0,-12.1,-11.2,False,False,15.079662605435807,157.06,-17.611104036673876,Producer Manufacturing,Industrial Machinery
MSGE,2026-03-13,False,,False,,,,,,,,,,,,,,,55.71,,,0.7875949545156148,21.8,2025-10-20,26.5,2,0,44.04,2024-08-26,-35.8,4,60,,,,5,4.0,-14.9,-14.6,False,False,63.15697266993693,90.41,-38.38071009844043,Consumer Services,Movies/Entertainment
FISI,2026-03-13,False,,False,,,,,,,,,,,,,,,30.0,,,0.7871958190429528,6.6,2025-10-20,10.3,3,0,27.2,2024-12-09,-26.8,4,45,,,,4,6.0,-16.1,-13.8,True,False,23.404255319148945,42.97,-30.183849197114267,Finance,Regional Banks
CCNE,2026-03-13,False,,False,,,,,,,,,,,,,,,26.96,,,0.7868829918878042,0.7,2026-01-12,2.0,1,0,26.43,2025-08-25,-15.4,2,20,,,,2,4.0,-12.7,-9.8,False,False,50.18062397372742,36.17,-25.46309095935858,Finance,Regional Banks
LTC,2026-03-13,False,,False,,,,,,,,,,,,,,,38.32,,,0.7841366205177562,5.1,2026-02-02,7.3,1,0,35.7,2024-11-04,-17.9,6,65,,,,2,3.0,-7.7,-4.2,True,False,74.0523882896764,43.0,-10.883720930232554,Finance,Real Estate Investment Trusts
KRYS,2026-03-13,False,,False,,,,,,,,,,,,,,,247.26,,,0.7816757961958766,5.6,2025-12-01,12.7,1,0,219.34,2024-07-22,-44.0,5,71,,,,3,9.0,-17.4,-16.5,False,False,38.638832841843865,382.535,-35.36277726221131,Health Technology,Biotechnology
GTX,2026-03-13,False,,False,,,,,,,,,,,,,,,17.55,,,0.7814729402049033,37.8,2025-07-21,48.4,3,0,11.83,2025-05-12,-20.4,1,10,,,,7,5.0,-19.2,-17.6,False,False,25.005897617362592,36.25,-51.58620689655172,Producer Manufacturing,Auto Parts: OEM
UHT,2026-03-13,False,,False,,,,,,,,,,,,,,,41.12,,,0.7798368656359851,-1.1,2026-02-09,1.5,0,0,40.52,2024-09-09,-23.7,6,74,,,,2,3.0,-6.1,-4.4,True,False,,,,Unknown,Unknown
AMAL,2026-03-13,False,,True,,,,,,,,,,,,,,,37.81,,,0.7774734828725439,0.6,2026-01-19,4.2,0,0,36.28,2024-11-18,-32.8,5,61,,,,1,5.0,-15.3,-10.7,True,False,36.094674556213015,51.59,-26.710602830005815,Finance,Regional Banks
WPC,2026-03-13,False,,False,,,,,,,,,,,,,,,69.61,,,0.7750738266405248,1.8,2026-01-12,3.9,1,0,67.0,2025-09-29,-8.5,1,15,,,,3,3.0,-6.1,-5.5,False,False,251.83268650280291,77.2153,-9.849472837637096,Finance,Real Estate Investment Trusts
HSY,2026-03-13,False,,False,,,,,,,,,,,,,,,215.43,,,0.773987870255602,-5.6,2026-02-02,8.1,1,0,199.28,2024-05-13,-32.9,7,90,,,,2,3.0,-9.3,-8.3,False,False,,,,Consumer Non-Durables,Food: Specialty/Candy
ENS,2026-03-13,False,,False,,,,,,,,,,,,,,,160.81,,,0.7728545804878252,33.4,2025-10-13,46.9,1,0,109.46,2024-07-22,-30.7,4,64,,,,3,7.0,-19.0,-13.5,True,False,111.66051155792644,244.3,-34.1751944330741,Producer Manufacturing,Electrical Products
MSGS,2026-03-13,False,,False,,,,,,,,,,,,,,,312.18,,,0.7725492855084501,31.5,2025-12-08,32.7,2,0,235.19,2024-12-09,-26.3,3,52,,,,3,3.0,-8.6,-6.8,False,False,,438.93,-28.87704189734126,Consumer Services,Movies/Entertainment
LQDA,2026-03-13,False,,False,,,,,,,,,,,,,,,36.66,,,0.7666461601455595,12.4,2025-11-24,22.4,2,0,29.94,2025-09-01,-29.4,1,12,,,,3,6.0,-37.6,-21.4,True,False,,93.61,-60.83751735925649,Health Technology,Pharmaceuticals: Major
OBK,2026-03-13,False,,True,,,,,,,,,,,,,,,40.39,,,0.7591808568178003,-0.3,2026-01-19,0.2,0,0,40.29,2025-02-10,-30.0,2,49,,,,1,6.0,-13.9,-11.4,True,False,132.36363636363637,55.57,-27.31689760662228,Finance,Regional Banks
MVBF,2026-03-13,False,,True,,,,,,,,,,,,,,,24.86,,,0.7571382739813923,-5.3,2025-10-20,0.1,3,0,24.83,2023-02-27,-40.8,9,138,,,,3,6.0,-16.5,-14.9,True,False,508.7811271297509,31.99,-22.288215067208505,Finance,Regional Banks
GOOG,2026-03-13,False,,False,,,,,,,,,,,,,,,301.28,,,0.7476854690804509,46.2,2025-08-18,46.2,1,0,206.01,2025-01-27,-31.0,1,29,,,,5,7.0,-14.1,-11.9,True,False,294.01687216093444,404.47,-25.51239894182512,Technology Services,Internet Software/Services
XPO,2026-03-13,False,,False,,,,,,,,,,,,,,,181.71,,,0.7455996716400966,-10.8,2026-02-02,14.0,1,0,159.43,2024-12-09,-46.6,5,60,,,,2,3.0,-16.4,-14.5,False,False,54.11989223170184,232.05,-21.69360051712993,Transportation,Trucking
HFBL,2026-03-13,False,,True,,,,,,,,,,,,,,,17.32,,,0.7450076804915514,28.5,2025-09-29,29.0,1,1,13.43,2024-09-16,-17.7,4,54,,,,4,2.0,-9.6,-9.1,False,False,19.387490267324175,24.01,-27.863390254060818,Finance,Savings Banks
