snapshot_date,code,current_lane,entry_status,setup_route,fresh_demand,follow_through,geometry_failure,quality_state,composition_group,actionable_pullback_context_branch,non_actionable_pullback_context_branch,b0_eligible,industry
2026-04-02,TDW,tail_risk,ACTIONABLE,pullback,True,True,True,failure,failure,False,False,False,Marine Shipping
2026-04-02,TKO,incomplete_evidence,UNCONFIRMED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Unknown
2026-04-02,TMP,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Regional Banks
2026-04-02,UI,incomplete_evidence,UNCONFIRMED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Unknown
2026-04-02,VIK,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Hotels/Resorts/Cruise lines
2026-04-02,VVX,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Miscellaneous Commercial Services
2026-04-02,XPO,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Trucking
2026-04-10,AA,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Unknown
2026-04-10,AAOI,tail_risk,EXTENDED,pullback,False,True,True,failure,failure,False,False,False,Semiconductors
2026-04-10,ACLS,incomplete_evidence,UNCONFIRMED,non_pullback,False,False,False,incomplete,incomplete,False,False,False,Industrial Machinery
2026-04-10,ADC,constructive_pullback,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,True,False,Unknown
2026-04-10,AEHR,incomplete_evidence,EXTENDED,non_pullback,False,True,False,incomplete,incomplete,False,False,False,Electronic Production Equipment
2026-04-10,AEIS,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Electronic Production Equipment
2026-04-10,AMAT,incomplete_evidence,UNCONFIRMED,pullback,False,True,False,incomplete,incomplete,False,False,False,Industrial Machinery
2026-04-10,AROW,incomplete_evidence,EXTENDED,pullback,False,True,False,incomplete,incomplete,False,False,False,Major Banks
2026-04-10,ASML,incomplete_evidence,UNCONFIRMED,pullback,False,False,False,incomplete,incomplete,False,False,False,Semiconductors
