snapshot_date,composition_group,candidate_count,mature,mean_w4,median_w4,stop8_pct
2026-06-26,standard,3,True,4.399166666666666,5.0188,33.33333333333333
2026-07-02,confirmed_non_pullback,4,True,2.165625,3.2879,0.0
2026-07-02,confirmed_pullback,11,True,-7.602018181818182,-9.1281,63.63636363636363
2026-07-02,standard,1,True,-0.9681,-0.9681,0.0
2026-07-10,confirmed_non_pullback,0,True,,,
2026-07-10,confirmed_pullback,4,True,-2.8738500000000005,-0.7546,50.0
2026-07-10,standard,1,True,-4.0826,-4.0826,100.0
2026-07-17,confirmed_non_pullback,9,True,3.5636222222222225,2.8175,11.11111111111111
2026-07-17,confirmed_pullback,25,True,1.889584,3.1218,28.000000000000004
2026-07-17,standard,2,True,0.22995,0.22995,0.0
2026-07-24,confirmed_non_pullback,4,True,10.676124999999999,9.7933,0.0
2026-07-24,confirmed_pullback,11,True,4.4088,0.2426,0.0
2026-07-24,standard,3,True,23.692866666666664,2.4575,0.0
2026-07-31,confirmed_non_pullback,3,False,,,
2026-07-31,confirmed_pullback,17,False,,,
2026-07-31,standard,1,False,,,
2026-08-07,confirmed_non_pullback,6,False,,,
2026-08-07,confirmed_pullback,12,False,,,
2026-08-07,standard,3,False,,,
