snapshot_date,policy_id,pick_count,selected_codes,composition_groups,setup_routes,industries,confirmed_non_pullback_count,confirmed_pullback_count,standard_count,incomplete_count,distinct_industry_count
2026-02-13,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,1,"[""WULF""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2026-02-13,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,1,"[""WULF""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2026-02-13,TRACK_F__FCS_MAX1_NO_IND,1,"[""WULF""]","[""confirmed_non_pullback""]","[""non_pullback""]","[""Unknown""]",1,0,0,0,1
2026-02-20,B0_ORIGINAL,3,"[""FANG"", ""HEI"", ""UAL""]","[""confirmed_pullback"", ""confirmed_pullback"", ""standard""]","[""pullback"", ""pullback"", ""non_pullback""]","[""Oil & Gas Production"", ""Aerospace & Defense"", ""Airlines""]",0,2,1,0,3
2026-02-20,TRACK_F__CONFIRMED_PARITY_FALLBACK,3,"[""FANG"", ""HEI"", ""UAL""]","[""confirmed_pullback"", ""confirmed_pullback"", ""standard""]","[""pullback"", ""pullback"", ""non_pullback""]","[""Oil & Gas Production"", ""Aerospace & Defense"", ""Airlines""]",0,2,1,0,3
2026-02-20,TRACK_F__CONFIRMED_ONLY_TOP3,2,"[""FANG"", ""HEI""]","[""confirmed_pullback"", ""confirmed_pullback""]","[""pullback"", ""pullback""]","[""Oil & Gas Production"", ""Aerospace & Defense""]",0,2,0,0,2
2026-02-20,TRACK_F__FCS_MAX1,2,"[""FANG"", ""UAL""]","[""confirmed_pullback"", ""standard""]","[""pullback"", ""non_pullback""]","[""Oil & Gas Production"", ""Airlines""]",0,1,1,0,2
2026-02-20,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,3,"[""FANG"", ""HEI"", ""UAL""]","[""confirmed_pullback"", ""confirmed_pullback"", ""standard""]","[""pullback"", ""pullback"", ""non_pullback""]","[""Oil & Gas Production"", ""Aerospace & Defense"", ""Airlines""]",0,2,1,0,3
2026-02-20,TRACK_F__CONFIRMED_ONLY_TOP3_NO_IND,2,"[""FANG"", ""HEI""]","[""confirmed_pullback"", ""confirmed_pullback""]","[""pullback"", ""pullback""]","[""Oil & Gas Production"", ""Aerospace & Defense""]",0,2,0,0,2
2026-02-20,TRACK_F__FCS_MAX1_NO_IND,2,"[""FANG"", ""UAL""]","[""confirmed_pullback"", ""standard""]","[""pullback"", ""non_pullback""]","[""Oil & Gas Production"", ""Airlines""]",0,1,1,0,2
2026-02-27,B0_ORIGINAL,3,"[""EQIX"", ""GMED"", ""EXPE""]","[""confirmed_non_pullback"", ""confirmed_non_pullback"", ""confirmed_non_pullback""]","[""non_pullback"", ""non_pullback"", ""non_pullback""]","[""Real Estate Investment Trusts"", ""Unknown"", ""Other Consumer Services""]",3,0,0,0,3
2026-02-27,TRACK_F__CONFIRMED_PARITY_FALLBACK,3,"[""EQIX"", ""TKO"", ""JNJ""]","[""confirmed_non_pullback"", ""confirmed_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback"", ""pullback""]","[""Real Estate Investment Trusts"", ""Unknown"", ""Pharmaceuticals: Major""]",1,2,0,0,3
2026-02-27,TRACK_F__CONFIRMED_ONLY_TOP3,3,"[""EQIX"", ""TKO"", ""JNJ""]","[""confirmed_non_pullback"", ""confirmed_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback"", ""pullback""]","[""Real Estate Investment Trusts"", ""Unknown"", ""Pharmaceuticals: Major""]",1,2,0,0,3
2026-02-27,TRACK_F__FCS_MAX1,2,"[""EQIX"", ""TKO""]","[""confirmed_non_pullback"", ""confirmed_pullback""]","[""non_pullback"", ""pullback""]","[""Real Estate Investment Trusts"", ""Unknown""]",1,1,0,0,2
2026-02-27,TRACK_F__CONFIRMED_PARITY_FALLBACK_NO_IND,3,"[""EQIX"", ""TKO"", ""GMED""]","[""confirmed_non_pullback"", ""confirmed_pullback"", ""confirmed_non_pullback""]","[""non_pullback"", ""pullback"", ""non_pullback""]","[""Real Estate Investment Trusts"", ""Unknown"", ""Unknown""]",2,1,0,0,2
