ticker,code,close,SMA10|1W,SMA40|1W,sector,industry
NYSE:NVS,NVS,150.45,149.08600000000004,140.81799999999993,Health Technology,Pharmaceuticals: Major
NYSE:GEV,GEV,1024.52,992.2910000000002,743.256,Producer Manufacturing,Electrical Products
NYSE:RY,RY,187.22,173.83199999999988,161.20925000000003,Finance,Major Banks
NYSE:SHEL,SHEL,86.72,88.98900000000002,78.5885,Energy Minerals,Integrated Oil
NASDAQ:KLAC,KLAC,1829.47,1715.1679999999992,1346.5612500000002,Electronic Technology,Semiconductors
NASDAQ:ARM,ARM,256.73,186.64000000000004,146.72949999999997,Electronic Technology,Semiconductors
NASDAQ:LIN,LIN,506.63,500.1370000000003,464.10499999999985,Process Industries,Chemicals: Specialty
NYSE:MUFG,MUFG,19.6,17.819,16.777250000000016,Finance,Major Banks
NYSE:C,C,124.82,121.79300000000003,110.45299999999995,Finance,Major Banks
NYSE:BHP,BHP,83.55,77.68399999999997,65.14350000000002,Non-Energy Minerals,Steel
NASDAQ:SNDK,SNDK,1392.56,1033.9299999999998,480.44399999999996,Electronic Technology,Computer Peripherals
NYSE:TTE,TTE,92.54,90.65400000000002,72.76500000000001,Energy Minerals,Integrated Oil
NYSE:VZ,VZ,47.82,47.818,44.309249999999956,Communications,Wireless Telecommunications
NASDAQ:ADI,ADI,398.05,368.61199999999997,297.7922500000003,Electronic Technology,Semiconductors
NYSE:TD,TD,109.58,102.16600000000001,90.60175000000001,Finance,Major Banks
NYSE:NEE,NEE,88.27,92.70700000000002,85.27875,Utilities,Electric Utilities
NASDAQ:AMGN,AMGN,331.57,341.4780000000002,329.06174999999996,Health Technology,Biotechnology
NYSE:ANET,ANET,140.49,146.40900000000002,139.22800000000007,Electronic Technology,Computer Peripherals
NYSE:TJX,TJX,159.21,156.75300000000004,151.06374999999994,Retail Trade,Apparel/Footwear Retail
NYSE:RIO,RIO,103.31,97.52200000000002,82.05875,Non-Energy Minerals,Other Metals/Minerals
NASDAQ:STX,STX,751.07,591.3900000000001,363.22650000000004,Electronic Technology,Computer Peripherals
NASDAQ:MRVL,MRVL,186.8,142.116,97.262,Electronic Technology,Semiconductors
NASDAQ:GILD,GILD,130.69,134.14499999999992,128.68949999999998,Health Technology,Biotechnology
NYSE:BUD,BUD,82.51,74.92899999999999,68.06374999999996,Consumer Non-Durables,Beverages: Alcoholic
NYSE:DELL,DELL,242.93,204.984,151.09074999999999,Electronic Technology,Computer Processing Hardware
NASDAQ:WDC,WDC,459.62,383.652,228.099375,Electronic Technology,Computer Peripherals
NYSE:UNP,UNP,265.8,255.61000000000007,239.12049999999994,Transportation,Railroads
NYSE:GLW,GLW,180.69,163.85199999999998,111.33675000000001,Electronic Technology,Electronic Components
NYSE:WELL,WELL,218.61,208.4790000000001,192.4305,Finance,Real Estate Investment Trusts
NYSE:DE,DE,560.46,573.4569999999998,521.0269999999997,Producer Manufacturing,Trucks/Construction/Farm Machinery
NYSE:COP,COP,122.36,123.34200000000003,103.85175000000001,Energy Minerals,Oil & Gas Production
NYSE:ETN,ETN,379.69,391.4580000000002,363.6782500000001,Producer Manufacturing,Electrical Products
NYSE:SCCO,SCCO,174.09,175.32363226100003,152.49842255325,Non-Energy Minerals,Other Metals/Minerals
NYSE:UBS,UBS,47.27,42.09399999999999,41.85075000000002,Finance,Investment Managers
NYSE:SMFG,SMFG,22.84,20.883999999999993,19.235750000000007,Finance,Major Banks
NASDAQ:IBKR,IBKR,83.79,76.26200000000003,70.00062500000001,Finance,Investment Banks/Brokers
NYSE:BTI,BTI,65.3,59.440999999999995,57.32174999999993,Consumer Non-Durables,Tobacco
NASDAQ:HON,HON,217.39,221.208,211.78246597250012,Electronic Technology,Aerospace & Defense
NYSE:PLD,PLD,144.68,138.578,129.0985,Finance,Real Estate Investment Trusts
NYSE:CB,CB,328.38,325.3249999999998,305.71675000000005,Finance,Property/Casualty Insurance
NYSE:ENB,ENB,57.08,54.32900000000001,50.29675000000003,Industrial Services,Oil & Gas Pipelines
NYSE:PBR.A,PBR.A,17.81,18.569,13.953499999999996,Energy Minerals,Integrated Oil
NYSE:PBR,PBR,19.83,20.494999999999997,15.073749999999979,Energy Minerals,Integrated Oil
NYSE:MO,MO,73.33,68.42300000000002,64.28175,Consumer Non-Durables,Tobacco
NYSE:BBVA,BBVA,22.73,22.05599999999999,21.5565,Finance,Major Banks
NASDAQ:SBUX,SBUX,106.5,98.91450000000006,91.17962500000002,Consumer Services,Restaurants
NYSE:VRT,VRT,315.67,304.90400000000005,210.19925000000003,Electronic Technology,Electronic Production Equipment
NYSE:BMY,BMY,58.54,58.30399999999996,53.12874999999998,Health Technology,Pharmaceuticals: Major
NYSE:CVS,CVS,93.28,81.14300000000001,78.62299999999996,Retail Trade,Drugstore Chains
NYSE:BP,BP,45.13,45.509,38.359000000000016,Energy Minerals,Integrated Oil
NYSE:NEM,NEM,107.39,111.16299999999998,100.66975,Non-Energy Minerals,Precious Metals
NYSE:BMO,BMO,157.81,146.59100000000004,134.66874999999993,Finance,Major Banks
NYSE:PWR,PWR,709.93,644.5210000000001,499.04250000000013,Industrial Services,Engineering & Construction
NYSE:CM,CM,114.36,105.30400000000004,92.24674999999999,Finance,Regional Banks
NYSE:SO,SO,93.62,94.62200000000004,92.54400000000003,Utilities,Electric Utilities
NASDAQ:CME,CME,290.12,293.399,282.90849999999983,Finance,Investment Banks/Brokers
NASDAQ:EQIX,EQIX,1065.06,1043.176,873.7827500000003,Finance,Real Estate Investment Trusts
NYSE:HWM,HWM,261.21,247.42199999999997,217.71725,Electronic Technology,Aerospace & Defense
NYSE:EQNR,EQNR,38.96,39.20899999999998,28.86174999999999,Energy Minerals,Integrated Oil
NYSE:CNQ,CNQ,48.78,46.848,37.83274999999999,Energy Minerals,Integrated Oil
NYSE:GSK,GSK,50.78,53.584000000000024,49.42300000000001,Health Technology,Pharmaceuticals: Major
NYSE:TT,TT,451.69,454.6840000000003,427.04625000000004,Producer Manufacturing,Industrial Machinery
NASDAQ:MAR,MAR,369.75,349.94799999999987,310.9259999999998,Consumer Services,Hotels/Resorts/Cruise lines
NYSE:BNS,BNS,78.95,74.27100000000006,70.47099999999998,Finance,Major Banks
NYSE:WMB,WMB,77.88,73.716,65.70000000000002,Industrial Services,Oil & Gas Pipelines
NASDAQ:FTNT,FTNT,130.0,93.81499999999997,84.827625,Technology Services,Information Technology Services
NYSE:BK,BK,137.16,128.48999999999995,116.57975000000002,Finance,Investment Banks/Brokers
NYSE:CMI,CMI,669.87,621.3919999999999,524.26925,Producer Manufacturing,Auto Parts: OEM
NYSE:FDX,FDX,386.84,375.37599999999986,308.4830000000001,Transportation,Air Freight/Couriers
NYSE:FCX,FCX,60.87,61.085,52.30375,Non-Energy Minerals,Other Metals/Minerals
NYSE:PNC,PNC,216.83,214.88299999999995,207.54175000000004,Finance,Major Banks
