snapshot_date,code,new_status,new_missing_reason
2026-02-27,AU,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-02-27,PHG,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-02-27,PAAS,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-02-27,OR,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-02-27,TIGO,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-02-27,AZN,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-03-06,NYAX,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-03-13,NYAX,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-03-27,TIGO,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-02,FRO,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-02,NVST,expected_unavailable,PRIOR_YEAR_EPS_ZERO
2026-04-02,SATS,expected_unavailable,NO_QUARTERLY_EPS
2026-04-02,ECO,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-02,VIK,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-10,NBIS,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-10,ASML,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-10,VALE,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-10,AU,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-10,GEF,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-10,GSK,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-17,FRO,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-17,NBIS,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-17,CAMT,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-17,VALE,expected_unavailable,NO_PRIOR_YEAR_QUARTER
2026-04-17,SILC,expected_unavailable,NO_PRIOR_YEAR_QUARTER
