snapshot_date,code,old_eps,new_eps,old_eps25,new_eps25
2026-04-24,AMPX,70.0,-72.7272727273,True,False
2026-04-24,VPG,690.0,-333.3333333333,True,False
2026-04-24,MSBI,-71.0843373494,85.2348993289,False,True
2026-04-24,OBK,-55.0,111.1111111111,False,True
2026-04-24,REPX,-36.3636363636,673.0769230769,False,True
2026-04-24,MCRI,14.9659863946,400.0,False,True
2026-04-24,VMI,21.1678832117,134.2857142857,False,True
2026-04-24,TDW,-102.2988505747,524.2857142857,False,True
2026-04-24,BATRA,193.75,-120.6896551724,True,False
2026-04-24,STRL,50.7614213198,-22.3140495868,True,False
2026-04-24,FPS,151.6038021026,,True,False
2026-04-24,NHC,-8.4249084249,315.7894736842,False,True
2026-04-24,PFG,200.0,-41.3265306122,True,False
2026-04-24,WSFS,26.8518518519,23.1481481481,True,False
2026-04-24,GL,37.5,9.3333333333,True,False
2026-04-24,LSBK,,77.7777777778,False,True
2026-05-01,INSW,-22.8260869565,260.5633802817,False,True
2026-05-01,ETON,-450.0,400.0,False,True
2026-05-01,REX,2.8985507246,365.625,False,True
2026-05-01,CE,-1302.9126213592,100.7365439093,False,True
2026-05-01,ATLO,2.7027027027,87.1794871795,False,True
2026-05-01,PR,-84.9056603774,54.8387096774,False,True
2026-05-01,REPX,-36.3636363636,673.0769230769,False,True
2026-05-01,GPRE,-75.3623188406,132.9113924051,False,True
2026-05-01,NHC,-8.4249084249,315.7894736842,False,True
2026-05-01,LAMR,-2.7777777778,7600.0,False,True
2026-05-01,AEE,38.2352941176,19.4805194805,True,False
2026-05-01,MDU,-71.875,42.3076923077,False,True
2026-05-08,AXTI,42.8571428571,18.1818181818,True,False
2026-05-08,MPTI,-22.2222222222,35.6164383562,False,True
2026-05-08,SMTC,70.0,-141.975308642,True,False
2026-05-08,WFCF,144.4444444444,-121.0526315789,True,False
2026-05-08,MRX,,62.6373626374,False,True
2026-05-08,LINC,-7.6923076923,86.3636363636,False,True
2026-05-08,NVEC,11.1111111111,27.5,False,True
2026-05-08,BVFL,17.1428571429,188.8888888889,False,True
2026-05-15,PNRG,-50.2272727273,47.4226804124,False,True
2026-05-15,PLGO,,329.2682926829,False,True
2026-05-15,DY,53.164556962,-54.0540540541,True,False
2026-05-15,VIK,,54.1666666667,False,True
2026-05-22,ROIV,-265.2173913043,221.4285714286,False,True
2026-05-22,NMM,,112.0253164557,False,True
2026-05-22,ALGM,200.0,0.0,True,False
2026-05-22,CLBK,,75.0,False,True
2026-05-22,VRSN,12.7659574468,195.3125,False,True
2026-05-29,MOD,-218.4210526316,50.0,False,True
2026-05-29,SBLK,,900.0,False,True
2026-05-29,NVEC,11.1111111111,27.5,False,True
2026-05-29,ALGM,200.0,0.0,True,False
2026-05-29,VIK,,54.1666666667,False,True
2026-05-29,NYAX,,33.3333333333,False,True
2026-05-29,NVRI,,166.6666666667,False,True
2026-06-05,FVR,,100.0,False,True
2026-06-05,ATLO,2.7027027027,71.7948717949,False,True
2026-06-05,MRX,,62.6373626374,False,True
2026-06-12,FVR,,100.0,False,True
2026-06-12,ROIV,-265.2173913043,221.4285714286,False,True
2026-06-12,MRX,,62.6373626374,False,True
2026-06-12,MCS,,400.0,False,True
2026-06-12,NMM,,112.0253164557,False,True
2026-06-12,IFS,,37.5,False,True
2026-06-12,KIM,-20.0,104.5454545455,False,True
2026-06-12,CLBK,,75.0,False,True
2026-06-12,ALGM,200.0,0.0,True,False
2026-06-12,PLGO,,329.2682926829,False,True
2026-06-12,BAP,,25.2475247525,False,True
2026-06-12,PLOW,,2600.0,False,True
2026-06-12,FDSB,,300.0,False,True
2026-06-12,WPC,-25.9259259259,92.7536231884,False,True
2026-06-18,NBIS,,641.0256410256,False,True
2026-06-18,LION,-77.7777777778,156.8181818182,False,True
2026-06-18,ROIV,-265.2173913043,221.4285714286,False,True
2026-06-18,ALGM,200.0,0.0,True,False
2026-06-18,MOD,-218.4210526316,50.0,False,True
2026-06-18,MRX,,62.6373626374,False,True
2026-06-18,SEI,,197.9166666667,False,True
2026-06-18,GHM,78.5714285714,-57.5,True,False
2026-06-18,IFS,,37.5,False,True
2026-06-18,BAP,,25.2475247525,False,True
2026-06-18,VIK,,54.1666666667,False,True
2026-06-18,AFBI,28.5714285714,,True,False
2026-06-18,FDSB,,300.0,False,True
2026-06-26,MPLT,,95.4312990113,False,True
2026-06-26,LBRX,,95.4699121028,False,True
2026-06-26,ATLO,2.7027027027,71.7948717949,False,True
2026-06-26,ASND,,117.0886075949,False,True
2026-06-26,AKTS,,97.9569892473,False,True
2026-06-26,NESR,,109.0909090909,False,True
2026-06-26,MANE,,93.3299646286,False,True
2026-06-26,PLGO,,329.2682926829,False,True
2026-06-26,USCB,,34.2105263158,False,True
2026-06-26,CLBK,,75.0,False,True
2026-06-26,PLOW,,2600.0,False,True
2026-07-02,MPLT,,95.4312990113,False,True
2026-07-02,MANU,-335.0318471338,200.0,False,True
2026-07-02,NYAX,,33.3333333333,False,True
2026-07-02,GAIN,-89.2857142857,26.6666666667,False,True
2026-07-10,MOD,-218.4210526316,50.0,False,True
2026-07-10,MRX,,62.6373626374,False,True
2026-07-10,NMM,,112.0253164557,False,True
2026-07-10,SBLK,,900.0,False,True
2026-07-10,NESR,,109.0909090909,False,True
2026-07-10,PAGP,,27.2727272727,False,True
2026-07-10,AFBI,28.5714285714,,True,False
2026-07-10,EA,97.4683544304,,True,False
2026-07-17,CLBK,,75.0,False,True
2026-07-17,ATLO,2.7027027027,71.7948717949,False,True
2026-07-17,KIM,-20.0,104.5454545455,False,True
2026-07-24,LBRX,,95.4699121028,False,True
2026-07-24,NMM,,112.0253164557,False,True
2026-07-24,SBLK,,900.0,False,True
2026-07-24,BLFS,,300.0,False,True
2026-07-24,USCB,22.5,34.2105263158,False,True
2026-07-24,PAGP,,27.2727272727,False,True
2026-07-24,VIK,,54.1666666667,False,True
2026-07-24,AVBC,102.2139838747,,True,False
2026-07-31,SBLK,,900.0,False,True
2026-07-31,USCB,22.5,34.2105263158,False,True
2026-07-31,MANU,-335.0318471338,200.0,False,True
2026-07-31,AVBC,102.2139838747,,True,False
2026-08-07,ATEX,-185.3658536585,90.1960784314,False,True
2026-08-07,AIRT,-93.6170212766,1227.8431372549,False,True
2026-08-07,NAVN,,93.984962406,False,True
2026-08-07,ATLO,2.7027027027,31.3725490196,False,True
2026-08-07,NEO,105.7142857143,,True,False
2026-08-07,ALH,,180.0,False,True
2026-08-07,VIK,,54.1666666667,False,True
2026-08-07,NTB,-7.2,25.3968253968,False,True
