code,snapshot_date,signal,signal_source,pullback_v_is_dry,ibd_candidate_rule,ibd_candidate_price,ibd_candidate_signal_source,ibd_candidate_extra,ibd_entry_valid,ibd_entry_date,ibd_entry_price,ibd_trigger_price,ibd_entry_volume_ratio,ibd_entry_close_vs_trigger_pct,ibd_entry_close_position,ibd_entry_breakout_range_ratio,ibd_entry_rule,ibd_entry_reject_reason,latest_close,current_vs_ibd_candidate_pct,ibd_entry_status,volume_ratio,hold_return,breakout_date,pct_above_ceiling,touched_ema10_count,mbox_count,ceiling,ceiling_date,base_depth_pct,base_mbox_count,base_duration_weeks,base_depth_abs,C_continuous,rank_C_continuous,pullback_count,pullback_duration_weeks,pullback_pct,pullback_pct_off_peak,is_bullish,is_priority,eps_yoy_growth,price_52_week_high,dist_to_52w_high_pct,sector,industry,eps_yoy_growth_source
CRDO,2025-11-28,True,pivot,False,pivot,176.7,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 176.7, ""resistance_date"": ""2025-11-24""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,177.6,0.51,UNCONFIRMED,1.2736180672594517,90.0,2025-06-23,104.9,2,1,86.69,2025-01-20,-66.4,1,22,66.4,4.722222222222222,1.0,4,5.0,-36.0,-8.2,True,False,666.6666666667,193.5,-8.217054263565892,Technology Services,Information Technology Services,SEC
APP,2025-11-28,True,ceiling_breakout,,ceiling,525.15,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,599.48,14.15,UNCONFIRMED,0.5613169162334621,0.0,2025-11-24,14.2,0,0,525.15,2025-02-10,-61.8,3,41,61.8,4.375,2.0,0,,,,True,False,96.0,745.61,-19.598717828355305,Unknown,Unknown,SEC
COHR,2025-11-28,True,pivot,False,pivot,162.5,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 162.5, ""resistance_date"": ""2025-11-24""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,164.26,1.08,UNCONFIRMED,1.2165245216699625,41.2,2025-10-13,44.6,1,0,113.6,2024-12-02,-59.9,2,45,59.9,4.138888888888889,3.0,1,4.0,-19.7,1.1,True,False,3075.0,168.57,-2.5568013288248204,Electronic Technology,Semiconductors,SEC
CIEN,2025-11-28,True,pivot,False,pivot,203.4,pivot,"{""pivot_candidates"": [{""box_type"": ""S_BOX"", ""price"": 203.4, ""resistance_date"": ""2025-11-24""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,204.21,0.4,UNCONFIRMED,1.4508492770734012,75.0,2025-09-01,101.3,2,0,101.44,2025-01-20,-51.5,2,32,51.5,4.125,4.0,1,4.0,-17.3,0.4,True,True,250.0,214.17,-4.650511276089075,Electronic Technology,Telecommunications Equipment,SEC
IONQ,2025-11-28,True,ceiling_breakout,,ceiling,47.91,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,49.3,2.9,UNCONFIRMED,0.603192190873939,0.0,2025-11-24,2.9,0,0,47.91,2024-12-30,-62.7,4,47,62.7,3.9305555555555554,5.0,0,,,,True,False,-1391.6666666667,84.64,-41.75330812854443,Electronic Technology,Computer Processing Hardware,SEC
AVGO,2025-11-28,True,pivot,False,pivot,373.59,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 373.59, ""resistance_date"": ""2025-11-24""}, {""box_type"": ""S_BOX"", ""price"": 386.48, ""resistance_date"": ""2025-11-24""}], ""selected_pivot"": {""box_type"": ""M_BOX"", ""price"": 373.59, ""resistance_date"": ""2025-11-24""}}",1.0,2025-11-24,373.59,373.59,2.1629816840543072,0.0116973152386306,0.8823529411764699,0.1272568433313922,pivot,,402.96,7.86,EXTENDED,1.2664708606804749,61.8,2025-06-16,62.6,3,1,247.83,2025-01-20,-44.5,1,21,44.5,3.9027777777777777,6.0,5,5.0,-14.9,4.3,True,False,312.5,403.0,-0.0099255583126622,Electronic Technology,Semiconductors,SEC
W,2025-11-28,True,ceiling_breakout,False,ceiling_pullback,106.63,ceiling_breakout,"{""abandon_line"": 88.8958, ""atr_zone_width"": 3.5850073125849664, ""ceiling"": 90.71, ""confirm_close"": 110.8, ""confirm_date"": ""2025-11-24"", ""max_zone_width"": 4.5355, ""pending_high"": 106.63, ""touch_atr14"": 11.950024375283222, ""touch_date"": ""2025-11-17"", ""touch_high"": 106.63, ""touch_low"": 94.16, ""zone_cap_applied"": false, ""zone_pct"": 3.9521632814297942, ""zone_upper"": 94.29500731258496, ""zone_width"": 3.5850073125849664}",0.0,,,,,,,,,daily_volume_not_confirmed,110.8,3.91,UNCONFIRMED,0.5052774699937918,7.0,2025-10-27,22.1,1,0,90.71,2023-07-31,-77.5,9,117,77.5,3.8611111111111103,7.0,1,4.0,-12.6,2.8,True,False,-26.6666666667,114.92,-3.585102680125307,Retail Trade,Specialty Stores,SEC
SOFI,2025-11-28,True,pivot,False,pivot,29.63,pivot,"{""pivot_candidates"": [{""box_type"": ""M_BOX"", ""price"": 29.63, ""resistance_date"": ""2025-11-24""}]}",0.0,,,,,,,,,daily_volume_not_confirmed,29.72,0.3,UNCONFIRMED,0.6205359836875072,60.0,2025-06-30,61.3,1,1,18.42,2025-01-20,-53.3,1,23,53.3,3.8194444444444446,8.0,3,5.0,-27.8,-8.7,True,False,120.0,32.73,-9.196455850901309,Unknown,Unknown,SEC
OUST,2025-11-28,True,ceiling_breakout,False,ceiling_pullback,22.49,ceiling_breakout,"{""abandon_line"": 18.816, ""atr_zone_width"": 2.1075647755350855, ""ceiling"": 19.2, ""confirm_close"": 22.96, ""confirm_date"": ""2025-11-24"", ""max_zone_width"": 0.96, ""pending_high"": 22.49, ""touch_atr14"": 7.025215918450286, ""touch_date"": ""2025-11-17"", ""touch_high"": 22.49, ""touch_low"": 18.52, ""zone_cap_applied"": true, ""zone_pct"": 5.0, ""zone_upper"": 20.16, ""zone_width"": 0.96}",0.0,,,,,,,,,daily_volume_not_confirmed,22.96,2.09,UNCONFIRMED,0.5514101134054378,6.6,2025-06-16,19.6,1,0,19.2,2023-01-30,-83.3,8,124,83.3,3.791666666666667,9.0,4,6.0,-48.9,-36.6,True,False,31.4814814815,41.65,-44.87394957983193,Electronic Technology,Semiconductors,SEC
LYFT,2025-11-28,True,ceiling_breakout,,ceiling,20.82,ceiling_breakout,,0.0,,,,,,,,,daily_volume_not_confirmed,21.03,1.01,UNCONFIRMED,0.5695001946134732,0.0,2025-11-24,1.0,0,0,20.82,2022-08-01,-62.3,12,173,62.3,3.680555555555556,10.0,0,,,,True,False,466.6666666667,25.54,-17.658574784651513,Unknown,Unknown,SEC
