horizon,segment,rank_position,sample_weeks,mean_return_pct,median_return_pct,p25_return_pct,p75_return_pct,positive_return_rate_pct,stop8_before_p20_rate_pct,stop8_ever_rate_pct,gap_stop_rate_pct,profit20_hit_rate_pct,mean_max_gain_pct,median_max_gain_pct,mean_asof_return_pct,median_asof_return_pct,mean_asof_drawdown_pct,median_asof_drawdown_pct,horizon_status
W3,All common-support weeks,Rank1,24,2.9263,1.2453,-3.2365,5.6532,58.33,37.5,41.67,8.33,37.5,6.6992,3.2748,12.5087,5.6545,-11.6927,-7.0523,DIAGNOSTIC_ONLY
W3,All common-support weeks,Rank2,24,-1.0807,-0.0356,-4.4952,2.6667,45.83,41.67,41.67,4.17,25.0,2.6489,3.1056,7.864,0.3467,-13.1156,-7.3335,DIAGNOSTIC_ONLY
W3,All common-support weeks,Rank3,24,2.6402,0.8816,-1.3329,5.8687,62.5,33.33,37.5,4.17,50.0,6.6329,5.2367,16.2211,4.5868,-10.7578,-4.5635,DIAGNOSTIC_ONLY
W3,Train-era weeks 1-30,Rank1,15,2.9368,1.2291,-3.8407,4.5029,60.0,46.67,53.33,6.67,46.67,7.0415,3.5625,18.3553,10.5853,-12.8319,-8.9744,DIAGNOSTIC_ONLY
W3,Train-era weeks 1-30,Rank2,15,-0.5027,0.2108,-1.5837,3.0853,53.33,46.67,46.67,6.67,26.67,2.9764,2.9474,11.5819,1.7657,-15.9675,-7.5589,DIAGNOSTIC_ONLY
W3,Train-era weeks 1-30,Rank3,15,3.4565,2.6689,-0.0738,6.2843,73.33,33.33,40.0,6.67,73.33,7.3591,6.1614,27.0082,11.959,-11.196,-4.4283,DIAGNOSTIC_ONLY
W3,Contaminated validation weeks 31-40,Rank1,9,2.9088,1.4225,-2.4968,10.3941,55.56,22.22,22.22,11.11,22.22,6.1288,2.9872,2.7644,0.6799,-9.7941,-5.441,DIAGNOSTIC_ONLY
W3,Contaminated validation weeks 31-40,Rank2,9,-2.0441,-0.3405,-5.1769,1.4507,33.33,33.33,33.33,0.0,22.22,2.103,3.969,1.6674,-1.0723,-8.3623,-6.7453,DIAGNOSTIC_ONLY
W3,Contaminated validation weeks 31-40,Rank3,9,1.2796,-0.9143,-2.0298,5.6608,44.44,33.33,33.33,0.0,11.11,5.4226,4.6418,-1.7576,-1.087,-10.0276,-4.6984,DIAGNOSTIC_ONLY
W3,Early half,Rank1,13,4.2805,1.2291,-2.1199,4.9263,61.54,38.46,46.15,7.69,53.85,7.9785,3.5625,22.9866,12.1438,-11.9263,-6.7509,DIAGNOSTIC_ONLY
W3,Early half,Rank2,13,-0.778,0.2108,-2.496,2.9258,53.85,53.85,53.85,7.69,30.77,3.0123,2.9474,13.006,1.7657,-17.7006,-9.2331,DIAGNOSTIC_ONLY
W3,Early half,Rank3,13,3.9614,3.6505,0.1744,8.361,76.92,38.46,46.15,7.69,69.23,7.822,6.5256,27.9112,11.959,-12.3243,-7.9156,DIAGNOSTIC_ONLY
W3,Late half,Rank1,11,1.3259,1.4225,-3.9763,7.2327,54.55,36.36,36.36,9.09,18.18,5.1873,2.9872,0.1258,-2.4968,-11.4167,-7.3537,DIAGNOSTIC_ONLY
