snapshot_date,total_candidates,n_draws,seed,valid_draw_pct,w1_valid_draw_pct,w2_valid_draw_pct,w3_valid_draw_pct,w4_valid_draw_pct,w1_mean_return_pct_p05,w1_mean_return_pct_p25,w1_mean_return_pct_p50,w1_mean_return_pct_p75,w1_mean_return_pct_p95,w1_mean_max_gain_pct_p05,w1_mean_max_gain_pct_p25,w1_mean_max_gain_pct_p50,w1_mean_max_gain_pct_p75,w1_mean_max_gain_pct_p95,w2_mean_return_pct_p05,w2_mean_return_pct_p25,w2_mean_return_pct_p50,w2_mean_return_pct_p75,w2_mean_return_pct_p95,w3_mean_return_pct_p05,w3_mean_return_pct_p25,w3_mean_return_pct_p50,w3_mean_return_pct_p75,w3_mean_return_pct_p95,w4_mean_return_pct_p05,w4_mean_return_pct_p25,w4_mean_return_pct_p50,w4_mean_return_pct_p75,w4_mean_return_pct_p95,asof_mean_return_pct_p05,asof_mean_return_pct_p25,asof_mean_return_pct_p50,asof_mean_return_pct_p75,asof_mean_return_pct_p95,asof_mean_exec_return_pct_p05,asof_mean_exec_return_pct_p25,asof_mean_exec_return_pct_p50,asof_mean_exec_return_pct_p75,asof_mean_exec_return_pct_p95,asof_mean_max_gain_pct_p05,asof_mean_max_gain_pct_p25,asof_mean_max_gain_pct_p50,asof_mean_max_gain_pct_p75,asof_mean_max_gain_pct_p95,asof_worst_return_pct_p05,asof_worst_return_pct_p25,asof_worst_return_pct_p50,asof_worst_return_pct_p75,asof_worst_return_pct_p95,asof_stop8_count_p05,asof_stop8_count_p25,asof_stop8_count_p50,asof_stop8_count_p75,asof_stop8_count_p95,b0_actual_asof_mean_return_pct,b0_actual_asof_mean_exec_return_pct,b0_actual_asof_mean_max_gain_pct,b0_actual_w1_mean_return_pct,b0_actual_stop8_count,b0_asof_return_percentile,b0_asof_exec_return_percentile,b0_w1_return_percentile
2025-12-26,17,1000,51268,100.0,100.0,100.0,100.0,100.0,-2.9651,-0.5541,0.8444,2.6439,5.7304,0.977,1.9114,3.1262,4.6986,7.2521,-0.7086,2.1496,4.3271,9.6359,22.4871,-0.2402,3.6566,7.0354,11.6894,29.4479,-1.0231,3.8335,8.2301,13.7713,39.0079,10.69,25.9213,38.4253,57.6844,220.6571,-8.0391,-8.0,11.6144,31.0409,201.205,24.6439,44.6509,77.9662,122.1056,358.4022,-11.4577,5.0945,9.0441,14.5295,44.6566,1.0,1.0,2.0,3.0,3.0,34.7728,-8.0,100.8628,1.8633,2.0,44.0,26.3,66.0
2026-01-02,15,1000,60144,100.0,100.0,100.0,100.0,100.0,-3.0028,0.4441,2.7127,5.1255,8.4823,2.5005,4.0756,5.6867,9.1131,11.4987,1.3703,3.7144,6.6267,11.5557,15.6298,0.0059,3.6203,6.6969,11.2211,19.0541,0.8592,2.9028,5.2557,8.8441,14.4562,-4.7282,10.6836,19.4449,29.0241,39.9294,-8.0,4.0927,10.7088,22.3011,34.1004,30.0115,41.8913,52.6266,62.2283,78.9413,-36.2826,-11.9542,-8.4964,17.7874,27.4566,0.0,1.0,2.0,2.0,3.0,-6.18,-12.7429,52.1112,15.5421,1.0,3.3,0.0,100.0
2026-01-09,40,1000,60151,100.0,100.0,100.0,100.0,100.0,-4.9573,-1.3252,0.8263,3.1696,6.595,1.4752,2.9239,4.3741,6.4868,9.7792,-4.8699,-1.2893,1.4933,5.1617,11.1059,-7.5063,-3.1669,0.2734,5.7391,17.1018,-13.442,-4.1626,1.5706,8.6561,21.9204,-7.7721,6.0054,18.0895,36.9826,110.8393,-8.4567,-8.0,6.5056,25.8259,103.5979,12.9281,23.2265,40.1755,79.0167,190.6455,-29.9479,-17.411,-10.4484,1.7255,25.665,1.0,1.0,2.0,3.0,3.0,51.0531,-8.0,56.2655,-0.7611,1.0,81.4,27.4,30.9
2026-01-16,21,1000,60158,100.0,100.0,100.0,100.0,100.0,-1.3674,0.7034,2.2068,4.0517,7.7536,1.5173,3.6623,5.187,6.8338,14.8919,-5.3916,-0.3313,1.4283,3.3685,10.5541,-3.9976,-0.0215,2.8866,6.1186,14.1236,-8.681,-0.8304,3.6236,8.4199,15.4856,-18.3757,-2.3559,8.7289,44.617,93.7471,-8.292,-8.0,1.7625,5.1233,59.0329,15.0171,24.1207,35.9944,98.4708,137.0588,-44.8718,-38.9213,-22.2191,-4.3233,17.4507,1.0,2.0,2.0,3.0,3.0,11.6849,11.6849,24.6268,1.7213,0.0,54.2,78.2,42.1
2026-01-23,14,1000,60165,100.0,100.0,100.0,100.0,100.0,-7.2941,-3.9631,-1.2558,0.8592,3.4487,2.2273,3.1926,4.8681,7.5048,10.8063,-11.9229,-5.8115,-1.1122,3.5849,10.1194,-17.0018,-9.2156,-4.0238,1.0969,8.4383,-19.1913,-9.2574,-2.4801,4.7503,14.4303,-31.4006,-11.1024,3.6047,18.0139,36.7926,-8.2492,-8.0,-8.0,-1.1311,3.5679,4.1356,13.5844,27.8794,47.1789,65.3591,-49.6644,-41.7838,-41.6582,-23.799,13.9754,2.0,2.0,3.0,3.0,3.0,3.7934,-8.0,12.9412,2.8041,2.0,50.3,62.8,90.8
2026-01-30,17,1000,60172,100.0,100.0,100.0,100.0,100.0,-0.1771,1.9974,3.8395,7.0802,11.1909,3.3898,4.6112,7.4054,9.7538,14.1884,-5.0567,-0.7221,2.8934,6.8177,11.6745,-4.5918,0.7213,5.0876,11.43,19.2126,-7.5682,-0.449,7.0901,20.7734,40.3143,-2.841,5.9593,14.7137,29.2052,64.1673,-8.0,1.0976,3.2196,15.3141,27.829,12.4694,18.2802,23.7839,65.2026,169.7775,-23.3368,-8.2611,-8.0246,1.869,19.2928,0.0,1.0,2.0,2.0,3.0,54.0902,-8.0,163.8689,3.7908,3.0,88.1,17.6,49.2
2026-02-13,27,1000,60255,100.0,100.0,100.0,100.0,100.0,-2.4201,-0.2868,1.1332,2.5755,4.5565,1.6738,2.6673,3.7396,4.7575,6.4136,-3.2333,0.4404,3.1034,5.9296,9.9837,-12.9605,-6.0558,-2.9517,-0.0368,3.7714,-14.9862,-7.7647,-3.6846,-0.0394,5.1888,-12.8719,-3.0982,3.8826,11.3812,20.8359,-10.1553,-8.0,-7.0235,-1.444,3.4851,11.0863,19.773,27.7197,40.2836,58.6573,-33.5565,-19.0532,-11.6078,-5.0706,14.0501,1.0,2.0,2.0,3.0,3.0,-1.9011,-8.0,89.1001,-4.8796,1.0,29.8,47.9,0.0
2026-02-20,18,1000,60262,100.0,100.0,100.0,100.0,100.0,-4.1611,-1.0261,2.0158,9.0246,24.089,2.1918,4.4672,7.5201,16.2096,28.1849,-13.7584,-9.0689,-5.5137,0.381,27.968,-17.4879,-11.4499,-5.6676,15.9836,29.6271,-19.7353,-12.5947,-5.6503,15.9416,27.715,-15.5007,-4.1465,14.074,45.969,84.0649,-8.8943,-8.3079,-8.0,1.7711,32.3481,10.0531,20.8348,54.4335,134.7196,216.3485,-36.6219,-26.537,-21.8443,1.7657,16.6573,1.0,2.0,3.0,3.0,3.0,8.4636,0.3408,19.2841,-4.7334,2.0,44.9,61.4,3.3
2026-02-27,27,1000,60269,100.0,100.0,100.0,100.0,100.0,-11.2393,-8.3445,-5.8467,-2.9255,2.9129,0.5714,1.2158,2.6268,4.7188,8.6326,-15.275,-11.0966,-8.0502,-4.3322,4.0519,-22.9737,-16.0381,-10.966,-6.0245,0.9534,-20.1485,-14.3592,-9.5288,-4.0724,2.7222,-10.4592,-2.2424,4.0551,11.8127,23.8256,-8.4327,-8.0,-4.7242,3.1535,16.3253,4.7224,10.688,21.2804,35.7644,55.002,-21.8855,-20.5889,-12.9288,-2.7039,8.9926,1.0,2.0,2.0,3.0,3.0,18.2452,19.3634,27.2968,3.1929,1.0,89.2,98.1,95.3
2026-03-06,9,1000,60348,100.0,100.0,100.0,100.0,100.0,-5.8459,-3.5935,-0.0834,1.7664,6.2472,0.8377,2.2186,4.7421,6.5867,10.1755,-6.8041,-2.3222,-0.0529,3.6469,7.5031,-7.9897,-4.0314,0.2901,4.109,9.2623,-7.5202,-2.6419,-1.2499,2.5142,5.1516,-6.8341,4.0238,16.3761,25.6443,42.5253,-8.0814,-8.0814,-8.0,15.3897,15.4711,13.0158,23.0943,31.6243,40.0437,52.2491,-16.0342,-16.0342,-13.277,-4.3396,11.7703,2.0,2.0,3.0,3.0,3.0,-2.234,-8.0,8.7037,-5.0099,2.0,13.5,67.9,10.5
