snapshot_date,b0_picks_count,l0_pool_size,l1_pool_size,l0_valid_draws_count,l0_valid_draws_pct,l0_is_low_confidence,l1_valid_draws_count,l1_valid_draws_pct,l1_is_low_confidence,l2_executed_ret,l2_w1_ret,l2_w2_ret,l2_w3_ret,l2_w4_ret,l2_stop8_before_p20,l2_stop8_ever,l0_executed_ret_med,l0_executed_ret_p25,l0_executed_ret_p75,l0_w1_ret_med,l0_w2_ret_med,l0_w4_ret_med,l0_stop8_before_p20_med,l1_executed_ret_med,l1_executed_ret_p25,l1_executed_ret_p75,l1_w1_ret_med,l1_w2_ret_med,l1_w4_ret_med,l1_stop8_before_p20_med,total_alpha_exec_w,screening_alpha_exec_w,ranking_alpha_exec_w,total_alpha_w1_w,screening_alpha_w1_w,ranking_alpha_w1_w,total_alpha_w2_w,screening_alpha_w2_w,ranking_alpha_w2_w,total_alpha_w4_w,screening_alpha_w4_w,ranking_alpha_w4_w,win_l2_gt_l0_exec,win_l2_gt_l1_exec,win_l1_gt_l0_exec,win_l2_gt_l0_w1,win_l2_gt_l1_w1,win_l1_gt_l0_w1,win_l2_gt_l0_w2,win_l2_gt_l1_w2,win_l1_gt_l0_w2,win_l2_gt_l0_w4,win_l2_gt_l1_w4,win_l1_gt_l0_w4
2026-01-09,1,40,1,1000,100.0,False,1000,100.0,False,-8.0,-8.0,-8.0,-8.0,-8.0,1.0,1.0,6.505633333333333,-8.0,25.675050000000002,0.6952833333333335,0.7849666666666666,3.06215,0.6666666666666666,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1.0,-14.505633333333332,-14.505633333333332,0.0,-8.695283333333334,-8.695283333333334,0.0,-8.784966666666666,-8.784966666666666,0.0,-11.062149999999999,-11.062149999999999,0.0,False,False,False,False,False,False,False,False,False,False,False,False
2026-01-16,2,21,3,1000,100.0,False,1000,100.0,False,11.6849,1.7212500000000002,4.6086,7.11175,13.039299999999999,0.0,0.0,1.7624666666666673,-8.0,4.617333333333334,1.7681666666666667,1.371516666666667,1.2815999999999999,0.6666666666666666,11.6849,6.643700000000001,11.6849,1.7212500000000002,4.6086,13.039299999999999,0.0,9.922433333333334,9.922433333333334,0.0,-0.046916666666666496,-0.046916666666666496,0.0,3.237083333333333,3.237083333333333,0.0,11.7577,11.7577,0.0,True,False,True,False,False,False,True,False,True,True,False,True
2026-01-23,2,14,2,1000,100.0,False,1000,100.0,False,-8.0,2.8041,6.61745,2.7553,2.34695,1.0,1.0,-8.0,-8.0,-1.1311,-1.13205,-3.3714666666666666,-2.418433333333333,0.6666666666666666,-8.0,-8.0,-8.0,2.8041,6.61745,2.34695,1.0,0.0,0.0,0.0,3.93615,3.93615,0.0,9.988916666666666,9.988916666666666,0.0,4.765383333333333,4.765383333333333,0.0,False,False,False,True,False,True,True,False,True,True,False,True
2026-01-30,3,17,5,1000,100.0,False,1000,100.0,False,-8.0,-0.6929333333333333,-0.10610000000000012,-0.5643333333333334,-2.5995666666666666,1.0,1.0,3.8034166666666662,1.0976,15.314100000000002,2.9789166666666667,2.3991666666666664,4.3841,0.6666666666666666,2.3582666666666667,1.0976,11.455866666666665,1.4405666666666666,1.1932666666666663,0.7190833333333332,0.6666666666666666,-11.803416666666667,-1.4451499999999995,-10.358266666666667,-3.67185,-1.53835,-2.1334999999999997,-2.5052666666666665,-1.2059000000000002,-1.2993666666666663,-6.983666666666666,-3.665016666666667,-3.31865,False,False,False,False,False,False,False,False,False,False,False,False
2026-02-13,1,27,1,1000,100.0,False,1000,100.0,False,-8.0,-8.0,-8.0,-8.0,-8.0,1.0,1.0,-7.023533333333333,-8.0,-2.066133333333333,0.8528999999999999,1.8673,-3.8872999999999998,0.6666666666666666,-8.0,-8.0,-8.0,-8.0,-8.0,-8.0,1.0,-0.976466666666667,-0.976466666666667,0.0,-8.8529,-8.8529,0.0,-9.8673,-9.8673,0.0,-4.1127,-4.1127,0.0,False,False,False,False,False,False,False,False,False,False,False,False
2026-02-20,3,18,3,1000,100.0,False,1000,100.0,False,0.34079999999999977,-4.5776666666666666,-4.321666666666666,-3.9735333333333336,-2.0386666666666664,0.6666666666666666,0.6666666666666666,-8.0,-8.307933333333333,1.7710666666666672,0.24180000000000001,-4.321666666666666,-3.491766666666667,0.6666666666666666,0.34079999999999977,0.34079999999999916,0.34079999999999977,-4.5776666666666666,-4.321666666666666,-2.0386666666666664,0.6666666666666666,8.3408,8.3408,0.0,-4.819466666666667,-4.819466666666667,0.0,0.0,0.0,0.0,1.4531000000000005,1.4531000000000005,0.0,True,False,True,False,False,False,False,False,False,True,False,True
2026-02-27,3,27,6,1000,100.0,False,1000,100.0,False,19.363433333333333,3.249866666666667,0.9789666666666665,1.6969333333333332,0.32766666666666683,0.3333333333333333,0.3333333333333333,-4.7242,-8.0,3.1534666666666666,-4.518366666666666,-5.490066666666666,-5.6487333333333325,0.6666666666666666,19.363433333333333,13.020733333333332,19.363433333333333,3.249866666666667,0.9789666666666665,0.32766666666666683,0.3333333333333333,24.087633333333333,24.087633333333333,0.0,7.768233333333333,7.768233333333333,0.0,6.469033333333333,6.469033333333333,0.0,5.976399999999999,5.976399999999999,0.0,True,False,True,True,False,True,True,False,True,True,False,True
2026-03-06,2,9,2,1000,100.0,False,1000,100.0,False,-8.0,-5.00995,-7.21155,-8.0,-8.0,1.0,1.0,-8.0,-8.0,15.389733333333334,-4.328566666666666,-3.7053,-2.9233333333333333,0.6666666666666666,-8.0,-8.0,-8.0,-5.00995,-7.21155,-8.0,1.0,0.0,0.0,0.0,-0.6813833333333337,-0.6813833333333337,0.0,-3.50625,-3.50625,0.0,-5.076666666666666,-5.076666666666666,0.0,False,False,False,False,False,False,False,False,False,False,False,False
2026-03-13,1,10,1,1000,100.0,False,1000,100.0,False,66.7243,19.1609,17.3875,29.7722,8.9821,0.0,0.0,-2.4733666666666667,-8.0,16.675766666666664,-0.4552333333333332,0.07353333333333323,-3.2023333333333333,0.6666666666666666,66.7243,66.7243,66.7243,19.1609,17.3875,8.9821,0.0,69.19766666666666,69.19766666666666,0.0,19.616133333333334,19.616133333333334,0.0,17.313966666666666,17.313966666666666,0.0,12.184433333333335,12.184433333333335,0.0,True,False,True,True,False,True,True,False,True,True,False,True
2026-03-20,1,8,1,1000,100.0,False,1000,100.0,False,-8.0,-5.1562,-8.0,-8.0,-8.0,1.0,1.0,-8.0,-8.721366666666666,-8.0,-1.8018333333333334,-8.0,-8.0,1.0,-8.0,-8.0,-8.0,-5.1562,-8.0,-8.0,1.0,0.0,0.0,0.0,-3.3543666666666665,-3.3543666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
