snapshot_date,is_train,is_contaminated_val,n_picks,is_3picks,r1_code,r2_code,r3_code,w1_common_valid,r1_w1_return_pct,r2_w1_return_pct,r3_w1_return_pct,k1_w1,k2_w1,k3_w1,mc2_w1,mc3_w1,r3_minus_r2_w1,r1_minus_r2_w1,r1_minus_r3_w1,r1_w1_max_gain_pct,r2_w1_max_gain_pct,r3_w1_max_gain_pct,w2_common_valid,r1_w2_return_pct,r2_w2_return_pct,r3_w2_return_pct,k1_w2,k2_w2,k3_w2,mc2_w2,mc3_w2,r3_minus_r2_w2,r1_minus_r2_w2,r1_minus_r3_w2,r1_w2_max_gain_pct,r2_w2_max_gain_pct,r3_w2_max_gain_pct,w3_common_valid,r1_w3_return_pct,r2_w3_return_pct,r3_w3_return_pct,k1_w3,k2_w3,k3_w3,mc2_w3,mc3_w3,r3_minus_r2_w3,r1_minus_r2_w3,r1_minus_r3_w3,r1_w3_max_gain_pct,r2_w3_max_gain_pct,r3_w3_max_gain_pct,w4_common_valid,r1_w4_return_pct,r2_w4_return_pct,r3_w4_return_pct,k1_w4,k2_w4,k3_w4,mc2_w4,mc3_w4,r3_minus_r2_w4,r1_minus_r2_w4,r1_minus_r3_w4,r1_w4_max_gain_pct,r2_w4_max_gain_pct,r3_w4_max_gain_pct,r1_stop8_before_p20,r1_stop8_ever,r1_gap_stop,r1_profit20,r1_asof_return_pct,r1_asof_max_gain_pct,r1_asof_drawdown_pct,r2_stop8_before_p20,r2_stop8_ever,r2_gap_stop,r2_profit20,r2_asof_return_pct,r2_asof_max_gain_pct,r2_asof_drawdown_pct,r3_stop8_before_p20,r3_stop8_ever,r3_gap_stop,r3_profit20,r3_asof_return_pct,r3_asof_max_gain_pct,r3_asof_drawdown_pct
2026-01-30,True,False,3,True,HON,AAOI,ZM,True,5.365,5.4511,0.5562,5.365,5.4081,3.7908,0.0431,-1.6173,-4.8949,-0.0861,4.8088,5.6725,16.9007,2.8356,True,6.6892,5.8319,0.9925,6.6892,6.2606,4.5045,-0.4286,-1.756,-4.8394,0.8573,5.6967,8.5686,20.9236,5.2678,True,7.8339,23.0183,-1.5269,7.8339,15.4261,9.7751,7.5922,-5.651,-24.5452,-15.1844,9.3608,8.1799,29.2549,1.6578,True,8.2013,100.4999,-19.3587,8.2013,54.3506,29.7808,46.1493,-24.5698,-119.8586,-92.2986,27.56,8.7352,100.6903,-1.2542,True,True,False,False,-8.2611,10.243,-8.9744,True,True,False,True,156.2009,456.2247,-11.8781,True,True,False,True,14.3309,25.1391,-22.8924
2026-02-13,True,False,1,False,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-20,True,False,3,True,FANG,HEI,UAL,True,-1.2406,-8.4671,-4.4924,-1.2406,-4.8539,-4.7334,-3.6133,0.1205,3.9747,7.2265,3.2518,0.5539,1.6309,5.6604,True,3.035,-12.9729,-17.2776,3.035,-4.9689,-9.0718,-8.0039,-4.1029,-4.3047,16.0079,20.3126,4.4833,-3.8953,-5.0135,True,4.0794,-17.3527,-22.1923,4.0794,-6.6366,-11.8219,-10.716,-5.1852,-4.8396,21.4321,26.2717,6.5259,-10.6312,-13.2255,True,9.884,-21.1591,-19.1824,9.884,-5.6375,-10.1525,-15.5215,-4.515,1.9767,31.0431,29.0664,11.1015,-15.2947,-14.4474,False,False,False,True,21.5856,25.1515,-6.7509,True,True,True,False,1.7657,8.0199,-26.6166,True,True,True,True,2.0395,24.681,-23.9533
2026-02-27,True,False,3,True,EQIX,GMED,EXPE,True,-2.3401,-8.1708,20.0897,-2.3401,-5.2554,3.1929,-2.9153,8.4484,28.2605,5.8307,-22.4298,1.8445,0.0,21.348,True,1.068,-10.6273,9.8689,1.068,-4.7797,0.1032,-5.8476,4.8829,20.4962,11.6953,-8.8009,2.4727,-6.6842,18.2432,True,-0.0516,-9.0564,13.1424,-0.0516,-4.554,1.3448,-4.5024,5.8988,22.1988,9.0048,-13.194,3.2639,-6.8213,19.2412,True,0.3483,-11.6711,8.6347,0.3483,-5.6614,-0.896,-6.0097,4.7654,20.3058,12.0194,-8.2864,1.894,-6.8424,18.1275,False,False,False,False,11.0281,17.7043,-4.3109,True,True,False,False,-11.3548,2.6779,-21.5709,False,False,False,True,55.0622,61.5081,-2.4636
2026-03-06,True,False,2,False,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-13,True,False,1,False,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-20,True,False,1,False,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-27,True,False,2,False,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-02,True,False,3,True,MRVL,INVA,PFIS,True,17.4545,3.7555,6.1676,17.4545,10.605,9.1259,-6.8495,-1.4791,2.4121,13.699,11.2869,18.6889,6.5939,7.6909,True,27.695,5.8515,7.4494,27.695,16.7733,13.6653,-10.9217,-3.108,1.5979,21.8435,20.2456,27.8961,6.7686,9.2513,True,50.1966,2.9258,3.7711,50.1966,26.5612,18.9645,-23.6354,-7.5967,0.8453,47.2708,46.4255,56.1671,6.7686,8.1925,True,50.7818,0.917,4.2541,50.7818,25.8494,18.651,-24.9324,-7.1984,3.3371,49.8648,46.5277,52.0984,4.4978,8.6383,False,False,False,True,116.7322,201.5452,-3.1544,True,True,False,False,-8.1659,6.7686,-11.7904,False,False,False,True,30.2991,36.2995,-3.251
2026-04-10,True,False,3,True,SPIR,FRAF,HLIO,True,-11.7833,2.9569,-2.8179,-11.7833,-4.4132,-3.8814,7.3701,0.5318,-5.7748,-14.7402,-8.9654,6.5011,3.2597,1.7417,True,-25.4628,-1.3359,-3.625,-25.4628,-13.3994,-10.1412,12.0635,3.2581,-2.2891,-24.1269,-21.8378,-7.5395,5.6644,-0.5523,True,-17.9233,1.2291,-5.4942,-17.9233,-8.3471,-7.3961,9.5762,0.951,-6.7233,-19.1524,-12.4291,-15.8465,3.5625,-1.855,True,-16.5237,3.6338,-3.5401,-16.5237,-6.445,-5.4767,10.0788,0.9683,-7.1739,-20.1575,-12.9836,-14.9887,4.1503,-0.708,True,True,False,False,-37.3815,17.0655,-52.8668,False,False,False,False,10.456,16.5123,-3.7941,False,False,False,True,7.8731,34.3954,-7.9156
