comparison_name,comparison_type,var_a,var_b,horizon,horizon_status,segment,paired_weeks,paired_median_spread_pct,paired_mean_spread_pct,win_rate_pct,wilcoxon_p,boot_ci95_low,boot_ci95_high,mean_worst_pick_spread_pct,mean_stop8_rate_diff_pct,stop8_diff_wilcoxon_p,mean_all_stopped_rate_diff_pct,all_stopped_diff_wilcoxon_p,mean_profit20_rate_diff_pct,removed_gate,screening_gate_verdict
Geometry Gate (E0 vs NO_GEOMETRY),GATE_ABLATION,E0_BASE,E0_NO_GEOMETRY_GATE,W2,PRIMARY,All historical,40,0.0647,0.3743,50.0,0.5043,-0.3483,1.1535,0.2983,-0.63,0.837,-0.7,0.2536,4.65,Geometry,MIXED
Geometry Gate (E0 vs NO_GEOMETRY),GATE_ABLATION,E0_BASE,E0_NO_GEOMETRY_GATE,W3,DIAGNOSTIC_ONLY,All historical,39,0.0,0.9636,48.72,0.2556,-0.1809,2.2445,-0.0466,-0.71,0.7838,-0.71,0.2844,4.76,Geometry,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Geometry Gate (E0 vs NO_GEOMETRY),GATE_ABLATION,E0_BASE,E0_NO_GEOMETRY_GATE,W4,PRIMARY,All historical,38,0.0,1.3306,47.37,0.2584,-0.2211,3.1759,0.5234,-0.49,0.9099,-0.72,0.3055,4.89,Geometry,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Geometry Gate (E0 vs NO_GEOMETRY),GATE_ABLATION,E0_BASE,E0_NO_GEOMETRY_GATE,W1,PRIMARY,Train-era weeks 1-30,29,0.0,-0.0089,31.03,0.6578,-0.5462,0.5736,-0.1752,-1.28,0.7412,-2.27,0.3134,5.0,Geometry,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Geometry Gate (E0 vs NO_GEOMETRY),GATE_ABLATION,E0_BASE,E0_NO_GEOMETRY_GATE,W2,PRIMARY,Train-era weeks 1-30,29,0.0,0.5018,41.38,0.498,-0.4591,1.5134,0.4332,-1.28,0.7412,-2.27,0.3134,5.0,Geometry,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Geometry Gate (E0 vs NO_GEOMETRY),GATE_ABLATION,E0_BASE,E0_NO_GEOMETRY_GATE,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,29,0.0,1.2194,41.38,0.3205,-0.2417,2.8848,-0.1934,-1.28,0.7412,-2.27,0.3134,5.0,Geometry,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Geometry Gate (E0 vs NO_GEOMETRY),GATE_ABLATION,E0_BASE,E0_NO_GEOMETRY_GATE,W4,PRIMARY,Train-era weeks 1-30,29,0.0,1.7723,37.93,0.2462,-0.1715,4.1161,0.7855,-1.28,0.7412,-2.27,0.3134,5.0,Geometry,NOT DEMONSTRATED (RETURN SPREAD NEUTRAL; QUALITY FILTER)
Geometry Gate (E0 vs NO_GEOMETRY),GATE_ABLATION,E0_BASE,E0_NO_GEOMETRY_GATE,W1,PRIMARY,Contaminated validation weeks 31-40,11,-0.1428,-0.3112,45.45,0.3652,-0.9602,0.2079,-0.5028,1.08,0.7646,3.45,0.4922,3.72,Geometry,MIXED
Geometry Gate (E0 vs NO_GEOMETRY),GATE_ABLATION,E0_BASE,E0_NO_GEOMETRY_GATE,W2,PRIMARY,Contaminated validation weeks 31-40,11,0.5649,0.0383,72.73,0.7002,-0.7267,0.7269,-0.0573,1.08,0.7646,3.45,0.4922,3.72,Geometry,MIXED
Geometry Gate (E0 vs NO_GEOMETRY),GATE_ABLATION,E0_BASE,E0_NO_GEOMETRY_GATE,W3,DIAGNOSTIC_ONLY,Contaminated validation weeks 31-40,10,0.3541,0.2216,70.0,0.5566,-0.9541,1.2942,0.3792,0.95,0.9219,3.83,0.6523,4.09,Geometry,MIXED
Geometry Gate (E0 vs NO_GEOMETRY),GATE_ABLATION,E0_BASE,E0_NO_GEOMETRY_GATE,W4,PRIMARY,Contaminated validation weeks 31-40,9,0.5713,-0.0927,77.78,0.5703,-2.11,1.5184,-0.3211,2.06,0.6523,4.27,0.7422,4.54,Geometry,MIXED
BuyPoint Proximity Gate (E0 vs NO_BUYPOINT),GATE_ABLATION,E0_BASE,E0_NO_BUYPOINT_GATE,W1,PRIMARY,All historical,40,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,BuyPoint,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
BuyPoint Proximity Gate (E0 vs NO_BUYPOINT),GATE_ABLATION,E0_BASE,E0_NO_BUYPOINT_GATE,W2,PRIMARY,All historical,40,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,BuyPoint,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
BuyPoint Proximity Gate (E0 vs NO_BUYPOINT),GATE_ABLATION,E0_BASE,E0_NO_BUYPOINT_GATE,W3,DIAGNOSTIC_ONLY,All historical,39,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,BuyPoint,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
BuyPoint Proximity Gate (E0 vs NO_BUYPOINT),GATE_ABLATION,E0_BASE,E0_NO_BUYPOINT_GATE,W4,PRIMARY,All historical,38,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,BuyPoint,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
BuyPoint Proximity Gate (E0 vs NO_BUYPOINT),GATE_ABLATION,E0_BASE,E0_NO_BUYPOINT_GATE,W1,PRIMARY,Train-era weeks 1-30,29,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,BuyPoint,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
BuyPoint Proximity Gate (E0 vs NO_BUYPOINT),GATE_ABLATION,E0_BASE,E0_NO_BUYPOINT_GATE,W2,PRIMARY,Train-era weeks 1-30,29,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,BuyPoint,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
BuyPoint Proximity Gate (E0 vs NO_BUYPOINT),GATE_ABLATION,E0_BASE,E0_NO_BUYPOINT_GATE,W3,DIAGNOSTIC_ONLY,Train-era weeks 1-30,29,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,BuyPoint,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
BuyPoint Proximity Gate (E0 vs NO_BUYPOINT),GATE_ABLATION,E0_BASE,E0_NO_BUYPOINT_GATE,W4,PRIMARY,Train-era weeks 1-30,29,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,BuyPoint,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
BuyPoint Proximity Gate (E0 vs NO_BUYPOINT),GATE_ABLATION,E0_BASE,E0_NO_BUYPOINT_GATE,W1,PRIMARY,Contaminated validation weeks 31-40,11,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,BuyPoint,NOT DEMONSTRATED (100% EMBEDDED IN ACTIONABLE / DATA COMPLETENESS)
