snapshot_date,code,pick_order,entry_status,lane,industry,reason_codes,risk_codes,sort_key,raw_rank,ibd_candidate_rule,ibd_candidate_price,latest_close,current_vs_ibd_candidate_pct,ibd_entry_volume_ratio,ibd_entry_close_position,ibd_entry_breakout_range_ratio,dist_to_52w_high_pct,volume_ratio,eps_yoy_growth,effective_eps_yoy_growth,price_data_status
2026-01-30,AAOI,2,ACTIONABLE,fresh_demand_alpha,Semiconductors,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through,,"(0, 0, 0, -4, 0, 0, 0, 0, -2.443582210566355, 'AAOI', 1)",2,ceiling,43.05,43.61,1.3,2.443582210566355,0.876300578034682,0.2520231213872832,-9.728834609811642,2.057257023916887,33.3333333333,33.3333333333,PENDING
2026-01-30,ZM,3,ACTIONABLE,fresh_demand_alpha,Packaged Software,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through,,"(0, 0, 0, -4, 0, 1, 0, 0, -3.5896878625881583, 'ZM', 7)",3,ceiling,88.9,92.1,3.6,3.5896878625881583,0.9607635206786844,0.6956521739130428,-5.6159048985447875,2.043178123461148,204.5454545455,204.5454545455,PENDING
2026-02-13,WULF,1,ACTIONABLE,fresh_demand_alpha,Unknown,near_buy_point;volume_confirms_breakout;weekly_volume_follow_through,,"(0, 0, 0, -3, 0, 0, 1, 0, -2.2589028629542973, 'WULF', 13)",1,ceiling,16.13,16.26,0.81,2.2589028629542973,0.9052631578947368,0.2736842105263157,-8.135593220338965,1.964408515561157,-1783.3333333333,-1783.3333333333,PENDING
2026-02-20,FANG,1,ACTIONABLE,constructive_pullback,Oil & Gas Production,near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high;pullback_structure,,"(0, 1, 0, -4, 0, 1, 1, 0, -1.7843439599194195, 'FANG', 12)",1,ma10_touch_confirm,169.49,176.01,3.85,1.7843439599194195,0.8729411764705834,1.5341176470588191,-0.5705569992091375,1.3897904538936954,10.0313479624,10.0313479624,PENDING
2026-02-20,HEI,2,ACTIONABLE,constructive_pullback,Aerospace & Defense,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure,pullback_not_dry,"(0, 1, 0, -4, 1, 1, 0, 0, -1.5364325054337504, 'HEI', 17)",2,ceiling_pullback,342.22,351.66,2.76,1.5364325054337504,0.8277404921700264,1.0559284116331096,-2.7730929801763837,1.4114637685578155,29.8969072165,29.8969072165,PENDING
2026-02-20,UAL,3,ACTIONABLE,standard_breakout,Airlines,near_buy_point;volume_confirms_breakout,,"(0, 2, 0, -2, 0, 1, 1, 1, -1.6043372643898532, 'UAL', 3)",8,ceiling,110.25,113.03,2.52,1.6043372643898532,0.8577114427860704,0.6646766169154238,-5.18412884825098,1.0695046838599265,0.0,0.0,PENDING
2026-02-27,GMED,1,ACTIONABLE,fresh_demand_alpha,Unknown,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through,,"(0, 0, 0, -4, 0, 0, 0, 0, -1.5007093681613497, 'GMED', 3)",1,ceiling,93.67,95.46,1.91,1.5007093681613497,0.97985347985348,0.467032967032967,-5.857988165680483,1.4753693588470889,131.5789473684,131.5789473684,PENDING
2026-02-27,EQIX,2,ACTIONABLE,fresh_demand_alpha,Real Estate Investment Trusts,near_buy_point;volume_confirms_breakout;weekly_volume_follow_through;near_52w_high,,"(0, 0, 0, -4, 0, 0, 1, 0, -1.845843294180062, 'EQIX', 12)",2,ceiling,959.33,974.26,1.56,1.845843294180062,0.9763955342902708,0.4762360446570953,-1.342757615035639,1.5754101675193843,22.9032258065,22.9032258065,PENDING
2026-02-27,EXPE,3,ACTIONABLE,fresh_demand_alpha,Other Consumer Services,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through,,"(0, 0, 0, -4, 0, 1, 0, 0, -1.6360471378951136, 'EXPE', 5)",3,ceiling,206.07,215.69,4.67,1.6360471378951136,0.968053491827637,0.881129271916791,-29.00263331138907,1.8567199042784743,45.4365079365,45.4365079365,PENDING
2026-03-06,FIGS,1,ACTIONABLE,constructive_pullback,Unknown,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;pullback_structure;dry_pullback,,"(0, 1, 0, -5, 0, 1, 0, 0, -2.927203899071957, 'FIGS', 0)",1,ma10_touch_confirm,15.9,16.42,3.27,2.927203899071957,0.8697674418604662,0.5674418604651169,-6.06407322654462,1.6171669806306666,600.0,600.0,PENDING
2026-03-06,RTX,2,ACTIONABLE,constructive_pullback,Aerospace & Defense,near_buy_point;volume_confirms_breakout;eps_acceleration_support;weekly_volume_follow_through;near_52w_high;pullback_structure,pullback_not_dry,"(0, 1, 0, -4, 1, 1, 0, 0, -2.109645537374721, 'RTX', 8)",2,ma10_touch_confirm,204.9,209.76,2.37,2.109645537374721,0.8630705394190876,1.5062240663900417,-2.209790209790219,1.677951814330621,29.3577981651,29.3577981651,PENDING
2026-03-13,DOCN,1,ACTIONABLE,constructive_pullback,Packaged Software,near_buy_point;volume_confirms_breakout;eps_acceleration_support;near_52w_high;pullback_structure,pullback_not_dry,"(0, 1, 0, -3, 1, 1, 0, 1, -1.8260653671246825, 'DOCN', 1)",2,ceiling_pullback,66.26,68.63,3.58,1.8260653671246825,0.8991935483870968,0.3266129032258055,-2.5557290927161858,1.2729485387162005,357.5757575758,357.5757575758,PENDING
