rule_id,description,complexity,train_w1_ret_med,train_w2_ret_med,train_w4_ret_med,train_paired_w1_spread_med,train_paired_w2_spread_med,train_paired_w4_spread_med,train_paired_win_rate_vs_b0,train_act_opp_w1_spread_med,train_act_opp_w1_ret_med,train_act_w1_win_vs_l1_pct,train_act_rank_win_vs_l1_pct,train_act_w2_win_vs_l1_pct,train_act_w4_win_vs_l1_pct,train_act_exec_win_vs_l1_pct,train_temporal_block_stability_score,train_temporal_min_block_ret,train_valid_portfolio_rate,train_valid_weeks,train_total_weeks,train_full3_weeks,train_ranking_opportunity_weeks,train_stop8_before_p20_pct,train_exec_ret_med,train_paired_exec_spread_med,train_act_rank_exec_med,train_win_vs_l1_pct,train_win_vs_l1_exec_pct,full_w1_ret_med,full_w2_ret_med,full_w4_ret_med,full_exec_ret_med,full_stop8_before_p20_pct,full_win_vs_l0_pct,full_win_vs_l1_pct,full_active_weeks,full_full3_weeks,hist_val_w1_ret_med,hist_val_exec_ret_med,hist_val_stop8_before_p20_pct,hist_val_win_vs_l1_pct
SIMPLER_PURE_CLOSE_POS,Pure Close Position Sort (Highest intraday close position),1,0.5766000000000001,0.07050833333333328,1.077225,0.0,0.0,0.0,23.333333333333332,-1.1034333333333333,0.5511333333333334,63.63636363636363,63.63636363636363,54.54545454545454,63.63636363636363,63.63636363636363,-0.3241,-0.8867833333333333,100.0,30,30,15,11,52.222222222222236,2.1410333333333336,0.0,10.115466666666665,33.33333333333333,26.666666666666668,0.05493333333333336,-0.0722666666666667,0.5124000000000001,0.8673666666666667,49.16666666666666,45.0,32.5,40,25,-1.9295,-2.1267666666666667,40.0,30.0
SIMPLER_PURE_FRESHNESS,Pure Freshness Sort (Lowest premium above buy point),1,0.7482166666666668,-0.2783083333333334,0.9052749999999998,0.0,0.0,0.0,23.333333333333332,-0.6743,0.23716666666666666,45.45454545454545,45.45454545454545,45.45454545454545,45.45454545454545,72.72727272727273,-2.39,-4.600099999999999,100.0,30,30,15,11,55.55555555555555,2.2499166666666666,0.0,5.332533333333333,26.666666666666668,26.666666666666668,0.7482166666666668,-0.020483333333333333,1.6343,2.2499166666666666,48.33333333333333,55.00000000000001,37.5,40,25,0.05298333333333316,1.8853999999999997,26.666666666666668,70.0
SIMPLER_PURE_VOLUME,Pure Volume Sort (Highest entry breakout volume ratio),1,-0.41768333333333335,0.026691666666666586,-0.6705916666666667,0.0,0.0,0.0,20.0,-0.4889000000000008,-0.673,54.54545454545454,54.54545454545454,54.54545454545454,54.54545454545454,27.27272727272727,-2.6673,-4.600099999999999,100.0,30,30,15,11,55.00000000000001,-1.4507333333333334,0.0,-0.7424333333333332,26.666666666666668,13.333333333333334,-0.7465166666666667,-0.5061083333333335,-1.267,-1.3740999999999999,52.083333333333336,42.5,32.5,40,25,-0.8307833333333334,-1.1464333333333334,43.33333333333333,50.0
COMPOSITE_F1_V1_P1_D0_52W0,"Linear Composite (Fresh:1, Vol:1, Pos:1, Dry:0, 52W:0)",2,-0.001966666666666672,-0.23306666666666667,-0.20798333333333327,0.0,0.0,0.0,26.666666666666668,-0.4004,-0.16236666666666663,45.45454545454545,45.45454545454545,54.54545454545454,36.36363636363637,63.63636363636363,-2.447,-4.600099999999999,100.0,30,30,15,11,56.666666666666664,1.5107,0.0,5.6129999999999995,26.666666666666668,23.333333333333332,0.28718333333333335,-0.597275,-0.12660833333333332,1.5107,53.333333333333336,47.5,40.0,40,25,0.8330166666666666,1.7285666666666668,43.33333333333333,80.0
COMPOSITE_F1_V1_P2_D0_52W0,"Linear Composite (Fresh:1, Vol:1, Pos:2, Dry:0, 52W:0)",2,-0.8009499999999998,-0.597275,-0.20798333333333327,0.0,0.0,0.0,26.666666666666668,-0.4004,-0.9089666666666667,45.45454545454545,45.45454545454545,45.45454545454545,45.45454545454545,63.63636363636363,-2.6463,-4.600099999999999,100.0,30,30,15,11,56.666666666666664,1.1322999999999999,0.0,5.6129999999999995,26.666666666666668,26.666666666666668,-0.07165,-0.3407000000000001,-0.12660833333333332,0.38960000000000006,50.0,50.0,35.0,40,25,0.3849499999999999,0.38008333333333344,30.0,60.0
COMPOSITE_F1_V2_P1_D0_52W0,"Linear Composite (Fresh:1, Vol:2, Pos:1, Dry:0, 52W:0)",2,-0.001966666666666672,-0.064475,-0.6764500000000001,0.0,0.0,0.0,16.666666666666664,-0.4889000000000008,-0.16236666666666663,45.45454545454545,45.45454545454545,45.45454545454545,45.45454545454545,36.36363636363637,-2.4924,-4.600099999999999,100.0,30,30,15,11,55.00000000000001,-0.2008166666666667,0.0,3.437,23.333333333333332,16.666666666666664,0.3351499999999998,-0.597275,0.08290833333333333,0.9190666666666667,50.416666666666664,50.0,37.5,40,25,1.2825499999999996,3.1752166666666666,36.666666666666664,80.0
COMPOSITE_F1_V2_P2_D0_52W0,"Linear Composite (Fresh:1, Vol:2, Pos:2, Dry:0, 52W:0)",2,-0.2672499999999999,-0.3266500000000001,-0.20798333333333327,0.0,0.0,0.0,26.666666666666668,-0.4004,-0.6929333333333331,54.54545454545454,54.54545454545454,54.54545454545454,45.45454545454545,54.54545454545454,-2.4684,-4.600099999999999,100.0,30,30,15,11,55.55555555555556,-0.6582500000000001,0.0,5.6129999999999995,30.0,23.333333333333332,0.1516333333333333,-0.3266500000000001,-0.12660833333333332,0.7499166666666669,50.83333333333333,47.5,40.0,40,25,0.6974666666666666,2.0400833333333335,36.666666666666664,70.0
COMPOSITE_F1_V3_P1_D0_52W0,"Linear Composite (Fresh:1, Vol:3, Pos:1, Dry:0, 52W:0)",2,-0.001966666666666672,-0.064475,-0.6764500000000001,0.0,0.0,0.0,16.666666666666664,-0.4889000000000008,-0.16236666666666663,45.45454545454545,45.45454545454545,45.45454545454545,45.45454545454545,45.45454545454545,-2.491,-4.600099999999999,100.0,30,30,15,11,55.00000000000001,-0.2008166666666667,0.0,3.437,23.333333333333332,20.0,0.3351499999999998,-0.597275,0.08290833333333333,0.7191999999999998,50.416666666666664,50.0,37.5,40,25,1.2825499999999999,3.1752166666666666,36.666666666666664,80.0
COMPOSITE_F1_V3_P2_D0_52W0,"Linear Composite (Fresh:1, Vol:3, Pos:2, Dry:0, 52W:0)",2,-0.5356666666666666,-0.597275,-0.6764500000000001,0.0,0.0,0.0,20.0,-0.4004,-0.9089666666666667,45.45454545454545,45.45454545454545,45.45454545454545,36.36363636363637,45.45454545454545,-2.6463,-4.600099999999999,100.0,30,30,15,11,55.00000000000001,-0.2008166666666667,0.0,3.437,23.333333333333332,20.0,-0.27775,-0.6578916666666668,-0.12660833333333332,0.5894666666666669,51.24999999999999,45.0,32.5,40,25,0.4284833333333332,1.8796333333333335,40.0,60.0
COMPOSITE_F2_V1_P1_D0_52W0,"Linear Composite (Fresh:2, Vol:1, Pos:1, Dry:0, 52W:0)",2,-0.0720500000000001,-0.23306666666666667,-0.12660833333333332,0.0,0.0,0.0,23.333333333333332,-0.6534666666666666,-0.3025333333333335,45.45454545454545,45.45454545454545,45.45454545454545,36.36363636363637,63.63636363636363,-2.511,-4.600099999999999,100.0,30,30,15,11,56.666666666666664,1.5107,0.0,5.6129999999999995,26.666666666666668,23.333333333333332,0.8940500000000001,-0.11338333333333346,-0.0861249999999999,0.5777833333333335,50.83333333333333,45.0,35.0,40,25,1.1859166666666667,-0.41559999999999986,33.333333333333336,60.0
